"previous_screening_sequence","previous_covidence_number","next_screening_sequence","next_covidence_number","gap_size","previous_vote_registered","queue_count_changed","next_citation_distinct","visible_citation_bypassed","notes"
"1048","2409","1049","2411","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1051","2413","1052","2416","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1055","2419","1056","2421","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1057","2422","1058","2424","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1077","2443","1078","2445","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1087","2454","1088","2456","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1094","2462","1095","2464","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1098","2467","1099","2469","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1100","2470","1101","2472","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1101","2472","1102","2475","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1103","2476","1104","2479","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1107","2482","1108","2484","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1110","2486","1111","2488","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1116","2493","1117","2495","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1117","2495","1118","2498","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1126","2506","1127","2509","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1134","2516","1135","2524","7","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1135","2524","1136","2530","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1143","2537","1144","2539","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1157","2552","1158","2555","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1158","2555","1159","2557","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1159","2557","1160","2559","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1162","2561","1163","2563","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1176","2576","1177","2578","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1179","2580","1180","2582","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1180","2582","1181","2585","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1182","2586","1183","2588","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1211","2616","1212","2618","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1228","2634","1229","2636","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1234","2641","1235","3014","372","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1236","3015","1237","3022","6","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1238","3023","1239","3029","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1239","3029","1240","3031","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1244","3035","1245","3037","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1245","3037","1246","3041","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1246","3041","1247","3043","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1247","3043","1248","3046","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1249","3047","1250","3051","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1251","3052","1252","3056","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1252","3056","1253","3058","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1253","3058","1254","3060","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1254","3060","1255","3065","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1255","3065","1256","3067","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1256","3067","1257","3069","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1257","3069","1258","3073","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1258","3073","1259","3079","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1259","3079","1260","3092","12","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1261","3093","1262","3095","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1262","3095","1263","3098","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1263","3098","1264","3100","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1264","3100","1265","3103","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1265","3103","1266","3106","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1266","3106","1267","3108","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1267","3108","1268","3110","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1269","3111","1270","3119","7","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1272","3121","1273","3125","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1274","3126","1275","3129","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1278","3132","1279","3134","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1280","3135","1281","3138","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1281","3138","1282","3140","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1283","3141","1284","3144","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1284","3144","1285","3152","7","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1288","3155","1289","3157","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1289","3157","1290","3159","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1290","3159","1291","3161","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1291","3161","1292","3171","9","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1292","3171","1293","3173","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1293","3173","1294","3181","7","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1299","3186","1300","3188","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1301","3189","1302","3194","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1302","3194","1303","3199","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1304","3200","1305","3202","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1305","3202","1306","3204","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1306","3204","1307","3209","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1310","3212","1311","3226","13","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1312","3227","1313","3230","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1315","3232","1316","3235","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1317","3236","1318","3239","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1318","3239","1319","3241","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1321","3243","1322","3249","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1323","3250","1324","3255","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1326","3257","1327","3259","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1329","3261","1330","3264","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1330","3264","1331","3267","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1331","3267","1332","3269","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1332","3269","1333","3271","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1333","3271","1334","3273","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1334","3273","1335","3497","223","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1335","3497","1336","3499","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1337","3500","1338","3504","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1339","3505","1340","3508","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1342","3510","1343","3512","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1343","3512","1344","3514","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1344","3514","1345","3517","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1345","3517","1346","3519","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1347","3520","1348","3523","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1352","3527","1353","3531","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1353","3531","1354","3534","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1354","3534","1355","3536","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1359","3540","1360","3544","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1363","3547","1364","3549","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1364","3549","1365","3558","8","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1368","3561","1369","3563","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1370","3564","1371","3566","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1375","3570","1376","3574","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1377","3575","1378","3577","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1380","3579","1381","3584","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1381","3584","1382","3587","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1384","3589","1385","3592","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1385","3592","1386","3596","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1386","3596","1387","3599","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1393","3605","1394","3607","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1394","3607","1395","3610","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1395","3610","1396","3612","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1398","3614","1399","3616","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1400","3617","1401","3619","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1401","3619","1402","3621","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1403","3622","1404","3625","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1409","3630","1410","3634","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1410","3634","1411","3639","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1412","3640","1413","3644","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1414","3645","1415","3650","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1418","3653","1419","3656","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1419","3656","1420","3659","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1421","3660","1422","3666","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1422","3666","1423","3671","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1425","3673","1426","3675","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1427","3676","1428","3680","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1428","3680","1429","3682","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1429","3682","1430","3685","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1433","3688","1434","3690","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1434","3690","1435","3879","188","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1435","3879","1436","3881","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1436","3881","1437","3885","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1441","3889","1442","3895","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1442","3895","1443","3898","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1443","3898","1444","3901","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1445","3902","1446","3904","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1446","3904","1447","3907","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1448","3908","1449","3910","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1449","3910","1450","3912","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1450","3912","1451","3916","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1452","3917","1453","3921","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1453","3921","1454","3923","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1454","3923","1455","3925","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1456","3926","1457","3928","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1457","3928","1458","3932","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1458","3932","1459","3934","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1461","3936","1462","3938","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1463","3939","1464","3941","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1467","3944","1468","3948","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1469","3949","1470","3951","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1471","3952","1472","3954","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1472","3954","1473","3956","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1473","3956","1474","3958","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1475","3959","1476","3966","6","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1477","3967","1478","3969","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1479","3970","1480","3978","7","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1481","3979","1482","3981","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1483","3982","1484","3984","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1486","3986","1487","3988","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1492","3993","1493","3995","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1493","3995","1494","3998","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1494","3998","1495","4000","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1496","4001","1497","4006","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1497","4006","1498","4010","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1499","4011","1500","4013","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1501","4014","1502","4020","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1502","4020","1503","4022","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1503","4022","1504","4025","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1504","4025","1505","4028","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1509","4032","1510","4034","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1516","4040","1517","4042","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1517","4042","1518","4052","9","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1520","4054","1521","4058","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1521","4058","1522","4060","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1522","4060","1523","4064","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1523","4064","1524","4068","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1525","4069","1526","4072","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1527","4073","1528","4078","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1531","4081","1532","4084","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1532","4084","1533","4086","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1533","4086","1534","4091","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1534","4091","1535","4330","238","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1536","4331","1537","4333","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1537","4333","1538","4335","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1539","4336","1540","4342","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1540","4342","1541","4349","6","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1541","4349","1542","4351","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1545","4354","1546","4356","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1549","4359","1550","4362","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1552","4364","1553","4369","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1555","4371","1556","4375","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1557","4376","1558","4378","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1558","4378","1559","4380","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1569","4390","1570","4392","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1573","4395","1574","4400","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1575","4401","1576","4406","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1576","4406","1577","4409","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1577","4409","1578","4414","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1579","4415","1580","4421","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1580","4421","1581","4426","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1581","4426","1582","4429","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1585","4432","1586","4435","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1590","4439","1591","4444","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1591","4444","1592","4447","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1592","4447","1593","4449","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1594","4450","1595","4455","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1595","4455","1596","4457","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1600","4461","1601","4463","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1606","4468","1607","4471","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1607","4471","1608","4474","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1612","4478","1613","4480","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1613","4480","1614","4482","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1615","4483","1616","4487","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1617","4488","1618","4490","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1618","4490","1619","4492","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
