result_id,study,trial_id,comparison_id,intervention,comparator,modality,comparator_class,family,outcome,window,population,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,unit,data_type,source_location,source_quote,source_pdf,source_sha256,source_qc,legacy_eligibility,decision,rationale,models,factor,model_id,measure,construct,role,analysis_unit,yi,vi,comparator_class_v34,comparator_adjudication,continuity_correction
V33-OD-0052,Yang 2024,Yang_2024,YANG24_EA_vs_UC_MORPH24,Perioperative EA + usual care,Usual care,EA,usual_care,Opioid consumption,Morphine use via IV PCA,First 24 h / POD1,Outcome-specific analyzed population,90.0,90.0,43.7,4.7,44.0,4.9,,,mg morphine,Mean/SD,Table 3 / Morphine use on POD1,,TEAS EA Verification/Source PDFs/covidence_1930_full_article.pdf,6c2160c1111226035fb3a46cd41746f84d6f420d24c10b329cffcf82e1c8580f,All 180 randomized participants retained in ITT; open-label patients but objective PCA drug-use record,INCLUDE,SENSITIVITY,Source construct/window/contrast reviewed; direct data admitted.,opioid24_EA_usual_expanded,1,opioid24_EA_usual_expanded,MD,device_or_systemic_opioid_0_24h,SENSITIVITY,mg IVMME,-0.29999999999999716,0.5122222222222224,,,
V33-OD-0006+V33-OD-0007,Lin 2002,Lin_2002,COMBINED_COMPATIBLE_ACTIVE_ARMS,100-Hz EA,Sham EA,EA,sham,Opioid consumption,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),Outcome-specific analyzed population,50.0,25.0,18.4,13.1800096001947,30.2,14.4,,,mg morphine,Mean/SD,Table 2 | Table 2,,TEAS EA Verification/Source PDFs/covidence_951_lin_2002.pdf,3269060aad01eab541c8f7a29ae1088b784936d22b0384e8797f905da1a6550d,First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported,INCLUDE,SENSITIVITY,Source construct/window/contrast reviewed; direct data admitted.,opioid_partial_EA_sham,1,opioid_partial_EA_sham,MD,PCA_partial_1_to_24h,SENSITIVITY,mg IV morphine,-11.8,11.76865306122449,,,
V33-OD-0004+V33-OD-0005,Lin 2002,Lin_2002,COMBINED_COMPATIBLE_ACTIVE_ARMS,100-Hz EA,Untreated control,EA,usual_care,Opioid consumption,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),Outcome-specific analyzed population,50.0,25.0,18.4,13.1800096001947,38.1,16.0,,,mg morphine,Mean/SD,Table 2 | Table 2,,TEAS EA Verification/Source PDFs/covidence_951_lin_2002.pdf,3269060aad01eab541c8f7a29ae1088b784936d22b0384e8797f905da1a6550d,First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported,INCLUDE,SENSITIVITY,Source construct/window/contrast reviewed; direct data admitted.,opioid_partial_EA_usual,1,opioid_partial_EA_usual,MD,PCA_partial_1_to_24h,SENSITIVITY,mg IV morphine,-19.700000000000003,13.71425306122449,CONTROL_TYPE_REVIEW_REQUIRED,"Lin 2002: ""Group I received neither needle insertion nor electric stimulation (control).""",
V33-OD-0184+V33-OD-0185,Lee 2011,Lee_2011,COMBINED_COMPATIBLE_ACTIVE_ARMS,Low-frequency dense-sparse SSP,Sham SSP,TEAS,sham,Opioid consumption,Cumulative IV PCA morphine delivered,First 24 postoperative hours,Outcome-specific analyzed population,22.0,12.0,30.299090909090907,8.339820090037863,34.2,6.4,,,mg IV morphine,Mean/SD,Table 8 / total morphine delivered | Table 8 / total morphine delivered,,retrieved_pdfs/049_lee_2011.pdf,7ccfcd9d5a6cb8d3957f2666285774d528469a929b619a9e28a7c2b56ca36fe5,Two of 12 low-frequency participants discontinued because they could not complete VAS; publication analyzed 47/49 with no ITT,INCLUDE,SENSITIVITY,Lee Table8 excludes recovery-room doses; combine low/high arms; sham interval sum differs fromTable8.,opioid_partial_TEAS_sham,1,opioid_partial_TEAS_sham,MD,PCA_partial_1_to_24h,SENSITIVITY,mg IV morphine,-3.9009090909090958,6.574815112160568,,,
V33-OD-0107+V33-OD-0108,Sim 2002,Sim_2002,COMBINED_COMPATIBLE_ACTIVE_ARMS,Preoperative EA,Placebo EA,EA,sham,Opioid consumption,Cumulative postoperative IV PCA morphine,0-24 h,Outcome-specific analyzed population,60.0,30.0,0.55,0.23343419934475926,0.68,0.38,,,mg/kg morphine,Mean/SD,Figure 4 / cumulative 24-h morphine | Figure 4 / cumulative 24-h morphine,,TEAS EA Verification/Source PDFs/covidence_952_full_article.pdf,1cf418faabb4104db030b3f0b0196783cd6198d2ff5ed51c539c88ca51e6bd8a,Do not convert mg/kg to absolute mg using group mean body weight; aggregate means cannot reconstruct individual absolute dose,INCLUDE,SENSITIVITY,Source construct/window/contrast reviewed; direct data admitted.,opioid24_EA_sham_weight_normalized,1,opioid24_EA_sham_weight_normalized,MD,PCA_morphine_0_24h_weight_normalized,SENSITIVITY,mg/kg IV morphine,-0.13,0.005721525423728813,,,
V33-OD-0016,Coura 2011,Coura_2011,COURA11_EA_vs_SHAM,Preoperative EA,Sham stimulation,EA,sham,Opioid consumption,Cumulative fentanyl,First 24 h postoperatively,Outcome-specific analyzed population,13.0,9.0,13.1,2.2,16.3,1.6,,,µg/kg fentanyl,Mean/SD,Published cumulative first-24-h fentanyl result,,TEAS EA Verification/Source PDFs/covidence_819_full_article.pdf,4e6e6512dd139c7b914b56c3b22b6c05eb6c884675c03db02a924eec5a6f7be6,10/32 post-randomization exclusions; supplemental morphine/fentanyl inclusion unclear,INCLUDE,SENSITIVITY,Source construct/window/contrast reviewed; direct data admitted.,opioid24_EA_sham_fentanyl_per_kg,1,opioid24_EA_sham_fentanyl_per_kg,MD,fentanyl_0_24h_weight_normalized,SENSITIVITY,µg/kg fentanyl,-3.200000000000001,0.6567521367521368,,,
V33-OD-0027,Zhou 2025,Zhou_2025,ZHOU25_TEAS_vs_SHAM_PONV,PACU TEAS,Sham/no current,TEAS,sham,PONV,PONV incidence,POD1,Outcome-specific analyzed population,48.0,49.0,,,,,10.0,19.0,participants,Events/total,"Table 4, p8",,TEAS EA Verification/Source PDFs/105119.pdf,d9bf76bd7e244dd4513f686ee9be168122d8db4ced699a7f881f93237b3cb52b,Participant sensory blinding uncertain,INCLUDE,INCLUDE,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,ponv24_TEAS_sham,1,ponv24_TEAS_sham,RR,composite_PONV_0_24h,ADDITIONAL,risk ratio,-0.6212345989696589,0.11139008234872896,,,0
V33-OD-0033,Zheng 2025,Zheng_2025,ZHENG25_TEAS_vs_SHAM_PONV,Perioperative TEAS,Sham/no current,TEAS,sham,PONV,Any PONV,Within 24 h postoperatively,Outcome-specific analyzed population,42.0,43.0,,,,,18.0,29.0,participants,Events/total,Primary outcome / 24-h PONV result,,TEAS EA Verification/Source PDFs/109499.pdf,a99722242c4b1800916d66613b5a0ed223a91f853e14ecce929740eb91dc466b,Counts 18/42 and 29/43 are reconstructed from reported 42.9% and 67.4%; use percentages as source truth,INCLUDE,INCLUDE,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,ponv24_TEAS_sham,1,ponv24_TEAS_sham,RR,composite_PONV_0_24h,ADDITIONAL,risk ratio,-0.4533935746801152,0.04297297641323303,,,0
V33-OD-0130+V33-OD-0131,Lu 2021,Lu_2021,COMBINED_COMPATIBLE_ACTIVE_ARMS,Combined PC6+CV17 TEAS,Sham/no current,TEAS,sham,PONV,Any PONV,24 h,Outcome-specific analyzed population,388.0,188.0,,,,,94.0,68.0,participants,Events/total,24-h PONV table | 24-h PONV table,,TEAS EA Verification/Source PDFs/covidence_414_full_article.pdf,7f03819dbf9b4b292cfed8ba78be7233349e036cc4f9cb144cfa1e0db17094a7,Use raw event counts; three-arm shared sham comparator,INCLUDE,INCLUDE,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,ponv24_TEAS_sham,1,ponv24_TEAS_sham,RR,composite_PONV_0_24h,ADDITIONAL,risk ratio,-0.40077629969942713,0.017447711701482523,,,0
V33-OD-0168,Liu 2026 (burn),Liu_2026_burn,LIU26BURN_TEAS_vs_SHAM_PONV24,Pre-induction TEAS,Placebo/sham TEAS,TEAS,sham,PONV,Nausea-vomiting,Through POD1 / approximately 24 h,Outcome-specific analyzed population,43.0,43.0,,,,,7.0,16.0,participants,Events/total,Secondary postoperative outcomes,,TEAS EA Verification/Source PDFs/covidence_48_verified.pdf,ad454ee8b62ea93e4001edd3f7e8329ea09a0caaa10204d00e93b2f28891200d,Two different P-values are printed for the same result,INCLUDE,INCLUDE,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,ponv24_TEAS_sham,1,ponv24_TEAS_sham,RR,composite_PONV_0_24h,ADDITIONAL,risk ratio,-0.8266785731844678,0.15884551495016613,,,0
V33-OD-0195,Jiang 2026,Jiang_2026,JIANG26_TEAS_vs_SHAM_PONV24,Perioperative TEAS,Sham/no current,TEAS,sham,PONV,PONV incidence,Within 24 h,Outcome-specific analyzed population,294.0,293.0,,,,,44.0,67.0,participants,Events/total,24-h PONV result,,TEAS EA Verification/Source PDFs/study_4_Jiang_2026.pdf,a980f1476ff869174b7b605dbceff078e5885e02049ca2ea0b95cc19e2a5ac66,Use 44/294 vs 67/293; do not relabel 587 as randomized/ITT,INCLUDE,INCLUDE,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,ponv24_TEAS_sham,1,ponv24_TEAS_sham,RR,composite_PONV_0_24h,ADDITIONAL,risk ratio,-0.4239101437943192,0.030838316034106947,,,0
V33-OD-0215,He 2026 (hepatectomy/JIS),He_2026_hepatectomy_JIS,HEJIS26_TEAS_vs_CTRL_PONV24,Intraoperative PC6 TEAS,No-current PC6 control,TEAS,sham,PONV,PONV incidence,0-24 h,Outcome-specific analyzed population,80.0,79.0,,,,,19.0,21.0,participants,Events/total,Primary PONV outcome / mITT,,TEAS EA Verification/Source PDFs/covidence_25_verified.pdf,4fc22447f980bacde9572ec5b1998318f5c4c38aedd82b7809644644e00d7e96,Primary trial outcome; no meaningful between-group difference,INCLUDE,INCLUDE,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,ponv24_TEAS_sham,1,ponv24_TEAS_sham,RR,composite_PONV_0_24h,ADDITIONAL,risk ratio,-0.1126622407638426,0.07509239871831477,,,0
V33-OD-0257,Chen 2015,Chen_2015,CHEN15Q_TEAS_vs_CTRL_PONV24,Preoperative TEAS,Electrodes/device with no stimulation,TEAS,sham,PONV,PONV incidence,0-24 h,Outcome-specific analyzed population,41.0,42.0,,,,,10.0,26.0,participants,Events/total,Table 3 / PONV,,037_chen_2015_thyroidectomy_lund.pdf,60361dc28f099a330d13fe98c9e96d8f94334920f0eaffd65c450ffd6dc87bfc,Use analyzed denominators 41 and 42.,INCLUDE,INCLUDE,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,ponv24_TEAS_sham,1,ponv24_TEAS_sham,RR,composite_PONV_0_24h,ADDITIONAL,risk ratio,-0.931413893448376,0.09026177074957564,,,0
V33-OD-0261,Chen 2015 (Hyperalgesia),Chen_2015_Hyperalgesia,CHEN15H_TEAS_vs_SHAM_PONV24,Preoperative TEAS,Electrodes/no-current sham,TEAS,sham,PONV,PONV incidence,0-24 h,Outcome-specific analyzed population,29.0,30.0,,,,,5.0,13.0,participants,Events/total,Table 2 / PONV,,040_chen_2015_hyperalgesia_lund.pdf,88719bd172fa29650c9503944c2e6f7cf083d1dac34c978d8f0d2ddf12b7d2ba,Use 29 analyzed TEAS and 30 control; one TEAS protocol-breach exclusion.,INCLUDE,INCLUDE,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,ponv24_TEAS_sham,1,ponv24_TEAS_sham,RR,composite_PONV_0_24h,ADDITIONAL,risk ratio,-0.9216098933517549,0.20910698496905394,,,0
V33-OD-0276,Gao 2022,Gao_2022,GAO22_TEAS_vs_SHAM_PONV24,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,TEAS,sham,PONV,Any postoperative nausea and/or retching and/or vomiting,0-24 h,Outcome-specific analyzed population,827.0,828.0,,,,,243.0,283.0,participants with PONV,Events/total,Table 3 / primary 24 h PONV outcome,,TEAS EA Verification/Source PDFs/pdf-2.pdf,5cfa6412264e74d7e713676f049fb116278621263c2a13a84c82c48084231492,Use raw events/total for unadjusted RR. The composite includes subjective nausea and patients were not fully blinded to stimulation sensation; outcome-specific RoB may be higher than for the objective opioid result.,INCLUDE,INCLUDE,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,ponv24_TEAS_sham,1,ponv24_TEAS_sham,RR,composite_PONV_0_24h,ADDITIONAL,risk ratio,-0.15117699494112086,0.005231875930637845,,,0
AUDIT-0359,Yu 2020,Yu_2020,V34_B4_040,Preoperative TEAS,Control/no current (electrodes applied),TEAS,sham,PONV,Any nausea and/or vomiting,0–24 h,Intention-to-treat; all randomized participants analyzed,30.0,30.0,,,,,7.0,17.0,participants,Events/total,"Trials 2020;21:43, pp.5–7; Table 3 + Results","PONV: control 17/30 (56.7%) vs TEAS 7/30 (23.3%), P<0.01.",TEAS EA Verification/Source PDFs/s13063-019-3892-4.pdf,12fbd503870f7f12216ff5f2544b159c66fecd557d4838bcabceec1aa151fb69,NOT REPORTED,INCLUDE,INCLUDE,0–24h or POD1 cumulative adverse-event reporting; Jiang PP population explicit. Lu two active protocols combined.,ponv24_TEAS_sham,1,ponv24_TEAS_sham,RR,composite_PONV_0_24h,ADDITIONAL,risk ratio,-0.8873031950009027,0.13501400560224092,,,0
V33-OD-0027,Zhou 2025,Zhou_2025,ZHOU25_TEAS_vs_SHAM_PONV,PACU TEAS,Sham/no current,TEAS,sham,PONV,PONV incidence,POD1,Outcome-specific analyzed population,48.0,49.0,,,,,10.0,19.0,participants,Events/total,"Table 4, p8",,TEAS EA Verification/Source PDFs/105119.pdf,d9bf76bd7e244dd4513f686ee9be168122d8db4ced699a7f881f93237b3cb52b,Participant sensory blinding uncertain,INCLUDE,SENSITIVITY,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,ponv24_TEAS_sham_point_window_sensitivity,1,ponv24_TEAS_sham_point_window_sensitivity,RR,PONV_24h_including_point_window_uncertain,SENSITIVITY,risk ratio,-0.6212345989696589,0.11139008234872896,,,0
V33-OD-0033,Zheng 2025,Zheng_2025,ZHENG25_TEAS_vs_SHAM_PONV,Perioperative TEAS,Sham/no current,TEAS,sham,PONV,Any PONV,Within 24 h postoperatively,Outcome-specific analyzed population,42.0,43.0,,,,,18.0,29.0,participants,Events/total,Primary outcome / 24-h PONV result,,TEAS EA Verification/Source PDFs/109499.pdf,a99722242c4b1800916d66613b5a0ed223a91f853e14ecce929740eb91dc466b,Counts 18/42 and 29/43 are reconstructed from reported 42.9% and 67.4%; use percentages as source truth,INCLUDE,SENSITIVITY,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,ponv24_TEAS_sham_point_window_sensitivity,1,ponv24_TEAS_sham_point_window_sensitivity,RR,PONV_24h_including_point_window_uncertain,SENSITIVITY,risk ratio,-0.4533935746801152,0.04297297641323303,,,0
V33-OD-0130+V33-OD-0131,Lu 2021,Lu_2021,COMBINED_COMPATIBLE_ACTIVE_ARMS,Combined PC6+CV17 TEAS,Sham/no current,TEAS,sham,PONV,Any PONV,24 h,Outcome-specific analyzed population,388.0,188.0,,,,,94.0,68.0,participants,Events/total,24-h PONV table | 24-h PONV table,,TEAS EA Verification/Source PDFs/covidence_414_full_article.pdf,7f03819dbf9b4b292cfed8ba78be7233349e036cc4f9cb144cfa1e0db17094a7,Use raw event counts; three-arm shared sham comparator,INCLUDE,SENSITIVITY,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,ponv24_TEAS_sham_point_window_sensitivity,1,ponv24_TEAS_sham_point_window_sensitivity,RR,PONV_24h_including_point_window_uncertain,SENSITIVITY,risk ratio,-0.40077629969942713,0.017447711701482523,,,0
V33-OD-0168,Liu 2026 (burn),Liu_2026_burn,LIU26BURN_TEAS_vs_SHAM_PONV24,Pre-induction TEAS,Placebo/sham TEAS,TEAS,sham,PONV,Nausea-vomiting,Through POD1 / approximately 24 h,Outcome-specific analyzed population,43.0,43.0,,,,,7.0,16.0,participants,Events/total,Secondary postoperative outcomes,,TEAS EA Verification/Source PDFs/covidence_48_verified.pdf,ad454ee8b62ea93e4001edd3f7e8329ea09a0caaa10204d00e93b2f28891200d,Two different P-values are printed for the same result,INCLUDE,SENSITIVITY,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,ponv24_TEAS_sham_point_window_sensitivity,1,ponv24_TEAS_sham_point_window_sensitivity,RR,PONV_24h_including_point_window_uncertain,SENSITIVITY,risk ratio,-0.8266785731844678,0.15884551495016613,,,0
V33-OD-0195,Jiang 2026,Jiang_2026,JIANG26_TEAS_vs_SHAM_PONV24,Perioperative TEAS,Sham/no current,TEAS,sham,PONV,PONV incidence,Within 24 h,Outcome-specific analyzed population,294.0,293.0,,,,,44.0,67.0,participants,Events/total,24-h PONV result,,TEAS EA Verification/Source PDFs/study_4_Jiang_2026.pdf,a980f1476ff869174b7b605dbceff078e5885e02049ca2ea0b95cc19e2a5ac66,Use 44/294 vs 67/293; do not relabel 587 as randomized/ITT,INCLUDE,SENSITIVITY,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,ponv24_TEAS_sham_point_window_sensitivity,1,ponv24_TEAS_sham_point_window_sensitivity,RR,PONV_24h_including_point_window_uncertain,SENSITIVITY,risk ratio,-0.4239101437943192,0.030838316034106947,,,0
V33-OD-0215,He 2026 (hepatectomy/JIS),He_2026_hepatectomy_JIS,HEJIS26_TEAS_vs_CTRL_PONV24,Intraoperative PC6 TEAS,No-current PC6 control,TEAS,sham,PONV,PONV incidence,0-24 h,Outcome-specific analyzed population,80.0,79.0,,,,,19.0,21.0,participants,Events/total,Primary PONV outcome / mITT,,TEAS EA Verification/Source PDFs/covidence_25_verified.pdf,4fc22447f980bacde9572ec5b1998318f5c4c38aedd82b7809644644e00d7e96,Primary trial outcome; no meaningful between-group difference,INCLUDE,SENSITIVITY,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,ponv24_TEAS_sham_point_window_sensitivity,1,ponv24_TEAS_sham_point_window_sensitivity,RR,PONV_24h_including_point_window_uncertain,SENSITIVITY,risk ratio,-0.1126622407638426,0.07509239871831477,,,0
V33-OD-0257,Chen 2015,Chen_2015,CHEN15Q_TEAS_vs_CTRL_PONV24,Preoperative TEAS,Electrodes/device with no stimulation,TEAS,sham,PONV,PONV incidence,0-24 h,Outcome-specific analyzed population,41.0,42.0,,,,,10.0,26.0,participants,Events/total,Table 3 / PONV,,037_chen_2015_thyroidectomy_lund.pdf,60361dc28f099a330d13fe98c9e96d8f94334920f0eaffd65c450ffd6dc87bfc,Use analyzed denominators 41 and 42.,INCLUDE,SENSITIVITY,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,ponv24_TEAS_sham_point_window_sensitivity,1,ponv24_TEAS_sham_point_window_sensitivity,RR,PONV_24h_including_point_window_uncertain,SENSITIVITY,risk ratio,-0.931413893448376,0.09026177074957564,,,0
V33-OD-0261,Chen 2015 (Hyperalgesia),Chen_2015_Hyperalgesia,CHEN15H_TEAS_vs_SHAM_PONV24,Preoperative TEAS,Electrodes/no-current sham,TEAS,sham,PONV,PONV incidence,0-24 h,Outcome-specific analyzed population,29.0,30.0,,,,,5.0,13.0,participants,Events/total,Table 2 / PONV,,040_chen_2015_hyperalgesia_lund.pdf,88719bd172fa29650c9503944c2e6f7cf083d1dac34c978d8f0d2ddf12b7d2ba,Use 29 analyzed TEAS and 30 control; one TEAS protocol-breach exclusion.,INCLUDE,SENSITIVITY,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,ponv24_TEAS_sham_point_window_sensitivity,1,ponv24_TEAS_sham_point_window_sensitivity,RR,PONV_24h_including_point_window_uncertain,SENSITIVITY,risk ratio,-0.9216098933517549,0.20910698496905394,,,0
V33-OD-0276,Gao 2022,Gao_2022,GAO22_TEAS_vs_SHAM_PONV24,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,TEAS,sham,PONV,Any postoperative nausea and/or retching and/or vomiting,0-24 h,Outcome-specific analyzed population,827.0,828.0,,,,,243.0,283.0,participants with PONV,Events/total,Table 3 / primary 24 h PONV outcome,,TEAS EA Verification/Source PDFs/pdf-2.pdf,5cfa6412264e74d7e713676f049fb116278621263c2a13a84c82c48084231492,Use raw events/total for unadjusted RR. The composite includes subjective nausea and patients were not fully blinded to stimulation sensation; outcome-specific RoB may be higher than for the objective opioid result.,INCLUDE,SENSITIVITY,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,ponv24_TEAS_sham_point_window_sensitivity,1,ponv24_TEAS_sham_point_window_sensitivity,RR,PONV_24h_including_point_window_uncertain,SENSITIVITY,risk ratio,-0.15117699494112086,0.005231875930637845,,,0
AUDIT-0359,Yu 2020,Yu_2020,V34_B4_040,Preoperative TEAS,Control/no current (electrodes applied),TEAS,sham,PONV,Any nausea and/or vomiting,0–24 h,Intention-to-treat; all randomized participants analyzed,30.0,30.0,,,,,7.0,17.0,participants,Events/total,"Trials 2020;21:43, pp.5–7; Table 3 + Results","PONV: control 17/30 (56.7%) vs TEAS 7/30 (23.3%), P<0.01.",TEAS EA Verification/Source PDFs/s13063-019-3892-4.pdf,12fbd503870f7f12216ff5f2544b159c66fecd557d4838bcabceec1aa151fb69,NOT REPORTED,INCLUDE,SENSITIVITY,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,ponv24_TEAS_sham_point_window_sensitivity,1,ponv24_TEAS_sham_point_window_sensitivity,RR,PONV_24h_including_point_window_uncertain,SENSITIVITY,risk ratio,-0.8873031950009027,0.13501400560224092,,,0
AUDIT-0127,Lu 2022,Lu_2022,V34_B1_126,TEAS,Control,TEAS,sham,PONV,PONV incidence,24 h after surgery,Available-case,47.0,47.0,,,,,30.0,22.0,participants,Events/total,p. 2874; Table 3,"24 h after surgery: PONV, n (%) 30 ... 22 ... 0.17",TEAS EA Verification/Source PDFs/getfile.php-3.pdf,83439ead7b747aa55a3be6aab468dc4350619651c2dfd0c516ffbf47d7b16f7c,The paper reports these as PONV at each assessment time; it does not state that these are cumulative non-overlapping intervals.,INCLUDE,SENSITIVITY,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,ponv24_TEAS_sham_point_window_sensitivity,1,ponv24_TEAS_sham_point_window_sensitivity,RR,PONV_24h_including_point_window_uncertain,SENSITIVITY,risk ratio,0.3101549283038396,0.03623468729851709,,,0
AUDIT-0077,Yang 2020,Yang_2020,V34_B1_076,EA group,UC group,EA,usual_care,PONV,Nausea incidence,0–24 h after surgery,Available-case,29.0,28.0,,,,,8.0,8.0,participants,Events/total,e920648-6; Table 4,0–24 h after surgery: Nausea [incidence; n (%)] 8 ... 8 ... 0.934,TEAS EA Verification/Source PDFs/covidence_464_verified.pdf,74195fd297db01dd46bc70ce30960d6ada974359a832f17219120a2cb8491d14,NOT REPORTED,INCLUDE,INCLUDE,Source construct/window/contrast reviewed; direct data admitted.,nausea24_EA_usual,1,nausea24_EA_usual,RR,nausea_0_24h,ADDITIONAL,risk ratio,-0.03509131981127006,0.17980295566502463,,,0
V34-OD-0759,Yang 2024,Yang_2024,YANG24_EA_vs_UC_NAUSEA24,Perioperative EA + usual care,Usual care,EA,usual_care,PONV,Postoperative nausea,0-24 h after surgery,Intention-to-treat (90/90 retained),90.0,90.0,,,,,24.0,40.0,participants,Events/total,Table 3 (0-24 h after surgery); Methods (recording windows); Results text,"Table 3, ""0-24 h after surgery"": Incidence of Nausea [n(%)] 24(26.7) EA vs 40(44.4) UC, P=0.013. Methods: ""Incidence of PON and POV ... were recorded at 0-24 h, 24-48 h and 48-72 h after surgery.""",TEAS EA Verification/Source PDFs/covidence_1930_full_article.pdf,6c2160c1111226035fb3a46cd41746f84d6f420d24c10b329cffcf82e1c8580f,No sham acupuncture; nausea is a subjective endpoint reported by unblinded participants,INCLUDE,INCLUDE,Source construct/window/contrast reviewed; direct data admitted.,nausea24_EA_usual,1,nausea24_EA_usual,RR,nausea_0_24h,ADDITIONAL,risk ratio,-0.5108256237659907,0.04444444444444444,,,0
V33-OD-0055,Yang 2024,Yang_2024,YANG24_EA_vs_UC_VOMIT,Perioperative EA + usual care,Usual care,EA,usual_care,PONV,Postoperative vomiting,0-24 h after surgery,Outcome-specific analyzed population,90.0,90.0,,,,,12.0,25.0,participants,Events/total,Secondary outcomes / PONV,,TEAS EA Verification/Source PDFs/covidence_1930_full_article.pdf,6c2160c1111226035fb3a46cd41746f84d6f420d24c10b329cffcf82e1c8580f,No sham acupuncture; patient knowledge could affect subjective nausea but vomiting is more objective,INCLUDE,INCLUDE,Source construct/window/contrast reviewed; direct data admitted.,vomiting24_EA_usual,1,vomiting24_EA_usual,RR,vomiting_0_24h,ADDITIONAL,risk ratio,-0.7339691750802004,0.10111111111111111,,,0
AUDIT-0078,Yang 2020,Yang_2020,V34_B1_077,EA group,UC group,EA,usual_care,PONV,Vomiting incidence,0–24 h after surgery,Available-case,29.0,28.0,,,,,5.0,7.0,participants,Events/total,e920648-6; Table 4,0–24 h after surgery: Vomiting [incidence; n (%)] 5 ... 7 ... 0.473,TEAS EA Verification/Source PDFs/covidence_464_verified.pdf,74195fd297db01dd46bc70ce30960d6ada974359a832f17219120a2cb8491d14,NOT REPORTED,INCLUDE,INCLUDE,Source construct/window/contrast reviewed; direct data admitted.,vomiting24_EA_usual,1,vomiting24_EA_usual,RR,vomiting_0_24h,ADDITIONAL,risk ratio,-0.37156355643248296,0.2726600985221675,,,0
V33-OD-0371,Yao 2015,Yao_2015,YAO15_TEAS_vs_CTRL_NAUSEA24,Preoperative TEAS,Control/no current,TEAS,sham,PONV,Postoperative nausea,0-24 h postoperative,Outcome-specific analyzed population,35.0,36.0,,,,,17.0,26.0,participants,Events/total,Table 3 (Nausea),,retrieved_pdfs/039_yao_2015.pdf,769574c60b55724c5f5d1bb988ebb6cbd252be9b95734e3b11bf61bf5ae9272f,Reported as 17 (48.6%) vs 26 (72.2%); denominators confirmed from Table 3 headers.,INCLUDE,INCLUDE,Source construct/window/contrast reviewed; direct data admitted.,nausea24_TEAS_sham,1,nausea24_TEAS_sham,RR,nausea_0_24h,ADDITIONAL,risk ratio,-0.39671231699856957,0.040935861524096825,,,0
