priority,study,outcome,timepoint,outcome_family,rows,data_type,analysed_n_i,analysed_n_c,randomised_n_i,randomised_n_c,intervention,comparator,source_location,source_qc,eligibility,status
2 - not currently pooled,Liang 2021,PONV occurrence,End of surgery (T5),PONV,1,Events/total,35.0,35.0,37.0,38.0,Preoperative TEAS,Control/no stimulation,"Evidence-Based Complementary and Alternative Medicine 2021, Table 4; Table 4",The table labels the row simply 'PONV'; methods use a nausea verbal scale description.,HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liang 2021,PONV occurrence,PACU discharge (T9),PONV,1,Events/total,35.0,35.0,37.0,38.0,Preoperative TEAS,Control/no stimulation,"Evidence-Based Complementary and Alternative Medicine 2021, Table 4; Table 4",The table labels the row simply 'PONV'; methods use a nausea verbal scale description.,HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liang 2021,PONV occurrence,24 h (T11),PONV,1,Events/total,35.0,35.0,37.0,38.0,Preoperative TEAS,Control/no stimulation,"Evidence-Based Complementary and Alternative Medicine 2021, Table 4; Table 4",The table labels the row simply 'PONV'; methods use a nausea verbal scale description.,HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liang 2021,PONV occurrence,48 h (T12),PONV,1,Events/total,35.0,35.0,37.0,38.0,Preoperative TEAS,Control/no stimulation,"Evidence-Based Complementary and Alternative Medicine 2021, Table 4; Table 4",The table labels the row simply 'PONV'; methods use a nausea verbal scale description.,HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liang 2021,Pain event as reported (threshold/definition not stated),End of surgery (T5),Pain,1,Events/total,35.0,35.0,37.0,38.0,Preoperative TEAS,Control/no stimulation,"Evidence-Based Complementary and Alternative Medicine 2021, Table 4; Table 4","Methods describe a 0–4 verbal rating scale, but Table 4 reports only a number/proportion in a row labelled 'Pain' without specifying which threshold constitutes an event. Do not pool as a defined pain incidence until clarified.",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liang 2021,Pain event as reported (threshold/definition not stated),PACU discharge (T9),Pain,1,Events/total,35.0,35.0,37.0,38.0,Preoperative TEAS,Control/no stimulation,"Evidence-Based Complementary and Alternative Medicine 2021, Table 4; Table 4","Methods describe a 0–4 verbal rating scale, but Table 4 reports only a number/proportion in a row labelled 'Pain' without specifying which threshold constitutes an event. Do not pool as a defined pain incidence until clarified.",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liang 2021,Pain event as reported (threshold/definition not stated),24 h (T11),Pain,1,Events/total,35.0,35.0,37.0,38.0,Preoperative TEAS,Control/no stimulation,"Evidence-Based Complementary and Alternative Medicine 2021, Table 4; Table 4","Methods describe a 0–4 verbal rating scale, but Table 4 reports only a number/proportion in a row labelled 'Pain' without specifying which threshold constitutes an event. Do not pool as a defined pain incidence until clarified.",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liang 2021,Pain event as reported (threshold/definition not stated),48 h (T12),Pain,1,Events/total,35.0,35.0,37.0,38.0,Preoperative TEAS,Control/no stimulation,"Evidence-Based Complementary and Alternative Medicine 2021, Table 4; Table 4","Methods describe a 0–4 verbal rating scale, but Table 4 reports only a number/proportion in a row labelled 'Pain' without specifying which threshold constitutes an event. Do not pool as a defined pain incidence until clarified.",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liang 2021,Postoperative analgesia requirement (metric undefined),Early postoperative period - exact window not stated,Rescue analgesia,1,Reported as value (dispersion); statistic type ambiguous,35,35,37,38,Preoperative TEAS,Control/no stimulation,Table 4; Results 3.3; abstract,"HOLD. The source describes this as 'the number of patients who required extra analgesia', but 3.8 (1.9) and 5.0 (2.9) cannot be a count of patients out of 35 - the wording and the statistic are mutually inconsistent. Unit, metric and time window are all unresolved. Do NOT interpret as mg morphine or MME. Author contact required.",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Lin 2002,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),Opioid consumption,4,Mean/SD,25,25,25,25,100-Hz EA,Untreated control,Table 2,First postoperative hour could include IM pethidine; group-specific pethidine exposure not reported,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2015,Exact cumulative postoperative sufentanil PCIA consumption,0-24 h,Opioid consumption,1,Not reported,44,44,46,46,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Postoperative analgesia methods; no cumulative 0-24 h dose in results,PCIA contained sufentanil 100 µg in 50 mL at 1 mL/h with 0.5-mL patient boluses. Basal infusion alone is not total consumption; cumulative bolus count/dose and total 0-24-h sufentanil are not reported.,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2015,Extubation time,Immediate postoperative recovery,Recovery,1,Mean/SD,44,44,46,46,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Table 2 / clinical recovery from anesthesia,Directly reported recovery-time endpoint; four post-randomization exclusions (2/group).,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2015,Eye-opening time,Immediate postoperative recovery,Recovery,1,Mean/SD,44,44,46,46,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Table 2 / clinical recovery from anesthesia,Directly reported recovery-time endpoint; four post-randomization exclusions (2/group).,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2015,Postoperative VAS pain score,Postoperative day 1,Pain,1,Graph-only continuous data,44,44,46,46,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Figure 2 / Postoperative day 1,Exact Postoperative day 1 mean/SD are shown only in Figure 2; do not infer numeric values from the plot without formal digitization.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2015,Postoperative VAS pain score,Postoperative day 2,Pain,1,Graph-only continuous data,44,44,46,46,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Figure 2 / Postoperative day 2,Exact Postoperative day 2 mean/SD are shown only in Figure 2; do not infer numeric values from the plot without formal digitization.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2015,Postoperative VAS pain score,Postoperative day 3,Pain,1,Graph-only continuous data,44,44,46,46,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Figure 2 / Postoperative day 3,Exact Postoperative day 3 mean/SD are shown only in Figure 2; do not infer numeric values from the plot without formal digitization.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2015,Postoperative nausea incidence,Postoperative day 1,PONV,1,Events/total,44,44,46,46,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Table 3 / Postoperative day 1,The article states nausea/vomiting incidences did not differ significantly between groups; table provides day-labelled event counts without clock-defined ascertainment windows. Use raw events/total.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2015,Postoperative nausea incidence,Postoperative day 2,PONV,1,Events/total,44,44,46,46,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Table 3 / Postoperative day 2,The article states nausea/vomiting incidences did not differ significantly between groups; table provides day-labelled event counts without clock-defined ascertainment windows. Use raw events/total.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2015,Postoperative nausea incidence,Postoperative day 3,PONV,1,Events/total,44,44,46,46,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Table 3 / Postoperative day 3,The article states nausea/vomiting incidences did not differ significantly between groups; table provides day-labelled event counts without clock-defined ascertainment windows. Use raw events/total.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2015,Postoperative vomiting incidence,Postoperative day 1,PONV,1,Events/total,44,44,46,46,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Table 3 / Postoperative day 1,The article states nausea/vomiting incidences did not differ significantly between groups; table provides day-labelled event counts without clock-defined ascertainment windows. Use raw events/total.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2015,Postoperative vomiting incidence,Postoperative day 2,PONV,1,Events/total,44,44,46,46,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Table 3 / Postoperative day 2,The article states nausea/vomiting incidences did not differ significantly between groups; table provides day-labelled event counts without clock-defined ascertainment windows. Use raw events/total.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2015,Postoperative vomiting incidence,Postoperative day 3,PONV,1,Events/total,44,44,46,46,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Table 3 / Postoperative day 3,The article states nausea/vomiting incidences did not differ significantly between groups; table provides day-labelled event counts without clock-defined ascertainment windows. Use raw events/total.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2015,Time to discharge from operating room,Immediate postoperative recovery,Recovery,1,Mean/SD,44,44,46,46,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Table 2 / clinical recovery from anesthesia,Directly reported recovery-time endpoint; four post-randomization exclusions (2/group).,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2015,Time to reorientation,Immediate postoperative recovery,Recovery,1,Mean/SD,44,44,46,46,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Table 2 / clinical recovery from anesthesia,Directly reported recovery-time endpoint; four post-randomization exclusions (2/group).,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2015,Time to spontaneous movement,Immediate postoperative recovery,Recovery,1,Mean/SD,44,44,46,46,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Table 2 / clinical recovery from anesthesia,Directly reported recovery-time endpoint; four post-randomization exclusions (2/group).,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2015,Time to spontaneous respiration after anesthesia,Immediate postoperative recovery,Recovery,1,Mean/SD,44,44,46,46,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Table 2 / clinical recovery from anesthesia,Directly reported recovery-time endpoint; four post-randomization exclusions (2/group).,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2015,Total intraoperative propofol consumption,Intraoperative,Intraoperative anesthetic,1,Mean/SD,44,44,46,46,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Table 2 / intraoperative anesthetics consumption,Objective total propofol dose; four post-randomization exclusions (2/group).,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2021,Cumulative postoperative sufentanil consumption,0-24 h,Opioid consumption,1,Not calculable,50,50,50,50,Perioperative TEAS,Electrodes/no current,Postoperative PCIA section,"Published PCA formulation is ambiguous/implausibly low, successful delivered boluses are not reported, and actual cumulative sufentanil is unavailable",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2021,PCA pump compressions,0-24 h,Opioid demand,1,Mean/SD,50,50,50,50,Perioperative TEAS,Electrodes/no current,24-h PCA compression result,Compressions may represent demands rather than successful boluses; do not convert to sufentanil mass,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2021,VAS at rest,24 h,Pain,1,Mean/SD,50,50,50,50,Perioperative TEAS,Electrodes/no current,Table 2 / 24-h rest VAS,Participant blinding is unclear because active stimulation was maximum tolerated and control received no current,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2021,VAS with coughing,24 h,Pain,1,Mean/SD,50,50,50,50,Perioperative TEAS,Electrodes/no current,Table 2 / 24-h coughing VAS,No evidence of analgesic benefit at 24 h,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2025,Exact cumulative postoperative opioid consumption,0-24 h,Opioid consumption,1,Not reported,38,39,40,40,Perioperative electroacupuncture,Control/sham procedure,Exact 24-h opioid endpoint absent,No source-grounded exact 0-24-h postoperative opioid total is available in the reconciled extraction,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2025,Total sleep time measured by ambulatory sleep recorder,First postoperative night,Sleep quality,1,Median/IQR,38,39,40,40,Perioperative electroacupuncture,Control/sham procedure,Objective sleep monitoring / first night,Objective sleep-recorder endpoint; control electrical-current status is not completely clear in the publication,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2025,VAS pain intensity,24 h,Pain,1,Graph-only continuous data,38,39,40,40,Perioperative electroacupuncture,Control/sham procedure,Figure 2 / 24-h pain,"Figure shows approximately 2/10 in both groups, but exact means/SDs are not numerically reported",GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2026 (ESD),Any rescue IV morphine use,Through 48 h,Rescue opioid use,1,Events/total,58,62,64,65,Perioperative TEAS,Sham-point/no current,Postoperative rescue analgesia,"Morphine was 1 mg IV per administration, but number of administrations and cumulative dose per patient are not reported",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2026 (ESD),Cumulative postoperative morphine consumption,0-24 h,Opioid consumption,1,Not reported,58,62,64,65,Perioperative TEAS,Sham-point/no current,Exact 24-h opioid dose absent,"Binary morphine use is reported, but administration counts and cumulative dose are not",NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2026 (ESD),NRS pain intensity,24 h,Pain,1,Mean/SD,58,62,64,65,Perioperative TEAS,Sham-point/no current,Serial NRS results / 24 h,Active TEAS at maximum tolerated intensity vs sham no current; sensory blinding success was not tested,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2026 (ESD),PONV incidence,Postoperative follow-up,PONV,1,Events/total,58,62,64,65,Perioperative TEAS,Sham-point/no current,Postoperative complication table,Published RR/P-value for PONV are internally inconsistent; use raw 4/58 vs 14/62,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2026 (burn),Any rescue dezocine use,Through POD1,Rescue opioid use,1,Events/total,43,43,44,44,Pre-induction TEAS,Placebo/sham TEAS,Rescue analgesia,All rescue users received one 5-mg IM dezocine dose; no repeat rescue doses were required,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2026 (burn),Complete postoperative opioid/MME exposure,0-24 h,Opioid consumption,1,Not calculable,43,43,44,44,Pre-induction TEAS,Placebo/sham TEAS,Postoperative PCIA section,"PCIA composition is known but bolus volume, basal rate, delivered-volume and successful-delivery counts are not; two opioids are present in the pump",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2026 (burn),Nausea-vomiting,Through POD1 / approximately 24 h,PONV,1,Events/total,43,43,44,44,Pre-induction TEAS,Placebo/sham TEAS,Secondary postoperative outcomes,Two different P-values are printed for the same result,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2026 (burn),Remifentanil consumption,Intraoperative,Intraoperative opioid,1,Median/IQR,43,43,44,44,Pre-induction TEAS,Placebo/sham TEAS,Results / Figure 4,Abstract gives TEAS 0.65 (0.45-1.00) and control 0.90 (0.67-1.23); master uses Results/Figure 4 values and retains source discrepancy,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Liu 2026 (burn),Resting F-VAS pain,24 h,Pain,1,Graph-only continuous data,43,43,44,44,Pre-induction TEAS,Placebo/sham TEAS,Figure 5 / F3 24 h,Exact means/SDs are figure-only; do not infer numeric values from bar heights,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Long 2025,Delirious agitation,Postoperative,Adverse events,1,Events/total,27.0,26.0,30.0,30.0,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),"Injury 56 (2025), Table 6; Table 6",NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Long 2025,Exact cumulative postoperative sufentanil consumption,0-24 h,Opioid consumption,1,Not reported,27,26,30,30,Perioperative electrical acupoint stimulation,Electrodes/no current,Exact 24-h opioid endpoint absent,24-h PCIA volume/compressions are not reported; even 48-h volume cannot be converted exactly to sufentanil mass without body weight,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Long 2025,Extubation time,Immediate postoperative recovery,Functional recovery,1,Mean/SD,27.0,26.0,30.0,30.0,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),"Injury 56 (2025), Table 5 / Results; Table 5",NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Long 2025,Headache and vertigo,Postoperative,Adverse events,1,Events/total,27.0,26.0,30.0,30.0,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),"Injury 56 (2025), Table 6; Table 6",NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Long 2025,Hospital stay,Postoperative hospitalization,Length of stay,1,Mean/SD,27.0,26.0,30.0,30.0,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),"Injury 56 (2025), p. 9; Table 7",NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Long 2025,Hypoxemia,Postoperative,Adverse events,1,Events/total,27.0,26.0,30.0,30.0,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),"Injury 56 (2025), Table 6; Table 6",NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Long 2025,PCIA compression count,48 h,Opioid demand,1,Mean/SD,27,26,30,30,Perioperative electrical acupoint stimulation,Electrodes/no current,Table 7 / Figure 9,Do not translate compression count into delivered sufentanil mass,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Long 2025,PCIA solution consumption,48 h,Opioid demand,1,Mean/SD,27,26,30,30,Perioperative electrical acupoint stimulation,Electrodes/no current,Table 7 / Figure 9,"Reservoir contains 2 µg/kg sufentanil in 100 mL; group body weight is unavailable, so solution volume cannot be converted to group mean opioid mass",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Long 2025,PONV incidence,Postoperative,PONV,1,Events/total,27,26,30,30,Perioperative electrical acupoint stimulation,Electrodes/no current,Adverse events / PONV,Adverse-event percentages elsewhere are internally inconsistent; raw 1/27 vs 8/26 is retained,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Long 2025,Perioperative neurocognitive disorder (PND),POD7,Neurocognitive,1,Published event count + percentage; denominator inconsistent,,,30.0,30.0,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),"Injury 56 (2025), Table 2; Table 2","Table percentages imply denominators C=25 and A=28, whereas study-level analyzed counts elsewhere are C=26 and A=27 and total n=53. Preserve published counts/percentages; do not reconstruct denominators.",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Long 2025,Postoperative hypertension,Postoperative,Adverse events,1,Events/total,27.0,26.0,30.0,30.0,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),"Injury 56 (2025), Table 6; Table 6",NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Long 2025,Postoperative hypotension,Postoperative,Adverse events,1,Events/total,27.0,26.0,30.0,30.0,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),"Injury 56 (2025), Table 6; Table 6",NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Long 2025,Recovery-room stay >30 min,Immediate postoperative recovery,Functional recovery,1,Published percentage,27.0,26.0,30.0,30.0,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),"Injury 56 (2025), Table 5 / Results; Table 5",Raw event counts are not used because the article reports percentages and the study has group-denominator inconsistencies.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Long 2025,Stomach pain and distension,Postoperative,GI adverse event,1,Events/total,27.0,26.0,30.0,30.0,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),"Injury 56 (2025), Table 6; Table 6",NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Long 2025,Tachycardia/bradycardia,Postoperative,Adverse events,1,Events/total,27.0,26.0,30.0,30.0,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),"Injury 56 (2025), Table 6; Table 6",NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Long 2025,VAS pain intensity,24 h,Pain,1,Mean/SD,27,26,30,30,Perioperative electrical acupoint stimulation,Electrodes/no current,Table 7 / Figure 9,Abstract/Results prose gives active 2.65 ± 0.94; Table 7/Figure 9 gives 2.78 ± 0.97. Master uses the directly tabulated Table 7 value and retains discrepancy | V34: Long Table 7 EA 24-h VAS 2.78±0.97; abstract 2.65±0.94. Table values retained; quantitative HOLD pending adjudication.,HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Long 2025,VAS pain intensity,48 h,Pain,1,Mean/SD,27.0,26.0,30.0,30.0,Perioperative electrical acupoint stimulation (Group A),Electrodes/no current control (Group C),"Injury 56 (2025), p. 9; Table 7",NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Lu 2021,Analgesia satisfaction score,By 24 h after surgery,Patient satisfaction,2,Mean/SD,198.0,188.0,198.0,188.0,Single PC6 TEAS,Sham/no current,"Journal of Clinical Anesthesia 74 (2021), Table 3; Table 3",NOT REPORTED,HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Lu 2021,Any PONV,24 h,PONV,2,Events/total,190,188,190,188,Combined PC6+CV17 TEAS,Sham/no current,24-h PONV table,Use raw event counts; three-arm shared sham comparator,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Lu 2021,Cumulative postoperative sufentanil PCA consumption,0-24 h,Opioid consumption,1,Not reported,,,,,TEAS arms,Sham/no current,Postoperative PCA section,PCA opioid is sufentanil but prescription and cumulative 24-h consumption are not reported,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Lu 2021,Demand for rescue parecoxib,0–24 h,Rescue analgesia,2,Events/total,198.0,188.0,198.0,188.0,Single PC6 TEAS,Sham/no current,"Journal of Clinical Anesthesia 74 (2021), Table 3; Table 3 + Results §3.3",INTERNAL SOURCE CONFLICT in reported omnibus P value. Rescue protocol: parecoxib sodium 40 mg for NRS >4.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Lu 2021,NRS among participants reporting chronic pain,3 months,Chronic pain,2,Mean/SD,70.0,75.0,198.0,188.0,Single PC6 TEAS,Sham/no current,"Journal of Clinical Anesthesia 74 (2021), Table 2; Table 2","Subset analysis denominator is the number of participants with chronic pain, not the randomized arm size.",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Lu 2021,NRS among participants reporting chronic pain,6 months,Chronic pain,2,Mean/SD,72.0,65.0,198.0,188.0,Single PC6 TEAS,Sham/no current,"Journal of Clinical Anesthesia 74 (2021), Table 2; Table 2","Subset analysis denominator is the number of participants with chronic pain, not the randomized arm size.",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Lu 2021,NRS at cough,24 h after surgery,Pain,2,Median/IQR,198.0,188.0,198.0,188.0,Single PC6 TEAS,Sham/no current,"Journal of Clinical Anesthesia 74 (2021), pp. 4–6; Table 3 + Results §3.3",INTERNAL SOURCE CONFLICT: Table 3 and Results prose give different omnibus P values. Values are taken from Table 3; both P values are preserved.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Lu 2021,NRS at rest,24 h after surgery,Pain,2,Median/IQR,198.0,188.0,198.0,188.0,Single PC6 TEAS,Sham/no current,"Journal of Clinical Anesthesia 74 (2021), pp. 4–6; Table 3 + Results §3.3",INTERNAL SOURCE CONFLICT: Table 3 and Results prose give different omnibus P values. Values are taken from Table 3; both P values are preserved.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Lu 2021,Nausea incidence,0–24 h,PONV,2,Events/total,198.0,188.0,198.0,188.0,Single PC6 TEAS,Sham/no current,"Journal of Clinical Anesthesia 74 (2021), Table 3; Table 3",NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Lu 2021,PONV severity score,0–24 h,PONV,2,Mean/SD,198.0,188.0,198.0,188.0,Single PC6 TEAS,Sham/no current,"Journal of Clinical Anesthesia 74 (2021), Table 3; Table 3",NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Lu 2021,Post-mastectomy chronic pain incidence,3 months,Chronic pain,2,Events/total,198.0,188.0,198.0,188.0,Single PC6 TEAS,Sham/no current,"Journal of Clinical Anesthesia 74 (2021), Table 2; Table 2",NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Lu 2021,Time to extubation,Immediate postoperative recovery,Functional recovery,2,Mean/SD,198.0,188.0,198.0,188.0,Single PC6 TEAS,Sham/no current,"Journal of Clinical Anesthesia 74 (2021), Table 3; Table 3",NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Lu 2021,Time to first verbal response,Immediate postoperative recovery,Functional recovery,2,Mean/SD,198.0,188.0,198.0,188.0,Single PC6 TEAS,Sham/no current,"Journal of Clinical Anesthesia 74 (2021), Table 3; Table 3",NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Lu 2021,Vomiting incidence,0–24 h,PONV,2,Events/total,198.0,188.0,198.0,188.0,Single PC6 TEAS,Sham/no current,"Journal of Clinical Anesthesia 74 (2021), Table 3; Table 3",NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Lu 2022,Exact cumulative PCA opioid consumption,0-24 h,Opioid consumption,1,Not reported,47,47,50,50,TEAS + ERAS,No-current control + ERAS,Postoperative PCA section,The main article never identifies the PCA drug or dose,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Lu 2022,PCA attempts,24 h,Opioid demand,1,Median/IQR,47,47,50,50,TEAS + ERAS,No-current control + ERAS,PCA table / 24-h attempts,"PCA drug, bolus dose, concentration, basal infusion and lockout are not reported",NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
