Canonical study,Comparison ID,Intervention arm,Comparator arm,Outcome family,Outcome/result,Timepoint/window,Data type,Randomized n intervention,Randomized n comparator,Analyzed n intervention,Analyzed n comparator,Mean intervention,SD intervention,Median intervention,Q1 intervention,Q3 intervention,Events intervention,Mean comparator,SD comparator,Median comparator,Q1 comparator,Q3 comparator,Events comparator,Unit/scale,Reported P,Directly reported?,Derived/converted?,Derived effect measure,Derived effect,Exact 0-24 h postoperative opioid?,Primary opioid meta-analysis eligible?,Other analysis eligibility,Shared-control / multi-arm issue,Source-QC issue,Source location,Source PDF URL,Record status,AF lock IDs,AF target(s),AF endpoint stratum(s),AF reconciliation action(s),AF include strict,AF include sensitivity,AF overall RoB,AF unresolved priority,AF hold/exclude note,AF source-truth result(s)
Tu 2024,TU24_TEAS_vs_SHAM_OPIOID24,Postoperative TEAS,Sham/no current,Opioid consumption,Cumulative rescue tramadol consumption,0-24 h,Not reported,60,60,57,58,,,,,,,,,,,,,mg tramadol,,No,No,,,No,No,Not eligible for continuous 24-h opioid meta-analysis,No,Only number of patients receiving rescue tramadol is reported; cumulative dose is unavailable,Rescue analgesia section,https://drive.google.com/file/d/1xQ9SbXVZblphUrb0-T9xpnAXk-_z5nBX/view?usp=drivesdk,MISSING / CUMULATIVE DOSE NOT REPORTED,,,,,0,0,,,,
Sun 2017,SUN17_TSS_vs_SSS_ACTIVITY24,Preoperative true TEAS only,All-period sham TEAS (SSS),Pain,Activity-evoked VAS,24 h,Median/IQR,95,95,91,90,,,4,4,5,,,,4,3.8,5,,VAS 0-10,<0.001 reported comparisons,Yes,No,,,No,No,Eligible for 24-h movement-pain analysis with multi-arm/shared-control adjustment,Yes,"Four-arm timing trial; sham received 5 min perceptible low-current stimulation, not electrically inert","Primary activity-pain outcome, 24 h",https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Sun 2017,SUN17_TTS_vs_SSS_ACTIVITY24,Preoperative + intraoperative true TEAS,All-period sham TEAS (SSS),Pain,Activity-evoked VAS,24 h,Median/IQR,95,95,91,90,,,4,3,4,,,,4,3.8,5,,VAS 0-10,<0.001 reported comparisons,Yes,No,,,No,No,Eligible for 24-h movement-pain analysis with multi-arm/shared-control adjustment,Yes,"Four-arm timing trial; sham received 5 min perceptible low-current stimulation, not electrically inert","Primary activity-pain outcome, 24 h",https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Sun 2017,SUN17_TST_vs_SSS_ACTIVITY24,Preoperative + postoperative true TEAS,All-period sham TEAS (SSS),Pain,Activity-evoked VAS,24 h,Median/IQR,95,95,89,90,,,3,3,4,,,,4,3.8,5,,VAS 0-10,<0.001 reported comparisons,Yes,No,,,No,No,Eligible for 24-h movement-pain analysis with multi-arm/shared-control adjustment,Yes,"Four-arm timing trial; sham received 5 min perceptible low-current stimulation, not electrically inert","Primary activity-pain outcome, 24 h",https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Sun 2017,SUN17_TSS_vs_SSS_NSAID48,Preoperative true TEAS only,All-period sham TEAS (SSS),Rescue analgesia,Supplemental flurbiprofen axetil requirement,Within 48 h,Published percentage,95,95,91,90,,,,,,,,,,,,,11.0% intervention vs 23.3% SSS,0.020 overall; TST vs SSS significant,Yes,No,,,No,No,Eligible for 48-h non-opioid rescue-analgesia analysis; not an opioid outcome,Yes,Do not convert printed percentages to exact event counts without confirmation,Table 2 / supplemental analgesic requirement,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,SOURCE-VERIFIED / PERCENTAGES ONLY,F-rescue-nonopioid-003,F-rescue-nonopioid,F_rescue_nonopioid,MATCHED,0,1,Some concerns,,,"SSS23.3%, TSS11.0%, TTS15.4%, TST7.9%"
Sun 2017,SUN17_TTS_vs_SSS_NSAID48,Preoperative + intraoperative true TEAS,All-period sham TEAS (SSS),Rescue analgesia,Supplemental flurbiprofen axetil requirement,Within 48 h,Published percentage,95,95,91,90,,,,,,,,,,,,,15.4% intervention vs 23.3% SSS,0.020 overall; TST vs SSS significant,Yes,No,,,No,No,Eligible for 48-h non-opioid rescue-analgesia analysis; not an opioid outcome,Yes,Do not convert printed percentages to exact event counts without confirmation,Table 2 / supplemental analgesic requirement,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,SOURCE-VERIFIED / PERCENTAGES ONLY,F-rescue-nonopioid-003,F-rescue-nonopioid,F_rescue_nonopioid,MATCHED,0,1,Some concerns,,,"SSS23.3%, TSS11.0%, TTS15.4%, TST7.9%"
Sun 2017,SUN17_TST_vs_SSS_NSAID48,Preoperative + postoperative true TEAS,All-period sham TEAS (SSS),Rescue analgesia,Supplemental flurbiprofen axetil requirement,Within 48 h,Published percentage,95,95,89,90,,,,,,,,,,,,,7.9% intervention vs 23.3% SSS,0.020 overall; TST vs SSS significant,Yes,No,,,No,No,Eligible for 48-h non-opioid rescue-analgesia analysis; not an opioid outcome,Yes,Do not convert printed percentages to exact event counts without confirmation,Table 2 / supplemental analgesic requirement,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,SOURCE-VERIFIED / PERCENTAGES ONLY,F-rescue-nonopioid-003,F-rescue-nonopioid,F_rescue_nonopioid,MATCHED,0,1,Some concerns,,,"SSS23.3%, TSS11.0%, TTS15.4%, TST7.9%"
Sun 2017,SUN17_INTRAOP_MORPH_EQUIV,Pre/intraoperative TEAS timing arms,All-period sham TEAS,Intraoperative opioid,Author-defined intraoperative morphine-equivalent exposure,Intraoperative,Study-defined converted metric,95,95,91,90,,,,,,,,,,,,,mg/kg morphine-equivalent,0.303,Yes,Yes,,,No,No,Not directly harmonized to review MME until conversion method is adjudicated,Yes,Values ~1.5-1.6 mg/kg across all four groups; study-specific conversion of sufentanil/remifentanil,Table 2 / intraoperative anesthetic consumption,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,SOURCE-VERIFIED / STUDY-DEFINED CONVERSION,F-exposure-005,F-exposure,F_intraop_fixed_or_unclear_exposure,MATCHED,0,1,Some concerns,,,1.5–1.6 mg/kg across arms; P=0.303
Sun 2017,SUN17_POSTOP_OPIOID24,True TEAS timing arms,All-period sham TEAS,Opioid consumption,Postoperative opioid consumption,0-24 h,Not applicable / not reported,95,95,,,,,,,,,,,,,,,mg/µg,,No,No,,,No,No,Not eligible for postoperative opioid meta-analysis,Yes,"Postoperative rescue analgesia was flurbiprofen axetil (NSAID), not an opioid",Postoperative analgesia protocol,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,NO POSTOPERATIVE OPIOID OUTCOME,,,,,0,0,,,,
Sim 2002,SIM02_PREOP_vs_PLACEBO_MORPH24,Preoperative EA,Placebo EA,Opioid consumption,Cumulative postoperative IV PCA morphine,0-24 h,Mean/SD,30,30,30,30,0.52,0.19,,,,,0.68,0.38,,,,,mg/kg morphine,NS overall 24-h cumulative comparison,Yes,No,MD,-0.16000000000000003,Yes,Conditional,Direct weight-normalized 24-h morphine endpoint; pool only if protocol permits mg/kg or a prespecified standardization method,Yes,Do not convert mg/kg to absolute mg using group mean body weight; aggregate means cannot reconstruct individual absolute dose,Figure 4 / cumulative 24-h morphine,https://drive.google.com/file/d/1YsNHL-J3Kgfu8mCanRrNu_bHk_roj0w6/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Sim 2002,SIM02_POSTOP_vs_PLACEBO_MORPH24,Postoperative EA,Placebo EA,Opioid consumption,Cumulative postoperative IV PCA morphine,0-24 h,Mean/SD,30,30,30,30,0.58,0.27,,,,,0.68,0.38,,,,,mg/kg morphine,NS overall 24-h cumulative comparison,Yes,No,MD,-0.10000000000000009,Yes,Conditional,Timing-comparator 24-h morphine endpoint,Yes,Postoperative EA is a distinct randomized timing arm and must not be merged with preoperative EA,Figure 4 / cumulative 24-h morphine,https://drive.google.com/file/d/1YsNHL-J3Kgfu8mCanRrNu_bHk_roj0w6/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Sim 2002,SIM02_PREOP_vs_PLACEBO_MORPH6_12,Preoperative EA,Placebo EA,Opioid consumption,Postoperative IV PCA morphine,6-12 h,Median/IQR,30,30,30,30,,,0.03,,,,,,0.1,,,,mg/kg morphine,0.015,Yes,No,,,No,No,Eligible for interval-specific opioid analysis only,Yes,Source reports median (IQR) as 0.03 (0.05) vs 0.10 (0.11); IQR is reported as a single width rather than Q1/Q3,6-12-h morphine interval,https://drive.google.com/file/d/1YsNHL-J3Kgfu8mCanRrNu_bHk_roj0w6/view?usp=drivesdk,SOURCE-VERIFIED / IQR FORMAT QC,,,,,0,0,,,,
Sim 2002,SIM02_PREOP_vs_PLACEBO_ALFENT,Preoperative EA,Placebo EA,Intraoperative opioid,Alfentanil requirement rate,Intraoperative,Mean/SD,30,30,30,30,0.44,0.15,,,,,0.51,0.21,,,,,µg/kg/min,0.472,Yes,No,MD,-0.07,No,No,Eligible for intraoperative opioid analysis,Yes,No significant placebo-controlled intraoperative opioid-sparing effect,Figure 2 / alfentanil requirement,https://drive.google.com/file/d/1YsNHL-J3Kgfu8mCanRrNu_bHk_roj0w6/view?usp=drivesdk,SOURCE-VERIFIED,F-intra-005,F-intra,F_intraop_titrated_requirement,MATCHED,1,0,Some concerns,,,0.44±0.15 vs0.51±0.21 μg/kg/min; P=0.472
Ntritsou 2014,NTRI14_EA_vs_SHAM_TRAMSUM,Perioperative EA + tramadol/ketamine,Sham + tramadol/ketamine,Opioid consumption,Total tramadol exposure,Perioperative / first 24 h most consistent with protocol; table does not restate window,Mean/SD,37,38,35,35,443.7,67.4,,,,,461.5,63.2,,,,,mg tramadol,0.257,Yes,No,MD,-17.80000000000001,Conditional,No,"Continuous opioid-related quantity available, but not suitable as complete 24-h MME without confirming window and rescue morphine",No,Includes scheduled/background tramadol and likely rescue tramadol; rescue morphine quantity not reported,Table 1 / tramadol sum,https://drive.google.com/file/d/1u_kNuuXF8upB3gJA2aDq8NldYDfhnWy3/view?usp=drivesdk,SOURCE-VERIFIED / WINDOW + CO-OPIOID QC,,,,,0,0,,,,
Ntritsou 2014,NTRI14_EA_vs_SHAM_REMI,Perioperative EA + tramadol/ketamine,Sham + tramadol/ketamine,Intraoperative opioid,Remifentanil consumption,Intraoperative,Mean/SD,37,38,35,35,1003.6,522.7,,,,,1041.9,631.9,,,,,µg remifentanil,0.783,Yes,No,MD,-38.30000000000007,No,No,Eligible for intraoperative opioid analysis,No,No significant intraoperative opioid-sparing effect,Table 1 / remifentanil,https://drive.google.com/file/d/1u_kNuuXF8upB3gJA2aDq8NldYDfhnWy3/view?usp=drivesdk,SOURCE-VERIFIED,F-exposure-004,F-exposure,F_intraop_fixed_or_unclear_exposure,MATCHED,0,1,Some concerns,P1,,1003.6±522.7 vs1041.9±631.9 μg; P=0.783
Ntritsou 2014,NTRI14_EA_vs_SHAM_RESCUE,Perioperative EA + tramadol/ketamine,Sham + tramadol/ketamine,Rescue opioid use,Total rescue analgesia,First 24 h,Qualitative / exact quantities unavailable,37,38,35,35,,,,,,,,,,,,,tramadol 50 mg IV then morphine 2 mg IV as needed,P<0.001 reported,No,No,,,No,No,Not quantitatively poolable from main article,No,Main article reports significantly less total rescue analgesia but does not tabulate exact rescue tramadol/morphine quantities,Rescue analgesia results,https://drive.google.com/file/d/1u_kNuuXF8upB3gJA2aDq8NldYDfhnWy3/view?usp=drivesdk,MISSING / EXACT RESCUE DOSES NOT REPORTED,F-rescue-opioid-005,F-rescue-opioid,F_rescue_opioid,MATCHED,0,0,Some concerns,P1,,Significantly lower at45 min/overall; exact quantities NR
Ntritsou 2014,NTRI14_EA_vs_SHAM_MME24,Perioperative EA + tramadol/ketamine,Sham + tramadol/ketamine,Opioid consumption,Complete 24-h opioid/MME exposure,0-24 h,Not calculable,37,38,35,35,,,,,,,,,,,,,MME,,No,No,,,No,No,Not eligible for final 24-h MME until rescue morphine and tramadol-sum window are confirmed,No,Do not equate lower rescue use with significantly lower total opioid exposure,Combined opioid exposure,https://drive.google.com/file/d/1u_kNuuXF8upB3gJA2aDq8NldYDfhnWy3/view?usp=drivesdk,MISSING / AUTHOR DATA NEEDED,,,,,0,0,,,,
Ng 2013,NG13_EA_vs_SHAM_BOWEL,Electroacupuncture,Sham acupuncture,GI recovery,Time to first bowel motion / defecation,Postoperative,Mean/SD,55,55,55,55,85.9,36.1,,,,,107.5,46.2,,,,,hours,0.007,Yes,No,MD,-21.599999999999994,No,No,Eligible for GI-recovery meta-analysis,Yes,Allocation used sealed nonopaque envelopes; EA-vs-sham participants and outcome assessors were blinded,Primary outcome / first bowel motion,https://drive.google.com/file/d/1R1zCiyfWvuSp99Hi2U_K1__8kgdi90gd/view?usp=drivesdk,SOURCE-VERIFIED / ALLOCATION-CONCEALMENT QC,,,,,0,0,,,,
Ng 2013,NG13_EA_vs_NOACU_BOWEL,Electroacupuncture,No acupuncture,GI recovery,Time to first bowel motion / defecation,Postoperative,Mean/SD,55,55,55,55,85.9,36.1,,,,,122.1,53.5,,,,,hours,<0.001,Yes,No,MD,-36.19999999999999,No,No,Eligible for GI-recovery meta-analysis as active-vs-usual-care contrast,Yes,No-acupuncture group could not be participant blinded,Primary outcome / first bowel motion,https://drive.google.com/file/d/1R1zCiyfWvuSp99Hi2U_K1__8kgdi90gd/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Ng 2013,NG13_EA_vs_SHAM_FLATUS,Electroacupuncture,Sham acupuncture,GI recovery,Time to first flatus,Postoperative,Mean/SD,55,55,55,55,2,0.9,,,,,2.3,1.1,,,,,days,0.095,Yes,No,MD,-0.2999999999999998,No,No,Eligible for GI-recovery analysis,Yes,No statistically significant EA-vs-sham difference,Secondary outcome / first flatus,https://drive.google.com/file/d/1R1zCiyfWvuSp99Hi2U_K1__8kgdi90gd/view?usp=drivesdk,SOURCE-VERIFIED,E-007,E,E_time_to_first_flatus,MATCHED,1,0,Some concerns,P2,,2.0±0.9 vs 2.3±1.1 days
Ng 2013,NG13_EA_vs_SHAM_PAINPOD1,Electroacupuncture,Sham acupuncture,Pain,VAS pain intensity,POD1,Mean/SD,55,55,55,55,5.6,2,,,,,5.8,1.9,,,,,VAS 0-10,0.655,Yes,No,MD,-0.20000000000000018,No,No,Eligible for POD1 pain analysis if POD1 timing meets protocol,Yes,POD1 is not an exact clock-defined 24-h point,Pain outcome / POD1,https://drive.google.com/file/d/1R1zCiyfWvuSp99Hi2U_K1__8kgdi90gd/view?usp=drivesdk,SOURCE-VERIFIED / POD LABEL,,,,,0,0,,,,
Ng 2013,NG13_EA_vs_SHAM_PETHCOUNT,Electroacupuncture,Sham acupuncture,Opioid demand,Number of postoperative pethidine injections,Postoperative; exact window NR,Mean/SD,55,55,55,55,2.7,2.3,,,,,5.2,4.7,,,,,number of injections,NR,Yes,No,MD,-2.5,No,No,Eligible only as opioid-injection-count outcome after time-window clarification,Yes,"Methods say 1 mg/kg q4h PRN, tables say 50-mg injections; exact observation window and route not clearly defined",Analgesic requirement tables,https://drive.google.com/file/d/1R1zCiyfWvuSp99Hi2U_K1__8kgdi90gd/view?usp=drivesdk,SOURCE-VERIFIED / DOSE + WINDOW QC,,,,,0,0,,,,
Ng 2013,NG13_EA_vs_SHAM_OPIOID24,Electroacupuncture,Sham acupuncture,Opioid consumption,Cumulative pethidine consumption,0-24 h,Not reported,55,55,55,55,,,,,,,,,,,,,mg pethidine,,No,No,,,No,No,Not eligible for strict continuous 24-h opioid meta-analysis without author data,Yes,Do not multiply injection counts by 50 mg and call it a 24-h dose; source time window/dosing statement is ambiguous,Exact 24-h opioid endpoint absent,https://drive.google.com/file/d/1R1zCiyfWvuSp99Hi2U_K1__8kgdi90gd/view?usp=drivesdk,MISSING / AUTHOR DATA NEEDED,,,,,0,0,,,,
Ma 2026,MA26_T_vs_S_PAIN24,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",Pain,Resting NRS pain,24 h,Graph-only continuous data,18,17,17,16,,,,,,,,,,,,,NRS 0-10,P<0.05 T vs S,No,No,,,No,No,Not ready for continuous meta-analysis without formal graph digitization or author data,No,Partially randomized trial: only T vs S is randomized. Exact 24-h means/SDs are graph-only and must not be inferred from Antigravity candidate values,Figure / 24-h postoperative NRS,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk,FIGURE ONLY / DIGITIZATION NEEDED,,,,,0,0,,,,
Ma 2026,MA26_T_vs_S_AISPOD1,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",Sleep quality,Athens Insomnia Scale,POD1,Graph-only continuous data,18,17,17,16,,,,,,,,,,,,,AIS points,P<0.05 T vs S,No,No,,,No,No,Not ready for continuous meta-analysis without formal graph digitization or author data,No,Exact postoperative AIS means/SDs are graph-only; Group C is non-randomized and must not be used as a randomized comparator,Figure 4 / POD1 AIS,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk,FIGURE ONLY / DIGITIZATION NEEDED,,,,,0,0,,,,
Ma 2026,MA26_T_vs_S_NAUSEA24,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",PONV,Nausea,24 h,Events/total,18,17,17,16,,,,,,6,,,,,,8,participants,Overall 3-group P=0.590; randomized T-vs-S pairwise NR,Yes,No,RR,0.7058823529411765,No,No,Eligible for dichotomous 24-h nausea analysis using randomized T vs S contrast,No,Overall P-value includes non-randomized Group C; do not treat it as the randomized pairwise P-value,24-h PONV table,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk,SOURCE-VERIFIED,D-007,D,D_nausea_0-24h,MATCHED,1,0,High,,,6/17 vs 8/16
Ma 2026,MA26_T_vs_S_VOMIT24,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",PONV,Vomiting,24 h,Events/total,18,17,17,16,,,,,,6,,,,,,7,participants,Overall 3-group P=0.863; randomized T-vs-S pairwise NR,Yes,No,RR,0.8067226890756303,No,No,Eligible for dichotomous 24-h vomiting analysis using randomized T vs S contrast,No,Overall P-value includes non-randomized Group C,24-h PONV table,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk,SOURCE-VERIFIED,D-010,D,D_vomiting_0-24h,MATCHED,1,0,Some concerns,,,6/17 vs 7/16
Ma 2026,MA26_T_vs_S_OPIOID24,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",Opioid consumption,Cumulative postoperative opioid consumption,0-24 h,Not reported,18,17,17,16,,,,,,,,,,,,,mg/µg,,No,No,,,No,No,Not eligible for continuous 24-h opioid meta-analysis,No,Routine postoperative analgesia was non-opioid flurbiprofen; whether any postoperative opioid was given is not reported,Postoperative analgesia section,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk,MISSING / POSTOP OPIOID USE NR,,,,,0,0,,,,
Lu 2021,LU21_COMB_vs_SHAM_CHRONIC6M,Combined PC6+CV17 TEAS,Sham/no current,Chronic pain,Post-mastectomy chronic pain incidence,6 months,Events/total,190,188,190,188,,,,,,42,,,,,,65,participants,Overall P=0.005; combined vs sham pairwise P varies by article section,Yes,No,RR,0.6393522267206477,No,No,Eligible for dichotomous chronic-pain analysis using raw event counts,Yes,"Printed RR/P-values conflict across abstract, Results and Table 2; raw counts 42/190 vs 65/188 are the stable source facts",Table 2 / primary 6-month chronic pain,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,SOURCE-VERIFIED / PUBLISHED EFFECT QC,,,,,0,0,,,,
Lu 2021,LU21_SINGLE_vs_SHAM_CHRONIC6M,Single PC6 TEAS,Sham/no current,Chronic pain,Post-mastectomy chronic pain incidence,6 months,Events/total,198,188,198,188,,,,,,72,,,,,,65,participants,Overall P=0.005; single vs sham pairwise P reported 0.71 in Table 2,Yes,No,RR,1.0517482517482517,No,No,Eligible only with explicit source-conflict sensitivity handling,Yes,Table 2 gives 72/198; Results prose gives 79/196. Preserve Table 2 here and flag conflict rather than silently reconcile,Table 2 / primary 6-month chronic pain,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,SOURCE-VERIFIED / DENOMINATOR CONFLICT,,,,,0,0,,,,
Lu 2021,LU21_COMB_vs_SHAM_REMI,Combined PC6+CV17 TEAS,Sham/no current,Intraoperative opioid,Total remifentanil,Intraoperative,Mean/SD,190,188,190,188,1.2,0.5,,,,,1.4,0.7,,,,,mg remifentanil,P<0.001 combined vs sham,Yes,No,MD,-0.19999999999999996,No,No,Eligible for intraoperative opioid-sparing analysis,Yes,Three-arm trial; sham is a shared comparator,Table 3 / intraoperative remifentanil,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,SOURCE-VERIFIED,F-intra-008,F-intra,F_intraop_titrated_requirement,MATCHED,1,0,Some concerns,P1,,1.2±0.5 vs1.4±0.7 mg; MD −0.20 mg; P<0.001
Lu 2021,LU21_SINGLE_vs_SHAM_REMI,Single PC6 TEAS,Sham/no current,Intraoperative opioid,Total remifentanil,Intraoperative,Mean/SD,198,188,198,188,1.3,0.6,,,,,1.4,0.7,,,,,mg remifentanil,P=0.04 single vs sham; not significant after Bonferroni alpha 0.0125,Yes,No,MD,-0.09999999999999987,No,No,Eligible for intraoperative opioid analysis with multiplicity-aware interpretation,Yes,Three-arm trial; do not describe P=0.04 as multiplicity-adjusted significant,Table 3 / intraoperative remifentanil,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Lu 2021,LU21_COMB_vs_SHAM_PONV24,Combined PC6+CV17 TEAS,Sham/no current,PONV,Any PONV,24 h,Events/total,190,188,190,188,,,,,,35,,,,,,68,participants,Overall P=0.0001,Yes,No,RR,0.5092879256965943,No,No,Eligible for dichotomous 24-h PONV analysis,Yes,Use raw event counts; three-arm shared sham comparator,24-h PONV table,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,SOURCE-VERIFIED,D-002,D,D_PONV_0-24h,MATCHED,1,0,High,P1,,35/190 vs 68/188
Lu 2021,LU21_SINGLE_vs_SHAM_PONV24,Single PC6 TEAS,Sham/no current,PONV,Any PONV,24 h,Events/total,198,188,198,188,,,,,,59,,,,,,68,participants,Overall P=0.0001,Yes,No,RR,0.8238265002970884,No,No,Eligible for dichotomous 24-h PONV analysis with multi-arm adjustment,Yes,Overall P is three-group; pairwise significance should not be inferred unless directly reported,24-h PONV table,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Lu 2021,LU21_POSTOP_OPIOID24,TEAS arms,Sham/no current,Opioid consumption,Cumulative postoperative sufentanil PCA consumption,0-24 h,Not reported,,,,,,,,,,,,,,,,,µg sufentanil,,No,No,,,No,No,Not eligible for continuous 24-h postoperative opioid meta-analysis,Yes,PCA opioid is sufentanil but prescription and cumulative 24-h consumption are not reported,Postoperative PCA section,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,MISSING / AUTHOR DATA NEEDED,,,,,0,0,,,,
Lu 2022,LU22_TEAS_vs_CTRL_DISCHARGE,TEAS + ERAS,No-current control + ERAS,Recovery,Time to meet discharge criteria,Postoperative,Mean/SD,50,50,47,47,6,1.8,,,,,7,2.4,,,,,days,0.02,Yes,No,MD,-1,No,No,Eligible for recovery-time meta-analysis,No,Six randomized patients were excluded because they did not receive allocated intervention; open conversion is plausibly related to discharge time,Primary outcome / time to discharge,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,,,,,0,0,,,,
Lu 2022,LU22_TEAS_vs_CTRL_FLATUS,TEAS + ERAS,No-current control + ERAS,GI recovery,Time to first flatus,Postoperative,Mean/SD,50,50,47,47,34.5,16.7,,,,,42.4,22.9,,,,,hours,0.03,Yes,No,MD,-7.899999999999999,No,No,Eligible for GI-recovery meta-analysis,No,Same 6 post-randomization exclusions apply,First flatus result,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,E-006,E,E_time_to_first_flatus,MATCHED,1,0,Some concerns,P2,,34.5±16.7 vs 42.4±22.9 h
Lu 2022,LU22_TEAS_vs_CTRL_DEFEC,TEAS + ERAS,No-current control + ERAS,GI recovery,Time to first defecation,Postoperative,Mean/SD,50,50,47,47,42,25,,,,,55.4,29.7,,,,,hours,0.03,Yes,No,MD,-13.399999999999999,No,No,Eligible for GI-recovery meta-analysis,No,Same 6 post-randomization exclusions apply,First defecation result,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,,,,,0,0,,,,
Lu 2022,LU22_TEAS_vs_CTRL_PCAATTEMPT24,TEAS + ERAS,No-current control + ERAS,Opioid demand,PCA attempts,24 h,Median/IQR,50,50,47,47,,,8,3,18,,,,16.5,8,38,,attempts,0.001,Yes,No,,,No,No,Eligible as 24-h PCA-demand proxy only,No,"PCA drug, bolus dose, concentration, basal infusion and lockout are not reported",PCA table / 24-h attempts,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,SOURCE-VERIFIED / DOSE NOT RECONSTRUCTABLE,F-PCA-009,F-PCA,F_PCA_behavior,NORMALIZED_V22,0,1,High,P2,,24h attempts8.0 vs16.5; deliveries5.0 vs12.0
Lu 2022,LU22_TEAS_vs_CTRL_PCADELIV24,TEAS + ERAS,No-current control + ERAS,Opioid demand,Successful PCA deliveries,24 h,Median/IQR,50,50,47,47,,,5,2,12,,,,12,6,22,,deliveries,0.001,Yes,No,,,No,No,Eligible as 24-h PCA-delivery proxy only,No,Do not convert successful deliveries into opioid dose because the PCA prescription is absent,PCA table / 24-h deliveries,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,SOURCE-VERIFIED / DOSE NOT RECONSTRUCTABLE,F-PCA-009,F-PCA,F_PCA_behavior,NORMALIZED_V22,0,1,High,P2,,24h attempts8.0 vs16.5; deliveries5.0 vs12.0
Lu 2022,LU22_TEAS_vs_CTRL_OPIOID24,TEAS + ERAS,No-current control + ERAS,Opioid consumption,Exact cumulative PCA opioid consumption,0-24 h,Not reported,50,50,47,47,,,,,,,,,,,,,mg/µg,,No,No,,,No,No,Not eligible for continuous 24-h opioid meta-analysis without supplementary/author data,No,The main article never identifies the PCA drug or dose,Postoperative PCA section,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,MISSING / PCA DRUG AND DOSE NR,,,,,0,0,,,,
