Study,Comparison ID,Intervention,Comparator,Outcome,Timepoint,Data type,n I,n C,Mean/Median I,SD/IQR I,Mean/Median C,SD/IQR C,Unit,Exact 0-24 h?,Primary eligibility,Analysis readiness,Reason,Duplicate hold,Source-QC issue,Source URL
Huang 2017,HUANG17_OPIOID24,Active TEAS frequency arms,Placebo TEAS/no current,Exact cumulative postoperative sufentanil consumption,0-24 h,Not reported,20,20,,,,,µg/kg sufentanil,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Exact 24-h group values and PCA demand/delivery counts are not published,https://drive.google.com/file/d/1RJGi1PYvw75qVW9UK8CBtJPH4G035ASs/view?usp=drivesdk
He 2026 (hepatectomy/JIS),HEJIS26_TEAS_vs_CTRL_MME24,Intraoperative PC6 TEAS,No-current PC6 control,Total postoperative opioid consumption in morphine equivalents,0-24 h,Mean/SD,80,79,20,2.5,20.6,4.5,mg MME,Yes,Yes,INCLUDE,Explicit 0-24-h postoperative opioid endpoint and marked eligible in the reconciled source data.,,Supplemental eTable 1 directly reports MME; mITT excludes one canceled surgery and one consent withdrawal after randomization,https://drive.google.com/file/d/1VgOxIOrGe7ZVevkKEVP7G-0V1DXPU0Gf/view?usp=drivesdk
He 2026 (breast/WJCO),HEBREAST26_OPIOID24,Perioperative EA + flurbiprofen,Sham acupuncture + flurbiprofen,Cumulative rescue morphine consumption,0-24 h,Not reported,65,65,,,,,mg IV morphine,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,"Rescue morphine 1-3 mg IV was allowed, but authors explicitly state rescue opioid consumption was not recorded or compared",https://drive.google.com/file/d/1D6Js5nTN2AwL5-BB-NIJVoCKVtcbcczH/view?usp=drivesdk
Gu 2019,GU19_LTEAS_vs_CTEAS_PCIA4,Long-duration TEAS,Sham/no-current TEAS,Cumulative multimodal PCIA solution consumed,4 h,Mean/SD,58,59,10.02,2.26,13.38,2.98,mL solution = numerically same µg sufentanil at 1 µg/mL,No,No,EXCLUDE — NOT PRIMARY 24H OPIOID,Not a strict 0-24-h postoperative opioid-consumption endpoint.,,"Pump also contains dexmedetomidine, flurbiprofen and palonosetron; exact 24-h value is graph-only",https://drive.google.com/file/d/1ipQFXfERgAVmgNKMpLkvaaecYJVSTDiw/view?usp=drivesdk
Gu 2019,GU19_LTEAS_vs_CTEAS_PCIA8,Long-duration TEAS,Sham/no-current TEAS,Cumulative multimodal PCIA solution consumed,8 h,Mean/SD,58,59,20.55,4.59,24.63,3.94,mL solution = numerically same µg sufentanil at 1 µg/mL,No,No,EXCLUDE — NOT PRIMARY 24H OPIOID,Not a strict 0-24-h postoperative opioid-consumption endpoint.,,"Pump also contains dexmedetomidine, flurbiprofen and palonosetron; exact 24-h value is graph-only",https://drive.google.com/file/d/1ipQFXfERgAVmgNKMpLkvaaecYJVSTDiw/view?usp=drivesdk
Gu 2019,GU19_LTEAS_vs_CTEAS_PCIA36,Long-duration TEAS,Sham/no-current TEAS,Cumulative multimodal PCIA solution consumed,36 h,Mean/SD,58,59,72.64,9.74,76.01,10.43,mL solution = numerically same µg sufentanil at 1 µg/mL,No,No,EXCLUDE — NOT PRIMARY 24H OPIOID,Not a strict 0-24-h postoperative opioid-consumption endpoint.,,"Pump also contains dexmedetomidine, flurbiprofen and palonosetron; exact 24-h value is graph-only",https://drive.google.com/file/d/1ipQFXfERgAVmgNKMpLkvaaecYJVSTDiw/view?usp=drivesdk
Gu 2019,GU19_OPIOID24,Long-duration TEAS,Sham/no-current TEAS,Exact cumulative 24-h postoperative sufentanil,0-24 h,Graph-only / not numerically reported,58,59,,,,,µg sufentanil,Yes,No,DIGITIZATION NEEDED,Exact numeric result is not tabulated; formal graph digitization or author data is required before quantitative pooling.,,24-h PCIA point is visible graphically but not numerically reported,https://drive.google.com/file/d/1ipQFXfERgAVmgNKMpLkvaaecYJVSTDiw/view?usp=drivesdk
Guo 2023,GUO23_OPIOID24,Perioperative TEAS,Sham/no-current TEAS,Actual postoperative sufentanil consumption,0-24 h,Not reported,55,55,,,,,µg sufentanil,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,PCIA prescription is reported but actual delivered 24-h/48-h sufentanil is not,https://drive.google.com/file/d/1Idfl7rfZhgAUJHDpsmgzp17ADiGvrU8C/view?usp=drivesdk
Grech 2016,GRECH16_EA_vs_CTRL_PACU_MME_WOMEN,Intraoperative low-frequency EA,Sham/control,PACU analgesic requirement in women-only subgroup,PACU,Graph-only morphine-equivalent outcome,9,9,,,,,mg morphine-equivalent,No,No,DIGITIZATION NEEDED,Exact numeric result is not tabulated; formal graph digitization or author data is required before quantitative pooling.,,Post hoc women-only subgroup excludes two men from EA arm; exact means/SEM are not tabulated,https://drive.google.com/file/d/1U3KShiAZKL8n9hxSpBkhuhuQHW2EN-IY/view?usp=drivesdk
Grech 2016,GRECH16_EA_vs_CTRL_OPIOID24,Intraoperative low-frequency EA,Sham/control,Exact cumulative 24-h postoperative morphine-equivalent consumption,0-24 h,Not reported,,,,,,,mg morphine-equivalent,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Day-1 analgesic use is graphical and exact 24-h mean/dispersion is not tabulated,https://drive.google.com/file/d/1U3KShiAZKL8n9hxSpBkhuhuQHW2EN-IY/view?usp=drivesdk
Gao 2021,GAO21_OPIOID24,Postoperative TEAS,Sham/no-current TEAS,Exact cumulative postoperative opioid consumption,0-24 h,Not reported,303,307,,,,,mg/µg,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,"Main article reports only whether postoperative analgesia was used, not drug-specific dose/route/PCA consumption",https://drive.google.com/file/d/1QbM6CNi8KfBXmMTqG1ASm3hK05cz_hKQ/view?usp=drivesdk
Yeh 2010,YEH10_AES_vs_SHAM_MORPH24,True-acupoint AES,Electrical sham/nonmeridian AES,24-h morphine PCA dose,First 24 postoperative hours,Mean/SD,33,30,18.6,9.7,21.6,13.1,mg morphine; source explicitly calls PCA epidural,Yes,Conditional,DUPLICATE HOLD,Probable overlapping publication/cohort; do not pool as an independent study until linkage is resolved.,Yeh lumbar-spine publication family,Probable overlapping publication/cohort with Yeh 2011. Five of 99 entrants did not complete and randomized arm assignment of losses is NR. Do not treat both papers as independent.,https://drive.google.com/file/d/1a1s31PQPWGnaVkYUtNUxO22F3QFTcwmi/view?usp=drivesdk
Yeh 2010,YEH10_AES_vs_CONTROL_MORPH24,True-acupoint AES,No-AES control,24-h morphine PCA dose,First 24 postoperative hours,Mean/SD,33,31,18.6,9.7,27.2,12.5,mg morphine; source explicitly calls PCA epidural,Yes,Conditional,DUPLICATE HOLD,Probable overlapping publication/cohort; do not pool as an independent study until linkage is resolved.,Yeh lumbar-spine publication family,Same probable overlapping cohort issue; route must not be silently recoded as IV.,https://drive.google.com/file/d/1a1s31PQPWGnaVkYUtNUxO22F3QFTcwmi/view?usp=drivesdk
Yeh 2011,YEH11_AES_vs_SHAM_MORPH24,True-acupoint AES,Electrical sham/nonacupoint AES,24-h IV morphine PCA dose,First 24 postoperative hours,Mean/SD,30,30,19.3,9.7,21.6,13.1,mg IV morphine,Yes,Conditional,DUPLICATE HOLD,Probable overlapping publication/cohort; do not pool as an independent study until linkage is resolved.,Yeh lumbar-spine publication family,"Highly similar to Yeh 2010 in population, acupoints, comparator and 24-h opioid values; do not count independently until cohort/publication linkage is adjudicated.",https://drive.google.com/file/d/1ZJ60ZvJ5Q7sRu1iptK_tLLfBXxZZ_Hwl/view?usp=drivesdk
Yeh 2011,YEH11_AES_vs_CONTROL_MORPH24,True-acupoint AES,No-AES control,24-h IV morphine PCA dose,First 24 postoperative hours,Mean/SD,30,30,19.3,9.7,28,12.1,mg IV morphine,Yes,Conditional,DUPLICATE HOLD,Probable overlapping publication/cohort; do not pool as an independent study until linkage is resolved.,Yeh lumbar-spine publication family,Sequential allocation without sealed envelopes; probable overlapping publication family with Yeh 2010.,https://drive.google.com/file/d/1ZJ60ZvJ5Q7sRu1iptK_tLLfBXxZZ_Hwl/view?usp=drivesdk
Wong 2006,WONG06_EA_vs_SHAM_MORPHD0,Postoperative electroacupuncture,Nonpenetrating sham acupuncture,IV PCA morphine consumption,Day 0,Mean/SD,13,12,8.3,4.9,7.8,6.4,mg IV morphine,No,No,EXCLUDE — NOT PRIMARY 24H OPIOID,Not a strict 0-24-h postoperative opioid-consumption endpoint.,,Both groups also received scheduled oral dextropropoxyphene. Two randomized sham patients were excluded after serious postoperative complications.,https://drive.google.com/file/d/1-XmRdgXyZmOmKIDRhL80sxha5M2P00jd/view?usp=drivesdk
Wong 2006,WONG06_EA_vs_SHAM_MORPHD1,Postoperative electroacupuncture,Nonpenetrating sham acupuncture,IV PCA morphine consumption,Day 1,Mean/SD,13,12,18,8.8,18.8,9.8,mg IV morphine,No,No,EXCLUDE — NOT PRIMARY 24H OPIOID,Not a strict 0-24-h postoperative opioid-consumption endpoint.,,Both groups also received scheduled oral dextropropoxyphene. Two randomized sham patients were excluded after serious postoperative complications.,https://drive.google.com/file/d/1-XmRdgXyZmOmKIDRhL80sxha5M2P00jd/view?usp=drivesdk
Wong 2006,WONG06_EA_vs_SHAM_MORPHD2,Postoperative electroacupuncture,Nonpenetrating sham acupuncture,IV PCA morphine consumption,Day 2,Mean/SD,13,12,7.5,5,15.7,12,mg IV morphine,No,No,EXCLUDE — NOT PRIMARY 24H OPIOID,Not a strict 0-24-h postoperative opioid-consumption endpoint.,,Both groups also received scheduled oral dextropropoxyphene. Two randomized sham patients were excluded after serious postoperative complications.,https://drive.google.com/file/d/1-XmRdgXyZmOmKIDRhL80sxha5M2P00jd/view?usp=drivesdk
Wong 2006,WONG06_EA_vs_SHAM_MORPHTOTAL,Postoperative electroacupuncture,Nonpenetrating sham acupuncture,IV PCA morphine consumption,First 3 postoperative days total,Mean/SD,13,12,33.9,12.8,42.3,21.3,mg IV morphine,No,No,EXCLUDE — NOT PRIMARY 24H OPIOID,Not a strict 0-24-h postoperative opioid-consumption endpoint.,,Both groups also received scheduled oral dextropropoxyphene. Two randomized sham patients were excluded after serious postoperative complications.,https://drive.google.com/file/d/1-XmRdgXyZmOmKIDRhL80sxha5M2P00jd/view?usp=drivesdk
Wong 2006,WONG06_EA_vs_SHAM_OPIOID24,Postoperative electroacupuncture,Nonpenetrating sham acupuncture,Exact total opioid exposure,0-24 h,Not reported,13,12,,,,,mg MME,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Day labels are not defined as exact consecutive 24-h windows and scheduled dextropropoxyphene contributes additional opioid exposure.,https://drive.google.com/file/d/1-XmRdgXyZmOmKIDRhL80sxha5M2P00jd/view?usp=drivesdk
El-Rakshy 2009,ELR09_EA_vs_CTRL_MORPH24,Intraoperative EA + PCA,PCA alone/no acupuncture,Total IV morphine analgesia,First 24 h,Mean/SD,42,53,35.3,18,36.9,18,mg IV morphine,Yes,Yes,INCLUDE,Explicit 0-24-h postoperative opioid endpoint and marked eligible in the reconciled source data.,,Publication has irreconcilable allocation/analyzed group labels. Use Table 2 n=42 EA and n=53 control for this result; do not substitute overall study denominators.,https://drive.google.com/file/d/12AfIox-MgnMU15U-mdvZgaTKnukXKvAR/view?usp=drivesdk
El-Rakshy 2009,ELR09_EA_vs_CTRL_MORPH4,Intraoperative EA + PCA,PCA alone/no acupuncture,Total IV morphine analgesia,First 4 h,Mean/SD,40,53,13.4,7.5,13.2,8.6,mg IV morphine,No,No,EXCLUDE — NOT PRIMARY 24H OPIOID,Not a strict 0-24-h postoperative opioid-consumption endpoint.,,Again preserve outcome-specific n=40 EA and n=53 control.,https://drive.google.com/file/d/12AfIox-MgnMU15U-mdvZgaTKnukXKvAR/view?usp=drivesdk
An 2014,AN14_EA_vs_CTRL_FENT48,Intraoperative electroacupuncture,No acupuncture control,Total postoperative fentanyl PCIA dose,Through reported 48-h PCIA period,Mean/SD,41,40,0.67,0.09,0.73,0.12,mg fentanyl,No,No,EXCLUDE — NOT PRIMARY 24H OPIOID,Not a strict 0-24-h postoperative opioid-consumption endpoint.,,Seven of 88 randomized patients were excluded from analysis; total fentanyl is not isolated to 0-24 h.,https://drive.google.com/file/d/1Ygu3g28udKuPe0OS95oge2ryIGNeJ0te/view?usp=drivesdk
An 2014,AN14_EA_vs_CTRL_OPIOID24,Intraoperative electroacupuncture,No acupuncture control,Exact cumulative postoperative fentanyl,0-24 h,Not reported,41,40,,,,,mg/µg fentanyl,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Published bolus activity is split 0-6 h and 6-48 h; exact 0-24-h fentanyl cannot be reconstructed.,https://drive.google.com/file/d/1Ygu3g28udKuPe0OS95oge2ryIGNeJ0te/view?usp=drivesdk
Chen 2015,CHEN15Q_TEAS_vs_CTRL_RESCUEMORPH24,Preoperative TEAS,Electrodes/device with no stimulation,Cumulative rescue IV morphine dose derived from fixed 2-mg rescue administrations,0-24 h,Median/IQR,41,42,2,2–6,7,4–14,mg IV morphine,Yes,Conditional,CONDITIONAL,24-h opioid endpoint exists but requires a prespecified route/unit/time-window or derived-value rule.,,"Source reports rescue-administration count 1 (1-3) vs 3.5 (2-7); each rescue administration was fixed at morphine 2 mg. Linear conversion to mg is exact, but the source itself reports counts rather than dose.",https://drive.google.com/file/d/1ZtE8GImDcpDJH1tOvzqazoh_S4Gd67oH/view?usp=drivesdk
Chen 2015 (Hyperalgesia),CHEN15H_TEAS_vs_SHAM_SUFKG24,Preoperative TEAS,Electrodes/no-current sham,Derived cumulative sufentanil dose from fixed 0.05 µg/kg bolus,0-24 h,Median/IQR,29,30,0.15,0.1–0.2,0.35,0.3–0.4,µg/kg sufentanil,Yes,Conditional,CONDITIONAL,24-h opioid endpoint exists but requires a prespecified route/unit/time-window or derived-value rule.,,Exact linear conversion from 0.05 µg/kg per bolus × reported bolus count. Do not convert to absolute µg or MME without individual body weights.,https://drive.google.com/file/d/13YKAZZsc2VQEPqkw1Ye40BYDZSRpI6N3/view?usp=drivesdk
Wu 2016,WU16_TAES_vs_ACTIVE_OPIOID24,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),Active nonacupoint electrical stimulation (identical 2/100-Hz current),Exact cumulative postoperative opioid/tramadol consumption,0-24 h,Not reported,27,27,,,,,mg tramadol (IV rescue),No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative 0-24-h cumulative tramadol/opioid value.,,"IV tramadol 100 mg was available as rescue, but group-specific cumulative dose/number of rescues for 0-24 h is not reported.",https://drive.google.com/file/d/1CXkJN0GF45qOQtRcL7EbgmbypBrNnmri/view?usp=drivesdk
Wu 2016,WU16_TAES_vs_UC_OPIOID24,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),No-TAES thoracotomy control,Exact cumulative postoperative opioid/tramadol consumption,0-24 h,Not reported,27,27,,,,,mg tramadol (IV rescue),No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative 0-24-h cumulative tramadol/opioid value.,,"Rescue analgesic demand was lower with true TAES vs no TAES, but exact 0-24-h tramadol dose/number of rescues is not reported.",https://drive.google.com/file/d/1CXkJN0GF45qOQtRcL7EbgmbypBrNnmri/view?usp=drivesdk
Gao 2022,GAO22_TEAS_vs_SHAM_SUFPUMP24,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,Cumulative postoperative sufentanil delivered by analgesic pump,0-24 h,Median/IQR,827,828,33,0–50,30,0–60,µg sufentanil,Yes,Conditional,CONDITIONAL,"Exact 24-h opioid endpoint is directly reported, but it is median/IQR; use only with the prespecified distribution-compatible analysis.",,Analgesic pump was individualized; 72.2% vs 71.0% received sufentanil pump. Preserve zeros and the reported median/IQR; do not infer mean/SD.,https://drive.google.com/file/d/1_DV8ZFHIZwC_SnRMP3IokKfeEs6QzD0S/view?usp=drivesdk
Liu 2015,LIU15_TEAS_vs_SHAM_OPIOID24,Multipoint intraoperative TEAS (2/100 Hz; 30 min pre-induction through end of surgery),No-current sham TEAS with identical electrode placement/device setup,Exact cumulative postoperative sufentanil PCIA consumption,0-24 h,Not reported,44,44,,,,,µg sufentanil,No,No,EXCLUDE / DATA UNAVAILABLE,Cumulative 0-24-h pump consumption is not reported. The fixed basal infusion cannot be treated as total exposure because patient-triggered 0.5-mL sufentanil boluses were allowed and cumulative bolus use is unreported.,,"PCIA: sufentanil 100 µg/50 mL, basal 1 mL/h, bolus 0.5 mL, 10-min lockout. Author/raw pump totals are required for the review primary outcome.",https://drive.google.com/file/d/1R0ueeZhpBPbKOmqRfRyFTsqp7qq7ftqp/view?usp=drivesdk
Oztas 2019,OZT19_TAES_vs_CTRL_TRAM24,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,Cumulative IV PCA tramadol HCl consumption,0-24 h,Mean/SD,15,16,228.4,87.89,357.81,123.7,mg tramadol,Yes,Conditional,CONDITIONAL,"Exact 0–24 h tramadol mean/SD, but rescue pethidine was also used; tramadol alone is not complete total-opioid exposure.",,Separate rescue pethidine prevents combined total-opioid SD reconstruction,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk
Oztas 2019,OZT19_TAES_vs_TENS_TRAM24,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),Cumulative IV PCA tramadol HCl consumption,0-24 h,Mean/SD,15,16,228.4,87.89,257.68,65.55,mg tramadol,Yes,No,CONDITIONAL,Active electrical-comparator contrast only; do not treat as sham/usual care or independent study unit.,,Three-arm correlated contrast + separate rescue pethidine,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk
Oztas 2019,OZT19_TAES_vs_CTRL_TOTALOP24,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,Complete combined postoperative opioid exposure (tramadol + rescue pethidine),0-24 h,Not calculable,15,16,,,,,MME / combined opioid dose,Yes,No,EXCLUDE — DATA UNAVAILABLE,Aggregate tramadol and pethidine means/SDs are separate; SD of within-person combined total cannot be recovered without covariance/raw data.,,Combined all-opioid variance unavailable,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk
Song 2020,SONG20_TEAS_vs_SHAM_PCAPRESS24,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,PCA pump press number,0-24 h,Mean/SD,42,43,30.12,4.3,36.91,2.4,pump presses,No,No,CONDITIONAL,Direct PCA-use endpoint; not a drug dose without additional device semantics.,,15-min lockout; keep presses as behavioral/device-use measure.,https://drive.google.com/file/d/1qL50sUze8YDRs_oIXFWTbVUL5102qnw4/view?usp=drivesdk
Song 2020,SONG20_TEAS_vs_SHAM_BUTORPCA24_DERIVED,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Nominal butorphanol PCA bolus component derived from reported presses,0-24 h,Derived mean/SD,42,43,2.4096,0.344,2.9528,0.192,mg butorphanol,Yes — derived,No,CONDITIONAL,Linear conversion is conditional on treating each reported press as a delivered 2-mL bolus; butorphanol cross-drug conversion must be prespecified.,,Device-semantics ambiguity + prespecified butorphanol conversion needed.,https://drive.google.com/file/d/1qL50sUze8YDRs_oIXFWTbVUL5102qnw4/view?usp=drivesdk
Szmit 2021,SZMIT21_TEAS_vs_SHAM_MORPH24,Postoperative TEAS: bilateral LI4 + ipsilateral peri-incisional ashi points; alternating 2/100 Hz; 30 min every 2 h through 24 h,Sham TEAS: identical devices/placement with no electrical stimulation + PCA,Total IV PCA morphine dose,0-24 h,Mean/SD,24,24,7.5,3.8,15.2,6.24,mg IV morphine,Yes,Yes,INCLUDE IN PRIMARY,Direct exact first-24-h PCA morphine mean/SD; principal sham-controlled contrast.,,Three-arm RCT: retain TEAS-vs-control separately; source also reports median/IQR 8 (5–9) vs 15 (13–18).,https://drive.google.com/file/d/1SbgHRO4KEP9X0Unz75vDMFCvlkDTEgk3/view?usp=drivesdk
Szmit 2021,SZMIT21_TEAS_vs_CTRL_MORPH24,Postoperative TEAS: bilateral LI4 + ipsilateral peri-incisional ashi points; alternating 2/100 Hz; 30 min every 2 h through 24 h,PCA only / no TEAS,Total IV PCA morphine dose,0-24 h,Mean/SD,24,23,7.5,3.8,15.5,6.1,mg IV morphine,Yes,No,CONDITIONAL — MULTI-ARM ALTERNATIVE COMPARATOR,"Exact first-24-h PCA morphine mean/SD, but correlated with the principal sham contrast.",,Use as supportive/usual-care comparator or with a valid multi-arm method; do not count as a second independent study.,https://drive.google.com/file/d/1SbgHRO4KEP9X0Unz75vDMFCvlkDTEgk3/view?usp=drivesdk
Zhang 2018,ZHANG18_TEA_vs_SHAM_OPIOID24,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,Exact cumulative postoperative opioid consumption,0-24 h,Not reported,21,21,,,,,opioid dose,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not report a quantitative postoperative opioid dose or rescue-opioid endpoint.,,"Pain was assessed, but postoperative analgesic consumption is not reported.",https://drive.google.com/file/d/1ZcLvQiw1bigHUYQTjwWPa8f1D2UrkAwl/view?usp=drivesdk
