report_id,trial_id,registry_ids,identity_excerpts,source_text,decision
Ma 2026,Ma_2026,ChiCTR2200062959," Republic of China; 2Department of Anesthesiology, Second Affiliated Hospital of Harbin Medical University, Harbin, Heilongjiang, People’s Republic of China; 3The Third People’s Hospital of Chengdu, Chengdu, Sichuan, People’s Republic of China; 4Department | arbin, Heilongjiang, People’s Republic of China; 3The Third People’s Hospital of Chengdu, Chengdu, Sichuan, People’s Republic of China; 4Department of Anesthesiology, The Third Hospital of Hebei Medical University, Shijiazhuang, Hebei, People’s Republic of |  People’s Republic of China; 4Department of Anesthesiology, The Third Hospital of Hebei Medical University, Shijiazhuang, Hebei, People’s Republic of China Correspondence: Wenzhi Li, Department of Anesthesiology, Second Affiliated Hospital of Harbin Medical | spondence: Wenzhi Li, Department of Anesthesiology, Second Affiliated Hospital of Harbin Medical University, No. 246 Xuefu Road, Nangang District, Harbin, Heilongjiang, People’s Republic of China, Tel +86 18045159998, Email wenzhili9@126.com Purpose: Preope | arly postoperative period.1 Inadequate pain control not only prolongs hospital stay and delays functional recovery but also increases the risk of chronic postsurgical pain and long-term opioid use.2,3 Breast cancer patients scheduled for elective surgery r | ,9 and sympathetic hyperactivation.10 The bidirectional relationship between sleep and pain is well established: poor sleep amplifies pain perception, while unrelieved pain fragments sleep architecture.10,11 This vicious cycle underscores the need for int | reduce sympathetic excitability during surgery. Materials and Methods Ethical Approval and Trial Registration This prospective, partially randomized controlled trial was approved by the Medical Ethics Committee of the Second Affiliated Hospital of Harbin | ve, partially randomized controlled trial was approved by the Medical Ethics Committee of the Second Affiliated Hospital of Harbin Medical University (approval number: KY2022-193) and conducted in accordance with the ethical principles of the Declaratio | as approved by the Medical Ethics Committee of the Second Affiliated Hospital of Harbin Medical University (approval number: KY2022-193) and conducted in accordance with the ethical principles of the Declaration of Helsinki. The trial was prospectively reg | y (approval number: KY2022-193) and conducted in accordance with the ethical principles of the Declaration of Helsinki. The trial was prospectively registered with the Chinese Clinical Trial Registry (http://www.chictr.org.cn/, registration number: ChiC",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Ma_2026.txt,No additional cohort merge justified by available identity evidence
Ng 2013,Ng_2013,NCT00464425,"ment of Surgery, The Chinese University of Hong Kong, Prince of Wales Hospital, Shatin, Hong Kong SAR See Covering the Cover synopsis on page 255. BACKGROUND & AIMS: We investigated the efﬁcacy of electroacupuncture in reducing the duration of postoperative  | lectroacupuncture in reducing the duration of postoperative ileus and hospital stay after laparoscopic surgery for colorectal cancer. METHODS: We performed a prospective study of 165 patients undergoing elective laparoscopic surgery for colonic and upper rec | top- erative analgesic requirement, time to ambulation, and length of hospital stay. RESULTS: Patients who received electroacupuncture had a shorter time to defecation than pa- tients who received no acupuncture (85.9  36.1 vs 122.1  53.5 h; P  .001) and  | o acupuncture (85.9  36.1 vs 122.1  53.5 h; P  .001) and length of hospital stay (6.5  2.2 vs 8.5  4.8 days; P  .007). Patients who received electroacupuncture also had a shorter time to defecation than patients who received sham acupuncture (85.9  36 |  were associ- ated with a shorter duration of postoperative ileus and hospital stay after the surgery. CONCLUSIONS: In a clinical trial, electroacupuncture reduced the duration of postoperative ileus, time to ambulation, and postoperative analgesic re- quire |  surgery, and may adversely inﬂuence patients’ recovery and pro- long hospital stay.1 Laparoscopic colorectal surgery has been shown by randomized trials and meta-analyses to be associated with better short-term clinical outcomes in- cluding faster return of | al surgery because this may have a positive impact on the duration of hospital stay as well as hospital costs. It is estimated that a reduction of the mean length of hospital stay by as little as 1 day may reduce the annual health care system costs in the Un | ay have a positive impact on the duration of hospital stay as well as hospital costs. It is estimated that a reduction of the mean length of hospital stay by as little as 1 day may reduce the annual health care system costs in the United States by approximat | ospital costs. It is estimated that a reduction of the mean length of hospital stay by as little as 1 day may reduce the annual health care system costs in the United States by approximately $1 billion US dollars.1 Acupuncture is widely accepted in China as  | the efﬁcacy of EA in reducing the duration of postoperative ileus and hospital stay after laparoscopic colorectal surgery. Patients and Methods Study Participants We conducted the study from October 2008 through October 2010 at the Prince of Wales Hospital, ",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Ng_2013.txt,No additional cohort merge justified by available identity evidence
Ntritsou 2014,Ntritsou_2014,NCT01526525,"espondeence to Vagia Ntritsou, Department of Anaesthesiology, General Hospital of Thessaloniki “G. Gennimatas”, Meleagrou 7, Thessaloniki 54250, Greece; vaya_ntr@yahoo.gr Received 12 November 2013 Revised 5 January 2014 Accepted 13 January 2014 Published Onl | sical Status 1–3, who were sched- uled for radical prostatectomy were recruited to this prospective single-blind controlled trial and randomly divided into two groups using a computer-generated randomisation sequence: EA group (tramadol+keta- mine+EA) and c | verse effects of opioid analgesics, with no significant differ- ences between the groups except for the absence of bowel movements (table 2). None of the patients reported any sleep disturbance or insomnia in either group. Only a small number of patients re | tmares postoperatively and no significant differ- ences were observed between the groups. Only seven patients in the control group and four in the EA group reported sleeplessness and one patient from each group reported nightmares. A significant decrease wa | icant changes in cortisol levels (p>0.05), but there were differences between the groups. The values of Cort3 varied significantly between the two groups compared with Cort1 (p<0.01). A significant decrease in cortisol levels was observed in the EA Original | ferences between the groups. The values of Cort3 varied significantly between the two groups compared with Cort1 (p<0.01). A significant decrease in cortisol levels was observed in the EA Original paper Ntritsou V, et al. Acupunct Med 2014;32:215–222. doi:1 | 6 item assessment, the total score of six items showed no differences between the two groups during postoperative assessments (p>0.05) nor between the preoperative and postoperative assessments within each group (EA, p>0.05; control, p>0.05). However, signi |  between the two groups during postoperative assessments (p>0.05) nor between the preoperative and postoperative assessments within each group (EA, p>0.05; control, p>0.05). However, significant differences between groups were observed in the partial assess | group (EA, p>0.05; control, p>0.05). However, significant differences between groups were observed in the partial assessments of each parameter (see online supplement). All the patients reported that they were satisfied with the analgesic technique used, bu | e analgesic technique used, but a significant difference was observed between the groups (p>0.01) with the EA group showing superiority. DISCUSSION In this study, 91.4% of the patients in the EA group reported no pain while relaxing (NRS ≤3) at 45 min and 2",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Ntritsou_2014.txt,No additional cohort merge justified by available identity evidence
Oztas 2019,Oztas_2019,,"he Department of General Surgery of the Gülhane Training and Research Hospital in Ankara, Turkey between May 2015 and November 2016. 3.3. Participants The population consisted of General Surgery patients who underwent planned abdominal surgery with a midline | rgery of the Gülhane Training and Research Hospital in Ankara, Turkey between May 2015 and November 2016. 3.3. Participants The population consisted of General Surgery patients who underwent planned abdominal surgery with a midline incision between May 2015 | ients who underwent planned abdominal surgery with a midline incision between May 2015 and November 2016. The study sample comprised patients who underwent abdominal surgery with a midline incision due to problems related to col- orectal cancer and stomach  |  patients awaiting abdomi- nal surgery with a midline incision in the hospital room the day before the surgery to ensure that the patients qualiﬁed for the study in accordance with the eligibility criteria. 3.3.1. Inclusion criteria Patients who had an Ameri | by counting did not comply with a normal distribution, the difference between the three groups was evaluated by the Chi-square test. The one-way ANOVA test was used to inves- tigate the difference between the three groups regarding the measured values for v | test. The one-way ANOVA test was used to inves- tigate the difference between the three groups regarding the measured values for values com- plying with normal distribution and the Kruskal–Wallis test was used for the values that did not comply with a norma | isons. The Mann–Whitney U test was used to investigate the difference between two groups of variables. A p-value <.05 was accepted as statistically signiﬁcant. The paired sample t-Test was used for values complying with a normal distribution and the Wilcoxo | patients in the same group before and after the implementation. 3.10. Ethical consideration Written permission and approval was obtained from the Gülhane Military Medical Academy’s Head of Clinical Studies Ethics Committee before the study started. Physic |  from the Gülhane Military Medical Academy’s Head of Clinical Studies Ethics Committee before the study started. Physicians and nurses working at the Gülhane Military Medical Academy, General Surgery Clinic, PostOperative Care Unit and Post-Anesthesia Car | e of the patients had pain in the preoperative period. The difference between the groups in terms of the values given in the table was not statistically signiﬁcant (p > .05) and the groups were similar. There was no statistically signiﬁcant difference betwe",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Oztas_2019.txt,No additional cohort merge justified by available identity evidence
Pan 2023,Pan_2023,ChiCTR2100045173,"hui Jin1, Junlu Wang1 1Department of Anesthesia, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, People’s Republic of China; 2Department of Anesthesia, Sir Run Run Shaw Hospital, Affiliated with the Zhejiang University School of Medici | ple’s Republic of China; 2Department of Anesthesia, Sir Run Run Shaw Hospital, Affiliated with the Zhejiang University School of Medicine, Hangzhou, People’s Republic of China; 3Department of Anesthesia, Wenzhou People’s Hospital, Wenzhou, People’s Republi | ple’s Republic of China; 3Department of Anesthesia, Wenzhou People’s Hospital, Wenzhou, People’s Republic of China *These authors contributed equally to this work Correspondence: Junlu Wang, Departments of Anesthesiology, The First Affiliated Hospital of W | ence: Junlu Wang, Departments of Anesthesiology, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, People’s Republic of China, Tel +86 13806689854, Fax +86 0577-55578999-689854, Email wangjunlu973@163.com Purpose: To evaluate  | ifentanil were used to stabilize patient blood pressure and keep BIS between 40 and 60. Group T patients received TEAS at LI4/PC6 30 minutes before the operation and lasting until the end of anesthesia, followed by TEAS at ST36/SP6 for 30 minutes in PACU. | is an abnormal hyperplasia of uterine smooth muscle cells. Women aged between 30 and 50 years have a high incidence of this condition, with 20–40% having obvious symptoms, menstrual disorders, dysmenorrhea, abdominal and pelvic pain, and even infertility, | scopic myomectomy. Materials and Methods Study Design and Participant Recruitment In this double-blind randomized control-group clinical trial, we studied about Transcutaneous electrical acupoint stimulation accelerates the recovery of patients undergoing  | ates the recovery of patients undergoing laparoscopic myomectomy. The Ethics Committee of Wenzhou Medical University (WMU) approved this study (clinical trial number: ChiCTR2100045173; Registry URL: YJLCYJ-2020-148). The study was conducted in accordanc | ars and who received laparoscopic myomectomy at the First Affiliated Hospital, WMU, Zhejiang, China, from May 2021 to December 2021. Patients were assigned to TEAS group (Group T) and control group (Group C) using random number tables. All participants pro | ressure stable during operation and BIS(Bispectral Index) maintained between 40 and 60. Add the cisatracurium or sufentanil and record the dosage according to the actual situation. Both groups were given tropisetron 5mg immediately at the start of surgery",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Pan_2023.txt,No additional cohort merge justified by available identity evidence
Seevaunnamtum 2016,Seevaunnamtum_2016,,"l Care, Universiti Sains Malaysia, Kubang Kerian, Kelantan, Malaysia 2Hospital Raja Permaisuri Bainun Ipoh, Jalan Hospital, 30990 Ipoh, Perak, Malaysia *Corresponding author: S Praveena Seevaunnamtum, Department of Anaesthesiology and Critical Care, School o | rian, Kelantan, Malaysia 2Hospital Raja Permaisuri Bainun Ipoh, Jalan Hospital, 30990 Ipoh, Perak, Malaysia *Corresponding author: S Praveena Seevaunnamtum, Department of Anaesthesiology and Critical Care, School of Medical Sciences, Health Campus, Universit |  prospective, double blinded randomized study conducted in a tertiary hospital in Malaysia. Pa- tients (n = 64) were randomly allocated to receive 2 Hertz EA and compared to a control group. EA was started intraoperatively till the end of the surgery (mean d | dy was conducted at a 990-bed multidisciplinary tertiary govern- ment hospital in Malaysia. The study was approved by National medical research and ethics committee with the protocol numbered NMRR 13-128-14785 and by human re- search ethics committee, Univer |  in Malaysia. The study was approved by National medical research and ethics committee with the protocol numbered NMRR 13-128-14785 and by human re- search ethics committee, University Sains Malaysia (FWA Reg. No.: 00007718; IRB Reg. No.: 00004494) in com |  with the protocol numbered NMRR 13-128-14785 and by human re- search ethics committee, University Sains Malaysia (FWA Reg. No.: 00007718; IRB Reg. No.: 00004494) in compli- ance with the declaration of Helsinki. We enrolled 64 con- sented elective patien | d from the width of the interphalangeal joint of her thumb. The point between the tendons of extensor carpi radialis and palmaris longus was the pericardium merid- ian p6 point (Neiguan) (Figure 1). The large intestine p4 point (Hegu) located on the dor- su |  large intestine p4 point (Hegu) located on the dor- sum of the hand, between the ﬁrst and second metacarpal 2 Anesth Pain Med. 2016; 6(6):e40106. === PDF PAGE 3 === Praveena Seevaunnamtum S et al. Figure 1. Steps for Location of EA Points A, step 1: to s | test for numerical data (NRS for pain, PCAM demand, andtotalPCAMdoses)betweenEAgroupandcon- trol group and expressed as mean ± standard deviations. Chi Square and Fisher exact test were applied to cat- egorical data (incidence of nausea and need for rescue  |  2. Flow Chart of patients in Trial Table 1. Baseline Characteristics Between Electroacupuncture Group and Control Group Variables EA Group, n = 32, Mean (SD) Control Group, n = 32, Mean (SD) Mean Diﬀerence (95% CI) t Statistic (df) P Valuea Age, y 47.50 (7",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Seevaunnamtum_2016.txt,No additional cohort merge justified by available identity evidence
Sim 2002,Sim_2002,,"at-Leang Lee professor Department of Anaesthesia, National University Hospital Singapore Correspondence: Tat-Leang Lee analeetl@nus.edu.sg Summary Acupuncture has been shown to be effective in experimental and clinical acute pain settings. This study aims to | ce was statistically significant only during the period of 6-12 hours between Group II [0.03 (0.05) mg/kg] and Group I [0.10 (0.11) mg/kg] (p=0.015), and Group II and Group III [0.08 (0.10) mg/kg] (p=0.010). The 24-hour cumulative morphine consumption for G | than 70 is frequently seen during awakening.3 Methods After obtaining Ethics Committee’s approval and written informed consent, 90 female patients were recruited, American Society of Anaesthesiologists physical status (ASA) I or II, who underwent the abov | ttee’s approval and written informed consent, 90 female patients were recruited, American Society of Anaesthesiologists physical status (ASA) I or II, who underwent the above-mentioned elective surgery under balanced general anaesthesia that lasted for more | rgo similar treatment was surveyed on the day prior to discharge from hospital. Data Analysis An a priori sample size calculation determined that a 30% reduction in mean 24 hour postoperative morphine consumption between preoperative EA and placebo EA (mean | at a 30% reduction in mean 24 hour postoperative morphine consumption between preoperative EA and placebo EA (mean ± SD= 0.59 ± 0.24mg/kg) would be detectable using a sample size of 30 patients per group for a two- tailed α=0.05 and a study power of 0.8. De | erence was statistically significant during the period of 6- 12 hours between Group II [0.03 (0.05) mg/kg] and I [0.10 (0.11) mg/kg] (p=0.015), and between Group II and Group III [0.08 (0.10) mg/kg] (p=0.010). The total morphine consumption (0-24 hours) for | Group II [0.03 (0.05) mg/kg] and I [0.10 (0.11) mg/kg] (p=0.015), and between Group II and Group III [0.08 (0.10) mg/kg] (p=0.010). The total morphine consumption (0-24 hours) for Group II (0.52 ± 0.19mg/kg) was less compared to Group I (0.68 ± 0.38mg/kg) a | wo groups. However, the difference was only statistically significant between Group II and III (postop EA). The non-significant difference between Group I (control) and Group II (preoperative EA) could be due to a strong placebo effect in Group I, since pat |  between Group II and III (postop EA). The non-significant difference between Group I (control) and Group II (preoperative EA) could be due to a strong placebo effect in Group I, since patients in Group I were made to believe that they had received acupunct",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Sim_2002.txt,No additional cohort merge justified by available identity evidence
Song 2020,Song_2020,NCT04124679,"1,* Yang Li1 Junchao Zhu1 1Department of Anesthesiology, Shengjing Hospital of China Medical University, Shenyang, Liaoning, People’s Republic of China; 2Department of Anesthesiology, Friendship Hospital of Capital Medical University, Beijing, People | ople’s Republic of China; 2Department of Anesthesiology, Friendship Hospital of Capital Medical University, Beijing, People’s Republic of China *These authors contributed equally to this work Objective: Postoperative sleep disturbances have serious ad | Correspondence: Junchao Zhu Department of Anesthesiology, Shengjing Hospital of China Medical University, Shenyang, Liaoning, People’s Republic of China Email zhujunchao1@hotmail.com submit your manuscript | www.dovepress.com Nature and Science of Sleep | ts. Patients and Methods The study was approved by the Human Research Ethics Committee of Shengjing Hospital, Shenyang, Liaoning, China (Institutional Review Board registration number 2019PS646K) and complied with the purpose of the Declaration of Hel | udy was approved by the Human Research Ethics Committee of Shengjing Hospital, Shenyang, Liaoning, China (Institutional Review Board registration number 2019PS646K) and complied with the purpose of the Declaration of Helsinki. Written informed consent wa | obtained from all patients participating in the study. The study was registered on Clinicaltrials.gov (NCT04124679) before the patients were enrolled. Participants Participants who received elective video-assisted thoraco­ scopic surgery at Shengjing Hospita | received elective video-assisted thoraco­ scopic surgery at Shengjing Hospital of China Medical University were enrolled in this study. The inclusion cri­ teria were as follows: (1) patients with American Society of Anesthesiologists grades I‒II; (2) patie | ding to the primary outcome of the Athens Insomnia Scale (AIS) score between the two groups and the calculation of the sample size by the formula (n1 = n2 = 2 × [(1.96 + 0.842) × δ/σ]2), 0.54 was chosen as the estimated variability between the two group | 1.96 + 0.842) × δ/σ]2), 0.54 was chosen as the estimated variability between the two groups, and 0.8 was chosen as the standard deviation. Thus, 34 patients were recruited for each group in order to achieve a two- sided Type I error (α) of 0.05 and powe | nd 0.8 was chosen as the standard deviation. Thus, 34 patients were recruited for each group in order to achieve a two- sided Type I error (α) of 0.05 and power of 80%. Due to drop out, a total of 85 patients were enrolled in this study. Standardized An",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Song_2020.txt,No additional cohort merge justified by available identity evidence
Sun 2017,Sun_2017,ChiCTR-IOR-15006032," traditional open surgery in respect of postoperative pain, shortened hospital stay, and enhanced postoperative recovery. Nevertheless, laparoscopic surgery still results in substantial postoperative pain around the incision site.5,6 It is reported that only | y was approved by the Institutional Review Board and the protocol was registered in ClinicalTrials.gov Received for publication December 29, 2015; revised August 9, 2016; accepted June 11, 2016. From the *Department of Anesthesiology, Second Aﬃliated Hospital, | une 11, 2016. From the *Department of Anesthesiology, Second Aﬃliated Hospital, Zhejiang University School of Medicine, Hangzhou; wXuzhou Medical College, Xuzhou; and zZunyi Medical College, Zunyi, China. This study was carried out in the second aﬃliated hos | lege, Zunyi, China. This study was carried out in the second aﬃliated hospital of Zhejiang University, School of Medicine and was funded by the Scientiﬁc Research Program of Chinese Medicine (2010ZA074) and the department (Department of Anesthesiology, the s | and the department (Department of Anesthesiology, the second aﬃliated hospital, Zhejiang University School of Medicine, Hangzhou, China). The authors declare no conﬂict of interest. Reprints: Min Yan, MD, Department of Anesthesiology, Second Aﬃliated Hospita |  Reprints: Min Yan, MD, Department of Anesthesiology, Second Aﬃliated Hospital, Zhejiang University School of Medicine, Hangzhou, 310009, China (e-mail: zryanmin@zju.edu.cn). Copyright r 2016 Wolters Kluwer Health, Inc. All rights reserved. DOI: 10.1097/AJP. | l was performed from July 2012 to October 2013 at the second aﬃliated hospital of Zhejiang University, China. The study included patients who were 18 to 70 years old, American Society of Anesthesiologists class I or II and scheduled for laparoscopic cholecys | m, an investigator explained the details of the study protocol to the recruited patient and informed him/her that he/she had the right to decline participation. After the written informed consent was obtained, anesthetic evaluation was performed by the anes | Neiguan (P6) is located 5 cm above the transverse crease of the wrist between the tendons of palmaris longus and ﬂexor carpi radialis.10,17 TEAS was achieved by a battery-powered unit named HANS Acupoint Nerve Stimulator (HANS-200A, Nanjing Jisheng Medical  | ssment timepoint) were analyzed with Kruskal-Wallis test for analysis between groups followed by Dunn’s multiple comparison tests, and are expressed as median (interquartile range). Two-way analysis of variance with Bonferroni post hoc test was used to eval",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Sun_2017.txt,No additional cohort merge justified by available identity evidence
Szmit 2021,Szmit_2021,ISRCTN76428396,"scharge [1]. Opioid administration has been associated with increased hospital length of stay, treatment costs, readmissions, and mortality, particularly with higher doses of opioids [2,3]. Moreover, previously opioid-free patients are at an increased risk o | ted adverse drug events (ORADEs) are common among patients undergoing hospital-based invasive procedures and are associated with signiﬁcantly worse economic, as well as clinical outcomes, the most serious being respiratory depression [5]. Notably, adverse ev | led randomized con- trolled trial was conducted at Wroclaw University Hospital, Wroclaw, Poland, from Septem- ber 2017 to November 2020. The study was conducted in accordance with the Helsinki Dec- laration to protect the participants and was approved by the | nki Dec- laration to protect the participants and was approved by the ethics committee of Wroclaw Medical University (No. KB-599/2017). The study protocol was registered at the ISRCTN registry (ISRCTN76428396; https://doi.org/10.1186/ISRCTN76428396). All  |  Wroclaw Medical University (No. KB-599/2017). The study protocol was registered at the ISRCTN registry (ISRCTN76428396; https://doi.org/10.1186/ISRCTN76428396). All participants provided written informed consent before randomization and after being informed o |  was managed by an independent researcher who was not involved in the recruitment, treat- ment, or assessment. The participants were blinded to the type of treatment. Mock TEAS was provided with the same lamplight as real TEAS, so the participants were not  | of 10 min and a maximum 4 h dose of 15 mg according to a standardized hospital protocol. PCA therapy was initiated in the postanesthesia care unit when the patient was sufﬁciently alert to understand and operate the PCA device. If the patient required pain m | 7. Cortisol Levels Assessment The patients’ whole blood was collected between 8 and 10 a.m. on the day before the surgery and 24-h later within the same timeframe. After collection and the samples were transferred to an appropriate collection tube. After be | licate, and the results are presented as means. Intra-assay variances between data points within an assay were between 1 and 5%. The levels of cortisol are shown as ng/mL. 2.8. Adverse Events All adverse events were closely monitored through reports by part | means. Intra-assay variances between data points within an assay were between 1 and 5%. The levels of cortisol are shown as ng/mL. 2.8. Adverse Events All adverse events were closely monitored through reports by participants or direct observation by personn",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Szmit_2021.txt,No additional cohort merge justified by available identity evidence
Tu 2024,Tu_2024,,"zhi Feng b, Jian-qin Lv b,* a Department of Neurosurgery, West China Hospital, Sichuan University, Chengdu, China b Department of Integrated Traditional and Western Medicine, West China Hospital, Sichuan University, Chengdu, China A R T I C L E I N F O K | Department of Integrated Traditional and Western Medicine, West China Hospital, Sichuan University, Chengdu, China A R T I C L E I N F O Keywords: Craniotomy Postoperative nausea and vomiting Transcutaneous electrical acupoint stimulation A B S T R A C | d. Results: The patient characteristics did not significantly differ between the two groups (P > 0.05). During 0–2 and 6–24 h after craniotomy, the incidence of vomiting was not significantly different between the two groups (P > 0.05). During 2–6 h, the  | craniotomy, the incidence of vomiting was not significantly different between the two groups (P > 0.05). During 2–6 h, the incidence of vomiting was higher in the sham TEAS group than in the TEAS group (29.3 % vs. 14.0 %, P = 0.047). During 0–2 and 2–6 h,  | ). During 0–2 and 2–6 h, the pain scores did not differ significantly between the two groups (P > 0.05). During 6–24 h after craniotomy, the pain score was significantly higher in the sham TEAS group than in the TEAS group (P = 0.001). The degree of nause | patients requiring antiemetic drugs were not significantly different between the two groups in each period (P > 0.05). Conclusion: TEAS at P6 may reduce vomiting incidence and pain scores following craniotomy. 1. Introduction The incidence of postoperat | in intracranial hematoma and hemorrhage, consequently prolonging the hospital stay of patients and reducing their satisfaction with the surgical procedure [2]. The patho­ physiology of PONV is complex and largely unknown. However, a recent study has sugge | hods 2.1. Study design This randomized blinded controlled trial was registered in the Chi­ nese Clinical Trial Registry in 2013 (registration number: ChiCTR-TRC- 13003026). The study protocols were published in trials [13] and were approved by the Ethics R | udy protocols were published in trials [13] and were approved by the Ethics Review Board of West China Hospital, Sichuan University (approval number: 2012249). 2.2. Study population In this prospective randomized controlled trial, patients were scree | ials [13] and were approved by the Ethics Review Board of West China Hospital, Sichuan University (approval number: 2012249). 2.2. Study population In this prospective randomized controlled trial, patients were screened according to the inclusion and ex",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Tu_2024.txt,No additional cohort merge justified by available identity evidence
Wang 2023,Wang_2023,ChiCTR2100054971,"ng  X.-X. Liu  Z.-W. Jiang Department of General Surgery, Afﬁliated Hospital of Nanjing University of Chinese Medicine, Nanjing, China J. Wang  F.-F. Lu  W.-Z. Zhang  F.-L. Ning  B.-H. Chen  Y. Liu  H.-G. Quan Department of General Surgery, Xuzhou Tr | an Department of General Surgery, Xuzhou Traditional Chinese Medicine Hospital Afﬁliated to Nanjing University of Chinese Medicine, Xuzhou, China Pain Ther (2023) 12:707–722 https://doi.org/10.1007/s40122-023-00493-2 === PDF PAGE 2 === gastrointestinal tum | ective, double- blind, randomized controlled trial at the Afﬁli- ated Hospital of Nanjing University of Chinese Medicine and Xuzhou Traditional Chinese Medicine Hospital Afﬁliated to Nanjing University of Chinese Medicine between December 2021 and August 202 | niversity of Chinese Medicine and Xuzhou Traditional Chinese Medicine Hospital Afﬁliated to Nanjing University of Chinese Medicine between December 2021 and August 2022. The study was conducted in accordance with the Helsinki Declaration and was approved by  | Medicine Hospital Afﬁliated to Nanjing University of Chinese Medicine between December 2021 and August 2022. The study was conducted in accordance with the Helsinki Declaration and was approved by the ethics committee of Afﬁliated Hospital of Nanjing Univer | d in accordance with the Helsinki Declaration and was approved by the ethics committee of Afﬁliated Hospital of Nanjing University of Chinese Medicine (no. 2021NL- 199-02) and Xuzhou Traditional Chinese Med- icine Hospital Afﬁliated to Nanjing University  | nki Declaration and was approved by the ethics committee of Afﬁliated Hospital of Nanjing University of Chinese Medicine (no. 2021NL- 199-02) and Xuzhou Traditional Chinese Med- icine Hospital Afﬁliated to Nanjing University of Chinese Medicine (no. 09/2020) | dicine (no. 2021NL- 199-02) and Xuzhou Traditional Chinese Med- icine Hospital Afﬁliated to Nanjing University of Chinese Medicine (no. 09/2020). The study protocol was registered with the Chinese Clini- cal Trial Registry (http://www.chictr.org.cn/ index.as |  University of Chinese Medicine (no. 09/2020). The study protocol was registered with the Chinese Clini- cal Trial Registry (http://www.chictr.org.cn/ index.aspx, ChiCTR2100054971). Informed consent was obtained from all participants. The inclusion criteria we | ening for ﬁnal enroll- ment and randomization. The initial screening, recruitment, ﬁnal enrollment and randomiza- tion were conducted 1 day prior to surgery. Patients were assigned to either the TEAS group or the Sham group by a table of computer-gen- erate",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Wang_2023.txt,No additional cohort merge justified by available identity evidence
Wang 2024,Wang_2024,ChiCTR2100053752,"operative nausea and vomiting (PONV) [1]. PONV can lead to prolonged hospital stay, wound dehiscence, and delayed nutrition, and is associated with clinical and economic conse- quences [2, 3]. It is widely known that the main risk factors for PONV are fem | l Cancer Center/ National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China 2 Department of Outcomes Research, Outcomes Research Consortium, Cleveland Clinic, Clevela | s of PONV in those SNVP-risk patients. Additionally, the association between SNVP and PONV was reconfirmed. Transcutaneous electrical acupoint stimulation (TEAS) is a form of acupuncture that applies electrical stimulation at specific acupoints through c | he risk of PONV. In summary, this study recon- firmed the association between SNVP and PONV, explored treatment strategies of SNVP-risk patients, and evaluated serum levels to determine whether GDF-15 is a genetic fac- tor that increases the development o |  in SNVP-risk patients. Methods This prospective trial was performed between Febru- ary and August 2022, and prospectively registered in Chictr.org.cn registry system on 28 November 2021 (ChiCTR2100053752). Ethical approval for this study (approval numb | l was performed between Febru- ary and August 2022, and prospectively registered in Chictr.org.cn registry system on 28 November 2021 (ChiCTR2100053752). Ethical approval for this study (approval number: 21/391-3062) was provided by the Ethi- cal Committee  | hictr.org.cn registry system on 28 November 2021 (ChiCTR2100053752). Ethical approval for this study (approval number: 21/391-3062) was provided by the Ethi- cal Committee of National Cancer Center/Cancer Hospi- tal, Beijing, China on 9 September 2021.  | and Hegu (LI4) acu- points for 30 min. The LI4 acupoint is positioned between the first and second metacarpal bones at the highest point of prominence when the thumb and index finger are adducted [22]. With the forearm supine, the PC6 acupoint is located | adducted [22]. With the forearm supine, the PC6 acupoint is located between the flexor carpi radialis muscle and palmaris longus tendon, 2 cm proximal to the midpoint of the volar trans- verse carpal crease [22]. The frequency of the TEAS device was set | of GDF-15 at the 24 h postoperative point to analyze the association between GDF-15 levels and the incidence of PONV. Blood samples were collected from the patients and stored in heparinized tubes before induction (D0) and 24 h (D1) after surgery in the",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Wang_2024.txt,No additional cohort merge justified by available identity evidence
