id	study	contrast	family	outcome	time	type	ni	nc	mi	sdi	mc	sdc	ei	ec	unit	eligibility	QC
V33-OD-0197	Jiang 2026	JIANG26_TEAS_vs_SHAM_OPIOID24	Opioid consumption	Exact cumulative postoperative opioid consumption	0-24 h	Not reported	294	293							mg/µg	NOT REPORTED	PCIA use is reported but exact group-specific postoperative dose is not
V33-OD-0198	Huang 2025	HUANG25_EA_vs_UC_FLATUS	GI recovery	Time to first flatus	Postoperative	Mean/SD	43	45	36.4	8	42.2	8.5			hours	INCLUDE	13/101 randomized participants excluded after randomization; no sham procedure and patient blinding is not credible for penetrating postoperative EA
V33-OD-0199	Huang 2025	HUANG25_EA_vs_UC_DEFEC	GI recovery	Time to first defecation	Postoperative	Mean/SD	43	45	46	8	51.3	9.4			hours	INCLUDE	Same post-randomization exclusion and no-sham concerns apply
V33-OD-0200	Huang 2025	HUANG25_EA_vs_UC_OPIOID24	Opioid consumption	Exact cumulative postoperative opioid consumption	0-24 h	Not reported	43	45							mg/µg	NOT REPORTED	PCA drug/composition and consumption are not reported; rescue analgesia was ketorolac, a non-opioid NSAID
V33-OD-0201	Huang 2024	HUANG24_CONTRA_vs_SHAM_VASD1	Pain	VAS during walking/knee movement	POD1	Mean/SD	38	38	53.16	9.99	56.71	9.84			VAS 0-100	INCLUDE	Three-arm trial; 6 did not complete allocated intervention but authors state ITT and follow-up was obtained for all 114
V33-OD-0202	Huang 2024	HUANG24_IPSI_vs_SHAM_VASD1	Pain	VAS during walking/knee movement	POD1	Mean/SD	38	38	53.5	10.79	56.71	9.84			VAS 0-100	INCLUDE	Three-arm trial; 6 did not complete allocated intervention but authors state ITT and follow-up was obtained for all 114
V33-OD-0203	Huang 2024	HUANG24_CONTRA_vs_SHAM_PCA_D2	Opioid demand	Additional PCA dose/release	POD2; 24 h after first EA session, not necessarily 24 h after surgery	Median/IQR	38	38							source unit not reported	NARRATIVE ONLY	PCA drug, dose per release and outcome unit are not reported; timing is 24 h after first EA rather than explicitly 24 h after surgery
V33-OD-0204	Huang 2024	HUANG24_OPIOID24	Opioid consumption	Exact cumulative postoperative opioid dose	0-24 h	Not calculable	38	38							MME	HOLD	PCA drug identity/composition, bolus dose and exact 24-h-after-surgery exposure are unavailable
V33-OD-0205	Hou 2023	HOU23_TEAS_vs_SHAM_PONV	PONV	PONV incidence	Postoperative / reported review window	Events/total	36	36					4	12	participants	INCLUDE	Two withdrawals (one/group) for personal reasons; no blinding-success test despite active 6-15 mA vibration vs no current
V33-OD-0206	Hou 2023	HOU23_TEAS_vs_SHAM_PAIN_D2	Pain	VAS-P pain	D2 = one day after surgery, not exact clock-time 24 h	Median/IQR	36	36							VAS 0-100 mm	NARRATIVE ONLY	D2 is author-defined as one day after surgery; do not silently label it exact 24 h
V33-OD-0207	Hou 2023	HOU23_TEAS_vs_SHAM_RESCUE	Rescue analgesia	Any rescue flurbiprofen use	Postoperative	Events/total	36	36					15	28	participants	INCLUDE	Flurbiprofen is an NSAID, not an opioid
V33-OD-0208	Hou 2023	HOU23_TEAS_vs_SHAM_OPIOID24	Opioid consumption	Actual total postoperative sufentanil consumption	0-24 h	Not reported	36	36							µg sufentanil	NOT REPORTED	PCIA concentration and basal/bolus settings are known, but actual bolus use/total delivered sufentanil are not reported; fixed basal exposure is not total consumption
V33-OD-0209	Huang 2017	HUANG17_2100_vs_CTRL_REMI	Intraoperative opioid	Total opioid as remifentanil-equivalent rate	Intraoperative	Mean/SD	20	20	0.1128	0.034	0.1617	0.037			µg/kg/min remifentanil-equivalent	INCLUDE	Four-arm frequency trial; preserve each active frequency separately
V33-OD-0210	Huang 2017	HUANG17_2HZ_vs_CTRL_REMI	Intraoperative opioid	Total opioid as remifentanil-equivalent rate	Intraoperative	Mean/SD	20	20	0.1718	0.066	0.1617	0.037			µg/kg/min remifentanil-equivalent	INCLUDE	Four-arm frequency trial; preserve each active frequency separately
V33-OD-0211	Huang 2017	HUANG17_100HZ_vs_CTRL_REMI	Intraoperative opioid	Total opioid as remifentanil-equivalent rate	Intraoperative	Mean/SD	20	20	0.1451	0.036	0.1617	0.037			µg/kg/min remifentanil-equivalent	INCLUDE	Four-arm frequency trial; preserve each active frequency separately
V33-OD-0212	Huang 2017	HUANG17_POSTOP_SUF_AGG	Opioid consumption	Published postoperative sufentanil aggregate	Observation window unclear	Mean/SD	20	20	1.67	0.59	1.32	0.48			µg/kg sufentanil	HOLD	Methods mention 6/12/24/48-h assessments but Table 5 gives only one aggregate dose per group
V33-OD-0213	Huang 2017	HUANG17_OPIOID24	Opioid consumption	Exact cumulative postoperative sufentanil consumption	0-24 h	Not reported	20	20							µg/kg sufentanil	NOT REPORTED	Exact 24-h group values and PCA demand/delivery counts are not published
V33-OD-0214	He 2026 (hepatectomy/JIS)	HEJIS26_TEAS_vs_CTRL_MME24	Opioid consumption	Total postoperative opioid consumption in morphine equivalents	0-24 h	Mean/SD	80	79	20	2.5	20.6	4.5			mg MME	INCLUDE	Supplemental eTable 1 directly reports MME; mITT excludes one canceled surgery and one consent withdrawal after randomization
V33-OD-0215	He 2026 (hepatectomy/JIS)	HEJIS26_TEAS_vs_CTRL_PONV24	PONV	PONV incidence	0-24 h	Events/total	80	79					19	21	participants	INCLUDE	Primary trial outcome; no meaningful between-group difference
V33-OD-0216	He 2026 (hepatectomy/JIS)	HEJIS26_TEAS_vs_CTRL_PCAATT24	Opioid demand	PCA attempts	24 h	Mean/SD	80	79	2.7	3.3	3.5	6.1			attempts	INCLUDE	Fewer attempts despite no difference in total MME
V33-OD-0217	He 2026 (breast/WJCO)	HEBREAST26_EA_vs_SHAM_MODMOV24	Pain	Moderate-to-severe movement-evoked pain (VAS >4)	24 h	Events/total	65	65					32	42	participants	INCLUDE	All 130 analyzed; participant masking intended with shallow sham puncture, but sensory differences were possible
V33-OD-0218	He 2026 (breast/WJCO)	HEBREAST26_EA_vs_SHAM_VASMOV24	Pain	Movement VAS	24 h	Mean/SD	65	65	2.862	0.233	3.954	0.233			VAS	INCLUDE	Article labels values mean±SD, but identical very small dispersions across arms/timepoints warrant source-verification caution
V33-OD-0219	He 2026 (breast/WJCO)	HEBREAST26_EA_vs_SHAM_VASREST24	Pain	Resting VAS	24 h	Mean/SD	65	65	1.789	0.174	2.692	0.174			VAS	INCLUDE	Same dispersion-format caution as movement VAS
V33-OD-0220	He 2026 (breast/WJCO)	HEBREAST26_OPIOID24	Opioid consumption	Cumulative rescue morphine consumption	0-24 h	Not reported	65	65							mg IV morphine	NOT REPORTED	Rescue morphine 1-3 mg IV was allowed, but authors explicitly state rescue opioid consumption was not recorded or compared
V33-OD-0221	Gu 2019	GU19_LTEAS_vs_CTEAS_VAS24	Pain	VAS pain intensity	24 h	Mean/SD	58	59	1.98	0.39	2.72	0.73			VAS 0-10	INCLUDE	Three randomized patients excluded; active 5-30 mA stimulation vs sham no current with no blinding-success assessment
V33-OD-0222	Gu 2019	GU19_LTEAS_vs_CTEAS_BOWEL	GI recovery	Time to first bowel sounds	Postoperative	Mean/SD	58	59	19.69	7.61	26.58	7.43			hours	INCLUDE	First flatus/defecation were patient self-recorded; bowel sounds were nurse-assessed
V33-OD-0223	Gu 2019	GU19_LTEAS_vs_CTEAS_FLATUS	GI recovery	Time to first flatus	Postoperative	Mean/SD	58	59	36.58	10.75	43.56	9.57			hours	INCLUDE	First flatus/defecation were patient self-recorded; bowel sounds were nurse-assessed
V33-OD-0224	Gu 2019	GU19_LTEAS_vs_CTEAS_DEFEC	GI recovery	Time to first defecation	Postoperative	Mean/SD	58	59	71.48	20.62	77.27	22.67			hours	INCLUDE	First flatus/defecation were patient self-recorded; bowel sounds were nurse-assessed
V33-OD-0225	Gu 2019	GU19_LTEAS_vs_CTEAS_PCIA4	PCIA solution volume	Cumulative multimodal PCIA solution consumed	4 h	Mean/SD	58	59	10.02	2.26	13.38	2.98			mL multimodal PCIA solution	INCLUDE	Pump also contains dexmedetomidine, flurbiprofen and palonosetron; exact 24-h value is graph-only | V34: Solution contains sufentanil, dexmedetomidine, flurbiprofen and palonosetron. No v34 conversion
V33-OD-0226	Gu 2019	GU19_LTEAS_vs_CTEAS_PCIA8	PCIA solution volume	Cumulative multimodal PCIA solution consumed	8 h	Mean/SD	58	59	20.55	4.59	24.63	3.94			mL multimodal PCIA solution	INCLUDE	Pump also contains dexmedetomidine, flurbiprofen and palonosetron; exact 24-h value is graph-only | V34: Solution contains sufentanil, dexmedetomidine, flurbiprofen and palonosetron. No v34 conversion
V33-OD-0227	Gu 2019	GU19_LTEAS_vs_CTEAS_PCIA36	PCIA solution volume	Cumulative multimodal PCIA solution consumed	36 h	Mean/SD	58	59	72.64	9.74	76.01	10.43			mL multimodal PCIA solution	INCLUDE	Pump also contains dexmedetomidine, flurbiprofen and palonosetron; exact 24-h value is graph-only | V34: Solution contains sufentanil, dexmedetomidine, flurbiprofen and palonosetron. No v34 conversion
V33-OD-0228	Gu 2019	GU19_OPIOID24	PCIA solution volume	Cumulative multimodal PCIA solution volume	0-24 h	Graph-only continuous data	58	59							mL multimodal PCIA solution	GRAPH ONLY	24-h PCIA point is visible graphically but not numerically reported | V34: Solution contains sufentanil, dexmedetomidine, flurbiprofen and palonosetron. No v34 conversion to opioid mass.
V33-OD-0229	Guo 2023	GUO23_TEAS_vs_SHAM_POCD1	Neurocognitive	Postoperative cognitive dysfunction (MoCA decline ≥1 SD)	POD1	Events/total	55	55					11	36	participants	INCLUDE	18/128 randomized participants excluded from analysis, including conversions, repeat surgery, refusal and deaths
V33-OD-0230	Guo 2023	GUO23_TEAS_vs_SHAM_POCD7	Neurocognitive	Postoperative cognitive dysfunction (MoCA decline ≥1 SD)	POD7	Events/total	55	55					4	24	participants	INCLUDE	18/128 randomized participants excluded from analysis, including conversions, repeat surgery, refusal and deaths
V33-OD-0231	Guo 2023	GUO23_TEAS_vs_SHAM_POCD30	Neurocognitive	Postoperative cognitive dysfunction (MoCA decline ≥1 SD)	POD30	Events/total	55	55					2	22	participants	INCLUDE	18/128 randomized participants excluded from analysis, including conversions, repeat surgery, refusal and deaths
V33-OD-0232	Guo 2023	GUO23_TEAS_vs_SHAM_REMI	Intraoperative opioid	Remifentanil consumption	Intraoperative	Mean/SD	55	55	0.87	0.3	1.01	0.39			mg remifentanil	INCLUDE	Complete-case n=55/group
V33-OD-0233	Guo 2023	GUO23_PAINPOD1	Pain	NRS pain intensity	POD1	Graph-only continuous data	55	55							NRS	GRAPH ONLY	Exact means/SDs are figure-only
V33-OD-0234	Guo 2023	GUO23_OPIOID24	Opioid consumption	Actual postoperative sufentanil consumption	0-24 h	Not reported	55	55							µg sufentanil	NOT REPORTED	PCIA prescription is reported but actual delivered 24-h/48-h sufentanil is not
V33-OD-0235	Grech 2016	GRECH16_EA_vs_CTRL_PACU_MME_WOMEN	Opioid consumption	PACU analgesic requirement in women-only subgroup	PACU	Graph-only morphine-equivalent outcome	9	9							mg morphine-equivalent	GRAPH ONLY	Post hoc women-only subgroup excludes two men from EA arm; exact means/SEM are not tabulated
V33-OD-0236	Grech 2016	GRECH16_EA_vs_CTRL_OPIOID24	Opioid consumption	Exact cumulative 24-h postoperative morphine-equivalent consumption	0-24 h	Not reported									mg morphine-equivalent	NOT REPORTED	Day-1 analgesic use is graphical and exact 24-h mean/dispersion is not tabulated
V33-OD-0237	Grech 2016	GRECH16_EA_vs_CTRL_PAIN	Pain	Postoperative VAS pain	PACU and POD1-3	Graph-only continuous data									VAS 0-10	GRAPH ONLY	Exact numeric pain means/SEM are not tabulated
V33-OD-0238	Gao 2021	GAO21_TEAS_vs_SHAM_POI	GI recovery	Postoperative paralytic ileus: no flatus >72 h	Postoperative	Events/total	303	307					98	126	participants	INCLUDE	Full ITT of all 610 randomized; participant sensory masking limited because active TEAS was perceptible
V33-OD-0239	Gao 2021	GAO21_TEAS_vs_SHAM_FLATUS	GI recovery	Time to first flatus	Postoperative	Mean/SD	303	307	63.4	29	76.3	37.9			hours	INCLUDE	Full randomized sample retained; participant awareness may influence self-reported GI milestones
V33-OD-0240	Gao 2021	GAO21_TEAS_vs_SHAM_DEFEC	GI recovery	Time to first defecation	Postoperative	Mean/SD	303	307	106.7	65.6	121.5	65.6			hours	INCLUDE	Full randomized sample retained; participant awareness may influence self-reported GI milestones
V33-OD-0241	Gao 2021	GAO21_TEAS_vs_SHAM_DIET	GI recovery	Time to resume normal diet	Postoperative	Mean/SD	303	307	373.9	224.9	425.5	235.6			hours	INCLUDE	Full randomized sample retained; participant awareness may influence self-reported GI milestones
V33-OD-0242	Gao 2021	GAO21_OPIOID24	Opioid consumption	Exact cumulative postoperative opioid consumption	0-24 h	Not reported	303	307							mg/µg	NOT REPORTED	Main article reports only whether postoperative analgesia was used, not drug-specific dose/route/PCA consumption
V33-OD-0243	Yeh 2010	YEH10_AES_vs_SHAM_MORPH24	Opioid consumption	24-h morphine PCA dose	First 24 postoperative hours	Mean/SD	33	30	18.6	9.7	21.6	13.1			mg morphine; source explicitly calls PCA epidural	DUPLICATE HOLD	Probable overlapping publication/cohort with Yeh 2011. Five of 99 entrants did not complete and randomized arm assignment of losses is NR. Do not treat both papers as independent.
V33-OD-0244	Yeh 2010	YEH10_AES_vs_CONTROL_MORPH24	Opioid consumption	24-h morphine PCA dose	First 24 postoperative hours	Mean/SD	33	31	18.6	9.7	27.2	12.5			mg morphine; source explicitly calls PCA epidural	DUPLICATE HOLD	Same probable overlapping cohort issue; route must not be silently recoded as IV.
V33-OD-0245	Yeh 2011	YEH11_AES_vs_SHAM_MORPH24	Opioid consumption	24-h IV morphine PCA dose	First 24 postoperative hours	Mean/SD	30	30	19.3	9.7	21.6	13.1			mg IV morphine	DUPLICATE HOLD	Highly similar to Yeh 2010 in population, acupoints, comparator and 24-h opioid values; do not count independently until cohort/publication linkage is adjudicated.
V33-OD-0246	Yeh 2011	YEH11_AES_vs_CONTROL_MORPH24	Opioid consumption	24-h IV morphine PCA dose	First 24 postoperative hours	Mean/SD	30	30	19.3	9.7	28	12.1			mg IV morphine	DUPLICATE HOLD	Sequential allocation without sealed envelopes; probable overlapping publication family with Yeh 2010.
V33-OD-0247	Wong 2006	WONG06_EA_vs_SHAM_MORPHD0	Opioid consumption	IV PCA morphine consumption	Day 0	Mean/SD	13	12	8.3	4.9	7.8	6.4			mg IV morphine	INCLUDE	Both groups also received scheduled oral dextropropoxyphene. Two randomized sham patients were excluded after serious postoperative complications.
V33-OD-0248	Wong 2006	WONG06_EA_vs_SHAM_MORPHD1	Opioid consumption	IV PCA morphine consumption	Day 1	Mean/SD	13	12	18	8.8	18.8	9.8			mg IV morphine	INCLUDE	Both groups also received scheduled oral dextropropoxyphene. Two randomized sham patients were excluded after serious postoperative complications.
V33-OD-0249	Wong 2006	WONG06_EA_vs_SHAM_MORPHD2	Opioid consumption	IV PCA morphine consumption	Day 2	Mean/SD	13	12	7.5	5	15.7	12			mg IV morphine	INCLUDE	Both groups also received scheduled oral dextropropoxyphene. Two randomized sham patients were excluded after serious postoperative complications.
V33-OD-0250	Wong 2006	WONG06_EA_vs_SHAM_MORPHTOTAL	Opioid consumption	IV PCA morphine consumption	First 3 postoperative days total	Mean/SD	13	12	33.9	12.8	42.3	21.3			mg IV morphine	INCLUDE	Both groups also received scheduled oral dextropropoxyphene. Two randomized sham patients were excluded after serious postoperative complications.
V33-OD-0251	Wong 2006	WONG06_EA_vs_SHAM_OPIOID24	Opioid consumption	Exact total opioid exposure	0-24 h	Not reported	13	12							mg MME	NOT REPORTED	Day labels are not defined as exact consecutive 24-h windows and scheduled dextropropoxyphene contributes additional opioid exposure.
V33-OD-0252	El-Rakshy 2009	ELR09_EA_vs_CTRL_MORPH24	Opioid consumption	Total IV morphine analgesia	First 24 h	Mean/SD	42	53	35.3	18	36.9	18			mg IV morphine	INCLUDE	Publication has irreconcilable allocation/analyzed group labels. Use Table 2 n=42 EA and n=53 control for this result; do not substitute overall study denominators.
V33-OD-0253	El-Rakshy 2009	ELR09_EA_vs_CTRL_MORPH4	Opioid consumption	Total IV morphine analgesia	First 4 h	Mean/SD	40	53	13.4	7.5	13.2	8.6			mg IV morphine	INCLUDE	Again preserve outcome-specific n=40 EA and n=53 control.
V33-OD-0254	An 2014	AN14_EA_vs_CTRL_FENT48	Opioid consumption	Total postoperative fentanyl PCIA dose	Through reported 48-h PCIA period	Mean/SD	41	40	0.67	0.09	0.73	0.12			mg fentanyl	INCLUDE	Seven of 88 randomized patients were excluded from analysis; total fentanyl is not isolated to 0-24 h.
V33-OD-0255	An 2014	AN14_EA_vs_CTRL_OPIOID24	Opioid consumption	Exact cumulative postoperative fentanyl	0-24 h	Not reported	41	40							mg/µg fentanyl	NOT REPORTED	Published bolus activity is split 0-6 h and 6-48 h; exact 0-24-h fentanyl cannot be reconstructed.
V33-OD-0256	Chen 2015	CHEN15Q_TEAS_vs_CTRL_QOR40	Quality of recovery	Global QoR-40	24 h	Median/IQR	41	42							QoR-40 points	NARRATIVE ONLY	One TEAS participant excluded for protocol breach; active 6-9 mA stimulation vs no-current control may compromise patient blinding for a patient-reported primary outcome.
V33-OD-0257	Chen 2015	CHEN15Q_TEAS_vs_CTRL_PONV24	PONV	PONV incidence	0-24 h	Events/total	41	42					10	26	participants	INCLUDE	Use analyzed denominators 41 and 42.
V33-OD-0258	Chen 2015	CHEN15Q_TEAS_vs_CTRL_RESCUEMORPH24	Opioid consumption	Cumulative rescue IV morphine dose derived from fixed 2-mg rescue administrations	0-24 h	Median/IQR	41	42							mg IV morphine	NARRATIVE ONLY	Source reports rescue-administration count 1 (1-3) vs 3.5 (2-7); each rescue administration was fixed at morphine 2 mg. Linear conversion to mg is exact, but the source itself reports counts rather th
V33-OD-0259	Chen 2015 (Hyperalgesia)	CHEN15H_TEAS_vs_SHAM_RESCUECOUNT24	Opioid demand	Cumulative number of rescue sufentanil PCIA boluses	0-24 h	Median/IQR	29	30							boluses	NARRATIVE ONLY	One TEAS participant excluded for protocol breach. Do not convert using group-average body weight to absolute µg.
V33-OD-0260	Chen 2015 (Hyperalgesia)	CHEN15H_TEAS_vs_SHAM_SUFKG24	Opioid consumption	Derived cumulative sufentanil dose from fixed 0.05 µg/kg bolus	0-24 h	Median/IQR	29	30							µg/kg sufentanil	NARRATIVE ONLY	Exact linear conversion from 0.05 µg/kg per bolus × reported bolus count. Do not convert to absolute µg or MME without individual body weights.
V33-OD-0261	Chen 2015 (Hyperalgesia)	CHEN15H_TEAS_vs_SHAM_PONV24	PONV	PONV incidence	0-24 h	Events/total	29	30					5	13	participants	INCLUDE	Use 29 analyzed TEAS and 30 control; one TEAS protocol-breach exclusion.
V33-OD-0262	Ao 2021	AO21_TEAS_vs_SHAM_PCA48	Opioid demand	Cumulative PCA solution consumption	48 h	Mean/SD	32	33	102.8	7.4	120.6	9.2			mL PCA solution	INCLUDE	Exact 24-h sufentanil total is not reported; the earlier 24-h VAS row is graph-digitized and remains derived.
V33-OD-0263	Wu 2016	WU16_TAES_vs_ACTIVE_OPIOID24	Opioid consumption	Exact cumulative postoperative opioid/tramadol consumption	0-24 h	Not reported	27	27							mg tramadol (IV rescue)	NOT REPORTED	IV tramadol 100 mg was available as rescue, but group-specific cumulative dose/number of rescues for 0-24 h is not reported.
V33-OD-0264	Wu 2016	WU16_TAES_vs_UC_OPIOID24	Opioid consumption	Exact cumulative postoperative opioid/tramadol consumption	0-24 h	Not reported	27	27							mg tramadol (IV rescue)	NOT REPORTED	Rescue analgesic demand was lower with true TAES vs no TAES, but exact 0-24-h tramadol dose/number of rescues is not reported.
V33-OD-0265	Wu 2016	WU16_TAES_vs_ACTIVE_REST24	Pain	VAS pain intensity at rest	24 h postoperatively	Graph-only continuous data	27	27							VAS 0-10	GRAPH ONLY	Exact 24-h mean/SD are shown only in Figure 1A; do not infer numeric values from the plot without formal digitization.
V33-OD-0266	Wu 2016	WU16_TAES_vs_UC_REST24	Pain	VAS pain intensity at rest	24 h postoperatively	Graph-only continuous data	27	27							VAS 0-10	GRAPH ONLY	Exact 24-h mean/SD are shown only in Figure 1A; do not infer numeric values from the plot without formal digitization.
V33-OD-0267	Wu 2016	WU16_TAES_vs_ACTIVE_COUGH24	Pain	VAS pain intensity during coughing	24 h postoperatively	Graph-only continuous data	27	27							VAS 0-10	GRAPH ONLY	Exact 24-h mean/SD are shown only in Figure 1B; do not infer numeric values from the plot without formal digitization.
V33-OD-0268	Wu 2016	WU16_TAES_vs_UC_COUGH24	Pain	VAS pain intensity during coughing	24 h postoperatively	Graph-only continuous data	27	27							VAS 0-10	GRAPH ONLY	Exact 24-h mean/SD are shown only in Figure 1B; do not infer numeric values from the plot without formal digitization.
V33-OD-0269	Wu 2016	WU16_TAES_vs_ACTIVE_PONV	PONV	Postoperative nausea/vomiting incidence	Postoperative period; exact window not reported	Events/total	27	27					3	8	participants	INCLUDE	Table II does not specify the postoperative complication ascertainment window; do not relabel as 0-24 h.
V33-OD-0270	Wu 2016	WU16_TAES_vs_UC_PONV	PONV	Postoperative nausea/vomiting incidence	Postoperative period; exact window not reported	Events/total	27	27					3	9	participants	INCLUDE	Table II does not specify the postoperative complication ascertainment window; do not relabel as 0-24 h.
V33-OD-0271	Wu 2016	WU16_TAES_vs_ACTIVE_LOS	Recovery	Hospital length of stay	Postoperative hospitalization	Mean/SD	27	27	8.7	1.9	11.5	1.6			days	INCLUDE	Three-arm RCT with 3 post-randomization exclusions per arm; pairwise P not reported.
V33-OD-0272	Wu 2016	WU16_TAES_vs_UC_LOS	Recovery	Hospital length of stay	Postoperative hospitalization	Mean/SD	27	27	8.7	1.9	10.3	1.5			days	INCLUDE	Three-arm RCT with 3 post-randomization exclusions per arm; pairwise P not reported.
V33-OD-0273	Wu 2016	WU16_TAES_vs_UC_RESCUE	Rescue analgesia	Rescue IV tramadol requirement	Postoperative period; exact window not reported	Qualitative / exact quantities unavailable	27	27							100 mg IV tramadol per rescue	HOLD	Authors report significantly lower rescue analgesic demand with true TAES vs no TAES, but no exact participant counts, number of doses, or cumulative tramadol dose are tabulated.
V33-OD-0274	Gao 2022	GAO22_TEAS_vs_SHAM_SUFPUMP24	Opioid consumption	Cumulative postoperative sufentanil delivered by analgesic pump	0-24 h	Median/IQR	827	828							µg sufentanil	NARRATIVE ONLY	Analgesic pump was individualized; 72.2% TEAS vs 71.0% sham received sufentanil pump. Preserve the reported full-group median/IQR including zeros; do not relabel as mean/SD.
V33-OD-0275	Gao 2022	GAO22_TEAS_vs_SHAM_PAIN24	Pain	24 h postoperative pain VAS score	0-24 h / 24 h assessment	Mean/SD	827	828	2	1.7	2.2	1.8			VAS 0-10	INCLUDE	Patient-reported subjective outcome; the authors state patients could not be fully blinded because true stimulation was perceptible. Outcome-specific RoB should be assessed separately from the opioid 
V33-OD-0276	Gao 2022	GAO22_TEAS_vs_SHAM_PONV24	PONV	Any postoperative nausea and/or retching and/or vomiting	0-24 h	Events/total	827	828					243	283	participants with PONV	INCLUDE	Use raw events/total for unadjusted RR. The composite includes subjective nausea and patients were not fully blinded to stimulation sensation; outcome-specific RoB may be higher than for the objective
V33-OD-0277	Gao 2022	GAO22_TEAS_vs_SHAM_VOMIT24	PONV	Postoperative vomiting incidence	0-24 h	Events/total	827	828					86	147	participants with vomiting	INCLUDE	Use raw events/total rather than the adjusted logistic OR for meta-analysis unless the protocol specifies adjusted effects. Sensory blinding was imperfect.
V33-OD-0278	Gao 2022	GAO22_TEAS_vs_SHAM_PERSISTNAUSEA24	PONV	Persistent nausea (>5 min)	0-24 h	Events/total	827	828					18	42	participants with persistent nausea	INCLUDE	Subjective nausea outcome with imperfect participant blinding; keep separate from composite PONV and vomiting.
V33-OD-0279	Gao 2022	GAO22_TEAS_vs_SHAM_SUFINTRA	Intraoperative opioid	Intraoperative sufentanil dose	Intraoperative	Median/IQR	827	828							µg sufentanil	NARRATIVE ONLY	Preserve native median/IQR; do not relabel as mean/SD.
V33-OD-0280	Gao 2022	GAO22_TEAS_vs_SHAM_REMIINTRA	Intraoperative opioid	Intraoperative remifentanil dose	Intraoperative	Median/IQR	827	828							µg remifentanil	NARRATIVE ONLY	Preserve native median/IQR; do not relabel as mean/SD.
V33-OD-0281	Liu 2015	LIU15_TEAS_vs_SHAM_OPIOID24	Opioid consumption	Exact cumulative postoperative sufentanil PCIA consumption	0-24 h	Not reported	44	44							µg sufentanil	NOT REPORTED	PCIA contained sufentanil 100 µg in 50 mL at 1 mL/h with 0.5-mL patient boluses. Basal infusion alone is not total consumption; cumulative bolus count/dose and total 0-24-h sufentanil are not reported
V33-OD-0282	Liu 2015	LIU15_TEAS_vs_SHAM_SUFINTRA	Intraoperative opioid	Total intraoperative sufentanil consumption	Intraoperative	Mean/SD	44	44	95.6	21.76	117.7	37.95			µg sufentanil	INCLUDE	Four post-randomization exclusions (2/group) met prespecified withdrawal criteria; total-dose outcome is objective but exclusions may affect the estimand.
V33-OD-0283	Liu 2015	LIU15_TEAS_vs_SHAM_PROPINTRA	Intraoperative anesthetic	Total intraoperative propofol consumption	Intraoperative	Mean/SD	44	44	216.3	67.72	234.1	71.3			mg propofol	INCLUDE	Objective total propofol dose; four post-randomization exclusions (2/group).
V33-OD-0284	Liu 2015	LIU15_TEAS_vs_SHAM_RESP	Recovery	Time to spontaneous respiration after anesthesia	Immediate postoperative recovery	Mean/SD	44	44	16	9.99	23.4	14.13			minutes	INCLUDE	Directly reported recovery-time endpoint; four post-randomization exclusions (2/group).
V33-OD-0285	Liu 2015	LIU15_TEAS_vs_SHAM_EXTUB	Recovery	Extubation time	Immediate postoperative recovery	Mean/SD	44	44	26.6	14.17	33.7	17.4			minutes	INCLUDE	Directly reported recovery-time endpoint; four post-randomization exclusions (2/group).
V33-OD-0286	Liu 2015	LIU15_TEAS_vs_SHAM_EYEOPEN	Recovery	Eye-opening time	Immediate postoperative recovery	Mean/SD	44	44	22.2	12.04	28.2	17.74			minutes	INCLUDE	Directly reported recovery-time endpoint; four post-randomization exclusions (2/group).
V33-OD-0287	Liu 2015	LIU15_TEAS_vs_SHAM_MOVE	Recovery	Time to spontaneous movement	Immediate postoperative recovery	Mean/SD	44	44	27.5	13.79	34.3	22.59			minutes	INCLUDE	Directly reported recovery-time endpoint; four post-randomization exclusions (2/group).
V33-OD-0288	Liu 2015	LIU15_TEAS_vs_SHAM_REORIENT	Recovery	Time to reorientation	Immediate postoperative recovery	Mean/SD	44	44	35.3	16.11	42.7	19.8			minutes	INCLUDE	Directly reported recovery-time endpoint; four post-randomization exclusions (2/group).
V33-OD-0289	Liu 2015	LIU15_TEAS_vs_SHAM_ORDISCH	Recovery	Time to discharge from operating room	Immediate postoperative recovery	Mean/SD	44	44	39.8	15.74	48.7	16.7			minutes	INCLUDE	Directly reported recovery-time endpoint; four post-randomization exclusions (2/group).
V33-OD-0290	Liu 2015	LIU15_TEAS_vs_SHAM_PAINPOD1	Pain	Postoperative VAS pain score	Postoperative day 1	Graph-only continuous data	44	44							VAS 0-10	GRAPH ONLY	Exact Postoperative day 1 mean/SD are shown only in Figure 2; do not infer numeric values from the plot without formal digitization.
V33-OD-0291	Liu 2015	LIU15_TEAS_vs_SHAM_PAINPOD2	Pain	Postoperative VAS pain score	Postoperative day 2	Graph-only continuous data	44	44							VAS 0-10	GRAPH ONLY	Exact Postoperative day 2 mean/SD are shown only in Figure 2; do not infer numeric values from the plot without formal digitization.
V33-OD-0292	Liu 2015	LIU15_TEAS_vs_SHAM_PAINPOD3	Pain	Postoperative VAS pain score	Postoperative day 3	Graph-only continuous data	44	44							VAS 0-10	GRAPH ONLY	Exact Postoperative day 3 mean/SD are shown only in Figure 2; do not infer numeric values from the plot without formal digitization.
