covidence_number,title,full_text_retrieved,source_type,source_description,pdf_available,pdf_status,complete_html_used,identity_verified,eligibility_vote_cast,screening_sequence,retrieval_incident,notes,full_article_title,full_article_citation,full_article_local_path,human_readjudication_required
124,[Effect of electroacupuncture on intestinal function after gastric cancer surgery].,no,abstract_and_broken_pdf_link,PubMed/DOI abstract metadata only; journal/CNKI full-text route unusable and no Lund Finn record.,unknown,not_retrieved,no,yes,no,,FULL_TEXT_LINK_BROKEN,Left vote-required; does not count toward the sequence target.,,,,
128,Effectiveness of an immediate postoperative electroacupuncture session for the recovery of gastrointestinal function after laparoscopic cholecystectomy: a randomized controlled trial.,yes,institutional_pdf,Complete 11-page SAGE/EBSCOhost PDF accessed through Lund University Libraries.,yes,downloaded_local_only,no,yes,yes,128,,"Included; complete PDF saved locally, extracted and rendered; vote verified after reload.",,,,
129,Acupoint injection and electrical stimulation for postoperative nausea and vomiting: A randomized clinical trial.,yes,complete_publisher_html,Complete institutional ScienceDirect HTML with Methods and Results; matching eight-page PDF opened and text-checked.,yes,externally_viewed_not_saved,yes,yes,yes,129,,Included; four-arm design provides separable TEAS-versus-sham comparison; vote verified after reload.,,,,
152,Transcutaneous Electrical Acupoint Stimulation Improves Postoperative Nutrition and Promotes Early Recovery of Gastrointestinal Function in Patients with Colorectal Cancer.,no,publisher_abstract_paywall,Bentham publisher page exposed abstract only and a paid PDF purchase option; Lund Finn had no matching resource.,paywalled,not_retrieved,no,yes,no,,FULL_TEXT_NOT_RETRIEVED,Left vote-required; does not count toward the sequence target.,,,,
155,[Effect of transcutaneous electrical acupoint stimulation on postoperative pain in patients undergoing modified radical mastectomy for breast cancer].,no,publisher_abstract_access_blocked,CNKI Overseas exact record exposed abstract and outline only; full download blocked by access/security verification; Lund Finn had no record.,yes_but_not_retrieved,not_retrieved,no,yes,no,,FULL_TEXT_NOT_RETRIEVED,Left vote-required; does not count toward the sequence target.,,,,
174,[Effect of electroacupuncture pretreatment on the quality of recovery in the patients undergoing laparoscopic gastrointestinal surgery].,no,publisher_abstract_access_blocked,CNKI Overseas exact record exposed abstract and outline only; complete download required unresolved access verification; Lund Finn had no record.,yes_but_not_retrieved,not_retrieved,no,yes,no,,FULL_TEXT_NOT_RETRIEVED,Left vote-required; does not count toward the sequence target.,,,,
190,[Effect of transcutaneous electrical acupoint stimulation on postoperative recovery quality in patients undergoing endoscopic sinus surgery: a randomized controlled trial].,no,publisher_abstract_access_blocked,CNKI Overseas exact record exposed abstract and outline only; complete download required unresolved access verification; Lund Finn had no record.,yes_but_not_retrieved,not_retrieved,no,yes,no,,FULL_TEXT_NOT_RETRIEVED,Left vote-required; does not count toward the sequence target.,,,,
193,"Effect of Electroacupuncture Added to ERAS on Perioperative Parameters and Postoperative Quality of Life in Breast Cancer: A Single-Center, Randomized Controlled Trial.",yes,complete_publisher_html,Complete institutional ScienceDirect HTML with Methods and Results; matching nine-page PDF opened and text-checked.,yes,externally_viewed_not_saved,yes,yes,yes,130,,Included with needs_human_review because eligibility allowed ages 16-70 without reporting actual minimum; vote verified after reload.,,,,
195,Transcutaneous Pericardium 6 Acupoint Electrical Stimulation Provides Comparable Antiemetic Effect to Granisetron When Combined With Dexamethasone in Patients Undergoing Breast Cancer Surgery.,yes,complete_publisher_html,Complete institutional ScienceDirect HTML with Methods and Results; matching eight-page PDF opened and text-checked.,yes,externally_viewed_not_saved,yes,yes,yes,131,,Included; adult endotracheal-GA mastectomy trial with separable P6 stimulation comparison; vote verified after reload.,,,,
212,Exploration of treatment strategies and susceptibility gene of postoperative nausea and vomiting in breast cancer patients: a randomised controlled trial.,yes,institutional_pdf,Complete nine-page Springer publisher PDF and full publisher HTML accessed through Lund University Libraries.,yes,downloaded_local_only,yes,yes,yes,132,,Included; complete PDF saved locally and vote verified after reload.,,,,
215,Transcutaneous electrical acupoint stimulation to prevent dizziness after microvascular decompression for hemifacial spasm: A randomized controlled trial.,yes,complete_publisher_html,Complete open-access ScienceDirect HTML with Methods and Results; matching six-page PDF opened and text-checked.,yes,externally_viewed_not_saved,yes,yes,yes,133,,Included; immediate post-extubation TEAS under all-GA surgery; vote verified after reload.,,,,
217,[Effect of transcutaneous electrical acupoint stimulation on postoperative cough in lung cancer patients undergoing video-assisted thoracoscopic surgery].,no,publisher_abstract_access_blocked,CNKI Overseas exact record exposed abstract and outline only; complete download required unresolved access verification; Lund Finn had no record.,yes_but_not_retrieved,not_retrieved,no,yes,no,,FULL_TEXT_NOT_RETRIEVED,Left vote-required; does not count toward the sequence target.,,,,
220,[Clinical study of electroacupuncture therapy on postoperative rehabilitation of patients with knee fractures].,no,publisher_abstract_broken_pdf_link,Official journal abstract page with a full-report link that opened Security Verification and an invalid TLS endpoint; Lund Finn had no record.,yes_but_link_broken,not_retrieved,no,yes,no,,FULL_TEXT_LINK_BROKEN,Left vote-required; does not count toward the sequence target.,,,,
230,Electroacupuncture promotes gastrointestinal function recovery in patients undergoing laparoscopic gastrectomy: a randomized controlled trial.,no,publisher_abstract_access_blocked,CNKI Overseas exact record exposed abstract and outline only; download triggered security verification/login; Lund Finn had no record.,yes_but_not_retrieved,not_retrieved,no,yes,no,,FULL_TEXT_NOT_RETRIEVED,Left vote-required; does not count toward the sequence target.,,,,
241,Electroacupuncture combined with continuous adductor canal block for postoperative analgesia in patients undergoing total knee arthroplasty.,no,publisher_abstract_access_blocked,CNKI Overseas exact record exposed abstract and outline only; complete download gated by access verification; Lund Finn had no record.,yes_but_not_retrieved,not_retrieved,no,yes,no,,FULL_TEXT_NOT_RETRIEVED,Left vote-required; does not count toward the sequence target.,,,,
244,Transcutaneous electrical acupoint stimulation for postoperative nausea and vomiting in patients undergoing craniotomy: A randomized controlled trial.,yes,complete_publisher_html,Complete institutional ScienceDirect HTML with Methods and Results; matching six-page PDF opened and text-checked.,yes,externally_viewed_not_saved,yes,yes,yes,134,,Included; immediate-recovery P6 TEAS craniotomy trial; vote verified after reload.,,,,
245,Effects of contralateral versus ipsilateral electroacupuncture for analgesia and rehabilitation after unilateral total knee arthroplasty: a randomized controlled trial.,yes,institutional_pdf,Complete 12-page SAGE article PDF retrieved through Lund University Libraries via EBSCOhost and saved locally.,yes,downloaded_local_only,no,yes,yes,135,,Included; postoperative-day-1 needle EA after TKA under GA with separable sham; vote verified after reload.,,,,
252,Effects of perioperative electroacupuncture on postoperative gastrointestinal recovery after thoracoscopic lung surgery.,yes,complete_publisher_html,Complete institutional ScienceDirect HTML with full Methods and Results; matching six-page publisher PDF opened in Chrome.,yes,externally_viewed_not_saved,yes,yes,yes,136,,Included; preoperative needle EA for VATS under intubated general anaesthesia; vote verified after reload.,,,,
273,[Effects of transcutaneous electrical acupoint stimulation on the postoperative sleep quality and inflammatory factors in frail elderly patients].,no,none,CHN DOI resolver and CNKI Overseas attempted; Lund University Finn returned no record; CNKI navigation failed with HTTP 522 and no complete report was obtained.,unknown,not_retrieved,no,yes at citation/DOI-record level only,no,,FULL_TEXT_NOT_RETRIEVED,Left unvoted under strict full-text rule; continue to next accessible citation.,,,,
280,[Effect of electroacupuncture at Baihui (GV 20) and Sishencong (EX-HN 1) on presurgical anxiety in patients with gynecological laparoscopic surgery].,no,none,CNKI Overseas exact article record exposed only abstract and outline; download/online-reading/machine-translated HTML remained gated; Lund University Finn returned no record.,yes but access-gated,not_retrieved,no,yes at citation/DOI-record level only,no,,FULL_TEXT_NOT_RETRIEVED,Left unvoted under strict full-text rule; continue to next accessible citation.,,,,
302,[Transcutaneous electrical acupoint stimulation combined with electroacupuncture for rapid recovery after abdominal surgery: a randomized controlled trial].,no,none,CNKI Overseas exact article record exposed only abstract and outline; download/online-reading/machine-translated HTML remained gated; Lund University Finn returned no record.,yes but access-gated,not_retrieved,no,yes at citation/DOI-record level only,no,,FULL_TEXT_NOT_RETRIEVED,Left unvoted under strict full-text rule; continue to next accessible citation.,,,,
308,Transcutaneous Electrical Acupoints Stimulation Improves Spontaneous Voiding Recovery After Laparoscopic Cholecystectomy: A Randomized Clinical Trial.,yes,institutional_pdf,Complete ten-page Springer publisher PDF accessed through Lund University Libraries and saved locally.,yes,downloaded_local_only,no,yes,yes,137,,Included; pre-induction TEAS for laparoscopic cholecystectomy with separable no-current sham; vote verified after reload.,,,,
352,"Effect of Electroacupuncture Based on ERAS for Preoperative Anxiety in Breast Cancer Surgery: A Single-Center, Randomized, Controlled Trial.",yes,institutional_pdf,Complete 13-page Elsevier publisher PDF accessed through Lund University Libraries and saved locally; full Methods-and-Results HTML also verified.,yes,downloaded_local_only,yes,yes,yes,138,,"Included provisionally; eligibility allowed ages 16-70 with actual minimum unreported, so needs_human_review=yes; vote verified after reload.",,,,
355,The Preventive Effect of Transcutaneous Electrical Acupoint Stimulation on Postoperative Delirium in Elderly Patients with Time Factors: A Randomized Trial.,yes,institutional_pdf,Complete nine-page publisher PDF retrieved through Lund University Libraries via EBSCOhost and saved locally.,yes,downloaded_local_only,no,yes,yes,139,,Included; elderly spine-surgery TEAS trial with intubated general anaesthesia and no-current control; vote verified after reload.,,,,
362,Transcutaneous Electrical Acupoint Stimulation Improves Postoperative Cognitive Function in Senior Patients Undergoing Video-Assisted Thoracoscopic Surgery: A Randomized Controlled Trial.,yes,institutional_pdf,Complete six-page Springer publisher PDF accessed through Lund University Libraries and saved locally.,yes,downloaded_local_only,no,yes,yes,140,,Included; older adult VATS trial explicitly under general anaesthesia with pre-induction TEAS and no-current control; vote verified after reload.,,,,
381,Preoperative electroacupuncture for postoperative nausea and vomiting in laparoscopic gynecological surgery: a randomized controlled trial.,yes,institutional_pdf,Complete 11-page SAGE publisher PDF retrieved through Lund University Libraries via EBSCOhost and saved locally.,yes,downloaded_local_only,no,yes,yes,141,,"Included; adult laparoscopic gynecology trial with preoperative needle EA, intubated TIVA and usual-care comparator; vote verified after reload.",,,,
385,[Postoperative ileus after laparotomy for gastrointestinal cancer treated with electroacupuncture: a randomized controlled trial].,no,none,CNKI Overseas exact article record exposed only abstract and outline; download/online-reading/machine-translated HTML remained gated; Lund University Finn returned no record.,yes but access-gated,not_retrieved,no,yes at citation/DOI-record level only,no,,FULL_TEXT_NOT_RETRIEVED,Left unvoted under strict full-text rule; continue to next accessible citation.,,,,
393,[Transcutaneous electrical acupoint stimulation promotes general anesthesia recovery in patients undergoing gastrointestinal surgery].,no,none,DOAJ and the official Acupuncture Research publisher page exposed the complete abstract only; the page's HTML-full-text tab contained no Methods/Results body and the only offered download was Meta-XML; Lund Finn provided the DOAJ record but no complete article.,not found,not_retrieved,no,yes at citation/DOI-record level only,no,,FULL_TEXT_NOT_RETRIEVED,Left unvoted under strict full-text rule; continue to next accessible citation.,,,,
400,Transcutaneous electrical acupoint stimulation applied in lower limbs decreases the incidence of paralytic ileus after colorectal surgery: A multicenter randomized controlled trial.,yes,institutional_pdf,Complete nine-page Elsevier PDF and complete ScienceDirect HTML retrieved through Lund University Libraries.,yes,downloaded_local_only,yes,"yes; title, authors, journal, year and DOI match the Covidence citation",yes,142,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload.,,,,
405,[Clinical efficacy of adductor canal blockade combined with transcutaneous electrical acupoint stimulation for total knee arthroplasty].,no,none,"Official journal record exposed abstract/metadata and a PDF link, but the PDF was blocked by interactive security verification; Lund Finn returned no record.",yes but access-gated,not_retrieved,no,yes at citation and DOI-record level only,no,,FULL_TEXT_NOT_RETRIEVED,Left unvoted under strict full-text rule; continue to next accessible citation.,,,,
414,Transcutaneous electrical acupoint stimulation before surgery reduces chronic pain after mastectomy: A randomized clinical trial.,yes,institutional_pdf,Complete seven-page open-access Elsevier PDF and complete ScienceDirect HTML retrieved through Lund University Libraries.,yes,downloaded_local_only,yes,"yes; title, authors, journal, year and DOI match the Covidence citation",yes,143,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload.,,,,
421,[Effect of electroacupuncture at Neiguan (PC 6) on pulmonary function during one-lung ventilation in patients with lobectomy].,no,none,PubMed exposed a detailed bilingual abstract only; no complete Methods-and-Results report was retrievable through CHN DOI or Lund Finn.,not found,not_retrieved,no,"yes at citation, PMID and DOI-record level only",no,,FULL_TEXT_NOT_RETRIEVED,Left unvoted under strict full-text rule; continue to next accessible citation.,,,,
431,"Transcutaneous Electrical Acupoint Stimulation Combined with Dexamethasone and Tropisetron Prevents Postoperative Nausea and Vomiting in Female Patients Undergoing Laparoscopic Sleeve Gastrectomy: a Prospective, Randomized Controlled Trial.",yes,institutional_pdf,Complete nine-page Springer PDF and complete publisher HTML retrieved through Lund University Libraries.,yes,downloaded_local_only,yes,"yes; title, authors, journal, year and DOI match the Covidence citation",yes,144,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload.,,,,
434,[Comparative study between electroacupuncture at Neima point and Neiguan (PC 6) and epidural nerve block for preemptive analgesia in patients undergoing thoracic surgery].,no,none,PubMed exposed a bilingual abstract only; no complete Methods-and-Results article was retrievable through CHN DOI or Lund Finn.,not found,not_retrieved,no,"yes at citation, PMID and DOI-record level only",no,,FULL_TEXT_NOT_RETRIEVED,Left unvoted under strict full-text rule; continue to next accessible citation.,,,,
437,Perioperative transcutaneous electrical acupoint stimulation for improving postoperative gastrointestinal function: A randomized controlled trial.,yes,institutional_pdf,Complete eight-page Elsevier PDF and complete ScienceDirect HTML retrieved through Lund University Libraries.,yes,downloaded_local_only,yes,"yes; title, authors, journal, year and DOI match the Covidence citation",yes,145,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload.,,,,
473,"Effect of electrically stimulating acupoint, Zusanli (ST 36), on patient's recovery after laparoscopic colorectal cancer resection: a randomized controlled trial.",no,none,"Official journal article page exposed an abstract and tokenized PDF link, but Chrome blocked the PDF and no complete readable report was obtained.",yes but browser-blocked,not_retrieved,no,"yes at citation, PMID and official article-record level only",no,,FULL_TEXT_NOT_RETRIEVED,Left unvoted under strict full-text rule; browser session failure occurred during subsequent retrieval work and the run stopped at verified sequence 145.,,,,
505,The effects of two different electrical stimulation methods on the pain intensity of the patients who had undergone abdominal surgery with a midline incision: Randomized controlled clinical trial.,yes,institutional_pdf,Complete 18-page EBSCO/Routledge PDF retrieved through Lund University Libraries.,yes,downloaded_local_only,no,"yes; title, authors, journal, year and DOI match the Covidence citation",yes,146,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload.,,,,
519,"A Randomized, Double-Blind, Sham-Controlled Study Assessing Electroacupuncture for the Management of Postoperative Pain after Percutaneous Nephrolithotomy.",no,none,"Lund University Finn, indexed sources and the publisher landing page did not provide a usable complete report; the publisher displayed a security-verification challenge.",not established,not_retrieved,no,"yes at citation, DOI and PubMed-indexed metadata level only",no,,FULL_TEXT_NOT_RETRIEVED,Left unvoted under the strict full-text rule; human retrieval or manual publisher verification is required.,,,,
546,Needleless Transcutaneous Neuromodulation Accelerates Postoperative Recovery Mediated via Autonomic and Immuno-Cytokine Mechanisms in Patients With Cholecystolithiasis.,yes,institutional_pdf_and_complete_publisher_html,Complete nine-page Wiley PDF and complete Wiley HTML retrieved through Lund University Libraries.,yes,downloaded_local_only,yes,"yes; title, authors, journal, year and DOI match the Covidence citation",yes,147,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload; human review flagged because anaesthesia type was not explicitly reported.,,,,
556,Needleless Transcutaneous Electrical Acustimulation: A Pilot Study Evaluating Improvement in Post-Operative Recovery.,no,none,"Lund University Finn, Lippincott/ACG, Ovid access, web search and institutional metadata did not provide a usable complete report.",not established,not_retrieved,no,"yes at citation, DOI, PubMed and publisher metadata level only",no,,FULL_TEXT_NOT_RETRIEVED,Left unvoted under the strict full-text rule; complete ten-page article requires Ovid/document delivery retrieval.,,,,
589,Effects of Transcutaneous Electrical Acupoint Stimulation on the Stress Response During Extubation After General Anesthesia in Elderly Patients Undergoing Elective Supratentorial Craniotomy: A Prospective Randomized Controlled Trial.,no,none,"Lund University Finn, PubMed, EBSCO metadata and web searches did not provide a usable complete report.",not established,not_retrieved,no,"yes at citation, DOI and PubMed metadata level only",no,,FULL_TEXT_NOT_RETRIEVED,Left unvoted under the strict full-text rule; complete ten-page report requires Ovid/document delivery retrieval.,,,,
600,Effects of Electroacupuncture Administered 24hours Prior to Surgery on Postoperative Nausea and Vomiting and Pain in Patients Undergoing Gynecologic Laparoscopic Surgery: A Feasibility Study.,yes,complete_institutional_publisher_html,"Complete ScienceDirect HTML containing Materials and methods, Results, tables and references retrieved through Lund University Libraries; publisher PDF opened in the browser viewer.",yes,viewed_in_browser_not_saved,yes,"yes; title, authors, journal, year and DOI match the Covidence citation",yes,148,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload.,,,,
666,"Effects of transcutaneous electrical acupoint stimulation at different frequencies on perioperative anesthetic dosage, recovery, complications, and prognosis in video-assisted thoracic surgical lobectomy: a randomized, double-blinded, placebo-controlled trial.",yes,institutional_pdf,Complete nine-page Springer PDF retrieved through Lund University Libraries/EBSCO.,yes,downloaded_local_only,no,"yes; title, authors, DOI and article metadata match the Covidence citation; print year normalized to 2017",yes,149,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload; human review flagged only because the report omits the participant age range.,,,,
681,Intraoperative and postoperative anaesthetic and analgesic effect of multipoint transcutaneous electrical acupuncture stimulation combined with sufentanil anaesthesia in patients undergoing supratentorial craniotomy.,yes,institutional_pdf,Complete eight-page BMJ/Acupuncture in Medicine PDF retrieved through Lund University Libraries/EBSCO.,yes,downloaded_local_only,no,"yes; title, authors, journal, year and DOI match the Covidence citation",yes,150,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload.,,,,
729,Effect of perioperative electroacupuncture as an adjunctive therapy on postoperative analgesia with tramadol and ketamine in prostatectomy: a randomised sham-controlled single-blind trial.,yes,institutional_pdf,Complete nine-page BMJ/Acupuncture in Medicine PDF retrieved through Lund University Libraries/EBSCO.,yes,downloaded_local_only,no,"yes; title, authors, journal, year and DOI match the Covidence citation",yes,151,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload.,,,,
742,Acupoint stimulation to improve analgesia quality for lumbar spine surgical patients.,yes,institutional_pdf_and_complete_publisher_html,Complete ten-page ScienceDirect publisher PDF and complete ScienceDirect Methods/Results HTML retrieved through Lund University Libraries.,yes,downloaded_local_only,yes,"yes; title, authors, journal, pagination and DOI match the Covidence citation",yes,152,none,Complete participant-results report screened; Covidence EXCLUDE vote registered as Wrong intervention and verified after reload. Randomized contrast confounded TEAS with auricular acupressure; no-stimulation cohort was non-randomized.,,,,
698,Electro-acupuncture decreases postoperative pain and improves recovery in patients undergoing a supratentorial craniotomy.,yes,institutional_pdf,Complete eleven-page World Scientific publisher PDF retrieved through Lund University Libraries.,yes,downloaded_local_only,no,"yes; title, authors, journal, year, pagination and DOI match the Covidence citation",yes,153,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload. Potential companion reports by the same research group were flagged for report linkage.,,,,
759,Electroacupuncture on PC6 prevents opioid-induced nausea and vomiting after laparoscopic surgery.,yes,institutional_pdf,Complete five-page Springer publisher PDF retrieved through Lund University Libraries.,yes,downloaded_local_only,yes,"yes; title, authors, journal, year, pagination and DOI match the Covidence citation",yes,154,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload. Human review flagged because the report omits participant minimum age/range.,,,,
819,"Randomised, controlled study of preoperative electroacupuncture for postoperative pain control after cardiac surgery.",yes,institutional_pdf,Complete Acupuncture in Medicine article in a six-page EBSCO PDF retrieved through Lund University Libraries.,yes,downloaded_local_only,no,"yes; title, authors, journal, year, pagination and DOI match the Covidence citation",yes,155,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload. Human review flagged for unreported participant age range and non-explicit general anaesthesia.,,,,
828,Pain reduction of acupoint electrical stimulation for patients with spinal surgery: a placebo-controlled study.,yes,institutional_pdf_and_complete_publisher_html,Complete seven-page ScienceDirect publisher PDF and complete ScienceDirect Methods/Results HTML retrieved through Lund University Libraries.,yes,downloaded_local_only,yes,"yes; title, authors, journal, year, pagination and DOI match the Covidence citation",yes,156,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload. Related Yeh/Chung spinal-surgery reports flagged for linkage review.,,,,
851,Electroacupoint stimulation for postoperative nausea and vomiting in patients undergoing supratentorial craniotomy.,no,publisher_database_and_web_retrieval_attempts,"Lund Finn DOI search, PubMed, publisher linkage and legitimate web search were attempted.",no,not_retrieved,no,"yes; title, authors, journal, year, pagination and DOI matched across Covidence and PubMed",no,,FULL_TEXT_UNAVAILABLE,Only an abstract and a request-full-text page were available; no vote cast and the citation was left awaiting human retrieval.,,,,
868,"Effect of intraoperative electroacupuncture on postoperative pain, analgesic requirements, nausea and sedation: a randomised controlled trial.",yes,institutional_pdf,Complete four-page Acupuncture in Medicine publisher PDF retrieved through Lund University Libraries.,yes,downloaded_local_only,no,"yes; title, authors, journal, year, pagination and DOI match the Covidence citation",yes,157,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload.,,,,
882,Evaluation of transcutaneous electroacupoint stimulation with the train-of-four mode for preventing nausea and vomiting after laparoscopic cholecystectomy.,yes,institutional_pdf,Complete four-page Springer Chinese Journal of Integrative Medicine publisher PDF retrieved through Lund University Libraries.,yes,downloaded_local_only,no,"yes; title, authors, journal, year, pagination and DOI match the Covidence citation",yes,158,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload.,,,,
893,Effect of transcutaneous electrical acupoint stimulation on nausea and vomiting induced by patient controlled intravenous analgesia with tramadol.,yes,institutional_pdf,Complete four-page Springer Chinese Journal of Integrative Medicine publisher PDF retrieved through Lund University Libraries.,yes,downloaded_local_only,no,"yes; title, authors, journal, year, pagination and DOI match the Covidence citation",yes,159,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload.,,,,
930,Optimal timing of acustimulation for antiemetic prophylaxis as an adjunct to ondansetron in patients undergoing plastic surgery.,yes,institutional_pdf_and_complete_publisher_html,Complete six-page Ovid/Anesthesia & Analgesia publisher PDF and complete Ovid Methods/Results HTML retrieved through Lund University Libraries.,yes,downloaded_local_only,yes,"yes; title, authors, journal, year, pagination and DOI match the Covidence citation",yes,160,none,Complete participant-results report screened; Covidence EXCLUDE vote with reason Wrong comparator registered and verified after reload.,,,,
933,Electro-acupuncture versus conventional analgesia: a comparison of pain levels during oocyte aspiration and patients' experiences of well-being after surgery.,yes,institutional_pdf_and_complete_publisher_html,Complete eight-page Oxford Academic Human Reproduction publisher PDF and complete publisher Methods/Results HTML retrieved through Lund University Libraries.,yes,downloaded_local_only,yes,"yes; title, authors, journal, issue/pages and DOI match; 2004 advance-access and 2005 issue dates explain the year difference",yes,161,none,Complete report positively established paracervical block with sedation/analgesics and no general anaesthesia; Covidence EXCLUDE vote with reason Wrong setting registered and verified after reload.,,,,
952,Effects of electroacupuncture on intraoperative and postoperative analgesic requirement.,yes,institutional_pdf_and_complete_publisher_reader,Complete ten-page Sage Acupuncture in Medicine publisher PDF and complete publisher document reader retrieved through Lund University Libraries.,yes,downloaded_local_only,yes,"yes; title, authors, journal, year, pagination and DOI match the Covidence citation",yes,162,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload.,,,,
962,The use of transcutaneous acupoint electrical stimulation for preventing nausea and vomiting after laparoscopic surgery.,no,publisher_database_and_web_retrieval_attempts,"Lund Finn, proxied Ovid/Anesthesia & Analgesia, PubMed and legitimate web searches were checked.",no,not_retrieved,no,"yes; title, authors, journal, year, pagination and DOI matched across Covidence, Ovid and PubMed",no,,FULL_TEXT_NOT_RETRIEVED,Only abstract/citation material was available; no vote cast and the citation was left awaiting human retrieval.,,,,
968,"Effect of transcutaneous electrical nerve stimulation for pain relief on patients undergoing hemorrhoidectomy: prospective, randomized, controlled trial.",yes,institutional_pdf,Complete six-page Springer Diseases of the Colon & Rectum archive PDF retrieved through Lund University Libraries.,yes,downloaded_local_only,no,"yes; title, authors, journal, year, pagination and DOI match the Covidence citation",yes,163,none,Complete report positively established perineal local anaesthesia with diazepam sedation and no general anaesthesia; Covidence EXCLUDE vote with reason Wrong setting registered and verified after reload.,,,,
973,Effect of the intensity of transcutaneous acupoint electrical stimulation on the postoperative analgesic requirement.,no,publisher_database_and_web_retrieval_attempts,"Lund Finn, proxied Ovid/LWW, a licensed LWW PDF endpoint, PubMed and legitimate web searches were checked.",no,not_retrieved,no,"yes; title, authors, journal, year, pagination and DOI matched across Covidence, Ovid/LWW and PubMed",no,,FULL_TEXT_NOT_RETRIEVED,Only abstract/citation material was available; no vote cast and the citation was left awaiting human retrieval.,,,,
774,Effects of combining electroacupuncture with general anesthesia induced by sevoflurane in patients undergoing supratentorial craniotomy and improvements in their clinical recovery profile & blood enkephalin.,yes,institutional_pdf_and_complete_publisher_html,Complete fourteen-page Sage Acupuncture & Electro-Therapeutics Research publisher PDF and complete Methods/Results HTML retrieved through Lund University Libraries.,yes,downloaded_local_only,yes,"yes; title, authors, journal, year, pagination and DOI match the Covidence citation",yes,164,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload. Covidence #1500 is an apparent duplicate citation and must not be voted separately.,,,,
786,The effects of P6 electrical acustimulation on postoperative nausea and vomiting in patients after infratentorial craniotomy.,no,publisher_database_and_web_retrieval_attempts,"Lund Finn, proxied Ovid/Journal of Neurosurgical Anesthesiology, PubMed/HERO and legitimate web searches were checked.",no,not_retrieved,no,"yes; title, authors, journal, year, pagination and DOI matched across Covidence, Ovid and PubMed/HERO",no,,FULL_TEXT_NOT_RETRIEVED,Only abstract/citation material was available; no vote cast and the citation was left awaiting human retrieval.,,,,
1448,"Effects of transcutaneous electrical acupoint stimulation at different frequencies on perioperative anesthetic dosage, recovery, complications, and prognosis in video-assisted thoracic surgical lobectomy: a randomized, double-blinded, placebo-controlled trial",yes,institutional_pdf,Complete nine-page Journal of Anesthesia PDF retrieved through Lund University Finn/EBSCOhost.,yes,downloaded_local_only,no,"yes; title, authors, journal, year, pagination and DOI match the Covidence citation",yes,165,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload. Human review flagged only because participant age range/minimum was not explicitly stated.,,,,
1470,Effect of transcutaneous electrical acupoint stimulation on postoperative analgesia after ureteroscopic lithotripsy: a randomized controlled trial,yes,institutional_pdf_and_complete_publisher_html,Complete nine-page Urolithiasis publisher PDF and complete Methods/Results HTML retrieved through Lund University Libraries.,yes,downloaded_local_only,yes,"yes; title, authors, journal, year, pagination and DOI match the Covidence citation",yes,166,none,Complete participant-results report screened; Covidence EXCLUDE vote registered as Wrong intervention and verified after reload.,,,,
1471,Effect of transcutaneous electrical acupoint stimulation on gastrointestinal function recovery after laparoscopic radical gastrectomy – A randomized controlled trial,yes,institutional_pdf_and_complete_publisher_html,Complete seven-page European Journal of Integrative Medicine publisher PDF and complete ScienceDirect Methods/Results HTML retrieved through Lund University Libraries.,yes,downloaded_local_only,yes,"yes; title, authors, journal, year, pagination and DOI match the Covidence citation",yes,167,none,Complete participant-results report screened; Covidence INCLUDE vote registered and verified after reload. Human review flagged only because participant age range/minimum was not explicitly stated.,,,,
1535,Transcutaneous electrical stimulation of Neiguan anti-emetic acupuncture point in controlling sickness following opioid analgesia in major orthopaedic surgery,no,publisher_database_and_web_retrieval_attempts,"Lund Finn, proxied ScienceDirect/Physiotherapy, PEDro and legitimate web searches were checked.",no,not_retrieved,no,"yes; title, author, journal, year, pagination and DOI matched across Covidence and ScienceDirect/PEDro",no,,FULL_TEXT_NOT_RETRIEVED,Only abstract/summary/citation material was available; no vote cast and the citation was left awaiting human retrieval.,,,,
