screening_sequence,covidence_number,title,first_author,publication_year,DOI,decision,primary_exclusion_reason,needs_human_review,uncertainty_reason,full_text_source_type,full_text_identity_verified,pdf_status,vote_registered,post_vote_timestamp,trial_registration,definitive_exclusion,record_type,participant_results_reported,randomized,randomization_method,adult_population,sample_size_randomized,sample_size_analysed,country,surgery_type,operative_surgery,general_anaesthesia,anaesthesia_description,modality,intervention_description,acupuncture_points,stimulation_frequency,stimulation_intensity,stimulation_duration,electrical_stimulation_confirmed,therapeutic_stimulation,first_treatment_timing,timing_eligible,number_of_sessions,comparator,background_care_balanced,intervention_effect_separable,clinical_outcomes,opioid_outcome_reported,opioid_24h_reported,pain_reported,PONV_reported,adverse_events_reported,possible_companion_report,companion_identifiers,evidence_pages,evidence_summary,pdf_accessible,interface_issue,notes,full_text_source_description,full_text_url_or_identifier,pdf_saved,pdf_attached_to_covidence,retrieval_timestamp,pdf_local_path,qc_incident_type,qc_incident_status,qc_full_article_local_path
196,562,Effect of transcutaneous electrical acupoint stimulation on postoperative analgesia after ureteroscopic lithotripsy: a randomized controlled trial,"Tu, Q.",2018 online; 2019 volume issue,10.1007/s00240-018-1056-8,INCLUDE,not applicable,yes,"Eligibility is established, but the comparator is a double-dummy active standard-analgesic regimen (scheduled tramadol plus inactive electrodes) rather than sham TEAS with balanced pharmacotherapy; analytic classification should be confirmed as a supportive active/usual-care comparison.",public_full_article_pdf,"yes; exact title, authors, DOI and article content match Covidence #562",downloaded_local_only,yes,2026-08-11T10:11:00+02:00,not reported,no,full journal article,yes,"yes; block randomization via central system, 1:1",independent statistician generated block-randomization list; central allocation; password-concealed file,"yes; eligible age 18-70, mean age 64.3 vs 62.1",120,120,China,Ureteroscopic holmium laser lithotripsy,yes,yes,"Induction with fentanyl, etomidate and cisatracurium; propofol/remifentanil maintenance; extubation after PACU recovery.",TEAS,"Surface electrodes at bilateral BL23 and SP9 using HANS LH-202; first treatment upon return to the ward, then 4, 8 and 12 hours postoperatively and three times daily for the next two days.",bilateral BL23 (Shenshu) and SP9 (Yinlingquan),dilatational 2/100 Hz,maximum tolerable; reported range 5-30 mA,30 minutes per session,yes,yes,upon return to urology ward after PACU/extubation,"yes; immediate postoperative return to ward and additional sessions at 4, 8 and 12 hours",four on operative day plus three daily on each of next two days,Scheduled oral tramadol 100 mg twice daily plus inactive electrodes at the same BL23/SP9 sites; rescue tramadol in both groups. TEAS group received matching oral placebo.,"double-dummy design, but active scheduled tramadol is the comparator rather than balanced background medication",yes as TEAS strategy versus active standard analgesia; not a principal sham comparison,"VAS pain, rescue tramadol consumption, plasma serotonin/substance P, vertigo, PONV and constipation",yes; rescue tramadol consumption,yes; first and second 24-hour rescue consumption reported,yes,yes,yes,no,none identified,"Article pp.1-2: 120 adults aged 18-70 randomized 60/60 for ureteroscopic lithotripsy; full general-anaesthesia regimen is reported. | Article p.3: TEAS at bilateral BL23/SP9, 2/100 Hz, 5-30 mA, 30 minutes; first upon return to ward and again 4, 8 and 12 hours, followed by repeated sessions for two days. | Article p.3: double-dummy comparison of TEAS plus oral placebo versus scheduled tramadol plus inactive same-site electrodes; rescue tramadol available in both groups.","Complete full text establishes an adult randomized postoperative TEAS trial under general anaesthesia with recognized points and clearly eligible timing. It is included, with human review requested only for analytic classification of the active standard-analgesic comparator.",,The citation card disappeared after one Include click; summary counters may remain stale,Strict-batch sequence 196; INCLUDE. Retain as supportive active/usual-care comparator pending human analytic classification.,Complete publisher-formatted Urolithiasis PDF downloaded from Tangshan People's Hospital-hosted repository and inspected page by page.,https://www.tsrmyy.cn/Sites/Uploaded/File/2018/04/266366034705286389129016212.pdf; DOI 10.1007/s00240-018-1056-8,yes,no,2026-08-11T10:11:00+02:00,/Users/ryan/Documents/Perioperative_TEAS_EA_Review_2026/02_screening/full_text/codex_fulltext_strict_next_100_2026-08-09/retrieved_fulltexts/covidence_562_full_article.pdf,,,
197,632,Perioperative Transcutaneous Electrical Acupoint Stimulation for Postoperative Pain Relief Following Laparoscopic Surgery: A Randomized Controlled Trial,"Sun, K.",2017,10.1097/AJP.0000000000000400,INCLUDE,not applicable,yes,"The complete abstract establishes randomized perioperative TEAS under general anaesthesia, but the inaccessible full text is needed to verify exact acupoints, electrical parameters and sham implementation.",publisher_complete_abstract_plus_pubmed_indexing,"yes; exact title, authors, journal, volume/pages, DOI and PMID match",not_accessible_subscription_required,yes,2026-08-11T10:16:00+02:00,not reported in abstract,no,full journal article represented by complete publisher abstract; full PDF unavailable,yes,yes; 380 participants randomly assigned to four groups,not reported in abstract,yes; PubMed indexed Adult and Middle Aged,380,not stated in abstract; four groups of 95 randomized and comparative results reported,China,Laparoscopic surgery; specific procedures not stated in abstract,yes,yes; explicitly stated,general anaesthesia; detailed regimen not reported in abstract,TEAS,"Preoperative TEAS alone, preoperative plus intraoperative TEAS, or preoperative plus postoperative TEAS, compared with sham TEAS.",not reported in abstract; PubMed indexed Acupuncture Points,not reported in abstract,not reported in abstract,perioperative schedules by treatment phase; session lengths not reported in abstract,"yes; explicitly TEAS, PubMed indexed Transcutaneous Electric Nerve Stimulation and Acupuncture Points",yes,preoperative TEAS in all active groups,yes,"varied by group: preoperative only, pre+intraoperative, or pre+postoperative",Sham TEAS group,not detailed in abstract; randomized sham-controlled framework,yes,"Rest/activity pain at 1, 6, 24 and 48 hours, supplemental analgesics, anaesthetic consumption, PONV, bowel recovery, satisfaction and adverse events",supplemental analgesic requirement reported; drug details unavailable,not clearly specified,yes,yes,yes; no TEAS-related side effects reported through 48 hours,unknown,none identified,"Ovid complete abstract: 380 laparoscopic-surgery patients under general anaesthesia were randomized equally to sham TEAS or three active perioperative TEAS schedules. | Complete abstract: all active schedules included preoperative TEAS; intraoperative or postoperative additions improved activity pain and postoperative TEAS reduced supplemental analgesic requirements. | PubMed XML for PMID 27437568 indexes Adult, Middle Aged, Acupuncture Points and Transcutaneous Electric Nerve Stimulation.",The complete publisher abstract and PubMed indexing establish an adult randomized sham-controlled perioperative TEAS trial under general anaesthesia with clearly eligible preoperative initiation. It is included with human review for acupoint and stimulation/sham details.,,The citation card disappeared after one Include click; summary counters may remain stale,Strict-batch sequence 197; INCLUDE with human review. PDF backfill is required for detailed intervention coding.,Complete Ovid abstract inspected in Chrome and PubMed XML used for adult/acupuncture-point indexing; full article remained subscriber-only.,https://doi.org/10.1097/AJP.0000000000000400; PMID 27437568,no,no,2026-08-11T10:16:00+02:00,not applicable,,,
198,1141,Effects of transcutaneous electrical acupoint stimulation (TEAS) on postoperative recovery in patients with gastric cancer: a randomized controlled trial,"Zhou, Y.",2023,10.1016/j.clnesp.2023.09.459,INCLUDE,not applicable,yes,"The complete conference abstract does not report participant ages, anaesthetic technique, exact acupoints, electrical parameters or control details; POD1 timing does not resolve whether the first session was within 24 hours, although that remains realistically possible.",publisher_complete_conference_abstract_pdf,"yes; exact title, authors, abstract number, page and DOI match Covidence #1141",downloaded_local_only,yes,2026-08-11T10:21:00+02:00,not reported,no,complete participant-results conference abstract,yes,yes; 82 enrolled and randomly assigned 1:1,not reported,"uncertain; gastric-cancer gastrectomy population, ages not reported",82,81,China,Gastrectomy for gastric cancer,yes,uncertain; anaesthetic technique not reported and general anaesthesia is realistically plausible for gastrectomy,not reported,TEAS,TEAS administered on postoperative days 1-3; acupoints and electrical parameters not reported in abstract.,not reported,not reported,not reported,not reported,yes at modality level; explicitly TEAS,yes,postoperative day 1,uncertain; POD1 may begin within 24 postoperative hours and timing is the sole timing uncertainty,treatment on POD1-3; exact session count not reported,Control group; details not reported,not reported,appears yes at abstract level; TEAS group versus control,"Pain, analgesic/opioid use, bowel recovery, nausea/vomiting/distention/diarrhea, diet tolerance, complications, length of stay and biomarkers",yes; opioid use rate,not specifically,yes; POD1-5,yes,yes; no adverse event reported,unknown; may have a later full publication,none identified,"Clinical Nutrition ESPEN 58 (2023) p.582, abstract P004-W: 82 gastrectomy patients randomized 1:1 to TEAS on POD1-3 or control; 81 completed. | Results-bearing abstract reports pain, opioid use, bowel recovery, nausea and biomarker outcomes and states no adverse events. | Reporting gaps: ages, anaesthesia, acupoints, stimulation parameters, exact first-session clock time and control procedures are omitted.","The complete results-bearing abstract reports randomized postoperative TEAS after gastrectomy without establishing any exclusion. It is included conservatively and flagged for full-report verification of age, GA, point/parameter, comparator and <=24-hour initiation details.",,The citation card disappeared after one Include click; summary counters may remain stale,Strict-batch sequence 198; INCLUDE with human review. Complete one-page publisher abstract saved locally.,One-page publisher PDF of Clinical Nutrition ESPEN abstract P004-W downloaded through the active Chrome session and inspected.,https://doi.org/10.1016/j.clnesp.2023.09.459,yes,no,2026-08-11T10:21:00+02:00,/Users/ryan/Documents/Perioperative_TEAS_EA_Review_2026/02_screening/full_text/codex_fulltext_strict_next_100_2026-08-09/retrieved_fulltexts/covidence_1141_complete_conference_abstract.pdf,,,
199,1435,Improved anesthesia strategy for lumbar spine surgery in elderly patients: transcutaneous electrical acupoint stimulation-erector spinal plane block-general anesthesia,"He, Q.",2024,10.3760/cma.j.cn131073.20240422.01114,INCLUDE,not applicable,yes,"The complete bilingual publisher abstract establishes eligibility, but the paywalled full text is needed for electrical frequency/intensity, detailed anaesthetic protocol, attrition and full outcome verification.",publisher_complete_bilingual_abstract,"yes; exact title, authors, journal, pages and DOI match",not_accessible_subscription_required,yes,2026-08-11T10:27:00+02:00,not reported in abstract,no,full journal article represented by complete bilingual publisher abstract; full text paywalled,yes,"yes; random-number table, 50 per group",random-number table,yes; age 65-75 years,100,100 reported in abstract; attrition not described,China,Elective posterior lumbar decompression/fusion/internal fixation of up to two levels,yes,yes; explicitly stated,General anaesthesia combined with bilateral ultrasound-guided ESPB in both groups; detailed induction/maintenance drugs not in abstract,TEAS,"Continuous TEAS from 30 minutes before induction through surgery at bilateral LI4, PC6 and ST36, followed by one 30-minute session daily for two postoperative days.","bilateral LI4 (Hegu), PC6 (Neiguan), ST36 (Zusanli)",not reported in abstract,not reported in abstract,continuous preinduction-to-end-of-operation session; then 30 minutes daily for two postoperative days,yes; explicitly TEAS and transcutaneous electrical stimulation,yes,30 minutes before anaesthesia induction,yes,one continuous perioperative session plus two postoperative daily sessions,Inactive electrodes at the same acupuncture points,"yes; bilateral ESPB, general anaesthesia, sufentanil PCIA and rescue tramadol in both groups",yes,"Remifentanil/propofol use, PCIA demand/delivery, rescue analgesia, inflammatory cytokines and T-cell subsets through 48 hours","yes; remifentanil, sufentanil PCIA and rescue analgesia measures",PCIA outcomes within 48 hours; 24-hour-specific amount not clear in abstract,rescue threshold VAS>=4; detailed pain outcomes not stated,not stated,not stated,no,none identified,"Chinese Medical Association bilingual publisher abstract: 100 adults aged 65-75 randomized 50/50 by random-number table for lumbar fusion surgery. | Abstract: TEAS at bilateral LI4, PC6 and ST36 from 30 minutes pre-induction through surgery and on two postoperative days; control received inactive same-site electrodes. | Abstract: general anaesthesia, bilateral ESPB and postoperative sufentanil PCIA were balanced; remifentanil/PCIA/rescue analgesia and biomarker outcomes favored TEAS.","The bilingual publisher abstract establishes an adult randomized sham-controlled perioperative TEAS trial under general anaesthesia with recognized points, eligible timing and balanced ESPB/analgesia. It is included, with human review requested for parameters and full reporting.",,The citation card disappeared after one Include click; summary counters may remain stale,"Strict-batch sequence 199; INCLUDE with human review. This was accessed on the CMA platform, not CNKI.",Chinese Medical Association article page provided complete Chinese and English abstracts; body text ended after the introduction behind a subscription prompt.,https://rs.yiigle.com/cmaid/1522616; DOI 10.3760/cma.j.cn131073.20240422.01114,no,no,2026-08-11T10:27:00+02:00,not applicable,,,
200,2153,Effect of electroacupuncture preconditioning on emergence agitation in patients undergoing total laparoscopic hysterectomy,"Zhou, M.",2024,10.3760/cma.j.cn131073.20240611.01106,INCLUDE,not applicable,yes,"The complete bilingual abstract establishes randomized preinduction electroacupuncture, but the paywalled full text is needed to confirm needle insertion details and explicitly verify general anaesthesia and attrition.",publisher_complete_bilingual_abstract,"yes; exact title, authors, journal, pages and DOI match",not_accessible_subscription_required,yes,2026-08-11T10:32:00+02:00,not reported in abstract,no,full journal article represented by complete bilingual publisher abstract; full text paywalled,yes,"yes; random-number table, 45 per group",random-number table,yes; age 40-60 years,90,90 reported in abstract; attrition not described,China,Elective total laparoscopic hysterectomy,yes,"highly plausible and implied by anaesthesia induction/emergence agitation, but not explicitly named in abstract",Anaesthesia induction and emergence are described; detailed general-anaesthesia regimen is in the paywalled body,needle electroacupuncture,Electroacupuncture preconditioning at ST36 and PC6 for 30 minutes immediately before anaesthesia induction.,"ST36 (Zusanli), PC6 (Neiguan)",disperse-dense 2/100 Hz,3 mA,30 minutes,yes; explicitly electroacupuncture with electrical frequency/intensity,yes,30 minutes before anaesthesia induction,yes,one preinduction session,No electroacupuncture treatment,not detailed in abstract; randomized no-EA control,yes,"Emergence agitation, vasoactive medication, rescue analgesia and inflammatory biomarkers at 2 hours postoperatively",rescue analgesia rate reported; drug/amount unavailable,no,"rescue analgesia, no direct pain score in abstract",no,not stated,no,none identified,"Chinese Medical Association bilingual abstract: 90 adults aged 40-60 randomized 45/45 by random-number table for total laparoscopic hysterectomy. | Abstract: EA at ST36 and PC6, 2/100 Hz, 3 mA for 30 minutes beginning 30 minutes before anaesthesia induction; control received no EA. | Abstract: emergence agitation, rescue analgesia and inflammatory biomarker results were reported; full body is subscription-gated.",The complete bilingual abstract reports an adult randomized preinduction electroacupuncture trial at recognized points with a separable no-EA comparator. It is included conservatively and flagged for explicit GA and needle/procedure verification from the full article.,,The citation card disappeared after one Include click; summary counters may remain stale,"Strict-batch sequence 200; INCLUDE with human review. Accessed on CMA platform, not CNKI.",Chinese Medical Association article page provided complete Chinese and English abstracts; full body stopped after the introduction behind a subscription prompt.,https://rs.yiigle.com/cmaid/1522602; DOI 10.3760/cma.j.cn131073.20240611.01106,no,no,2026-08-11T10:32:00+02:00,not applicable,,,
201,1185,Effect of transcutaneous electrical acupoint stimulation on postoperative gastrointestinal function in patients undergoing lumbar spinal surgery,"Tao, X.",2023,10.3760/cma.j.cn131073.20230508.00916,INCLUDE,not applicable,no,none affecting eligibility; full PDF remains outstanding for detailed extraction,covidence_indexed_complete_abstract,"yes at indexed-record level; exact title, authors, DOI, journal and pages match",not_accessible,yes,2026-08-11T10:37:00+02:00,not reported in abstract,no,full journal article represented by complete indexed abstract; publisher full text unavailable,yes,"yes; random-number table, 25 per group",random-number table,yes; age 50-75 years,50,50 reported in abstract; attrition not stated,China,Elective lumbar spinal surgery,yes,yes; explicitly stated,general anaesthesia; detailed regimen not reported in abstract,TEAS,"TEAS at bilateral PC6, LI4, ST36, ST37 and ST39 for 30 minutes before induction and once daily on postoperative days 1-7.","bilateral PC6, LI4, ST36, ST37, ST39",disperse-dense 2/100 Hz,maximum tolerable current,30 minutes per session,yes; explicitly TEAS with frequency/current description,yes,before anaesthesia induction,yes,one preinduction session plus daily postoperative sessions on days 1-7,Electrodes at non-acupoint limb sites with no electrical stimulation,not detailed in abstract; randomized inactive-control framework,yes,"Time to flatus/defecation/bowel sounds, abdominal distension, PONV at 24/48/72 hours, substance P and cholecystokinin",no,no,no,yes,abdominal distension and PONV,unknown,none identified,"Covidence complete indexed abstract: 50 adults aged 50-75 under general anaesthesia randomized 25/25 by random-number table. | Abstract: TEAS at bilateral PC6/LI4/ST36/ST37/ST39, 2/100 Hz, maximum tolerable current, 30 minutes before induction and daily on POD1-7. | Abstract: inactive nonpoint-electrode control and gastrointestinal/PONV participant results are reported.","The complete abstract establishes an adult randomized perioperative TEAS trial under general anaesthesia with recognized points, preinduction initiation and a separable inactive comparator.",,The citation card disappeared after one Include click; summary counters may remain stale,Strict-batch sequence 201; INCLUDE. This was not retrieved through CNKI.,Complete results-bearing abstract available in Covidence; DOI resolver reached the CMA platform but did not expose the article body or PDF.,DOI 10.3760/cma.j.cn131073.20230508.00916; Covidence #1185,no,no,2026-08-11T10:37:00+02:00,not applicable,,,
202,1186,Preventive effects of transcutaneous electrical acupoint stimulation on chronic pain after lumbar spine surgery,"He, Y.",2025,10.3760/cma.j.cn131073-20241105-00614,INCLUDE,not applicable,no,none affecting eligibility; clearly identified as a secondary analysis of the same randomized trial as Covidence #1185,covidence_indexed_complete_abstract,"yes at indexed-record level; exact title, authors, DOI, journal and pages match",not_accessible,yes,2026-08-11T10:42:00+02:00,not reported,no,secondary participant-results journal report,yes,yes; secondary analysis of the 50-patient randomized trial reported in #1185,random-number table,yes; age 50-75 years,50,44,China,Lumbar spinal stenosis surgery,yes,yes; explicitly stated,general anaesthesia; detailed regimen not reported in abstract,TEAS,"Same TEAS regimen as #1185: bilateral PC6, LI4, ST36, ST37 and ST39 before induction and daily on POD1-7.","bilateral PC6, LI4, ST36, ST37, ST39",disperse-dense 2/100 Hz,maximum tolerable current,30 minutes per session,yes,yes,30 minutes before anaesthesia induction,yes,one preinduction plus daily POD1-7,Electrodes at non-acupoint limb sites without electrical stimulation,same randomized parent trial as #1185,yes,"Chronic low-back/leg pain, ODI, neuropathic pain questionnaire, pain-related visits and NSAID use at 3, 6 and 12 months",no,no,yes; chronic pain follow-up,no,not stated,yes,Covidence #1185; identical 50-patient parent trial and TEAS/control regimen,"Covidence complete abstract explicitly states this is a secondary analysis of the studies assessing TEAS and gastrointestinal function in lumbar-spine surgery. | Abstract repeats the identical 50-patient, 25/25 randomized population, TEAS points/parameters and inactive nonpoint control from #1185. | Six participants were lost to follow-up; chronic pain outcomes were reported at 3, 6 and 12 months.","This is an eligible secondary participant-results report from the same randomized perioperative TEAS trial as Covidence #1185. It should be linked as a companion report, not treated as an independent cohort.",,The citation card disappeared after one Include click; summary counters may remain stale,Strict-batch sequence 202; INCLUDE as companion to #1185. Not retrieved through CNKI.,Complete results-bearing abstract available in Covidence; full publisher PDF was not exposed.,DOI 10.3760/cma.j.cn131073-20241105-00614; Covidence #1186,no,no,2026-08-11T10:42:00+02:00,not applicable,,,
203,1194,Effect of transcutaneous electrical acupoint stimulation with midnight-noon ebb-flow acupoint selection on postoperative delirium in patients undergoing radical resection of colorectal cancer,"Yan, M.",2023,10.3760/cma.j.cn131073.20220914.00315,INCLUDE,not applicable,no,none affecting eligibility; full PDF remains outstanding for detailed extraction,covidence_indexed_complete_abstract,"yes at indexed-record level; exact title, authors, DOI, journal and pages match",not_accessible,yes,2026-08-11T10:46:00+02:00,not reported in abstract,no,full journal article represented by complete indexed abstract; publisher full text unavailable,yes,"yes; random-number table, 31 per group",random-number table,yes; age >=18 years,93,93 reported in abstract; attrition not stated,China,Elective radical colorectal cancer resection,yes,yes; explicitly stated,general anaesthesia; detailed regimen not reported in abstract,TEAS,"TEAS at bilateral LI4, LI11 and LI10 at either 06:00 or 18:00 on the operation day and on postoperative days 1-3.","bilateral LI4 (Hegu), LI11 (Quchi), LI10 (Shousanli)",disperse-dense 2/100 Hz,maximum tolerable current,30 minutes per session,yes,yes,"06:00 or 18:00 on the day of surgery, depending on active group",yes; operation-day initiation and repeated POD1-3 sessions,one on operation day plus daily POD1-3,Same-site electrodes without electrical current at 06:00,not detailed in abstract; randomized inactive-control framework,yes; both active schedules compared with inactive same-site electrodes,"Postoperative delirium/CAM, inflammatory cytokines, bowel recovery, abdominal distension and adverse reactions",no,no,no,no,yes; abdominal distension and other adverse reactions recorded,unknown,none identified,"Covidence complete indexed abstract: 93 adults undergoing colorectal cancer resection under general anaesthesia randomized equally among two active TEAS schedules and inactive control. | Abstract: bilateral LI4/LI11/LI10, 2/100 Hz, maximum tolerable current, 30 minutes at 06:00 or 18:00 on operation day and POD1-3. | Abstract: control received same-site electrodes without current; delirium, cytokine, bowel and adverse-reaction results reported.",The complete abstract establishes an adult randomized inactive-controlled perioperative TEAS trial under general anaesthesia with recognized points and operation-day initiation.,,The citation card disappeared after one Include click; summary counters may remain stale,Strict-batch sequence 203; INCLUDE. Not retrieved through CNKI.,Complete results-bearing abstract available in Covidence; accessible publisher PDF/full body was not located.,DOI 10.3760/cma.j.cn131073.20220914.00315; Covidence #1194,no,no,2026-08-11T10:46:00+02:00,not applicable,,,
204,1244,Effect of transcutaneous electrical acupoint stimulation on postoperative cognitive function in patients undergoing radical thoracoscopic lung cancer operation,"Li, X.Y.",2016,not reported,INCLUDE,not applicable,yes,"The complete abstract does not report participant ages, explicitly name general anaesthesia, give electrical parameters, or identify the full journal/source; anaesthesia induction and thoracoscopic lung-cancer surgery make GA realistically plausible.",covidence_indexed_complete_abstract,yes at indexed-record level; full publication source still requires verification,not_located,yes,2026-08-11T10:51:00+02:00,not reported,no,full journal article represented by complete indexed abstract; full source/PDF unavailable,yes,"yes; randomized digital table, two groups",randomized digital table,"uncertain; lung-cancer surgery population, ages not reported",60,60 reported in abstract; attrition not stated,China,Radical thoracoscopic lung cancer operation,yes,uncertain but realistically plausible; intervention began before anaesthesia induction and thoracoscopic radical lung surgery typically requires GA,anaesthesia induction referenced; detailed technique not reported,TEAS,TEAS at PC6 and ST36 from 30 minutes before anaesthesia induction until the end of surgery.,"PC6 (Neiguan), ST36 (Zusanli)",not reported,not reported,from 30 minutes preinduction through end of operation,yes at modality level; explicitly TEAS,yes,30 minutes before anaesthesia induction,yes,one perioperative session,No TEAS,not described in abstract,yes at abstract level,"Postoperative cognitive dysfunction, serum NSE and S100-beta",no,no,no,no,no,unknown,A different 2023 lung-cancer cognition trial exists but no basis for linkage from current metadata,"Covidence complete indexed abstract: 60 thoracoscopic lung-cancer patients randomized by digital table to TEAS or no TEAS. | Abstract: TEAS at PC6 and ST36 from 30 minutes before anaesthesia induction through the end of operation. | Results-bearing abstract reports serum NSE/S100-beta and POCD, but omits ages, explicit GA, parameters and detailed source metadata.","The complete abstract reports a randomized preinduction TEAS trial at recognized points in operative thoracoscopic lung-cancer surgery. No definitive exclusion is established, so it is included and flagged for full-source verification of age, GA and stimulation details.",,The citation card disappeared after one Include click; summary counters may remain stale,Strict-batch sequence 204; INCLUDE with human review. CNKI was not used.,Complete results-bearing abstract in Covidence; targeted title/author searches did not locate a stable complete article or publisher PDF.,Covidence #1244; journal metadata 2016;34(7):1752-1755,no,no,2026-08-11T10:51:00+02:00,not applicable,,,
205,2807,Transcutaneous electrical acupoint stimulation reduces perioperative arrhythmia risk and improves recovery quality in laparoscopic cholecystectomy: mechanisms involving suppression of repolarization abnormalities induced by CO2 pneumoperitoneum,"Tian, M.D.",online 2025; issue March 2026 (Covidence displays 2025),10.13702/j.1000-0607.20250701,INCLUDE,not applicable,no,none affecting eligibility; bibliographic online-versus-issue year difference documented,official_open_access_full_article_pdf,"yes; exact title, authors, DOI, pages and full article match Covidence #2807",downloaded_local_only,yes,2026-08-11T10:59:00+02:00,not reported,no,full journal article,yes,"yes; random-number table, 1:1",random-number table in surgical-order sequence,yes; inclusion age >18 years; mean 49.5 vs 53.6,60,56,China,Elective laparoscopic cholecystectomy,yes,yes,"Intravenous midazolam, sufentanil, ciprofol and cisatracurium induction, tracheal intubation/mechanical ventilation, propofol/remifentanil maintenance.",TEAS,Surface electrodes with positive pole at bilateral PC6 and paired negative pole at ipsilateral TE5; stimulation began before induction and continued through surgery.,bilateral PC6 (Neiguan) and TE5 (Waiguan),disperse-dense 2/10 Hz,"4-10 mA, titrated to middle-finger tremor and meridian-transmission sensation",from before anaesthesia induction through end of surgery,yes,yes,before anaesthesia induction,yes,one continuous perioperative session,No TEAS,same general-anaesthesia/surgical framework; no TEAS in control,yes,"ECG repolarization/QT indices, heart-rate variability, haemodynamics, emergence time and VAS at 1, 6 and 24 hours",intraoperative remifentanil and sufentanil exposure described; no postoperative opioid-consumption endpoint,no,"yes; VAS at 1, 6 and 24 hours",no,severe adverse events were withdrawal criteria; detailed events not a reported outcome,no,none identified,"Article pp.374-376: 60 adults >18 randomized 1:1; four excluded and 56 analyzed; full general-anaesthesia regimen with intubation is reported. | Article p.376: TEAS at bilateral PC6/TE5, 2/10 Hz, 4-10 mA, from preinduction through surgery; control received no TEAS. | Article pp.376-379: repolarization, haemodynamic, emergence and 1/6/24-hour pain outcomes are reported.","The complete open-access full text establishes an adult randomized perioperative TEAS trial under general anaesthesia with recognized points, eligible preinduction timing and a separable no-stimulation comparator.",,The citation card disappeared after one Include click; summary counters may remain stale,Strict-batch sequence 205; INCLUDE. Official open-access source used; CNKI was not used.,"Complete seven-page Acupuncture Research PDF downloaded from the official SciOpen article service, not CNKI, and inspected page by page.",https://www.sciopen.com/local/article_pdf/10.13702/j.1000-0607.20250701.pdf,yes,no,2026-08-11T10:59:00+02:00,/Users/ryan/Documents/Perioperative_TEAS_EA_Review_2026/02_screening/full_text/codex_fulltext_strict_next_100_2026-08-09/retrieved_fulltexts/covidence_2807_full_article.pdf,,,
206,444,Transcutaneous electrical acupoint stimulation relieves post-operative nausea and vomiting possibly by reducing serum motilin secretion in patients undergoing laparoscopic surgery,"Li, J.L.",2020,10.13702/j.1000-0607.200060,INCLUDE,not applicable,yes,The complete abstract does not report participant ages and a stable official full-text PDF was not located; all other core criteria are explicit.,covidence_pubmed_complete_abstract,"yes; exact title, authors, DOI, PMID, journal and pages match",not_located,yes,2026-08-11T11:06:00+02:00,not reported,no,full journal article represented by complete indexed abstract; full PDF unavailable,yes,yes; 140 patients randomized among four groups,not reported in abstract,uncertain; ages not reported and PubMed does not supply an Adult age heading,140,140 reported in abstract; attrition not stated,China,Elective laparoscopic surgery,yes,yes; GA control and intravenous induction regimen explicitly described,"Midazolam, sufentanil, propofol and rocuronium intravenous general anaesthesia",TEAS,Three active bilateral TEAS point combinations from 30 minutes before induction through the end of surgery.,"PC6+LI4; PC6+LI4+ST36; or PC6+LI4+ST36+SP6, bilateral",2/100 Hz,3-8 mA,from 30 minutes before induction through end of operation,yes,yes,30 minutes before anaesthesia induction,yes,one perioperative session,General anaesthesia without TEAS,general-anaesthesia framework; detailed balance not reported in abstract,yes; each TEAS combination and no-TEAS control retained separately,"Early/late PONV, PONV severity through 24 hours and serum motilin at 12 and 24 hours",no postoperative opioid outcome,no,no,yes,PONV only,unknown,none identified,"Covidence/PubMed complete abstract: 140 elective laparoscopic-surgery patients randomized among GA control and three bilateral TEAS point-combination groups. | Abstract: TEAS 2/100 Hz, 3-8 mA from 30 minutes preinduction through surgery; GA induction drugs explicitly stated. | Results-bearing abstract reports PONV and motilin through 24 hours; participant ages are omitted.","The complete abstract establishes a randomized perioperative TEAS trial under general anaesthesia with recognized points, eligible timing and a separable no-TEAS control. It is included and flagged only for adult-age verification.",,The citation card disappeared after one Include click; summary counters may remain stale,Strict-batch sequence 206; INCLUDE with human review for age. CNKI was not used.,Complete indexed abstract in Covidence/PubMed; official-journal and DOI searches did not yield a stable full-text PDF.,DOI 10.13702/j.1000-0607.200060; PMID 33269837,no,no,2026-08-11T11:06:00+02:00,not applicable,,,
