screening_sequence,covidence_number,title,first_author,publication_year,DOI,decision,primary_exclusion_reason,needs_human_review,uncertainty_reason,full_text_source_type,full_text_identity_verified,pdf_status,vote_registered,post_vote_timestamp,trial_registration,definitive_exclusion,record_type,participant_results_reported,randomized,randomization_method,adult_population,sample_size_randomized,sample_size_analysed,country,surgery_type,operative_surgery,general_anaesthesia,anaesthesia_description,modality,intervention_description,acupuncture_points,stimulation_frequency,stimulation_intensity,stimulation_duration,electrical_stimulation_confirmed,therapeutic_stimulation,first_treatment_timing,timing_eligible,number_of_sessions,comparator,background_care_balanced,intervention_effect_separable,clinical_outcomes,opioid_outcome_reported,opioid_24h_reported,pain_reported,PONV_reported,adverse_events_reported,possible_companion_report,companion_identifiers,evidence_pages,evidence_summary,pdf_accessible,interface_issue,notes,full_text_source_description,full_text_url_or_identifier,pdf_saved,pdf_attached_to_covidence,retrieval_timestamp,pdf_local_path,qc_incident_type,qc_incident_status,qc_full_article_local_path
11,83,Efficacy of preoperative transcutaneous electrical acupoint stimulation in reducing postoperative delirium in older adults undergoing orthopedic surgery: a randomized controlled trial.,Sun,2025,10.3389/fneur.2025.1668610,INCLUDE,not_applicable,yes,Mixed anaesthetic techniques were used and outcomes were not reported separately by general-anaesthesia subgroup.,,,,yes,2026-08-09T15:01:35+02:00,ChiCTR-INR-17012951,no,primary randomized participant-results report,yes,yes,Computer/R-generated 1:1 allocation,yes; age >65,608,592,China,Elective orthopedic surgery,yes,mixed; some participants received spinal anaesthesia,"Propofol/remifentanil GA; lower-limb procedures could receive spinal anaesthesia, with GA plus regional block when spinal was contraindicated; upper-limb procedures received GA plus brachial plexus block.",TEAS,Surface-electrode TEAS at bilateral ST36-LR3 and LI4-PC6 twice daily for three preoperative days plus 30 min starting 30 min before induction.,"Bilateral ST36, LR3, LI4 and PC6",2/100 Hz dispersed-dense,Maximum tolerable,30 min per session,yes,yes,3 days preoperatively,yes,7,Visually identical modified device with no current on same schedule,yes,yes,Postoperative delirium through day 5; cognition; sleep; pain; inflammatory/brain-injury biomarkers,yes; postoperative sufentanil PCIA and rescue pethidine described,unclear,yes,no,unclear,no,ChiCTR-INR-17012951,"PDF p.2, Methods/Participants: prospective randomized trial in adults >65 undergoing elective orthopedic surgery. | PDF p.3, Intervention: bilateral ST36/LR3/LI4/PC6 TEAS 2/100 Hz, maximum tolerable intensity, seven 30-min preoperative sessions versus no-current sham. | PDF p.3, Anaesthesia: mixed spinal and general anaesthesia depending on surgical site; no outcome stratification by anaesthetic technique reported. | PDF p.3, Endpoints: postoperative delirium through day 5 plus cognitive, sleep and pain outcomes. | PDF p.4, Results: 608 randomized and 592 analyzed.","Randomized therapeutic TEAS trial with eligible clinical outcomes; retained because some patients clearly underwent GA, but mixed spinal/GA outcome separability is unresolved and was flagged for human review rather than used for exclusion.",yes; Covidence-hosted 9-page PDF,none,Sensitivity-first retention under the protocol; requires adjudication of mixed-anaesthesia eligibility.,,,,,,,,,
78,433,Effects of Transcutaneous Electrical Acupoint Stimulation (TEAS) on Postoperative Recovery in Patients with Gastric Cancer: A Randomized Controlled Trial.,"Zhou, Xin",2021,10.2147/CMAR.S292325,INCLUDE,not_applicable,yes,"UNCERTAIN_TIMING: the first treatment was at 08:00 on postoperative day 1, but the report does not establish whether this was within or beyond 24 hours of surgery.",,,,yes,2026-08-09T16:52:41+02:00,ChiCTR1900022692,no,primary unblinded randomized participant-results report,yes,yes,SPSS-generated random-number table allocated eligible patients 1:1 to TEAS or control.,yes; ages 18-75,,,,Laparoscopic or robotic radical gastrectomy for gastric cancer,yes,yes,Eligibility required epidural-assisted general anaesthesia; the same anaesthesia team and ERAS protocol were used across groups.,TEAS,"Surface-pad TEAS at LI4, PC6, BL21, BL27, ST36 and ST37 with an SDZ-II device at alternating 20/100 Hz for 30 minutes twice daily on postoperative days 1-3.","LI4, PC6, BL21, BL27, ST36 and ST37",,,,yes,yes,08:00 on postoperative day 1,uncertain,,Same ERAS pathway without TEAS,yes,yes,"Pain through POD5, opioid and NSAID consumption, PONV, flatus/defecation, complications and length of stay",yes,"POD1 opioid-use data reported, not a clearly bounded 24-hour total",yes,yes,yes; no TEAS adverse event reported,yes,ChiCTR1900022692; PMCID PMC7886100; exact duplicate citation appears as Covidence #1141,"PMC full text, Trial Design, Participants and Randomization: adult radical-gastrectomy patients were randomized by SPSS random-number table; epidural-assisted general anaesthesia was required and a common ERAS pathway was used. | PMC full text, Intervention and Devices: surface-pad TEAS at LI4/PC6/BL21/BL27/ST36/ST37, alternating 20/100 Hz, began at 08:00 on POD1 and continued twice daily through POD3; no-TEAS control. | PMC full text, Outcomes and Results Tables 3-4: pain through POD5, opioid use, nausea, bowel recovery, complications and length of stay were reported by randomized group.",Randomized adult gastrectomy trial under general anaesthesia with separable therapeutic TEAS and eligible clinical outcomes; retained and flagged because POD1 treatment timing does not resolve the <=24-hour threshold.,yes; complete PMC full-text HTML readable in Chrome,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_TIMING. Exact duplicate #1141 should not be screened independently.,,,,,,,,,
80,765,The Effect of Acupuncture on Relieving Pain after Inguinal Surgeries.,"Taghavi, Rahim",2013,10.3344/kjp.2013.26.1.46,INCLUDE,not_applicable,yes,OTHER_SPECIFIED_UNCERTAINTY: the enrolled population ranged from age 12 to 55 and adult results were not separately extractable; the protocol directs retention and human review for mixed adult/pediatric samples.,,,,yes,2026-08-09T16:54:31+02:00,not reported,no,primary prospective randomized participant-results report,yes,yes,Ninety patients were randomly divided equally between true electroacupuncture and control groups.,"mixed adult/pediatric; ages 12-55, adult subgroup not separately extractable",,,,Inguinal surgeries,yes,yes,"All participants received the same general anaesthesia with fentanyl, thiopental, atracurium and propofol maintenance.",EA,"Inserted needles at LI4, ST36 and peri-incisional points connected to an SDZ V stimulator, intermittent 2 Hz at 2-5 mA, 30 minutes before surgery and again 1 and 2 hours postoperatively.","LI4, ST36 and defined peri-incisional points",,,,yes,yes,30 minutes before surgery,yes,,Needles placed identically without electrical stimulation,yes,yes,"Pain VAS through 6 hours, time to rescue analgesia, PCA opioid use and opioid-related nausea, vomiting, dizziness and pruritus",yes,6-hour PCA opioid outcomes reported,yes,yes,yes; opioid-related adverse effects,yes,PMCID PMC3546210; exact duplicate citation appears as Covidence #1556,"PMC full text, Materials and Methods: prospective randomized double-blind placebo-controlled study of 90 inguinal-surgery patients; common general anaesthesia regimen is explicit. | PMC full text, Materials and Methods: needles at LI4/ST36/peri-incisional points delivered 2 Hz, 2-5 mA EA beginning 30 minutes preoperatively; control needles received no current. | PMC full text, Results and Table 1/Figure 1: pain scores, rescue timing, six-hour PCA opioid consumption and opioid-related adverse effects were reported by randomized group; ages ranged 12-55.","Randomized inguinal-surgery EA trial under explicit general anaesthesia with eligible preoperative electrical needle stimulation, inactive-current control and pain/opioid outcomes; retained and flagged because mixed adult/pediatric results are not separable.",yes; complete PMC full-text HTML readable in Chrome,none,NEEDS_HUMAN_REVIEW - mixed adult/pediatric population. Exact duplicate #1556 should not be screened independently.,,,,,,,,,
81,812,Needle-Free Electroacupuncture for Postoperative Pain Management.,"Lee, Daniel",2011,10.1155/2011/696754,INCLUDE,not_applicable,yes,OTHER_SPECIFIED_UNCERTAINTY: participants ranged from age 14 to 59 and adult results were not separately extractable; the protocol directs retention and human review for mixed adult/pediatric samples.,,,,yes,2026-08-09T16:55:40+02:00,not reported,no,primary randomized participant-results report,yes,yes,Random-number table assigned hysterectomy patients to four blinded groups.,"mixed adult/pediatric; ages 14-59, adult subgroup not separately extractable",,,,Hysterectomy,yes,yes,All participants received propofol/atracurium induction and sevoflurane with nitrous oxide/oxygen general anaesthesia.,TEAS (called needle-free electroacupuncture),"Silver Spike Point surface-electrode stimulation at ST36, either continuous 100 Hz or dense-sparse 3/10/20 Hz, for 30 minutes before GA and once after regaining consciousness.",ST36; sham point near ST36,,,,yes,yes,30 minutes before general anaesthesia,yes,,No stimulation and sham surface electrodes at a nearby non-acupoint,yes; all groups received PCA,yes,"Pain VAS, time to first morphine, 24-hour PCA demand/delivery, ambulation, bowel movement and treatment side effects",yes,yes,yes,not a reported comparative endpoint,yes,no,PMCID PMC3118999,"PMC full text, Methodology section 2.1: hysterectomy patients under explicit general anaesthesia were randomized by random-number table to four blinded groups. | PMC full text, Table 1 and Methodology: therapeutic SSP surface electrical stimulation at ST36 began 30 minutes before GA and was repeated after recovery; no-stimulation and sham-site controls were independently separable. | PMC full text, Results sections 3.3-3.6 and Tables 5-8: 24-hour pain and PCA demand/dose outcomes were reported by group; Table 2 shows ages 14-59.","Randomized hysterectomy trial under explicit general anaesthesia with eligible preoperative therapeutic surface electrical acupoint stimulation, separable controls and 24-hour pain/opioid outcomes; retained and flagged because mixed adult/pediatric results are not separable.",yes; complete PMC full-text HTML readable in Chrome,none,NEEDS_HUMAN_REVIEW - mixed adult/pediatric population.,,,,,,,,,
83,326,Efficacy of electroacupuncture combined with intravenous patient-controlled analgesia after cesarean delivery: a randomized clinical trial.,"Jin, Ying",2023,10.1016/j.ajogmf.2022.100826,INCLUDE,not_applicable,yes,UNCERTAIN_GENERAL_ANAESTHESIA: the full report describes cesarean delivery and postoperative PCIA but does not positively state the intraoperative anaesthesia type or provide a GA airway/regimen; GA cannot be inferred from surgery type.,,,,yes,2026-08-09T17:00:26+02:00,not reported,no,primary randomized single-blinded participant-results report,yes,yes,Four-hour strata after cesarean delivery used sealed-envelope randomization in a 1:1:1 ratio.,"yes; adult women, mean age about 31 years",,,,Cesarean delivery,yes,uncertain,The readable full report does not state the cesarean anaesthesia technique; postoperative intravenous fentanyl PCIA is detailed but does not establish GA.,EA,"Inserted-needle EA at bilateral ST36 and SP6, either continuous 2 Hz or alternating 20/100 Hz, for 25 minutes at 6, 12, 24 and 48 hours after surgery.",Bilateral ST36 and SP6,,,,yes,yes,6 hours after surgery,yes,,"Sham needles 20 mm from ST36/SP6 at <3 mm depth with no skin penetration, electricity or de qi",yes; all groups received fentanyl PCIA,yes,"Pain scores, PCIA pump compressions, fentanyl consumption through 48 hours, time to first exhaust and adverse events",yes,yes,yes,adverse events captured but PONV not highlighted,yes,no,not reported,"PDF p.2 / journal p.2, Materials and Methods: adult cesarean patients were randomized by sealed envelopes to 2-Hz EA, 20/100-Hz EA or sham; the page does not state intraoperative anaesthesia type. | PDF p.2 / journal p.2, Interventions: bilateral ST36/SP6 inserted-needle EA began 6 hours postoperatively and was repeated through 48 hours; sham needles delivered no current or skin penetration; all groups had identical PCIA. | PDF pp.1,3-6 / journal pp.1,3-6, Abstract and Results: pain, PCIA activations, fentanyl consumption, recovery and adverse-event outcomes were reported by randomized group.","Randomized adult cesarean EA trial with eligible <=24-hour timing, separable sham and pain/opioid outcomes; retained and flagged because the full report does not establish whether general anaesthesia was used.",yes; complete nine-page open-access publisher PDF readable in Chrome,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA.,,,,,,,,,
85,3715,TRANSCUTANEOUS ELECTRICAL ACUSTIMULATION ENHANCES POSTOPERATIVE RECOVERY AFTER OPEN APPENDECTOMY.,"Xiao, Y.",2018,10.1016/S0016-5085(18)32615-5,INCLUDE,not_applicable,yes,"UNCERTAIN_GENERAL_ANAESTHESIA; OTHER_SPECIFIED_UNCERTAINTY: this results-bearing conference report does not state anaesthesia type or participant ages, so adult-only enrollment and GA remain unresolved.",,,,yes,2026-08-09T17:03:05+02:00,not reported,no,results-bearing randomized conference report,yes,yes,"Forty-five appendectomy patients were stated to be randomized to TEA, perioperative-only TEA or sham TEA.",uncertain; ages not reported in the conference report,,,,Open appendectomy,yes,uncertain,Anaesthesia type is not reported; GA was not inferred from appendectomy alone.,TEAS (described as needleless transcutaneous electrical acustimulation),Intraoperative TEA from start to finish plus daily one-hour bilateral ST36 stimulation on POD1-POD3; a perioperative-only arm and non-acupoint sham were included.,Bilateral ST36,,,,yes,yes,"Intraoperative, from start to finish",yes,,Same electrical stimulation at non-acupoints; an intraoperative-only TEA arm was also separable,not described in detail,yes; randomized arms differ in TEA timing/site,"Time to first flatus and defecation, ambulation, diet resumption, hospital stay and pain VAS POD1-POD3",no,no,yes,no,not reported,no,not reported,"Covidence conference-report abstract, Methods: 45 open-appendectomy patients were randomized to three TEA/sham arms; intraoperative and POD1-POD3 bilateral ST36 treatment schedules are stated. | Covidence conference-report abstract, Results: flatus, defecation and autonomic results are reported numerically by randomized group. | Covidence conference-report abstract, Methods/Results: ambulation, diet, hospital stay and POD1-POD3 pain were prespecified clinical outcomes; participant ages and anaesthesia type are not reported.","Results-bearing randomized conference report with operative surgery, therapeutic needleless ST36 stimulation beginning intraoperatively, separable sham and clinical recovery outcomes; retained and flagged because adult-only enrollment and general anaesthesia are unresolved.","yes; the complete results-bearing conference report is the Covidence abstract, with an Open Access library route also displayed",none,NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA and unreported adult-only population.,,,,,,,,,
86,3157,EFFECTS AND MECHANISMS OF TRANSCUTANEOUS ELECTRICAL ACUSTIMULATION ON POSTOPERATIVE RECOVERY AFTER THORACOLUMBER VERTEBRAL FRACTURE.,"Kang, Y.",2023,10.1016/S0016-5085(23)01142-3,INCLUDE,not_applicable,yes,"UNCERTAIN_GENERAL_ANAESTHESIA; OTHER_SPECIFIED_UNCERTAINTY: this results-bearing conference report does not state anaesthesia type or participant ages, leaving adult-only enrollment and GA unresolved.",,,,yes,2026-08-09T17:03:58+02:00,not reported,no,results-bearing randomized conference report,yes,yes,Eighty-one thoracolumbar-fracture patients were stated to be randomized to TEA or sham TEA.,uncertain; ages not reported in the conference report,,,,Elective posterior pedicle screw fixation for thoracolumbar vertebral fracture,yes,uncertain,Anaesthesia type is not reported; GA was not inferred from surgery type alone.,TEAS (described as non-invasive transcutaneous electrical acustimulation),One-hour ST36 surface electrical stimulation twice daily from 24 hours before surgery through POD3.,ST36,,,,yes,yes,24 hours before surgery,yes,,Sham TEA at non-acupoints,not described in detail,yes,"Time to defecation and flatus, stool score, bowel movements, GI symptoms and postoperative wound pain",no,no,yes,no,not reported,no,not reported,"Covidence conference-report abstract, Materials and Methods: 81 posterior-pedicle-fixation patients were randomized to ST36 TEA or non-acupoint sham; treatment began 24 hours preoperatively and continued through POD3. | Covidence conference-report abstract, Results: flatus, defecation, bowel symptoms and wound-pain results are reported by randomized group with effect estimates and P values. | Covidence conference-report abstract: participant ages and anaesthesia type are not reported.","Results-bearing randomized surgical conference report with therapeutic ST36 stimulation beginning preoperatively, non-acupoint sham and clinical bowel-recovery/pain outcomes; retained and flagged because adult-only enrollment and general anaesthesia are unresolved.","yes; the complete results-bearing conference report is the Covidence abstract, with an Open Access library route also displayed",none,NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA and unreported adult-only population.,,,,,,,,,
87,3795,Needleless transcutaneous electrical acustimulation accelerates post-surgical recovery mediated via autonomic mechanisms in patients with gastrointestinal cancers.,"Zhang, B.",2017,not reported,INCLUDE,not_applicable,yes,UNCERTAIN_GENERAL_ANAESTHESIA; UNCERTAIN_TIMING: anaesthesia type is not stated and the first TEA session was on postoperative day 1 without a clock time.,,,,yes,2026-08-09T17:04:45+02:00,not reported,no,results-bearing randomized conference report,yes,yes,Thirty-two adults were stated to be randomized equally to TEA or sham TEA.,yes; mean age 65.4 years,,,,Major abdominal surgery for gastrointestinal cancers,yes,uncertain,Anaesthesia type is not reported; GA was not inferred from abdominal surgery alone.,TEAS (described as needleless transcutaneous electroacupuncture),One-hour surface electrical stimulation at ST36 and PC6 twice daily on postoperative days 1-3.,ST36 and PC6,,,,yes,yes,"Postoperative day 1, exact clock time unreported",uncertain,,Identical stimulation protocol at non-acupoints,not described in detail,yes,"Time to defecation, flatus, ambulation, diet resumption, hospital stay and postoperative pain",no,no,yes,no,not reported,yes,Possible related pilot/full reports Covidence #3690 and #556; 32 gastrointestinal-cancer surgery patients,"Covidence conference-report abstract, Methods: 32 adults undergoing major GI-cancer surgery were randomized to ST36/PC6 TEA or non-acupoint sham, beginning POD1. | Covidence conference-report abstract, Results: flatus, defecation, diet, hospital stay and pain outcomes are reported numerically by randomized group. | Covidence conference-report abstract: anaesthesia type and exact POD1 treatment clock time are not reported.","Results-bearing randomized adult surgical conference report with therapeutic ST36/PC6 electrical acustimulation, non-acupoint sham and clinical recovery/pain outcomes; retained and flagged because GA and <=24-hour POD1 timing are unresolved.",yes; the complete results-bearing conference report is the Covidence abstract,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA and UNCERTAIN_TIMING; possible companion publication.,,,,,,,,,
88,3690,Needleless transcutaneous electrical acustimulation: A pilot study evaluating improvement in post-operative recovery.,"Zhang, B.",2018,10.1111/1751-2980.12664,INCLUDE,not_applicable,yes,UNCERTAIN_GENERAL_ANAESTHESIA; UNCERTAIN_TIMING: anaesthesia type is not stated and the first TEA session was on postoperative day 1 without a clock time.,,,,yes,2026-08-09T17:05:36+02:00,not reported,no,results-bearing randomized conference report,yes,yes,Forty-two adults were stated to be randomized equally to TEA or sham TEA.,yes; mean age 69.5 years,,,,Abdominal surgical removal of gastrointestinal cancers,yes,uncertain,Anaesthesia type is not reported; GA was not inferred from surgery type alone.,TEAS (described as needleless transcutaneous electrical acustimulation),One-hour ST36 and PC6 surface electrical stimulation twice daily on postoperative days 1-3.,ST36 and PC6,,,,yes,yes,"Postoperative day 1, exact clock time unreported",uncertain,,Sham TEA at non-acupoints,not described in detail,yes,"Time to defecation, flatus, ambulation, diet resumption, hospital stay and pain",no,no,yes,no,not reported,yes,Possible related reports Covidence #3795 and #556; 42 gastrointestinal-cancer surgery patients,"Covidence conference-report abstract, Methods: 42 adults undergoing GI-cancer resection were randomized to ST36/PC6 TEA or non-acupoint sham, beginning POD1. | Covidence conference-report abstract, Results: defecation, flatus, ambulation, diet, hospital stay and pain effects are reported numerically by group. | Covidence conference-report abstract: anaesthesia type and exact POD1 treatment clock time are not reported.","Results-bearing randomized adult surgical conference report with therapeutic ST36/PC6 electrical acustimulation, non-acupoint sham and clinical recovery/pain outcomes; retained and flagged because GA and <=24-hour POD1 timing are unresolved.",yes; the complete results-bearing conference report is the Covidence abstract,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA and UNCERTAIN_TIMING; possible companion publication.,,,,,,,,,
94,4322,Electroacupuncture for postoperative ileus after laparoscopic colorectal surgery: An interim analysis of a randomized sham-controlled study.,"Ng, S.S.",2010,not reported,INCLUDE,not_applicable,yes,"UNCERTAIN_GENERAL_ANAESTHESIA; UNCERTAIN_TIMING; OTHER_SPECIFIED_UNCERTAINTY: the conference report does not state anaesthesia type, exact POD1 treatment clock time, or participant ages.",,,,yes,2026-08-09T17:10:41+02:00,NCT00464425 (identified from companion full report),no,results-bearing randomized interim conference report,yes,yes,"Consecutive laparoscopic colorectal-cancer patients were stated to be randomly allocated to EA, sham acupuncture or no acupuncture.",uncertain in this report; ages not reported,,,,Elective laparoscopic colonic or upper-rectal cancer resection,yes,uncertain in this report,"Anaesthesia type is not reported in this conference report; the related full publication reports GA, but subgroup identity was not invented.",EA,"Daily 15-minute inserted-needle EA at ST36, SP6, LI4 and TE6 on postoperative days 1-4.","ST36, SP6, LI4 and TE6 (Zhigou)",,,,yes,yes,"Postoperative day 1, exact clock time unreported",uncertain,,Sham acupuncture and no-acupuncture arms,not described in detail,yes,"Time to defecation, diet resumption, hospital stay and acupuncture adverse events",no,no,no,no,yes; no acupuncture-related adverse events,yes,NCT00464425; interim companion to Covidence #775 and possible related #2470/#2625/#1970,"Covidence conference-report abstract, Methods: patients undergoing elective laparoscopic colorectal-cancer resection were randomized to EA, sham or no acupuncture; daily POD1-POD4 EA points and duration are reported. | Covidence conference-report abstract, Results: 108 randomized patients and numerical defecation, diet and hospital-stay outcomes are reported by group. | Covidence conference-report abstract: participant ages, anaesthesia type and exact POD1 treatment clock time are not reported.","Results-bearing randomized interim report with operative colorectal surgery, inserted-needle EA, separable sham/no-acupuncture controls and clinical recovery outcomes; retained and flagged because adult-only enrollment, GA and <=24-hour POD1 timing are unresolved in this report.",yes; the complete results-bearing conference report is the Covidence abstract,none,"NEEDS_HUMAN_REVIEW; possible companion publication, not merged.",,,,,,,,,
95,2426,ELECTROACUPUNCTURE COMBINED WITH FAST-TRACK PERIOPERATIVE PROGRAM FOR REDUCING DURATION OF POSTOPERATIVE ILEUS AND HOSPITAL STAY AFTER LAPAROSCOPIC COLORECTAL SURGERY: a RANDOMIZED CONTROLLED TRIAL.,"Ng, S.S.",2021,10.1016/S0016-5085(21)02865-1,INCLUDE,not_applicable,yes,"UNCERTAIN_GENERAL_ANAESTHESIA; UNCERTAIN_TIMING; OTHER_SPECIFIED_UNCERTAINTY: the results-bearing conference report does not state participant ages, anaesthesia type, or the first EA session timing/details.",,,,yes,2026-08-09T17:11:21+02:00,NCT04090073,no,results-bearing randomized conference report,yes,yes,Seventy-two consecutive laparoscopic colorectal-cancer patients were randomized equally to EA plus fast-track care or fast-track care alone.,uncertain in this report; ages not reported,,,,Elective laparoscopic colonic or upper-rectal cancer resection,yes,uncertain,Anaesthesia type is not reported; GA was not inferred from surgery type alone.,EA,"EA added to an otherwise shared fast-track perioperative programme; acupoints, current parameters and first-session timing are not stated in the conference report.",not reported in this conference report,,,,yes by explicit electroacupuncture terminology,yes,not reported,uncertain,,Identical fast-track programme without EA,yes; fast-track programme shared,yes,"Time to defecation and flatus, pain, hospital stay, morbidity, quality of life, costs and EA adverse events",no,no,yes,no,yes; no EA-related adverse events,yes,NCT04090073; related Ng investigator group but distinct trial from NCT00464425,"Covidence conference-report abstract, Methods: 72 laparoscopic colorectal-cancer patients were randomized to EA+fast-track or the same fast-track programme alone. | Covidence conference-report abstract, Results: defecation, flatus, pain, hospital stay, morbidity, quality-of-life, cost and adverse-event results are reported by randomized group. | Covidence conference-report abstract: participant ages, anaesthesia type, acupoints/current and first EA timing are not reported.","Results-bearing randomized surgical conference report with a separable EA addition to shared fast-track care and clinical recovery outcomes; retained and flagged because adult-only enrollment, GA, intervention detail and <=24-hour timing are unresolved.","yes; the complete results-bearing conference report is the Covidence abstract, with an Open Access library route also displayed",none,"NEEDS_HUMAN_REVIEW; possible companion publication, not merged.",,,,,,,,,
