screening_sequence,covidence_number,title,first_author,publication_year,DOI,trial_registration,decision,primary_exclusion_reason,definitive_exclusion,needs_human_review,uncertainty_reason,record_type,participant_results_reported,randomized,randomization_method,adult_population,sample_size_randomized,sample_size_analysed,country,surgery_type,operative_surgery,general_anaesthesia,anaesthesia_description,modality,intervention_description,acupuncture_points,stimulation_frequency,stimulation_intensity,stimulation_duration,electrical_stimulation_confirmed,therapeutic_stimulation,first_treatment_timing,timing_eligible,number_of_sessions,comparator,background_care_balanced,intervention_effect_separable,clinical_outcomes,opioid_outcome_reported,opioid_24h_reported,pain_reported,PONV_reported,adverse_events_reported,possible_companion_report,companion_identifiers,evidence_pages,evidence_summary,pdf_accessible,vote_registered,post_vote_timestamp,interface_issue,notes
25,248,Transcutaneous electrical acupoint stimulation improves pulmonary function by regulating oxidative stress during one-lung ventilation in patients with lung cancer undergoing thoracoscopic surgery: a randomized controlled trial.,Ju,2023,10.1186/s12906-023-04304-1,ChiCTR2000038243,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Computer-generated 1:1 sequence with sequentially numbered opaque sealed envelopes,yes; ages 30-65,80,80,China,Thoracoscopic pulmonary lobectomy for lung cancer,yes,yes,"Sufentanil, midazolam, etomidate and rocuronium induction; double-lumen tube with mechanical one-lung ventilation; sevoflurane/remifentanil/rocuronium maintenance.",TEAS,"Surface electrodes at bilateral BL13, ST36 and LI4 using SDZ-II, 2/100 Hz, 5-15 mA beginning 30 min before induction and continuing to end of operation.","Bilateral BL13, ST36 and LI4",2/100 Hz dilatational wave,5-15 mA,30 min before induction through end of operation,yes,yes,30 min before anaesthesia induction,yes,1,Same electrodes without electrical stimulation,yes,yes,QoR-15 POD1-2; ICU and postoperative hospital stay; chest-drain removal; postoperative pulmonary complications,yes; remifentanil used but consumption not an outcome,no,no,no,yes; pulmonary complications,no,ChiCTR2000038243,"[""PDF pp.2-3, Methods/Randomization: single-blind randomized thoracoscopic lung-cancer trial with computer sequence and sealed envelopes."",""PDF pp.3-4, Anaesthesia: double-lumen intubation, mechanical one-lung ventilation and sevoflurane/remifentanil GA."",""PDF p.4, Intervention: bilateral BL13/ST36/LI4 surface TEAS 2/100 Hz, 5-15 mA from 30 min pre-induction through surgery versus no-current electrodes."",""PDF p.4 and pp.5-7, Outcomes/Results: QoR-15, ICU/hospital stay, drain removal and pulmonary complications; 80 randomized/analyzed.""]",Eligible randomized adult thoracoscopic TEAS trial under intubated GA with no-current sham and clinical recovery/stay/complication outcomes in addition to mechanistic endpoints.,yes; Covidence-hosted 9-page PDF,yes,2026-08-09T15:53:00+02:00,none,Retained because eligible clinical outcomes were reported despite a mechanistic pulmonary-function primary endpoint.
26,249,"Effect of transcutaneous electrical acupoint stimulation on remifentanil dosage during craniotomy aneurysm clipping: a prospective, randomized controlled study.",Wang,2023,10.1186/s12906-023-04297-x,ChiCTR2100052353,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,SPSS-generated allocation using uniform random numbers with opaque sealed envelopes,yes; ages 40-70,42,40,China,Craniotomy for intracranial aneurysm clipping,yes,yes,"Midazolam, sufentanil, propofol and rocuronium induction; endotracheal intubation and mechanical ventilation; propofol/remifentanil maintenance.",TEAS,"Surface electrodes at LI4, PC6 and ST36 with HANS-200A, 2/100 Hz, <10 mA titrated to maximum tolerated from 30 min pre-induction through surgery.","LI4, PC6 and ST36",2/100 Hz,"<10 mA, titrated to maximum tolerated",30 min before induction through end of surgery,yes,yes,30 min before anaesthesia induction,yes,1,Appearance-matched placebo HANS device producing acupoint numbness but stated to have no therapeutic effect,yes,yes,Intraoperative remifentanil and propofol use; haemodynamics; postoperative PCIA; biomarkers,yes; primary intraoperative remifentanil dose,no,no,no,unclear,no,ChiCTR2100052353,"[""PDF p.3, Randomization/Anaesthesia: SPSS random allocation with sealed envelopes; endotracheal-intubated GA with propofol/remifentanil."",""PDF pp.3-4, Intervention: LI4/PC6/ST36 surface TEAS 2/100 Hz, <10 mA from 30 min pre-induction through surgery versus appearance-matched placebo device."",""PDF pp.4-6, Outcomes/Results: intraoperative remifentanil primary outcome and participant results; 42 randomized and 40 analyzed.""]",Eligible randomized adult craniotomy TEAS trial under intubated GA with minimally active placebo device and intraoperative opioid outcome.,yes; Covidence-hosted 10-page PDF,yes,2026-08-09T15:55:00+02:00,none,Placebo device produced numbness but was explicitly described as having no therapeutic effect; retained as minimally active sham.
27,260,"Effect of transcutaneous electrical acupoint stimulation on postoperative cognitive function in older patients with lung cancer: A randomized, double-blind, placebo-controlled trial.",Guo,2023,10.1016/j.heliyon.2023.e19386,not reported in accessible full text,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,SPSS-generated 1:1 randomization sequence with allocation code held by an independent technician,yes; older adults undergoing lung-cancer surgery,128,110,China,Lung-cancer resection,yes,yes,"Intravenous induction with midazolam, sufentanil, propofol and rocuronium; double-lumen intubation and mechanical ventilation; propofol/remifentanil/rocuronium maintenance.",TEAS,"Surface electrodes at DU20 and bilateral PC6, LI4 and ST36 using two HANS-200A stimulators, 2/100 Hz and 10-30 mA from 30 min before induction through the end of surgery.","DU20 and bilateral PC6, LI4 and ST36",2/100 Hz,10-30 mA,30 min before anaesthesia induction through end of surgery,yes,yes,30 min before anaesthesia induction,yes,1,Identical electrode placement with stimulator power turned off,yes,yes,Postoperative cognitive dysfunction by MoCA; MMSE; postoperative pain and sleep NRS; quality of life; chronic pain,yes; perioperative sufentanil/remifentanil and postoperative PCIA recorded,no,yes; acute and chronic pain,no,unclear,no,DOI 10.1016/j.heliyon.2023.e19386,"[""Publisher full-text HTML, Abstract: 128 patients were randomly assigned to TEAS or sham; general anaesthetic protocol applied in both groups; POCD, MMSE, pain, sleep and quality-of-life outcomes reported."",""Publisher full-text HTML, Methods §§2.3-2.4: SPSS random sequence and independent allocation; DU20/bilateral PC6/LI4/ST36 TEAS at 2/100 Hz and 10-30 mA from 30 min before induction through surgery versus power-off sham."",""Publisher full-text HTML, Methods §§2.4-2.5: double-lumen intubated general anaesthesia with propofol/remifentanil maintenance; postoperative cognitive, pain, sleep, quality-of-life and chronic-pain outcomes.""]","Eligible randomized, blinded lung-cancer surgery trial of perioperative surface TEAS under intubated general anaesthesia with power-off sham and patient-centred postoperative outcomes.","no; complete publisher full-text HTML accessible, but direct publisher PDF was not usable",yes,2026-08-09T15:50:30+02:00,none,Included from complete publisher full text; page numbers unavailable because the publisher PDF endpoint returned anti-bot HTML.
28,297,"Transcutaneous Electrical Acupoint Stimulation Improves Postoperative Sleep Quality in Patients Undergoing Laparoscopic Gastrointestinal Tumor Surgery: A Prospective, Randomized Controlled Trial.",Wang,2023,10.1007/s40122-023-00493-2,ChiCTR2100054971,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Computer-generated random-number table with sequentially numbered opaque sealed envelopes,yes; ages 18-75,88,83,China,Laparoscopic radical gastrectomy or colorectal-cancer resection,yes,yes,"Intravenous-inhalational general anaesthesia with midazolam, etomidate, sufentanil and vecuronium induction; sevoflurane, propofol and remifentanil maintenance with BIS 40-60.",TEAS,"Surface TEAS at bilateral HT7, PC6 and ST36, 2/10 Hz, 6-15 mA for 30 min on the night before surgery, night of surgery and first postoperative night.","Bilateral HT7, PC6 and ST36",2/10 Hz,"6-15 mA, individualized to slight twitching/maximum tolerance",30 min per session,yes,yes,Night before surgery,yes,3,Same apparatus and lights without electrical stimulation,yes,yes,Postoperative sleep quality; pain VAS; rescue analgesia; abdominal distension; dizziness; PONV; pulmonary complications,yes; rescue analgesia and intraoperative remifentanil,"yes; cumulative additional rescue doses reported through 72 h, including 24 h assessments",yes,yes,yes,no,ChiCTR2100054971,"[""PDF pp.3-4, Study design/Randomization: multicentre double-blind RCT; computer-generated numbers and opaque envelopes; laparoscopic gastric or colorectal cancer resection."",""PDF p.4, Anaesthesia/Protocol: intravenous-inhalational GA; bilateral HT7/PC6/ST36 TEAS at 2/10 Hz and 6-15 mA for three 30-min perioperative sessions versus no-current sham."",""PDF pp.5-7, Outcomes/Results: postoperative sleep, pain, rescue analgesia, PONV and complications; 88 enrolled/randomized and 83 analyzed.""]","Eligible randomized adult laparoscopic gastrointestinal-cancer surgery TEAS trial under general anaesthesia with no-current sham and postoperative sleep, pain, analgesia and adverse-event outcomes.",yes; Covidence-hosted 16-page PDF,yes,2026-08-09T15:51:20+02:00,none,"First TEAS session was preoperative, satisfying timing; subsequent postoperative sessions do not negate eligibility."
29,298,Transcutaneous Electrical Acupoint Stimulation Accelerates the Recovery of Patients Undergoing Laparoscopic Myomectomy: A Randomized Controlled Trial.,Pan,2023,10.2147/JPR.S399249,ChiCTR2100045173,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Random-number table,yes; women ages 18-60,120,105,China,Laparoscopic myomectomy,yes,yes,"Sufentanil, propofol and cisatracurium induction with endotracheal intubation; propofol and remifentanil maintenance with BIS 40-60.",TEAS,"Bilateral LI4/PC6 surface TEAS with HANS device at 2/100 Hz from 30 min preoperatively through end of anaesthesia, followed by bilateral ST36/SP6 TEAS for 30 min in PACU.","Bilateral LI4, PC6, ST36 and SP6",2/100 Hz,maximum tolerated; source text reports a starting value of 1 mA,"30 min before operation through end of anaesthesia, plus 30 min in PACU",yes,yes,30 min before operation,yes,2,No TEAS with otherwise balanced perioperative care,yes,yes,QoR-40 at 24 h; remifentanil use; pain at 1 and 24 h; nausea/vomiting; rescue analgesic/antiemetic use; gastrointestinal recovery; hospital stay,yes; intraoperative remifentanil and 24-h rescue analgesic use,yes,yes,yes,yes,no,ChiCTR2100045173,"[""PDF p.2, Design/Intervention: randomized by random-number table; LI4/PC6 TEAS at 2/100 Hz from 30 min preoperatively through anaesthesia plus PACU ST36/SP6 session versus no TEAS."",""PDF p.3, Anaesthesia: endotracheal-intubated GA with propofol/remifentanil maintenance and balanced antiemetic/analgesic care."",""PDF pp.4-5, Outcomes/Results: QoR-40, opioid use, pain, PONV, rescue medication, gastrointestinal recovery and stay; 120 enrolled and 105 analyzed.""]",Eligible randomized laparoscopic myomectomy TEAS trial under endotracheal general anaesthesia with no-TEAS control and multiple patient-centred recovery outcomes.,yes; Covidence-hosted 11-page PDF,yes,2026-08-09T15:51:35+02:00,none,The report gives 120 included before exclusions and 105 in the final cohort; both figures are retained transparently.
30,305,The Effect of Transcutaneous Electrical Acupoint Stimulation on High-Risk Patients with PONV Undergoing Laparoscopic Gynecologic Surgery: A Randomized Controlled Trial.,Qin,2023,10.3390/jcm12031192,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Envelope randomization by surgery day,yes; women ages 18-65,162,159,China,Laparoscopic myomectomy or total laparoscopic hysterectomy,yes,yes,"Tracheal-intubation general anaesthesia with propofol, cisatracurium and sufentanil induction; propofol, remifentanil and sevoflurane maintenance.",TEAS,"PC6 and LI4 surface stimulation using HANS200E for 30 min before surgery at 2/100 Hz and 1-12 mA, titrated to maximum tolerated slight muscle twitching.",PC6 and LI4,2/100 Hz,"1-12 mA, titrated to maximum tolerance/slight twitching",30 min before surgery,yes,yes,30 min before surgery,yes,1,Same electrodes and operating machine with disconnected electrode wire; both groups received dexamethasone and palonosetron,yes,yes,PONV within 24 h; vomiting frequency; nausea; rescue antiemetics; abdominal distension; first flatus; postoperative pain NRS; QoR-40; stay,"yes; remifentanil protocol and postoperative analgesia, not a primary consumption endpoint",no,yes,yes,yes,no,DOI 10.3390/jcm12031192,"[""PDF p.3, Participants/Randomization: 162 adult laparoscopic gynecologic-surgery patients randomized by envelopes; 3 lost to follow-up."",""PDF pp.3-4, Anaesthesia/Intervention: tracheal-intubated GA; PC6/LI4 TEAS at 2/100 Hz and 1-12 mA for 30 min before surgery versus disconnected-wire sham with balanced antiemetics."",""PDF p.4 and Results: 24-h PONV, pain, rescue antiemetics, first flatus, QoR-40 and hospitalization outcomes reported.""]",Eligible randomized high-PONV-risk laparoscopic gynecologic-surgery TEAS trial under intubated general anaesthesia with disconnected-wire sham and 24-hour PONV/pain/recovery outcomes.,yes; Covidence-hosted 13-page PDF,yes,2026-08-09T15:51:50+02:00,none,Balanced dexamethasone and palonosetron co-intervention does not prevent separation of the TEAS effect.
31,317,Acupoint Stimulation for Enhanced Recovery After Colon Surgery: A Prospective Multicenter Randomized Controlled Trial.,Lu,2022,10.2147/JMDH.S391852,NCT02921529,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Computer-generated 1:1 allocation with sealed envelopes,yes; ages 18-75,100,94,China,Laparoscopic colon surgery,yes,yes,"Midazolam, propofol and fentanyl induction with rocuronium-facilitated tracheal intubation; remifentanil and sevoflurane maintenance.",TEAS,"Surface electrodes at bilateral PC6 and ST36; 2/10 Hz and 4-11 mA for 30 min beginning 30 min before induction, repeated once daily for 3 postoperative days.",Bilateral PC6 and ST36,2/10 Hz,4-11 mA threshold intensity,30 min pre-induction plus 30 min daily for 3 postoperative days,yes,yes,30 min before anaesthesia induction,yes,4,"Electrodes and threshold testing but no stimulation, with identical ERAS care",yes,yes,Time to discharge criteria; bowel recovery; pain; PCA use; PONV; sleep; QoR-15; complications,yes; PCA deliveries/attempts and perioperative fentanyl/remifentanil,yes,yes,yes,yes,no,NCT02921529,"[""PDF pp.2-3, Methods: multicentre randomized trial under general anaesthesia with computer allocation and sealed envelopes."",""PDF p.2, Intervention/Anaesthesia: bilateral PC6/ST36 TEAS at 2/10 Hz and 4-11 mA beginning 30 min pre-induction; tracheal-intubated remifentanil/sevoflurane GA; no-stimulation control."",""PDF pp.2-4, Outcomes/Results: discharge, bowel recovery, pain, PCA, PONV, sleep, QoR and complications; 100 randomized and 94 analyzed.""]",Eligible randomized multicentre laparoscopic colon-surgery TEAS trial under intubated general anaesthesia with no-stimulation control and clinical recovery/opioid outcomes.,yes; Covidence-hosted 9-page PDF,yes,2026-08-09T15:55:40+02:00,none,none
32,320,"Transcutaneous electrical acupoint stimulation for reducing cognitive dysfunction in lumbar spine surgery: A randomized, controlled trail.",Wang,2022,10.3389/fnagi.2022.1034998,ChiCTR2200063030,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,SPSS-generated 1:1:1 sequence with opaque-envelope concealment,yes; ages 60-80,156,147,China,Lumbar spine surgery,yes,yes,"Tracheal-intubation general anaesthesia with midazolam, sufentanil and rocuronium induction; remifentanil, dexmedetomidine and propofol maintenance with mechanical ventilation.",TEAS,"GV20/GV14 surface TEAS using HANS-200A, 2/100 Hz and <10 mA for 30 min beginning 30 min before surgery and daily for 3 or 7 postoperative days.",GV20 and GV14,2/100 Hz,"<10 mA, reduced to a comfortable level",30 min before surgery and 30 min daily postoperatively,yes,yes,30 min before surgery,yes,4 or 8 by randomized TEAS arm,Placebo HANS producing numbness but stated to have no therapeutic effect on the same schedule,yes,yes,MMSE and postoperative cognitive dysfunction at days 3 and 7; pain VAS; recovery/extubation; biomarkers,yes; balanced sufentanil/remifentanil and postoperative PCIA,no,yes,no,unclear,no,ChiCTR2200063030,"[""PDF pp.2-3, Participants/Randomization: prospective three-arm trial; SPSS sequence with opaque envelopes; 156 randomized/planned and 147 analyzed."",""PDF pp.3-4, Anaesthesia/Intervention: tracheal-intubated GA; GV20/GV14 TEAS at 2/100 Hz and <10 mA from 30 min preoperatively versus nontherapeutic placebo HANS."",""PDF pp.4-7, Outcomes/Results: MMSE/POCD, pain and perioperative recovery outcomes reported.""]",Eligible randomized older-adult lumbar-spine-surgery TEAS trial under intubated general anaesthesia with minimally active nontherapeutic sham and cognitive/pain outcomes.,yes; Covidence-hosted 9-page PDF,yes,2026-08-09T15:55:50+02:00,none,The placebo produced numbness but was explicitly described as having no therapeutic effect.
33,324,"Effect of Transcutaneous Acupoint Electrical Stimulation on Urinary Retention and Urinary ATP in Elderly Patients After Laparoscopic Cholecystectomy: A Prospective, Randomized, Controlled Clinical Trial.",Zhang,2022,10.2147/CIA.S382912,NCT03631160,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,1:1 block randomization with sequentially numbered opaque envelopes,yes; age over 65,598,547,China,Laparoscopic cholecystectomy,yes,yes,General anaesthesia with etomidate/sufentanil induction and propofol/remifentanil maintenance.,TEAS,"Surface TEAS at bilateral BL32/SP6 and CV3/CV4 using SDZ-IV, 4/20 Hz at maximum tolerated intensity from 30 min before induction until 45 min after surgery.",Bilateral BL32 and SP6; CV3 and CV4,4/20 Hz,Maximum tolerated to slight local twitching,30 min before induction through 45 min after surgery,yes,yes,30 min before anaesthesia induction,yes,1,Same acupoints with disconnected output wires and active indicators/sound,yes,yes,Postoperative urinary retention; spontaneous voiding; catheterization/bladder discomfort; delirium; ambulation; stay; vomiting; adverse events,"yes; postoperative sufentanil PCIA available, not a primary outcome",no,no,yes; vomiting,yes,no,NCT03631160,"[""PDF pp.2-3, Design/Intervention: 598 older adults randomized by blocks/envelopes; BL32/SP6/CV3/CV4 TEAS at 4/20 Hz from 30 min pre-induction through 45 min post-surgery versus disconnected-wire sham."",""PDF p.3, Anaesthesia/Outcomes: general anaesthetic protocol and clinical urinary, delirium, ambulation, stay and adverse-event outcomes."",""PDF pp.4-5, Results/Flow: 547 analyzed; postoperative urinary retention, voiding, catheterization and safety results reported.""]",Eligible large randomized older-adult laparoscopic cholecystectomy TEAS trial under general anaesthesia with credible disconnected-wire sham and clinical urinary-recovery outcomes.,yes; Covidence-hosted 10-page PDF,yes,2026-08-09T15:56:00+02:00,none,none
34,332,Perioperative transcutaneous electrical acupoint stimulation (pTEAS) in pain management in major spinal surgery patients.,Wu,2022,10.1186/s12871-022-01875-3,ChiCTR1800014634,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Computer-generated random numbers,yes; ages 40-70,90,84,China,"Posterior lumbar decompression, fusion and internal fixation",yes,yes,"Total intravenous general anaesthesia with propofol/fentanyl induction, vecuronium, orotracheal intubation, mechanical ventilation, and propofol/remifentanil maintenance.",TEAS,"Bilateral ST36/SP6 surface TEAS at 2/15 Hz for 30 min before induction and 2/100 Hz intraoperatively, followed by bilateral LR3/PC6 at 2/15 Hz for 30 min daily through POD4.","Bilateral ST36, SP6, LR3 and PC6",2/15 Hz pre/postoperative; 2/100 Hz intraoperative,Individual maximum tolerance,"30 min pre-induction, throughout surgery, then 30 min daily through POD4",yes,yes,Before general anaesthesia induction,yes,6,Same electrode placement without electrical stimulation,yes,yes,Intraoperative remifentanil; postoperative pain through day 5; PONV; dizziness; rescue antiemetics; recovery measures,yes; intraoperative remifentanil primary outcome,no,yes,yes,yes,no,ChiCTR1800014634,"[""PDF pp.2-3, Methods: 90 adult major-spine-surgery patients randomized; total intravenous GA with orotracheal intubation."",""PDF p.3, pTEAS: surface ST36/SP6 and LR3/PC6 stimulation at 2/15 or 2/100 Hz from pre-induction through POD4 versus no-current electrodes."",""PDF pp.4-6, Results: 84 analyzed; remifentanil, pain, PONV, dizziness and rescue antiemetic outcomes reported.""]","Eligible randomized major-spine-surgery perioperative TEAS trial under intubated general anaesthesia with no-current control and opioid, pain and PONV outcomes.",yes; Covidence-hosted 9-page PDF,yes,2026-08-09T15:56:10+02:00,none,none
35,338,Effect of Transcutaneous Electrical Acupoint Stimulation Combined with Transversus Abdominis Plane Block on Postoperative Recovery in Elderly Patients Undergoing Laparoscopic Gastric Cancer Surgery: A Randomized Controlled Trial.,Xing,2022,10.1007/s40122-022-00429-2,ChiCTR2100042119,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Computer-generated allocation with sealed envelopes,yes; age 60 or older,90,87,China,Laparoscopic gastric-cancer surgery,yes,yes,"Midazolam, etomidate, sufentanil and rocuronium induction; propofol/remifentanil general anaesthesia with BIS 40-60 and operating-room extubation.",TEAS,"Bilateral LI4/PC6/ST36 surface TEAS at 2/100 Hz, titrated to mild twitching/maximum tolerance from 30 min before anaesthesia through end of surgery; combined with bilateral TAP block.","Bilateral LI4, PC6 and ST36",2/100 Hz,Maximum tolerated to mild muscle twitching,30 min before anaesthesia through end of operation,yes,yes,30 min before anaesthesia,yes,1,Incremental TEAS comparison: real TAP block plus sham TEAS versus real TAP block plus real TEAS,yes,yes,QoR-15; remifentanil; pain VAS/PCIA; extubation; ambulation/flatus; PONV and other adverse events,yes; remifentanil and PCIA,yes; PCIA use/presses assessed,yes,yes,yes,no,ChiCTR2100042119,"[""PDF pp.3-4, Design/Randomization: 90 older laparoscopic gastric-cancer patients randomized with computer sequence and sealed envelopes; blinded three-arm design."",""PDF pp.3-4, Intervention/Anaesthesia: LI4/PC6/ST36 TEAS at 2/100 Hz from 30 min pre-anaesthesia through surgery under propofol/remifentanil GA; real TAPB arms permit a separable TEAS contrast."",""PDF pp.5-7, Outcomes/Results: QoR-15, remifentanil, pain, PCIA, bowel recovery and PONV; 87 analyzed.""]",Eligible randomized older-adult gastric-cancer surgery trial; the real-TAPB plus sham-TEAS versus real-TAPB plus real-TEAS arms isolate the perioperative TEAS effect under general anaesthesia.,yes; Covidence-hosted 13-page PDF,yes,2026-08-09T15:56:20+02:00,none,The additional general-anaesthesia-only arm does not impair the separable TEAS contrast between the two real-TAPB arms.
36,351,"Effect of acupuncture on postoperative ileus after laparoscopic elective colorectal surgery: A prospective, randomised, controlled trial.",Yang,2022,10.1016/j.eclinm.2022.101472,ChiCTR1900027466,INCLUDE,not_applicable,no,yes,"The full report does not explicitly identify the anaesthetic technique; it excludes patients receiving epidural anaesthesia, but laparoscopic colorectal surgery alone is insufficient to establish general anaesthesia.",primary randomized participant-results report,yes,yes,"Postoperative 1:1:1 block randomization, sequence generated by an independent biostatistician",yes; age 18 or older,105,105,China,Laparoscopic elective colorectal resection,yes,unclear,Anaesthetic technique not explicitly reported in the article; patients receiving epidural anaesthesia were excluded.,EA,"Needle electroacupuncture at ST36 or ST25 with Deqi, HANS-200A, 2/100 Hz for 30 min once daily on POD1-4, compared separately with standardized ERAS care alone.",ST36 or ST25 by randomized arm,2/100 Hz,Gradually increased until slight needle vibration,30 min daily for 4 postoperative days or until discharge,yes,yes,Postoperative day 1,yes,up to 4,Standardized postoperative ERAS care without EA or other bowel-motility intervention,yes,yes,Time to first flatus/defecation; diet tolerance; analgesic use; pain; nausea/vomiting; abdominal distension; complications; stay,yes; analgesic use,no,yes,yes,yes,no,ChiCTR1900027466,"[""PDF pp.1-4, Design/Randomization: 105 adults undergoing laparoscopic colorectal resection randomized after surgery to ST36 EA, ST25 EA or standard care."",""PDF p.3, Intervention: needle EA with Deqi at 2/100 Hz for 30 min daily from POD1-4 versus standardized care alone; bowel, analgesia, pain, PONV, stay and complication outcomes."",""PDF pp.2-3, Eligibility: epidural anaesthesia was excluded, but no positive statement of general anaesthesia or airway technique appears.""]","Randomized adult postoperative EA trial with eligible surgery, stimulation, comparator and clinical outcomes; retained sensitivity-first with human-review flag because general anaesthesia is not positively established.",yes; Covidence-hosted 10-page PDF,yes,2026-08-09T15:56:30+02:00,none,NEEDS_HUMAN_REVIEW — anaesthesia type not explicitly reported; no inference made solely from laparoscopic colorectal surgery.
37,357,Effect Observation of Electro-Acupuncture Anesthesia Combined with General Anesthesia in Elderly Patients Undergoing Gastrointestinal Tumor Resection.,Xu,2022,10.3389/fsurg.2022.901638,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Random-number method; further allocation details not reported,yes; age 60 or older,118,118,China,Gastrointestinal tumour resection,yes,yes,"Midazolam, opioid, propofol and vecuronium induction; tracheal intubation; remifentanil and sevoflurane maintenance in both groups.",EA,"Needle acupuncture at bilateral GV20, LI4, PC6, HT7 and ST36 with Deqi, then dense-wave electroacupuncture at maximum tolerated intensity for 20 min before anaesthesia induction.","Bilateral GV20, LI4, PC6, HT7 and ST36",Dense wave; numeric frequency not reported,Maximum tolerated,20 min before induction,yes,yes,20 min before anaesthesia induction,yes,1,Same general anaesthesia without electroacupuncture,yes,yes,Postoperative pain VAS; emergence agitation; respiratory recovery; nausea/vomiting; cognitive dysfunction; ileus/adhesion; adverse reactions,"yes; balanced remifentanil protocol, not a measured consumption outcome",no,yes,yes,yes,no,DOI 10.3389/fsurg.2022.901638,"[""PDF pp.1-2, Methods: 118 older gastrointestinal-tumour resection patients divided by random-number method to GA alone or EA plus GA."",""PDF p.2, Treatment: bilateral GV20/LI4/PC6/HT7/ST36 needle EA at maximum tolerated intensity for 20 min pre-induction; both groups received tracheal-intubated remifentanil/sevoflurane GA."",""PDF pp.2-5, Outcomes/Results: pain, emergence, recovery, nausea/vomiting, cognitive and gastrointestinal adverse reactions reported for all 118 participants.""]",Eligible randomized older-adult gastrointestinal-tumour surgery trial of pre-induction needle electroacupuncture added to otherwise identical intubated general anaesthesia with clinical recovery outcomes.,yes; Covidence-hosted 7-page PDF,yes,2026-08-09T15:56:40+02:00,none,Randomization reporting is sparse but positive; no definite exclusion criterion is established.
38,359,Effects of Preoperative Electroacupuncture on Remifentanil-Induced Post-Infusion Hyperalgesia in Patients Undergoing Thyroidectomy: A Double-Blind Randomized Controlled Trial.,Li,2022,10.2147/JPR.S365587,ChiCTR2100050235,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Computer-generated 1:1 sequence with sealed envelopes,yes; ages 18-80,80,79,China,Elective thyroidectomy,yes,yes,"Endotracheal-intubated general anaesthesia with lidocaine, midazolam, propofol, sufentanil and vecuronium; propofol/remifentanil maintenance with BIS 40-60.",EA,"Needle electroacupuncture at bilateral ST36 and PC6, 20-100 Hz dense-disperse stimulation for 30 min within 24 h before surgery.",Bilateral ST36 and PC6,20-100 Hz,High but comfortable; stopped for discomfort/dizziness,30 min,yes,yes,Within 24 h before surgery,yes,1,Nonpenetrating bent-needle sham at non-acupoints with flashing stimulator but no electrical current,yes,yes,Mechanical pain threshold/hyperalgesia; postoperative NRS pain; rescue analgesia; adverse reactions,yes; fixed intraoperative remifentanil and rescue analgesia,yes; rescue analgesia assessed through 48 h,yes,yes; adverse reactions recorded,yes,no,ChiCTR2100050235,"[""PDF pp.2-3, Design/Randomization: double-blind trial; 80 thyroidectomy patients randomized by computer list and sealed envelopes."",""PDF pp.2-3, Intervention/Anaesthesia: bilateral ST36/PC6 needle EA at 20-100 Hz for 30 min within 24 h preoperatively versus nonpenetrating no-current sham; endotracheal-intubated GA."",""PDF pp.3-6, Outcomes/Results: mechanical hyperalgesia, NRS pain, rescue analgesia and adverse reactions; 79 analyzed.""]",Eligible randomized preoperative needle-electroacupuncture trial in thyroidectomy under standardized intubated general anaesthesia with credible nonpenetrating no-current sham and postoperative pain outcomes.,yes; Covidence-hosted 10-page PDF,yes,2026-08-09T15:56:50+02:00,none,none
