lock_id,target,endpoint_stratum,study,comparison_id,intervention,comparator,outcome,time_window,data_type,n_i,n_c,mean_i,sd_i,median_i,q1_i,q3_i,events_i,mean_c,sd_c,median_c,q1_c,q3_c,events_c,unit,reported_p,derived_effect_measure,derived_effect,rob_overall,include_strict,include_sensitivity,narrative_only,author_priority,p1_disposition,analysis_action,overlap_family,hold_reason,shared_control_issue,source_qc,record_status,source_url,v34_record_id
,V34_NEW_RESULT,GI — first flatus,Zhu 2022,V34_B1_016,Group Pre — EA day before surgery,Group Usual — usual care alone,Time to passage of first flatus,From end of surgery to first flatus,Mean/SD,101.0,101.0,18.38,6.11,,,,,21.56,8.07,,,,,hours,0.003**,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0017
,V34_NEW_RESULT,GI — first flatus,Zhu 2022,V34_B1_017,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,Time to passage of first flatus,From end of surgery to first flatus,Mean/SD,98.0,101.0,18.47,6.47,,,,,21.56,8.07,,,,,hours,0.003**,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0018
,V34_NEW_RESULT,GI — first flatus,Zhu 2022,V34_B1_018,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,Time to passage of first flatus,From end of surgery to first flatus,Mean/SD,100.0,101.0,18.82,7.5,,,,,21.56,8.07,,,,,hours,0.003**,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0019
,V34_NEW_RESULT,QoR-15,Zhu 2022,V34_B1_019,Group Pre — EA day before surgery,Group Usual — usual care alone,Overall QoR-15,AMBIGUOUS,Mean/SD,101.0,101.0,142.94,6.82,,,,,144.23,4.95,,,,,QoR-15 points,0.095,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. The table/methods do not state the assessment timepoint for the reported overall QoR-15 value.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0020
,V34_NEW_RESULT,QoR-15,Zhu 2022,V34_B1_020,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,Overall QoR-15,AMBIGUOUS,Mean/SD,98.0,101.0,144.74,5.21,,,,,144.23,4.95,,,,,QoR-15 points,0.095,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. The table/methods do not state the assessment timepoint for the reported overall QoR-15 value.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0021
,V34_NEW_RESULT,QoR-15,Zhu 2022,V34_B1_021,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,Overall QoR-15,AMBIGUOUS,Mean/SD,100.0,101.0,144.61,5.35,,,,,144.23,4.95,,,,,QoR-15 points,0.095,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. The table/methods do not state the assessment timepoint for the reported overall QoR-15 value.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0022
,V34_NEW_RESULT,Nausea,Zhu 2022,V34_B1_022,Group Pre — EA day before surgery,Group Usual — usual care alone,Postoperative nausea incidence,0–6 h after surgery,Events/total,101.0,101.0,,,,,,9.0,,,,,,20.0,participants,0.013*,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per-protocol.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0023
,V34_NEW_RESULT,Vomiting,Zhu 2022,V34_B1_023,Group Pre — EA day before surgery,Group Usual — usual care alone,Postoperative vomiting incidence,0–6 h after surgery,Events/total,101.0,101.0,,,,,,7.0,,,,,,17.0,participants,0.021*,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per-protocol.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0024
,V34_NEW_RESULT,Nausea severity,Zhu 2022,V34_B1_024,Group Pre — EA day before surgery,Group Usual — usual care alone,Nausea severity score,0–6 h after surgery,Mean/SD,101.0,101.0,0.2,0.68,,,,,0.46,0.95,,,,,4-point Likert-type severity scale 0-3,0.012*,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0025
,V34_NEW_RESULT,Vomiting severity,Zhu 2022,V34_B1_025,Group Pre — EA day before surgery,Group Usual — usual care alone,Vomiting severity score,0–6 h after surgery,Mean/SD,101.0,101.0,0.16,0.61,,,,,0.36,0.79,,,,,4-point Likert-type severity scale 0-3,0.037*,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0026
,V34_NEW_RESULT,Rescue antiemetic,Zhu 2022,V34_B1_026,Group Pre — EA day before surgery,Group Usual — usual care alone,Participants requiring metoclopramide rescue antiemetic,0–6 h after surgery,Events/total,101.0,101.0,,,,,,4.0,,,,,,18.0,participants,0.001**,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods specify metoclopramide 10 mg as rescue therapy.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0027
,V34_NEW_RESULT,Nausea,Zhu 2022,V34_B1_027,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,Postoperative nausea incidence,0–6 h after surgery,Events/total,98.0,101.0,,,,,,11.0,,,,,,20.0,participants,0.013*,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per-protocol.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0028
,V34_NEW_RESULT,Vomiting,Zhu 2022,V34_B1_028,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,Postoperative vomiting incidence,0–6 h after surgery,Events/total,98.0,101.0,,,,,,9.0,,,,,,17.0,participants,0.021*,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per-protocol.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0029
,V34_NEW_RESULT,Nausea severity,Zhu 2022,V34_B1_029,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,Nausea severity score,0–6 h after surgery,Mean/SD,98.0,101.0,0.22,0.67,,,,,0.46,0.95,,,,,4-point Likert-type severity scale 0-3,0.012*,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0030
,V34_NEW_RESULT,Vomiting severity,Zhu 2022,V34_B1_030,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,Vomiting severity score,0–6 h after surgery,Mean/SD,98.0,101.0,0.18,0.63,,,,,0.36,0.79,,,,,4-point Likert-type severity scale 0-3,0.037*,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0031
,V34_NEW_RESULT,Rescue antiemetic,Zhu 2022,V34_B1_031,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,Participants requiring metoclopramide rescue antiemetic,0–6 h after surgery,Events/total,98.0,101.0,,,,,,11.0,,,,,,18.0,participants,0.001**,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods specify metoclopramide 10 mg as rescue therapy.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0032
,V34_NEW_RESULT,Nausea,Zhu 2022,V34_B1_032,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,Postoperative nausea incidence,0–6 h after surgery,Events/total,100.0,101.0,,,,,,7.0,,,,,,20.0,participants,0.013*,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per-protocol.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0033
,V34_NEW_RESULT,Vomiting,Zhu 2022,V34_B1_033,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,Postoperative vomiting incidence,0–6 h after surgery,Events/total,100.0,101.0,,,,,,6.0,,,,,,17.0,participants,0.021*,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per-protocol.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0034
,V34_NEW_RESULT,Nausea severity,Zhu 2022,V34_B1_034,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,Nausea severity score,0–6 h after surgery,Mean/SD,100.0,101.0,0.14,0.53,,,,,0.46,0.95,,,,,4-point Likert-type severity scale 0-3,0.012*,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0035
,V34_NEW_RESULT,Vomiting severity,Zhu 2022,V34_B1_035,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,Vomiting severity score,0–6 h after surgery,Mean/SD,100.0,101.0,0.11,0.47,,,,,0.36,0.79,,,,,4-point Likert-type severity scale 0-3,0.037*,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0036
,V34_NEW_RESULT,Rescue antiemetic,Zhu 2022,V34_B1_036,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,Participants requiring metoclopramide rescue antiemetic,0–6 h after surgery,Events/total,100.0,101.0,,,,,,4.0,,,,,,18.0,participants,0.001**,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods specify metoclopramide 10 mg as rescue therapy.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0037
,V34_NEW_RESULT,Nausea severity,Zhu 2022,V34_B1_037,Group Pre — EA day before surgery,Group Usual — usual care alone,Nausea severity score,6–24 h after surgery,Mean/SD,101.0,101.0,0.22,0.66,,,,,0.5,0.88,,,,,4-point Likert-type severity scale 0-3,0.011,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0038
,V34_NEW_RESULT,Vomiting severity,Zhu 2022,V34_B1_038,Group Pre — EA day before surgery,Group Usual — usual care alone,Vomiting severity score,6–24 h after surgery,Mean/SD,101.0,101.0,0.12,0.53,,,,,0.41,0.8,,,,,4-point Likert-type severity scale 0-3,0.008,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0039
,V34_NEW_RESULT,Rescue antiemetic,Zhu 2022,V34_B1_039,Group Pre — EA day before surgery,Group Usual — usual care alone,Participants requiring metoclopramide rescue antiemetic,6–24 h after surgery,Events/total,101.0,101.0,,,,,,8.0,,,,,,28.0,participants,<0.001**,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods specify metoclopramide 10 mg as rescue therapy.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0040
,V34_NEW_RESULT,Nausea severity,Zhu 2022,V34_B1_040,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,Nausea severity score,6–24 h after surgery,Mean/SD,98.0,101.0,0.34,0.76,,,,,0.5,0.88,,,,,4-point Likert-type severity scale 0-3,0.011,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0041
,V34_NEW_RESULT,Vomiting severity,Zhu 2022,V34_B1_041,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,Vomiting severity score,6–24 h after surgery,Mean/SD,98.0,101.0,0.15,0.54,,,,,0.41,0.8,,,,,4-point Likert-type severity scale 0-3,0.008,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0042
,V34_NEW_RESULT,Rescue antiemetic,Zhu 2022,V34_B1_042,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,Participants requiring metoclopramide rescue antiemetic,6–24 h after surgery,Events/total,98.0,101.0,,,,,,16.0,,,,,,28.0,participants,<0.001**,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods specify metoclopramide 10 mg as rescue therapy.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0043
,V34_NEW_RESULT,Nausea severity,Zhu 2022,V34_B1_043,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,Nausea severity score,6–24 h after surgery,Mean/SD,100.0,101.0,0.2,0.6,,,,,0.5,0.88,,,,,4-point Likert-type severity scale 0-3,0.011,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0044
,V34_NEW_RESULT,Vomiting severity,Zhu 2022,V34_B1_044,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,Vomiting severity score,6–24 h after surgery,Mean/SD,100.0,101.0,0.2,0.67,,,,,0.41,0.8,,,,,4-point Likert-type severity scale 0-3,0.008,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0045
,V34_NEW_RESULT,Rescue antiemetic,Zhu 2022,V34_B1_045,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,Participants requiring metoclopramide rescue antiemetic,6–24 h after surgery,Events/total,100.0,101.0,,,,,,9.0,,,,,,28.0,participants,<0.001**,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods specify metoclopramide 10 mg as rescue therapy.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0046
,V34_NEW_RESULT,Nausea,Zhu 2022,V34_B1_046,Group Pre — EA day before surgery,Group Usual — usual care alone,Postoperative nausea incidence,24–48 h after surgery,Events/total,101.0,101.0,,,,,,2.0,,,,,,7.0,participants,0.164,,,ROB2_RESULT_SPECIFIC_PENDING,0,0,1,,,See V34_Secondary_Ready; no inherited AF lock,,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per-protocol.,"SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread",https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,AUDIT-0047
