Canonical study,Comparison ID,Intervention arm,Comparator arm,Outcome family,Outcome/result,Timepoint/window,Data type,Randomized n intervention,Randomized n comparator,Analyzed n intervention,Analyzed n comparator,Mean intervention,SD intervention,Median intervention,Q1 intervention,Q3 intervention,Events intervention,Mean comparator,SD comparator,Median comparator,Q1 comparator,Q3 comparator,Events comparator,Unit/scale,Reported P,Directly reported?,Derived/converted?,Derived effect measure,Derived effect,Exact 0-24 h postoperative opioid?,Primary opioid meta-analysis eligible?,Other analysis eligibility,Shared-control / multi-arm issue,Source-QC issue,Source location,Source PDF URL,Record status,V34 record ID,V34 audit row,V34 disposition,Raw statistic intervention,Raw dispersion intervention,Raw statistic comparator,Raw dispersion comparator,Minimum intervention,Maximum intervention,Minimum comparator,Maximum comparator,IQR width intervention,IQR width comparator,Analysis population,V34 source filename,V34 source quote,V34 eligibility,V34 eligibility reason,V34 RoB2 status,V34 endpoint class,V34 modality,V34 comparator class,V34 time class
Lu 2021,LU21_COMB_vs_SHAM_PONV24,Combined PC6+CV17 TEAS,Sham/no current,PONV,Any PONV,24 h,Events/total,190,188,190,188,,,,,,35,,,,,,68,participants,Overall P=0.0001,Yes,No,RR,0.5092879256965943,No,No,Eligible for dichotomous 24-h PONV analysis,Yes,Use raw event counts; three-arm shared sham comparator,24-h PONV table,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0130,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,PONV composite,TEAS,Sham,24 h point
Lu 2021,LU21_SINGLE_vs_SHAM_PONV24,Single PC6 TEAS,Sham/no current,PONV,Any PONV,24 h,Events/total,198,188,198,188,,,,,,59,,,,,,68,participants,Overall P=0.0001,Yes,No,RR,0.8238265002970884,No,No,Eligible for dichotomous 24-h PONV analysis with multi-arm adjustment,Yes,Overall P is three-group; pairwise significance should not be inferred unless directly reported,24-h PONV table,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0131,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,PONV composite,TEAS,Sham,24 h point
Lu 2021,LU21_POSTOP_OPIOID24,TEAS arms,Sham/no current,Opioid consumption,Cumulative postoperative sufentanil PCA consumption,0-24 h,Not reported,,,,,,,,,,,,,,,,,µg sufentanil,,No,No,,,No,No,Not eligible for continuous 24-h postoperative opioid meta-analysis,Yes,PCA opioid is sufentanil but prescription and cumulative 24-h consumption are not reported,Postoperative PCA section,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,MISSING / AUTHOR DATA NEEDED,V33-OD-0132,,,,,,,,,,,,,,,,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,Postoperative opioid dose (native window/unit),TEAS,Sham,0-24h
Lu 2022,LU22_TEAS_vs_CTRL_DISCHARGE,TEAS + ERAS,No-current control + ERAS,Recovery,Time to meet discharge criteria,Postoperative,Mean/SD,50,50,47,47,6,1.8,,,,,7,2.4,,,,,days,0.02,Yes,No,MD,-1,No,No,Eligible for recovery-time meta-analysis,No,Six randomized patients were excluded because they did not receive allocated intervention; open conversion is plausibly related to discharge time,Primary outcome / time to discharge,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,V33-OD-0133,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,Recovery,TEAS,Sham,postoperative
Lu 2022,LU22_TEAS_vs_CTRL_FLATUS,TEAS + ERAS,No-current control + ERAS,GI recovery,Time to first flatus,Postoperative,Mean/SD,50,50,47,47,34.5,16.7,,,,,42.4,22.9,,,,,hours,0.03,Yes,No,MD,-7.899999999999999,No,No,Eligible for GI-recovery meta-analysis,No,Same 6 post-randomization exclusions apply,First flatus result,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,V33-OD-0134,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,GI — first flatus,TEAS,Sham,postoperative
Lu 2022,LU22_TEAS_vs_CTRL_DEFEC,TEAS + ERAS,No-current control + ERAS,GI recovery,Time to first defecation,Postoperative,Mean/SD,50,50,47,47,42,25,,,,,55.4,29.7,,,,,hours,0.03,Yes,No,MD,-13.4,No,No,Eligible for GI-recovery meta-analysis,No,Same 6 post-randomization exclusions apply,First defecation result,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,V33-OD-0135,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,GI — first defecation,TEAS,Sham,postoperative
Lu 2022,LU22_TEAS_vs_CTRL_PCAATTEMPT24,TEAS + ERAS,No-current control + ERAS,Opioid demand,PCA attempts,24 h,Median/IQR,50,50,47,47,,,8,3,18,,,,16.5,8,38,,attempts,0.001,Yes,No,,,No,No,Eligible as 24-h PCA-demand proxy only,No,"PCA drug, bolus dose, concentration, basal infusion and lockout are not reported",PCA table / 24-h attempts,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,SOURCE-VERIFIED / DOSE NOT RECONSTRUCTABLE,V33-OD-0136,,,,,,,,,,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,PCA/PCIA button presses,TEAS,Sham,24 h point
Lu 2022,LU22_TEAS_vs_CTRL_PCADELIV24,TEAS + ERAS,No-current control + ERAS,Opioid demand,Successful PCA deliveries,24 h,Median/IQR,50,50,47,47,,,5,2,12,,,,12,6,22,,deliveries,0.001,Yes,No,,,No,No,Eligible as 24-h PCA-delivery proxy only,No,Do not convert successful deliveries into opioid dose because the PCA prescription is absent,PCA table / 24-h deliveries,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,SOURCE-VERIFIED / DOSE NOT RECONSTRUCTABLE,V33-OD-0137,,,,,,,,,,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,PCA deliveries / bolus count,TEAS,Sham,24 h point
Lu 2022,LU22_TEAS_vs_CTRL_OPIOID24,TEAS + ERAS,No-current control + ERAS,Opioid consumption,Exact cumulative PCA opioid consumption,0-24 h,Not reported,50,50,47,47,,,,,,,,,,,,,mg/µg,,No,No,,,No,No,Not eligible for continuous 24-h opioid meta-analysis without supplementary/author data,No,The main article never identifies the PCA drug or dose,Postoperative PCA section,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,MISSING / PCA DRUG AND DOSE NR,V33-OD-0138,,,,,,,,,,,,,,,,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,Postoperative opioid dose (native window/unit),TEAS,Sham,0-24h
Luo 2026,LUO26_TEAS_vs_SHAM_NAUSEA48,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,PONV,Cumulative postoperative nausea,0-48 h,Events/total,138,139,138,139,,,,,,24,,,,,,53,participants,<0.01,Yes,No,RR,0.4561115668580804,No,No,Eligible for dichotomous 48-h nausea analysis,No,Participant blinding was empirically poor: 77.5% of TEAS and 66.2% of sham participants correctly guessed allocation,Primary outcome / cumulative nausea,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0139,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,Nausea,TEAS,Sham,0-48h
Luo 2026,LUO26_TEAS_vs_SHAM_VOMIT48,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,PONV,Cumulative postoperative vomiting,0-48 h,Events/total,138,139,138,139,,,,,,9,,,,,,27,participants,<0.01,Yes,No,RR,0.3357487922705314,No,No,Eligible for dichotomous 48-h vomiting analysis,No,"Vomiting is more objective than nausea, but participant masking was incomplete",Primary outcome / cumulative vomiting,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0140,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Vomiting,TEAS,Sham,0-48h
Luo 2026,LUO26_TEAS_vs_SHAM_COMPLETE48,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,PONV,Complete response: no vomiting and no rescue antiemetic,0-48 h,Events/total,138,139,138,139,,,,,,112,,,,,,83,participants,<0.01,Yes,No,RR,1.359175833769862,No,No,Eligible for dichotomous complete-response analysis,No,Abstract percentage differs slightly from table-derived 112/138; use raw counts,Complete-response result,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,SOURCE-VERIFIED / ABSTRACT % QC,V33-OD-0141,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Rescue antiemetic,TEAS,Sham,0-48h
Luo 2026,LUO26_TEAS_vs_SHAM_NRS24,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,Pain,Postoperative NRS pain,24 h,Mean/SD,138,139,138,139,1.3,0.92,,,,,1.65,0.95,,,,,NRS 0-10,<0.01,Yes,No,MD,-0.3499999999999999,No,No,Eligible for 24-h pain analysis,No,Rest-versus-movement condition is not reported; participant masking was incomplete,Postoperative pain table / 24 h,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0142,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Pain — unspecified context,TEAS,Sham,24 h point
Luo 2026,LUO26_TEAS_vs_SHAM_OPIOIDEQUIV,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,Perioperative opioid,Published 'sufentanil equivalents' metric,Perioperative,Mean/SD,138,139,138,139,15.86,5.11,,,,,15.18,4.95,,,,,published as mg; definition/unit unresolved,0.27,Yes,No,MD,0.6799999999999997,No,No,Do not harmonize to MME or actual sufentanil mass until authors clarify conversion and unit,No,Source labels approximately 15-16 as 'sufentanil equivalents (mg)' without explaining conversion; preserve verbatim,Table 1 / perioperative opioid metric,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,SOURCE-VERIFIED / UNIT UNRESOLVED,V33-OD-0143,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Postoperative opioid dose (native window/unit),TEAS,Sham,perioperative
Luo 2026,LUO26_TEAS_vs_SHAM_OPIOID24,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,Opioid consumption,Cumulative postoperative oxycodone consumption,0-24 h,Not reported,138,139,138,139,,,,,,,,,,,,,mg oxycodone,,No,No,,,No,No,Not eligible for continuous 24-h opioid/MME meta-analysis,No,"Postoperative IV oxycodone is described, but schedule and group-specific cumulative 24-h consumption are not reported",Postoperative analgesia / exact 24-h endpoint absent,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,MISSING / AUTHOR DATA NEEDED,V33-OD-0144,,,,,,,,,,,,,,,,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,Postoperative opioid dose (native window/unit),TEAS,Sham,0-24h
Long 2025,LONG25_TEAS_vs_CTRL_PND1,Perioperative electrical acupoint stimulation,Electrodes/no current,Neurocognitive,Perioperative neurocognitive disorder (PND),POD1,Published event count + percentage; denominator inconsistent,30,30,27,26,,,,,,7,,,,,,14,Active: 7 cases (25.0%); Control: 14 cases (56.0%),NR,Yes,No,,,No,No,Not meta-analysis-ready until event denominators are clarified,No,Published percentages do not reconcile with final analyzed n=27 active/26 control; do not back-calculate denominators | V34: PND denominator conflict: study-level n=27/26 differs from percentages implying 28/25. No denominator reconstruction; HOLD.,PND incidence table / POD1,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,SOURCE-VERIFIED / DENOMINATOR INCONSISTENT,V33-OD-0145,,,,,,,,,,,,,,,,HOLD,"Unresolved source conflict or undefined endpoint; printed values retained, excluded from quantitative models.",EXISTING_RESULT_SPECIFIC: High,Neurocognitive,EA,Sham,pod1
Long 2025,LONG25_TEAS_vs_CTRL_PND3,Perioperative electrical acupoint stimulation,Electrodes/no current,Neurocognitive,Perioperative neurocognitive disorder (PND),POD3,Published event count + percentage; denominator inconsistent,30,30,27,26,,,,,,4,,,,,,12,Active: 4 cases (14.3%); Control: 12 cases (48.0%),NR,Yes,No,,,No,No,Not meta-analysis-ready until event denominators are clarified,No,Published percentages do not reconcile with reported analyzed denominators | V34: PND denominator conflict: study-level n=27/26 differs from percentages implying 28/25. No denominator reconstruction; HOLD.,PND incidence table / POD3,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,SOURCE-VERIFIED / DENOMINATOR INCONSISTENT,V33-OD-0146,,,,,,,,,,,,,,,,HOLD,"Unresolved source conflict or undefined endpoint; printed values retained, excluded from quantitative models.",EXISTING_RESULT_SPECIFIC: High,Neurocognitive,EA,Sham,pod3
Long 2025,LONG25_TEAS_vs_CTRL_VAS24,Perioperative electrical acupoint stimulation,Electrodes/no current,Pain,VAS pain intensity,24 h,Mean/SD,30,30,27,26,2.78,0.97,,,,,3.96,0.96,,,,,VAS 0-10,<0.001,Yes,No,MD,-1.18,No,No,Eligible for 24-h pain analysis using Table 7 value,No,Abstract/Results prose gives active 2.65 ± 0.94; Table 7/Figure 9 gives 2.78 ± 0.97. Master uses the directly tabulated Table 7 value and retains discrepancy | V34: Long Table 7 EA 24-h VAS 2.78±0.97; abstract 2.65±0.94. Table values retained; quantitative HOLD pending adjudication.,Table 7 / Figure 9,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,SOURCE-VERIFIED / SOURCE VALUE CONFLICT,V33-OD-0147,,,,,,,,,,,,,,,,HOLD,"Unresolved source conflict or undefined endpoint; printed values retained, excluded from quantitative models.",ROB2_RESULT_SPECIFIC_PENDING,Pain — unspecified context,EA,Sham,24 h point
Long 2025,LONG25_TEAS_vs_CTRL_PCIA48VOL,Perioperative electrical acupoint stimulation,Electrodes/no current,Opioid demand,PCIA solution consumption,48 h,Mean/SD,30,30,27,26,86.22,4.27,,,,,89.23,3.67,,,,,mL of weight-based sufentanil solution,0.008,Yes,No,MD,-3.010000000000005,No,No,"Eligible only as 48-h pump-volume outcome, not as sufentanil mass",No,"Reservoir contains 2 µg/kg sufentanil in 100 mL; group body weight is unavailable, so solution volume cannot be converted to group mean opioid mass",Table 7 / Figure 9,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,SOURCE-VERIFIED / DOSE NOT RECONSTRUCTABLE,V33-OD-0148,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,PCIA solution volume,EA,Sham,48h
Long 2025,LONG25_TEAS_vs_CTRL_PCIAPRESS48,Perioperative electrical acupoint stimulation,Electrodes/no current,Opioid demand,PCIA compression count,48 h,Mean/SD,30,30,27,26,7.11,2.14,,,,,8.62,1.84,,,,,presses,0.008,Yes,No,MD,-1.509999999999999,No,No,Eligible as 48-h PCA-demand outcome only,No,Do not translate compression count into delivered sufentanil mass,Table 7 / Figure 9,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0149,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,PCA/PCIA button presses,EA,Sham,48h
Long 2025,LONG25_TEAS_vs_CTRL_PONV,Perioperative electrical acupoint stimulation,Electrodes/no current,PONV,PONV incidence,Postoperative,Events/total,30,30,27,26,,,,,,1,,,,,,8,participants,NR,Yes,No,RR,0.1203703703703704,No,No,Eligible for dichotomous PONV analysis using final analyzed denominators,No,Adverse-event percentages elsewhere are internally inconsistent; raw 1/27 vs 8/26 is retained,Adverse events / PONV,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,SOURCE-VERIFIED / PERCENTAGE QC,V33-OD-0150,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,PONV composite,EA,Sham,postoperative
Long 2025,LONG25_TEAS_vs_CTRL_OPIOID24,Perioperative electrical acupoint stimulation,Electrodes/no current,Opioid consumption,Exact cumulative postoperative sufentanil consumption,0-24 h,Not reported,30,30,27,26,,,,,,,,,,,,,µg sufentanil,,No,No,,,No,No,Not eligible for continuous 24-h opioid/MME meta-analysis,No,24-h PCIA volume/compressions are not reported; even 48-h volume cannot be converted exactly to sufentanil mass without body weight,Exact 24-h opioid endpoint absent,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,MISSING / AUTHOR DATA NEEDED,V33-OD-0151,,,,,,,,,,,,,,,,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,Postoperative opioid dose (native window/unit),EA,Sham,0-24h
Li 2021,LI21_TEAS_vs_SHAM_BOWEL,Perioperative TEAS,Sham-point/no current,GI recovery,Time to first bowel motion by auscultation,Postoperative,Median/IQR,154,152,140,140,,,31,18.8,45.3,,,,42,22.1,52.4,,hours,<0.01,Yes,No,,,No,No,Eligible for GI-recovery meta-analysis using median/IQR methods,No,26/306 randomized patients excluded in per-protocol analysis; exclusions include ICU transfer and operation cancellation,Primary outcome / first bowel motion,https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,V33-OD-0152,,,,,,,,,,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,EXISTING_RESULT_SPECIFIC: High,GI — first defecation,TEAS,Sham,postoperative
Li 2021,LI21_TEAS_vs_SHAM_FLATUS,Perioperative TEAS,Sham-point/no current,GI recovery,Time to first flatus,Postoperative,Median/IQR,154,152,140,140,,,44,26.5,63.9,,,,64,30,70.6,,hours,<0.01,Yes,No,,,No,No,Eligible for GI-recovery meta-analysis using median/IQR methods,No,Use PP analyzed denominators explicitly; do not fabricate mean/SD,First-flatus result,https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,V33-OD-0153,,,,,,,,,,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,GI — first flatus,TEAS,Sham,postoperative
Li 2021,LI21_TEAS_vs_SHAM_PGD,Perioperative TEAS,Sham-point/no current,GI recovery,Postoperative gastrointestinal dysfunction: no bowel sounds >48 h,Postoperative,Events/total,154,152,140,140,,,,,,26,,,,,,44,participants,NR,Yes,No,RR,0.5909090909090909,No,No,Eligible for dichotomous PGD analysis,No,Study-specific PGD definition; majority of events were in colorectal stratum,PGD incidence,https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0154,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,GI — bowel sounds,TEAS,Sham,postoperative
Li 2021,LI21_TEAS_vs_SHAM_PAIN6,Perioperative TEAS,Sham-point/no current,Pain,VAS ≥4,6 h,Events/total,154,152,140,140,,,,,,30,,,,,,50,participants,0.008,Yes,No,RR,0.6,No,No,Eligible for dichotomous 6-h significant-pain analysis,No,Pain is reported as binary VAS ≥4 rather than continuous score,Postoperative pain table / 6 h,https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0155,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Pain — unspecified context,TEAS,Sham,6h
Li 2021,LI21_TEAS_vs_SHAM_OPIOID24,Perioperative TEAS,Sham-point/no current,Opioid consumption,Cumulative postoperative sufentanil consumption,0-24 h,Not reported,154,152,140,140,,,,,,,,,,,,,published pump formulation says 250 mg sufentanil/250 mL,,No,No,,,No,No,Not eligible for continuous 24-h opioid/MME meta-analysis,No,"Printed pump unit is clinically implausible, programming is missing, and actual 24-h delivered dose is not reported; do not silently change mg to µg",Postoperative analgesia pump / exact 24-h endpoint absent,https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,MISSING / UNIT + DOSE UNRESOLVED,V33-OD-0156,,,,,,,,,,,,,,,,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,Postoperative opioid dose (native window/unit),TEAS,Sham,0-24h
Liu 2026 (ESD),LIU26ESD_TEAS_vs_SHAM_MODPAIN24,Perioperative TEAS,Sham-point/no current,Pain,Moderate-to-severe pain (NRS ≥4),Within 24 h,Events/total,64,65,58,62,,,,,,22,,,,,,40,participants,0.004,Yes,No,RR,0.5879310344827586,No,No,Eligible for dichotomous 24-h moderate-to-severe pain analysis,No,"9/129 randomized participants excluded after randomization, including postoperative bleeding and conversion to laparotomy; no ITT sensitivity analysis",Primary outcome / NRS ≥4 within 24 h,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,V33-OD-0157,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,Pain — unspecified context,TEAS,Sham,within 24h
Liu 2026 (ESD),LIU26ESD_TEAS_vs_SHAM_NRS24,Perioperative TEAS,Sham-point/no current,Pain,NRS pain intensity,24 h,Mean/SD,64,65,58,62,1.2,1.3,,,,,2.8,1.9,,,,,NRS 0-10,0.001,Yes,No,MD,-1.6,No,No,Eligible for 24-h pain meta-analysis,No,Active TEAS at maximum tolerated intensity vs sham no current; sensory blinding success was not tested,Serial NRS results / 24 h,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0158,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Pain — unspecified context,TEAS,Sham,24 h point
Liu 2026 (ESD),LIU26ESD_TEAS_vs_SHAM_ANYMORPH,Perioperative TEAS,Sham-point/no current,Rescue opioid use,Any rescue IV morphine use,Through 48 h,Events/total,64,65,58,62,,,,,,19,,,,,,40,participants,<0.001,Yes,No,RR,0.5077586206896552,No,No,Eligible for binary rescue-opioid-use analysis,No,"Morphine was 1 mg IV per administration, but number of administrations and cumulative dose per patient are not reported",Postoperative rescue analgesia,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0159,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Rescue opioid use,TEAS,Sham,through 48h
Liu 2026 (ESD),LIU26ESD_TEAS_vs_SHAM_PONV,Perioperative TEAS,Sham-point/no current,PONV,PONV incidence,Postoperative follow-up,Events/total,64,65,58,62,,,,,,4,,,,,,14,participants,Published P/RR internally inconsistent,Yes,No,RR,0.3054187192118227,No,No,Eligible using raw event counts with source-statistic QC,No,Published RR/P-value for PONV are internally inconsistent; use raw 4/58 vs 14/62,Postoperative complication table,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,SOURCE-VERIFIED / PUBLISHED EFFECT QC,V33-OD-0160,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,PONV composite,TEAS,Sham,postoperative follow-up
Liu 2026 (ESD),LIU26ESD_TEAS_vs_SHAM_MORPH24,Perioperative TEAS,Sham-point/no current,Opioid consumption,Cumulative postoperative morphine consumption,0-24 h,Not reported,64,65,58,62,,,,,,,,,,,,,mg IV morphine,,No,No,,,No,No,Not eligible for continuous 24-h morphine/MME meta-analysis without author data,No,"Binary morphine use is reported, but administration counts and cumulative dose are not",Exact 24-h opioid dose absent,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,MISSING / AUTHOR DATA NEEDED,V33-OD-0161,,,,,,,,,,,,,,,,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,Postoperative opioid dose (native window/unit),TEAS,Sham,0-24h
