batch,batch_row,study,outcome_family,outcome_result,timepoint_window,intervention_arm,comparator_arm,randomized_n_int,randomized_n_comp,analyzed_n_int,analyzed_n_comp,statistic_type,value_int,dispersion_int,value_comp,dispersion_comp,events_int,events_comp,unit_scale,reported_p,effect_estimate_as_printed,analysis_population,page,table_or_figure,verbatim_quote,ambiguity_notes,v34_audit_row,v34_disposition,v34_v34_record_id,v34_v33_excel_row,v34_outcome,v34_window
1,70,Yang 2020,GI adverse effect,Abdominal distension severity grade 2,Postoperative; assessment window not separately stated,EA group,UC group,30,29,29,28,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,2,2,participants,0.290,NOT REPORTED,Available-case,e920648-5,Table 3,AD’s degree ... 2 2 (6.9) 2 (7.1),"P=0.290 is the overall comparison of the AD severity distribution, not a grade-specific P value.",71,ADDED,AUDIT-0071,,Abdominal distension severity grade 2,Postoperative; assessment window not separately stated
1,71,Yang 2020,GI adverse effect,Abdominal distension severity grade 3,Postoperative; assessment window not separately stated,EA group,UC group,30,29,29,28,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,6,7,participants,0.290,NOT REPORTED,Available-case,e920648-5,Table 3,AD’s degree ... 3 6 (20.7) 7 (25.0),"P=0.290 is the overall comparison of the AD severity distribution, not a grade-specific P value.",72,ADDED,AUDIT-0072,,Abdominal distension severity grade 3,Postoperative; assessment window not separately stated
1,72,Yang 2020,GI adverse effect,Abdominal distension severity grade 4,Postoperative; assessment window not separately stated,EA group,UC group,30,29,29,28,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,0,0,participants,0.290,NOT REPORTED,Available-case,e920648-5,Table 3,AD’s degree ... 4 0 (0) 0 (0),"P=0.290 is the overall comparison of the AD severity distribution, not a grade-specific P value.",73,ADDED,AUDIT-0073,,Abdominal distension severity grade 4,Postoperative; assessment window not separately stated
1,73,Yang 2020,Rescue analgesia,Participants given rescue medication,Postoperative; exact window not stated,EA group,UC group,30,29,29,28,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,5,7,participants,0.473,NOT REPORTED,Available-case,e920648-5,Table 3,Rescue medication given (n [%])** 5 (17.24) 7 (25.00) 0.473,Methods define rescue medication as bucinnazine 100 mg IM if VAS >3/10; Table 3 does not state a time window.,74,AMBIGUOUS_HOLD,AUDIT-0074,,Participants given rescue medication,Postoperative; exact window not stated
1,74,Yang 2020,PONV,Nausea severity score,0–24 h after surgery,EA group,UC group,30,29,29,28,Median/IQR,0,0–1,0,0–1,NOT REPORTED,NOT REPORTED,4-point rating scale 0-3,1.000,NOT REPORTED,Available-case,e920648-6,Table 4,0–24 h after surgery: Nausea score* 0 (0–1) 0 (0–1) 1.000,"Table 4 footnote states starred continuous outcomes are median (quartile range). Where the table prints only '0' without a parenthetical range, dispersion is not reported.",75,NOT_ANALYSIS_ELIGIBLE,AUDIT-0075,,Nausea severity score,0–24 h after surgery
1,75,Yang 2020,PONV,Vomiting severity score,0–24 h after surgery,EA group,UC group,30,29,29,28,Median/IQR,0,0–0,0,0–0.75,NOT REPORTED,NOT REPORTED,4-point rating scale 0-3,0.486,NOT REPORTED,Available-case,e920648-6,Table 4,0–24 h after surgery: Vomiting score* 0 (0–0) 0 (0–0.75) 0.486,"Table 4 footnote states starred continuous outcomes are median (quartile range). Where the table prints only '0' without a parenthetical range, dispersion is not reported.",76,NOT_ANALYSIS_ELIGIBLE,AUDIT-0076,,Vomiting severity score,0–24 h after surgery
1,76,Yang 2020,PONV,Nausea incidence,0–24 h after surgery,EA group,UC group,30,29,29,28,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,8,8,participants,0.934,NOT REPORTED,Available-case,e920648-6,Table 4,0–24 h after surgery: Nausea [incidence; n (%)] 8 ... 8 ... 0.934,NOT REPORTED,77,ADDED,AUDIT-0077,,Nausea incidence,0–24 h after surgery
1,77,Yang 2020,PONV,Vomiting incidence,0–24 h after surgery,EA group,UC group,30,29,29,28,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,5,7,participants,0.473,NOT REPORTED,Available-case,e920648-6,Table 4,0–24 h after surgery: Vomiting [incidence; n (%)] 5 ... 7 ... 0.473,NOT REPORTED,78,ADDED,AUDIT-0078,,Vomiting incidence,0–24 h after surgery
1,78,Yang 2020,Pain,Static pain VAS,0–24 h after surgery,EA group,UC group,30,29,29,28,Median/IQR,2,2–2,2,2–2,NOT REPORTED,NOT REPORTED,VAS 0-10,0.651,NOT REPORTED,Available-case,e920648-6,Table 4,0–24 h after surgery: Static pain VAS* 2 (2–2) 2 (2–2) 0.651,"The paper labels these as static and dynamic pain, not rest/movement with further operational detail.",79,NOT_ANALYSIS_ELIGIBLE,AUDIT-0079,,Static pain VAS,0–24 h after surgery
1,79,Yang 2020,Pain,Dynamic pain VAS,0–24 h after surgery,EA group,UC group,30,29,29,28,Median/IQR,3,3–3,3,3–3,NOT REPORTED,NOT REPORTED,VAS 0-10,0.153,NOT REPORTED,Available-case,e920648-6,Table 4,0–24 h after surgery: Dynamic pain VAS* 3 (3–3) 3 (3–3) 0.153,"The paper labels these as static and dynamic pain, not rest/movement with further operational detail.",80,NOT_ANALYSIS_ELIGIBLE,AUDIT-0080,,Dynamic pain VAS,0–24 h after surgery
1,80,Yang 2020,PONV,Nausea severity score,24–48 h after surgery,EA group,UC group,30,29,29,28,Median/IQR,0,0–0,0,0–0,NOT REPORTED,NOT REPORTED,4-point rating scale 0-3,0.726,NOT REPORTED,Available-case,e920648-6,Table 4,24–48 h after surgery: Nausea score* 0 (0–0) 0 (0–0) 0.726,"Table 4 footnote states starred continuous outcomes are median (quartile range). Where the table prints only '0' without a parenthetical range, dispersion is not reported.",81,NOT_ANALYSIS_ELIGIBLE,AUDIT-0081,,Nausea severity score,24–48 h after surgery
1,81,Yang 2020,PONV,Vomiting severity score,24–48 h after surgery,EA group,UC group,30,29,29,28,Other (describe),0,NOT REPORTED,0,NOT REPORTED,NOT REPORTED,NOT REPORTED,4-point rating scale 0-3,–,NOT REPORTED,Available-case,e920648-6,Table 4,24–48 h after surgery: Vomiting score* 0 0 –,"Table 4 footnote states starred continuous outcomes are median (quartile range). Where the table prints only '0' without a parenthetical range, dispersion is not reported.",82,AMBIGUOUS_HOLD,AUDIT-0082,,Vomiting severity score,24–48 h after surgery
1,82,Yang 2020,PONV,Nausea incidence,24–48 h after surgery,EA group,UC group,30,29,29,28,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,4,3,participants,1.000,NOT REPORTED,Available-case,e920648-6,Table 4,24–48 h after surgery: Nausea [incidence; n (%)] 4 ... 3 ... 1.000,NOT REPORTED,83,ADDED,AUDIT-0083,,Nausea incidence,24–48 h after surgery
1,83,Yang 2020,PONV,Vomiting incidence,24–48 h after surgery,EA group,UC group,30,29,29,28,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,0,0,participants,–,NOT REPORTED,Available-case,e920648-6,Table 4,24–48 h after surgery: Vomiting [incidence; n (%)] 0 ... 0 ... –,NOT REPORTED,84,ADDED,AUDIT-0084,,Vomiting incidence,24–48 h after surgery
1,84,Yang 2020,Pain,Static pain VAS,24–48 h after surgery,EA group,UC group,30,29,29,28,Median/IQR,2,2–3,2,2–3,NOT REPORTED,NOT REPORTED,VAS 0-10,0.930,NOT REPORTED,Available-case,e920648-6,Table 4,24–48 h after surgery: Static pain VAS* 2 (2–3) 2 (2–3) 0.930,"The paper labels these as static and dynamic pain, not rest/movement with further operational detail.",85,NOT_ANALYSIS_ELIGIBLE,AUDIT-0085,,Static pain VAS,24–48 h after surgery
1,85,Yang 2020,Pain,Dynamic pain VAS,24–48 h after surgery,EA group,UC group,30,29,29,28,Median/IQR,3,3–3,3,3–3,NOT REPORTED,NOT REPORTED,VAS 0-10,0.401,NOT REPORTED,Available-case,e920648-6,Table 4,24–48 h after surgery: Dynamic pain VAS* 3 (3–3) 3 (3–3) 0.401,"The paper labels these as static and dynamic pain, not rest/movement with further operational detail.",86,NOT_ANALYSIS_ELIGIBLE,AUDIT-0086,,Dynamic pain VAS,24–48 h after surgery
1,86,Yang 2020,PONV,Nausea severity score,48–72 h after surgery,EA group,UC group,30,29,29,28,Other (describe),0,NOT REPORTED,0,NOT REPORTED,NOT REPORTED,NOT REPORTED,4-point rating scale 0-3,–,NOT REPORTED,Available-case,e920648-6,Table 4,48–72 h after surgery: Nausea score* 0 0 –,"Table 4 footnote states starred continuous outcomes are median (quartile range). Where the table prints only '0' without a parenthetical range, dispersion is not reported.",87,AMBIGUOUS_HOLD,AUDIT-0087,,Nausea severity score,48–72 h after surgery
1,87,Yang 2020,PONV,Vomiting severity score,48–72 h after surgery,EA group,UC group,30,29,29,28,Other (describe),0,NOT REPORTED,0,NOT REPORTED,NOT REPORTED,NOT REPORTED,4-point rating scale 0-3,–,NOT REPORTED,Available-case,e920648-6,Table 4,48–72 h after surgery: Vomiting score* 0 0 –,"Table 4 footnote states starred continuous outcomes are median (quartile range). Where the table prints only '0' without a parenthetical range, dispersion is not reported.",88,AMBIGUOUS_HOLD,AUDIT-0088,,Vomiting severity score,48–72 h after surgery
1,88,Yang 2020,PONV,Nausea incidence,48–72 h after surgery,EA group,UC group,30,29,29,28,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,0,0,participants,–,NOT REPORTED,Available-case,e920648-6,Table 4,48–72 h after surgery: Nausea [incidence; n (%)] 0 ... 0 ... –,NOT REPORTED,89,ADDED,AUDIT-0089,,Nausea incidence,48–72 h after surgery
1,89,Yang 2020,PONV,Vomiting incidence,48–72 h after surgery,EA group,UC group,30,29,29,28,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,0,0,participants,–,NOT REPORTED,Available-case,e920648-6,Table 4,48–72 h after surgery: Vomiting [incidence; n (%)] 0 ... 0 ... –,NOT REPORTED,90,ADDED,AUDIT-0090,,Vomiting incidence,48–72 h after surgery
1,90,Yang 2020,Pain,Static pain VAS,48–72 h after surgery,EA group,UC group,30,29,29,28,Median/IQR,3,2–3,3,2–3,NOT REPORTED,NOT REPORTED,VAS 0-10,0.703,NOT REPORTED,Available-case,e920648-6,Table 4,48–72 h after surgery: Static pain VAS* 3 (2–3) 3 (2–3) 0.703,"The paper labels these as static and dynamic pain, not rest/movement with further operational detail.",91,NOT_ANALYSIS_ELIGIBLE,AUDIT-0091,,Static pain VAS,48–72 h after surgery
1,91,Yang 2020,Pain,Dynamic pain VAS,48–72 h after surgery,EA group,UC group,30,29,29,28,Median/IQR,3,3–3,3,3–3,NOT REPORTED,NOT REPORTED,VAS 0-10,0.079,NOT REPORTED,Available-case,e920648-6,Table 4,48–72 h after surgery: Dynamic pain VAS* 3 (3–3) 3 (3–3) 0.079,"The paper labels these as static and dynamic pain, not rest/movement with further operational detail.",92,NOT_ANALYSIS_ELIGIBLE,AUDIT-0092,,Dynamic pain VAS,48–72 h after surgery
1,92,Yang 2020,Functional recovery,Time to out-of-bed activity,Postoperative,EA group,UC group,30,29,29,28,Mean/SD,11.2,1.0,13,3.5,NOT REPORTED,NOT REPORTED,hours,0.5,NOT REPORTED,Available-case,e920648-6,Table 4,Time to out-of-bed activity (h)# 11.2±1.0 13±3.5 0.5,NOT REPORTED,93,ADDED,AUDIT-0093,,Time to out-of-bed activity,Postoperative
1,93,Yang 2020,Length of stay,Hospital stay,Postoperative hospitalization,EA group,UC group,30,29,29,28,Mean/SD,6.1,2.15,6.5,2.05,NOT REPORTED,NOT REPORTED,days,0.442,NOT REPORTED,Available-case,e920648-6,Table 4,Hospital stay (d)# 6.1±2.15 6.5±2.05 0.442,NOT REPORTED,94,ADDED,AUDIT-0094,,Hospital stay,Postoperative hospitalization
1,94,Pan 2023,Pain,NRS in the mobile state,1 h after operation,Group T — TEAS,Group C — control,52,53,52,53,Other (describe),2,1.4,3,2.4,NOT REPORTED,NOT REPORTED,NRS 0-10,0.04*,NOT REPORTED,Unstated,p. 815,Table 7,NRS 1h 2 (1.4) 3 (2.4) 0.04*,Results text specifies the NRS was assessed 'while in the mobile state'. Table prints parenthetical values but does not label them as SD/IQR in Table 7; statistic type therefore left as Other (describe).,95,AMBIGUOUS_HOLD,AUDIT-0095,,NRS in the mobile state,1 h after operation
1,95,Pan 2023,Pain,NRS in the mobile state,24 h after operation,Group T — TEAS,Group C — control,52,53,52,53,Other (describe),2,2.3,3,3.4,NOT REPORTED,NOT REPORTED,NRS 0-10,0.00*,NOT REPORTED,Unstated,p. 815,Table 7,NRS 24h 2 (2.3) 3 (3.4) 0.00*,Results text specifies the NRS was assessed 'while in the mobile state'. Table prints parenthetical values but does not label them as SD/IQR in Table 7; statistic type therefore left as Other (describe).,96,AMBIGUOUS_HOLD,AUDIT-0096,,NRS in the mobile state,24 h after operation
1,96,Pan 2023,Pain,Resting pain,Postoperative,Group T — TEAS,Group C — control,52,53,52,53,Other (describe),NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,NRS 0-10,NOT REPORTED,NOT REPORTED,Unstated,pp. 810–816,Methods + Tables 6–7,The NRS score while in the mobile state was significantly lower in Group T at 1 hour and at 24 hours after operation (Table 7).,A separate resting-pain outcome is not reported.,97,NOT_REPORTED_ADDED,AUDIT-0097,,Resting pain,Postoperative
1,97,Pan 2023,Pain,PACU highest NRS score,PACU,Group T — TEAS,Group C — control,52,53,52,53,Other (describe),0,0.1,0,0.2,NOT REPORTED,NOT REPORTED,NRS 0-10,0.00*,NOT REPORTED,Unstated,p. 815,Table 6,PACU highest NRS score 0 (0.1) 0 (0.2) 0.00*,The table does not define the parenthetical statistic for this row; do not assume SD or IQR.,98,AMBIGUOUS_HOLD,AUDIT-0098,,PACU highest NRS score,PACU
1,98,Pan 2023,PONV,Vomiting incidence,1 h after operation,Group T — TEAS,Group C — control,52,53,52,53,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,2,3,participants,0.66,NOT REPORTED,Unstated,p. 815,Table 7,Vomiting at 1h 2 (4) 3 (6) 0.66,The table reports counts and rounded percentages.,99,ADDED,AUDIT-0099,,Vomiting incidence,1 h after operation
1,99,Pan 2023,PONV,Vomiting incidence,Within 24 h after operation,Group T — TEAS,Group C — control,52,53,52,53,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,9,19,participants,0.03*,NOT REPORTED,Unstated,p. 815,Table 7,Vomiting at 24h 9 (17) 19 (36) 0.03*,The table reports counts and rounded percentages.,100,ADDED,AUDIT-0100,,Vomiting incidence,Within 24 h after operation
1,100,Pan 2023,PONV,Nausea incidence,Within 24 h after operation,Group T — TEAS,Group C — control,52,53,52,53,Other (describe),NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,participants,NOT REPORTED,NOT REPORTED,Unstated,p. 815,Table 7,"Table 7 Comparison of NRS, the Incidence of Vomiting and Utilization Rate of Analgesic and Antiemetic Drugs in 24h Between the Two Groups",Nausea is discussed generally but is not separately tabulated as an incidence outcome.,101,NOT_REPORTED_ADDED,AUDIT-0101,,Nausea incidence,Within 24 h after operation
1,101,Pan 2023,Rescue analgesia,Participants using analgesic drugs,Within 24 h after operation,Group T — TEAS,Group C — control,52,53,52,53,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,19,23,participants,0.47,NOT REPORTED,Unstated,p. 815,Table 7,Analgesic drugs (n%) 19 (37) 23 (43) 0.47,"The table reports use of analgesic drugs, not a drug dose or opioid amount.",102,AMBIGUOUS_HOLD,AUDIT-0102,,Participants using analgesic drugs,Within 24 h after operation
1,102,Pan 2023,Rescue antiemetic,Participants using antiemetic drugs,Within 24 h after operation,Group T — TEAS,Group C — control,52,53,52,53,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,25,34,participants,0.10,NOT REPORTED,Unstated,p. 815,Table 7,Antiemetic drugs (n%) 25 (48) 34 (64) 0.10,NOT REPORTED,103,ADDED,AUDIT-0103,,Participants using antiemetic drugs,Within 24 h after operation
1,103,Pan 2023,Rescue medication,Utilization of remedial drugs in PACU,PACU,Group T — TEAS,Group C — control,52,53,52,53,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,10,18,participants,0.09,NOT REPORTED,Unstated,p. 815,Table 6,"The utilization rate of remedial drugs in PACU (n,%) 10 (19) 18 (34) 0.09",Table 6 does not specify which remedial drug(s) were used.,104,AMBIGUOUS_HOLD,AUDIT-0104,,Utilization of remedial drugs in PACU,PACU
1,104,Pan 2023,Functional recovery,Time of respiratory recovery,PACU/recovery,Group T — TEAS,Group C — control,52,53,52,53,Mean/SD,10.2,2.7,10.9,3.7,NOT REPORTED,NOT REPORTED,minutes,0.22,NOT REPORTED,Unstated,p. 815,Table 6,Time of respiratory recovery 10.2±2.7 10.9±3.7 0.22,NOT REPORTED,105,ADDED,AUDIT-0105,,Time of respiratory recovery,PACU/recovery
1,105,Pan 2023,Functional recovery,Time of conscious,PACU/recovery,Group T — TEAS,Group C — control,52,53,52,53,Mean/SD,10.7,2.7,11.3,3.8,NOT REPORTED,NOT REPORTED,minutes,0.28,NOT REPORTED,Unstated,p. 815,Table 6,Time of conscious 10.7±2.7 11.3±3.8 0.28,NOT REPORTED,106,ADDED,AUDIT-0106,,Time of conscious,PACU/recovery
1,106,Pan 2023,Functional recovery,Time of extubation,PACU/recovery,Group T — TEAS,Group C — control,52,53,52,53,Mean/SD,11.4,3.0,12.1,3.8,NOT REPORTED,NOT REPORTED,minutes,0.27,NOT REPORTED,Unstated,p. 815,Table 6,Time of extubation 11.4±3.0 12.1±3.8 0.27,NOT REPORTED,107,ADDED,AUDIT-0107,,Time of extubation,PACU/recovery
1,107,Pan 2023,Functional recovery,PACU Aldrete score,PACU,Group T — TEAS,Group C — control,52,53,52,53,Mean/SD,8.8,0.8,8.9,0.8,NOT REPORTED,NOT REPORTED,Aldrete points,0.79,NOT REPORTED,Unstated,p. 815,Table 6,PACU Aldrete score 8.8±0.8 8.9±0.8 0.79,NOT REPORTED,108,ADDED,AUDIT-0108,,PACU Aldrete score,PACU
1,108,Pan 2023,Functional recovery,PACU retention time,PACU,Group T — TEAS,Group C — control,52,53,52,53,Mean/SD,50.9,20.9,52.7,17.6,NOT REPORTED,NOT REPORTED,minutes,0.62,NOT REPORTED,Unstated,p. 815,Table 6,PACU retention time 50.9±20.9 52.7±17.6 0.62,NOT REPORTED,109,ADDED,AUDIT-0109,,PACU retention time,PACU
1,109,Pan 2023,Length of stay,Postoperative hospitalization time,Postoperative hospitalization,Group T — TEAS,Group C — control,52,53,52,53,Mean/SD,4.1,2.3,4.1,1.5,NOT REPORTED,NOT REPORTED,days,0.88,NOT REPORTED,Unstated,p. 816,Table 9,Postoperative hospitalization time 4.1±2.3 4.1±1.5 0.88,NOT REPORTED,110,ADDED,AUDIT-0110,,Postoperative hospitalization time,Postoperative hospitalization
1,110,Pan 2023,Functional recovery,First postoperative water intake time,Postoperative,Group T — TEAS,Group C — control,52,53,52,53,Median/IQR,698.0,"389.8,900.5",698.0,"494.5,946.0",NOT REPORTED,NOT REPORTED,minutes,0.33,NOT REPORTED,Unstated,p. 816,Table 9,"First postoperative water intake time (min) 698.0 (389.8,900.5) 698.0 (494.5,946.0) 0.33",NOT REPORTED,111,NOT_ANALYSIS_ELIGIBLE,AUDIT-0111,,First postoperative water intake time,Postoperative
1,111,Pan 2023,Functional recovery,First solid food tolerance time,Postoperative,Group T — TEAS,Group C — control,52,53,52,53,Median/IQR,1207.5,"998.5,1414.5",1328.0,"1133.5,1521.5",NOT REPORTED,NOT REPORTED,minutes,0.02*,NOT REPORTED,Unstated,p. 816,Table 9,"First solid food tolerance time (min) 1207.5 (998.5,1414.5) 1328.0 (1133.5,1521.5) 0.02*",NOT REPORTED,112,NOT_ANALYSIS_ELIGIBLE,AUDIT-0112,,First solid food tolerance time,Postoperative
1,112,Pan 2023,Functional recovery,Removing the catheter time,Postoperative,Group T — TEAS,Group C — control,52,53,52,53,Median/IQR,1389.0,"1015.0,2505.3",1375.0,"1148.5,2400.0",NOT REPORTED,NOT REPORTED,minutes,0.76,NOT REPORTED,Unstated,p. 816,Table 9,"Removing the catheter time (min) 1389.0 (1015.0,2505.3) 1375.0 (1148.5,2400.0) 0.76",NOT REPORTED,113,NOT_ANALYSIS_ELIGIBLE,AUDIT-0113,,Removing the catheter time,Postoperative
1,113,Pan 2023,Functional recovery,First postoperative implantation activity time,Postoperative,Group T — TEAS,Group C — control,52,53,52,53,Median/IQR,1253.0,"992.8,1496.3",1360.0,"1019.0,1526.0",NOT REPORTED,NOT REPORTED,minutes,0.40,NOT REPORTED,Unstated,p. 816,Table 9,"First postoperative implantation activity time (min) 1253.0 (992.8,1496.3) 1360.0 (1019.0,1526.0) 0.40","The source literally prints 'implantation activity'; this appears likely to be a wording error, but it is preserved verbatim and not silently corrected.",114,AMBIGUOUS_HOLD,AUDIT-0114,,First postoperative implantation activity time,Postoperative
1,114,Pan 2023,Quality of recovery,Physical comfort,24 h after operation,Group T — TEAS,Group C — control,52,53,52,53,Mean/SD,54.6,2.8,52.3,3.6,NOT REPORTED,NOT REPORTED,QoR-40 points,0.00*,NOT REPORTED,Unstated,p. 816,Table 10,Physical comfort 54.6±2.8 52.3±3.6 0.00*,NOT REPORTED,115,ADDED,AUDIT-0115,,Physical comfort,24 h after operation
1,115,Pan 2023,Quality of recovery,Emotional state,24 h after operation,Group T — TEAS,Group C — control,52,53,52,53,Mean/SD,41.7,2.3,39.7,2.9,NOT REPORTED,NOT REPORTED,QoR-40 points,0.00*,NOT REPORTED,Unstated,p. 816,Table 10,Emotional state 41.7±2.3 39.7±2.9 0.00*,NOT REPORTED,116,ADDED,AUDIT-0116,,Emotional state,24 h after operation
1,116,Pan 2023,Quality of recovery,Physical independence,24 h after operation,Group T — TEAS,Group C — control,52,53,52,53,Mean/SD,20.9,3.3,20.4,3.1,NOT REPORTED,NOT REPORTED,QoR-40 points,0.37,NOT REPORTED,Unstated,p. 816,Table 10,Physical independence 20.9±3.3 20.4±3.1 0.37,NOT REPORTED,117,ADDED,AUDIT-0117,,Physical independence,24 h after operation
1,117,Pan 2023,Quality of recovery,Psychological support,24 h after operation,Group T — TEAS,Group C — control,52,53,52,53,Mean/SD,32.5,2.3,32.0,1.9,NOT REPORTED,NOT REPORTED,QoR-40 points,0.19,NOT REPORTED,Unstated,p. 816,Table 10,Psychological support 32.5±2.3 32.0±1.9 0.19,NOT REPORTED,118,ADDED,AUDIT-0118,,Psychological support,24 h after operation
1,118,Pan 2023,Quality of recovery,Pain subscale,24 h after operation,Group T — TEAS,Group C — control,52,53,52,53,Mean/SD,32.9,1.3,32.0,1.5,NOT REPORTED,NOT REPORTED,QoR-40 points,0.00*,NOT REPORTED,Unstated,p. 816,Table 10,Pain 32.9±1.3 32.0±1.5 0.00*,NOT REPORTED,119,ADDED,AUDIT-0119,,Pain subscale,24 h after operation
1,119,Pan 2023,Quality of recovery,Total QoR-40 score,24 h after operation,Group T — TEAS,Group C — control,52,53,52,53,Mean/SD,182.7,6.9,176.4,7.1,NOT REPORTED,NOT REPORTED,QoR-40 points,0.00*,NOT REPORTED,Unstated,p. 816,Table 10,Total score 182.7±6.9 176.4±7.1 0.00*,NOT REPORTED,120,ADDED,AUDIT-0120,,Total QoR-40 score,24 h after operation
1,120,Lu 2022,Pain,VAS at rest,24 h after surgery,TEAS,Control,50,50,47,47,Median/range,2.2,"0.0, 10.0",1.2,0.0–8.1,NOT REPORTED,NOT REPORTED,VAS 0-10,0.41,NOT REPORTED,Available-case,p. 2874,Table 3,"24 h after surgery: VAS at rest ... 2.2(0.0, 10.0) ... 1.2(0.0–8.1) 0.41","Table header states median (min, max).",121,NOT_ANALYSIS_ELIGIBLE,AUDIT-0121,,VAS at rest,24 h after surgery
1,121,Lu 2022,Pain,VAS at cough,24 h after surgery,TEAS,Control,50,50,47,47,Median/range,5.8,"0.4, 10.0",5.5,1.4–10.0,NOT REPORTED,NOT REPORTED,VAS 0-10,0.94,NOT REPORTED,Available-case,p. 2874,Table 3,"24 h after surgery: VAS at cough ... 5.8(0.4, 10.0) ... 5.5(1.4–10.0) 0.94","Table header states median (min, max).",122,NOT_ANALYSIS_ELIGIBLE,AUDIT-0122,,VAS at cough,24 h after surgery
1,122,Lu 2022,Pain,VAS at rest,48 h after surgery,TEAS,Control,50,50,47,47,Median/range,1.2,"0.0, 6.7",1.6,0.0–6.0,NOT REPORTED,NOT REPORTED,VAS 0-10,0.80,NOT REPORTED,Available-case,p. 2874,Table 3,"48 h after surgery: VAS at rest ... 1.2(0.0, 6.7) ... 1.6(0.0–6.0) 0.80","Table header states median (min, max).",123,NOT_ANALYSIS_ELIGIBLE,AUDIT-0123,,VAS at rest,48 h after surgery
1,123,Lu 2022,Pain,VAS at cough,48 h after surgery,TEAS,Control,50,50,47,47,Median/range,5.0,"0.3, 10.0",5.0,"0.7, 10.0",NOT REPORTED,NOT REPORTED,VAS 0-10,0.98,NOT REPORTED,Available-case,p. 2874,Table 3,"48 h after surgery: VAS at cough ... 5.0(0.3, 10.0) ... 5.0(0.7, 10.0) 0.98","Table header states median (min, max).",124,NOT_ANALYSIS_ELIGIBLE,AUDIT-0124,,VAS at cough,48 h after surgery
1,124,Lu 2022,Pain,VAS at rest,72 h after surgery,TEAS,Control,50,50,47,47,Median/range,0.6,"0.0, 5.0",1.0,"0.0, 6.2",NOT REPORTED,NOT REPORTED,VAS 0-10,0.05,NOT REPORTED,Available-case,p. 2874,Table 3,"72 h after surgery: VAS at rest ... 0.6(0.0, 5.0) ... 1.0(0.0, 6.2) 0.05","Table header states median (min, max).",125,NOT_ANALYSIS_ELIGIBLE,AUDIT-0125,,VAS at rest,72 h after surgery
1,125,Lu 2022,Pain,VAS at cough,72 h after surgery,TEAS,Control,50,50,47,47,Median/range,3.5,"0.1, 10.0",4.0,"0.3, 10.0",NOT REPORTED,NOT REPORTED,VAS 0-10,0.33,NOT REPORTED,Available-case,p. 2874,Table 3,"72 h after surgery: VAS at cough ... 3.5(0.1, 10.0) ... 4.0(0.3, 10.0) 0.33","Table header states median (min, max).",126,NOT_ANALYSIS_ELIGIBLE,AUDIT-0126,,VAS at cough,72 h after surgery
1,126,Lu 2022,PONV,PONV incidence,24 h after surgery,TEAS,Control,50,50,47,47,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,30,22,participants,0.17,NOT REPORTED,Available-case,p. 2874,Table 3,"24 h after surgery: PONV, n (%) 30 ... 22 ... 0.17",The paper reports these as PONV at each assessment time; it does not state that these are cumulative non-overlapping intervals.,127,ADDED,AUDIT-0127,,PONV incidence,24 h after surgery
1,127,Lu 2022,PONV,PONV incidence,48 h after surgery,TEAS,Control,50,50,47,47,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,10,9,participants,0.76,NOT REPORTED,Available-case,p. 2874,Table 3,"48 h after surgery: PONV, n (%) 10 ... 9 ... 0.76",The paper reports these as PONV at each assessment time; it does not state that these are cumulative non-overlapping intervals.,128,ADDED,AUDIT-0128,,PONV incidence,48 h after surgery
