"screening_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","ERAS_balance","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","surrogate_only","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"105","644","[Clinical observation on controlling antihypertension with the general anesthesia of TEAS and anesthetics in endoscopic endonasal surgery].","Zhao","2015","Chinese","yes","Yes","INCLUDE_CLEAR","Randomized sham-controlled endoscopic endonasal surgery under general anaesthesia; TEAS at LI4, ST36, SP6, and LI11 was delivered for 30 minutes before induction and through surgery, with drug use, bleeding, recovery, and postoperative pain outcomes.","Clear perioperative TEAS-versus-sham RCT under general anaesthesia with eligible clinical outcomes.","high","primary_results","yes","yes","yes","TEAS at bilateral LI4, ST36, SP6, and LI11","Sham electrodes without electrical stimulation","yes","not_applicable","yes","yes","Thirty minutes before general anaesthesia and through surgery.","yes","no","yes","no","yes","2026-07-26T11:09:45.295Z","none","Ref ID 26964180."
"106","646","Electroacupuncture alters pain-related behaviors and expression of spinal prostaglandin E2 in a rat model of neuropathic pain.","Jiang","2016","English","yes","No","EXCLUDE_ANIMAL","The study used a rat neuropathic-pain model and measured behavioral responses and spinal prostaglandin E2.","Animal electroacupuncture experiment in rats.","high","animal_study","yes","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","no","yes","2026-07-26T11:10:07.651Z","none","DOI 10.1016/s0254-6272(16)30013-9; Ref ID 26946624."
"107","647","[Electroacupuncture Intervention Combined with Anesthetics for Analgesia and Post-surgical Gastrointestinal Recovery in Pneumectomy Patients].","Chen","2015","Chinese","yes","Maybe","UNCERTAIN_TIMING","Randomized sham-controlled pneumectomy trial with identical low-dose analgesics used EA every 12 hours for two postoperative days, but the first-session elapsed time was not stated.","Otherwise eligible postoperative EA RCT; first treatment within 24 hours requires confirmation.","medium","primary_results","yes","yes","yes","Needle EA at bilateral LR3, GB34, TE5, and LU5 plus analgesics","Needles adhered without current plus identical analgesics","yes","not_applicable","yes","unclear","Every 12 hours for two days after surgery; first-session time not stated.","yes","no","yes","yes","yes","2026-07-26T11:10:27.736Z","none","Ref ID 26887207. Likely related to the 2016 thoracic surgery report at #643; pneumectomy makes general anaesthesia highly evident."
"108","648","[Impacts of transcutaneous acupoint electric stimulation on the postoperative nausea and vomiting and plasma 5-HT concentration after cesarean section].","Liu","2015","Chinese","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","All cesarean groups received combined lumbar epidural anaesthesia; no general anaesthesia was used.","Surgery under neuraxial rather than general anaesthesia.","high","primary_results","yes","no","yes","Transcutaneous electrical stimulation at PC6 and ST36","Non-acupoint stimulation or electrodes without current","yes","not_applicable","yes","yes","Thirty minutes before surgery through one hour after surgery.","yes","no","yes","no","yes","2026-07-26T11:10:46.393Z","none","Ref ID 26790216."
"109","649","[Biomimetic electrical stimulation along the meridian for 50 cases of hypomenorrhea after abortion].","Huang","2015","Chinese","no","No","EXCLUDE_TIMING","The title describes treatment of hypomenorrhea after abortion in 50 cases, indicating a later post-abortion condition rather than acute perioperative treatment.","Later treatment of post-abortion hypomenorrhea, outside the acute ≤24-hour perioperative window.","high","case_series","yes","unclear","no","Biomimetic electrical stimulation along a meridian","none","not_applicable","not_applicable","not_applicable","no","Treatment of established hypomenorrhea after abortion.","yes","no","yes","no","yes","2026-07-26T11:11:05.208Z","none","Ref ID 26790203; no abstract available."
"110","650","[Protection of Electro-acupuncture for Gastric Mucosa of Patients Undergoing Endoscopic Sinus Surgery].","Chen","2015","Chinese","yes","No","EXCLUDE_NO_ELIGIBLE_OUTCOME","The randomized general-anaesthesia study measured gastric mucosal gas/oxygenation indices and inflammatory cytokines only; no clinical recovery outcome, complication, or adverse event was reported or plausibly described.","Exclusively physiological and laboratory outcomes without an eligible clinical outcome.","high","primary_results","yes","yes","yes","Needle electroacupuncture combined with general anaesthesia","General anaesthesia alone","yes","not_applicable","yes","yes","Intraoperative EA; precise start not stated.","no","yes","yes","no","yes","2026-07-26T11:11:24.147Z","none","Ref ID 26775476."
"111","651","Effects of electroacupuncture combined with clean intermittent catheterization on urinary retention after spinal cord injury: a single blind randomized controlled clinical trial.","Gu","2015","English","yes","No","EXCLUDE_NON_SURGICAL","Participants had spinal-cord-injury-related urinary retention and received EA with intermittent catheterization over rehabilitation follow-up; no acute operative perioperative intervention was described.","Non-operative spinal cord injury rehabilitation population.","high","primary_results","yes","not_applicable","yes","Needle EA plus clean intermittent catheterization","Catheterization alone or sham acupuncture plus catheterization","yes","not_applicable","yes","no","Rehabilitation treatment assessed at 1 and 3 months.","yes","no","no","no","yes","2026-07-26T11:11:45.975Z","none","Ref ID 26770641."
"112","652","Study of Evodia hot compress plus electro-acupuncture in patients who have undergone abdominal surgery.","Chen","2015","English","yes","Maybe","UNCERTAIN_TIMING","Randomized multi-arm abdominal-surgery trial includes an independently extractable Evodia-hot-compress-plus-EA versus identical Evodia-hot-compress comparison, but treatment began on POD1 without exact elapsed time and anaesthetic technique is not reported.","EA effect may be separable despite common Evodia background treatment; exact timing and general anaesthesia need full-text confirmation.","low","primary_results","yes","unclear","yes","Needle EA plus Evodia hot compress and conventional care","Identical Evodia hot compress and conventional care without EA","yes","not_applicable","yes","unclear","Twice daily from POD1 for 7 days; exact first-session elapsed time not stated.","yes","no","no","no","yes","2026-07-26T11:12:14.502Z","none","Ref ID 26629130; ChiCTR-TRC-09000527. Common herbal background does not itself make the EA effect inseparable."
"113","653","Electrical stimulation of the heart 7 acupuncture site for preventing emergence agitation in children: A randomised controlled trial.","Hijikata","2016","English","yes","No","EXCLUDE_POPULATION","Participants were 18 to 96 months old; the trial is paediatric-only.","The review requires adults aged 18 years or older.","high","primary_results","yes","yes","yes","Surface electrical stimulation at HT7 during surgery","No stimulation","yes","not_applicable","yes","yes","During surgery.","yes","no","no","no","yes","2026-07-26T11:15:26.410Z","none","UMIN000011704."
"114","654","A randomised controlled trial: can acupuncture reduce drug requirement during analgosedation with propofol and alfentanil for colonoscopy? A study protocol.","Eberl","2015","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The record explicitly describes a planned randomized trial and reports methods only.","Protocol without participant results.","high","protocol","no","no","yes","Needle EA at P6, ST36 and LI4","Sham/placebo acupuncture","yes","not_applicable","yes","yes","Planned during colonoscopy sedation.","yes","no","no","no","yes","2026-07-26T11:15:27.116Z","none","NTR4325; colonoscopy under analgosedation is also non-operative and without general anaesthesia."
"115","655","[Impacts of the transcutaneous electrical acupoint stimulation on EC50 in the remifentanil inhibition of tracheal intubation response].","Huang","2015","English","yes","Yes","INCLUDE_CLEAR","Randomized adult surgical trial under intravenous general anaesthesia compared pre-induction TEAS at LI4/PC6 with sham stimulation and measured remifentanil requirement.","Clear eligible perioperative TEAS RCT.","high","primary_results","yes","yes","yes","TEAS at bilateral LI4 and PC6","Sham TEAS with device lit but no current","yes","not_applicable","yes","yes","30 minutes before anaesthesia induction.","yes","no","no","no","yes","2026-07-26T11:15:28.004Z","none","Ref ID 26571899."
"116","657","Does transcutaneous electric acupoint stimulation improve the quality of recovery after thyroidectomy? A prospective randomized controlled trial.","Chen","2015","English","yes","Yes","INCLUDE_CLEAR","Randomized double-blind thyroidectomy trial under general anaesthesia evaluated preoperative TEAS versus placebo control with recovery, pain, opioid, PONV and PACU outcomes.","Clear eligible perioperative TEAS RCT.","high","primary_results","yes","yes","yes","Preoperative TEAS","Placebo control","yes","not_applicable","yes","yes","Preoperative.","yes","no","no","no","yes","2026-07-26T11:15:31.137Z","none",""
"117","659","[Impacts on oxidative stress in the patients with cardiac valve replacement treated with electroacupuncture at Neiguan (PC 6)].","Ma","2015","English","yes","Maybe","UNCERTAIN_OUTCOME","Randomized valve-replacement trial used EA from 30 minutes preoperatively through surgery, but the abstract emphasizes biomarkers and vasoactive-drug dosage rather than a listed eligible postoperative clinical outcome.","Eligible EA design and timing are clear; full text may report clinical complications or adverse events.","medium","primary_results","yes","yes","yes","Needle EA at bilateral PC6","Same anaesthesia and surgery without EA","yes","not_applicable","yes","yes","From 30 minutes before operation until its end.","unclear","mostly","no","no","yes","2026-07-26T11:15:32.038Z","none","Ref ID 26521589."
"118","660","Dexamethasone alone vs in combination with transcutaneous electrical acupoint stimulation or tropisetron for prevention of postoperative nausea and vomiting in gynaecological patients undergoing laparoscopic surgery.","Yang","2015","English","yes","Yes","INCLUDE_CLEAR","Randomized gynecologic laparoscopic surgery trial under general anaesthesia compared electrical acupoint stimulation plus dexamethasone with dexamethasone alone and measured PONV.","TEAS is the only difference in an extractable balanced-background comparison.","high","primary_results","yes","yes","yes","Electrical acupoint stimulation plus dexamethasone","Dexamethasone alone","yes","not_applicable","yes","yes","Perioperative prophylaxis; exact session timing not stated but necessarily before/around surgery.","yes","no","no","no","yes","2026-07-26T11:15:32.928Z","none","NCT02096835."
"119","661","[Protection of Transcutaneous Acupoint Electrical Stimulation for Brain Injury Undergoing Intervention: a Clinical Observation].","Yuan","2015","English","yes","No","EXCLUDE_NO_ELIGIBLE_OUTCOME","The randomized intervention study reports only haemodynamics and serum S100β/NSE biomarkers.","No eligible clinical outcome is reported or plausibly collected in the abstract.","high","primary_results","yes","yes","yes","Electrical stimulation via needles at PC6, LU7 and LU2","Dexmedetomidine anaesthesia without stimulation","yes","not_applicable","yes","yes","Thirty-minute peri-interventional session.","no","yes","no","no","yes","2026-07-26T11:15:33.800Z","none",""
"120","662","[Effect of Modified Huanglian Jiedu Decoction Purgation Combined Electroacupuncture in Intervening Gastrointestinal Dysfunction of Critically Ill Patients Undergoing Abdominal Surgery].","Wang","2015","English","yes","No","EXCLUDE_INSEPARABLE_INTERVENTION","The treatment arm received both modified Huanglian Jiedu decoction and EA whereas the control received neither.","The independent effect of EA cannot be separated from the herbal co-intervention.","high","primary_results","yes","unclear","unclear","EA plus modified Huanglian Jiedu decoction","Routine Western care alone","no","not_applicable","no","unclear","Seven-day postoperative treatment; first-session time not reported.","yes","no","no","no","yes","2026-07-26T11:15:36.929Z","none",""
"121","663","[Clinical observation of dysantonomia treated with transcutaneous electrical stimulation at Renying (ST 9) combined with stellate ganglion block].","Zheng","2015","English","yes","No","EXCLUDE_NON_SURGICAL","The trial treated dysautonomia over seven weeks and was unrelated to operative surgery.","Non-operative population.","high","primary_results","yes","no","yes","Transcutaneous electrical stimulation at ST9 plus stellate ganglion block","Stellate ganglion block alone","yes","not_applicable","yes","no","Three times weekly for chronic dysautonomia.","yes","no","no","no","yes","2026-07-26T11:15:40.070Z","none",""
"122","664","Electroacupuncture for postoperative pain and gastrointestinal motility after laparoscopic appendectomy (AcuLap): study protocol for a randomized controlled trial.","Kim","2015","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The record is explicitly a study protocol for the AcuLap randomized trial.","Protocol without participant results.","high","protocol","no","unclear","yes","Postoperative needle EA","Sham EA and no acupuncture","yes","not_applicable","yes","unclear","Twice daily after appendectomy; exact first-session time not stated.","yes","no","no","no","yes","2026-07-26T11:15:43.203Z","none","AcuLap trial."
"123","665","Blockade of the brachial plexus abolishes activation of specific brain regions by electroacupuncture at LI4: a functional MRI study.","Gu","2015","English","yes","No","EXCLUDE_NON_SURGICAL","Healthy volunteers underwent EA during functional MRI with local anaesthetic or brachial plexus block.","Non-operative mechanistic neuroimaging study.","high","primary_results","yes","no","yes","EA at LI4","EA after local anaesthetic or brachial plexus blockade","no","not_applicable","no","no","","no","yes","no","no","yes","2026-07-26T11:15:46.338Z","none",""
"124","666","Effects of transcutaneous electrical acupoint stimulation at different frequencies on perioperative anesthetic dosage, recovery, complications, and prognosis in video-assisted thoracic surgical lobectomy: a randomized, double-blinded, placebo-controlled t","Huang","2015","English","yes","Yes","INCLUDE_CLEAR","Randomized placebo-controlled VATS lobectomy trial evaluated perioperative TEAS frequencies versus electrodes with no stimulation and reported opioid, pain, PONV and recovery outcomes.","Clear eligible perioperative TEAS RCT.","high","primary_results","yes","yes","yes","TEAS at PC6, LI4, LU7 and LI11","Electrodes applied without stimulation","yes","not_applicable","yes","yes","Thirty minutes before induction, intraoperatively, and again at 24 and 48 hours.","yes","no","no","no","yes","2026-07-26T11:15:47.203Z","none",""
"125","668","[Electroacupuncture Intervention Enhances Splenic Natural Killer Cell Activity via Inhibiting Phosphorylation of ERK 5 in the Hypothalamus of Surgically Traumatized Rats].","Chen","2015","English","yes","No","EXCLUDE_ANIMAL","The experiment used surgically traumatized Sprague-Dawley rats.","Animal study.","high","primary_results","yes","no","yes","EA at ST36","Trauma, sham EA and pharmacologic groups","unclear","not_applicable","yes","yes","Immediately after experimental surgery.","no","yes","no","no","yes","2026-07-26T11:15:47.886Z","none",""
"126","669","[Effect of electro-acupuncture combined with olfactory ensheathing cell transplantation on spinal cord injury axonal regeneration and direction].","Tan","2015","English","yes","No","EXCLUDE_ANIMAL","The study used 72 adult Sprague-Dawley rats with experimental spinal cord injury.","Animal study.","high","primary_results","yes","no","yes","EA with olfactory ensheathing-cell transplantation","Animal model, EA, OEC and combined groups","unclear","not_applicable","yes","no","","no","yes","no","no","yes","2026-07-26T11:16:28.916Z","none",""
"127","670","Inhibition of spinal microglia and astrocytes contributes to the anti-allodynic effect of electroacupuncture in neuropathic pain induced by spinal nerve ligation.","Liang","2015","English","yes","No","EXCLUDE_ANIMAL","The experiment used male Sprague-Dawley rats after spinal nerve ligation.","Animal study.","high","primary_results","yes","no","yes","EA at ST36 and BL60","Untreated and sham-surgery animal groups","unclear","not_applicable","yes","no","","no","yes","no","no","yes","2026-07-26T11:16:32.063Z","none",""
"128","671","Transcutaneous Electrical Acupoint Stimulation Improves the Postoperative Quality of Recovery and Analgesia after Gynecological Laparoscopic Surgery: A Randomized Controlled Trial.","Yao","2015","English","yes","Yes","INCLUDE_CLEAR","Prospective randomized placebo-controlled gynecologic laparoscopic surgery trial evaluated preoperative TEAS under general anaesthesia with quality of recovery, pain, opioid, PONV and PACU outcomes.","Clear eligible perioperative TEAS RCT.","high","primary_results","yes","yes","yes","Preoperative TEAS","Placebo control","yes","not_applicable","yes","yes","Preoperative.","yes","no","no","no","yes","2026-07-26T11:16:32.726Z","none","DOI 10.1155/2015/324360."
"129","672","Transcutaneous electric acupoint stimulation at Jiaji points reduce abdominal pain after colonoscopy: a randomized controlled trial.","Chen","2015","English","yes","No","EXCLUDE_NON_SURGICAL","The study involved outpatient colonoscopy rather than operative surgery.","Non-operative endoscopic procedure.","high","primary_results","yes","no","yes","TEAS at Jiaji points","Sham pretreatment","yes","not_applicable","yes","yes","Before colonoscopy.","yes","no","no","no","yes","2026-07-26T11:16:33.602Z","none",""
"130","673","Transcutaneous electric acupoint stimulation alleviates remifentanil-induced hyperalgesia in patients undergoing thyroidectomy: a randomized controlled trial.","Chen","2015","English","yes","Yes","INCLUDE_CLEAR","Randomized thyroidectomy trial under sevoflurane general anaesthesia compared 30-minute preoperative TEAS at LI4/PC6 with sham and reported pain, rescue analgesia, PONV and shivering.","Clear eligible perioperative TEAS RCT.","high","primary_results","yes","yes","yes","TEAS at LI4 and PC6","Sham TEAS","yes","not_applicable","yes","yes","Thirty minutes before anaesthesia.","yes","no","no","no","yes","2026-07-26T11:16:34.463Z","none",""
"131","674","[Efficacy of acupuncture intervention on urinary retention after spinal anesthesia].","He","2015","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","The trial explicitly involved spinal anaesthesia without general anaesthesia.","Only neuraxial anaesthesia was used.","high","primary_results","yes","no","yes","Postoperative EA at SP13 and ST28","No intervention","yes","not_applicable","yes","yes","Single 30-minute treatment after surgery.","yes","no","no","no","yes","2026-07-26T11:16:35.329Z","none",""
"132","676","[Clinical research of lung resection surgery with microinjection acupuncture and drug anesthesia instead of traditional acupuncture anesthesia].","Min","2015","English","yes","Yes","INCLUDE_CLEAR","Randomized lung-resection trial under general anaesthesia included an EA-plus-identical-anaesthesia versus general-anaesthesia-alone comparison and reported intraoperative opioid consumption before the postoperative moxibustion co-intervention.","EA is separable for the eligible intraoperative opioid outcome.","high","primary_results","yes","yes","yes","Pre- and intraoperative EA at LI4, PC6, SI3 and TE6","Identical general anaesthesia without EA","yes","not_applicable","yes","yes","Thirty minutes before induction and throughout surgery.","yes","no","no","no","yes","2026-07-26T11:16:35.984Z","none","Postoperative outcomes in the EA arm are confounded by added moxibustion; retain for separable intraoperative opioid result only."
"133","677","Postoperative analgesia after low-frequency electroacupuncture as adjunctive treatment in inguinal hernia surgery with abdominal wall mesh reconstruction.","Dalamagka","2015","English","yes","Yes","INCLUDE_CLEAR","Randomized inguinal-hernia repair trial under general anaesthesia compared perioperative needle EA regimens with sham nonpenetrating needles and measured postoperative pain.","Clear eligible perioperative EA RCT.","high","primary_results","yes","yes","yes","Low-frequency needle EA before, during and/or after surgery","Sham nonpenetrating needles without current","yes","not_applicable","yes","yes","Preoperative and postoperative, with one arm also intraoperative.","yes","no","no","no","yes","2026-07-26T11:17:51.881Z","none",""
"134","678","Efficacy of electroacupuncture pretreatment for myocardial injury in patients undergoing percutaneous coronary intervention: A randomized clinical trial with a 2-year follow-up.","Wang","2015","English","yes","No","EXCLUDE_NON_SURGICAL","Participants underwent percutaneous coronary intervention rather than operative surgery.","PCI is an excluded non-operative percutaneous intervention.","high","primary_results","yes","no","yes","Surface electrical acupoint stimulation at PC6/PC4","Sham electrodes without current","yes","not_applicable","yes","yes","One to two hours before PCI.","yes","no","no","no","yes","2026-07-26T11:17:52.552Z","none",""
"135","679","A comparison study of immune-inflammatory response in electroacupuncture and transcutaneous electrical nerve stimulation for patients undergoing supratentorial craniotomy.","Li","2015","English","yes","No","EXCLUDE_NO_ELIGIBLE_OUTCOME","The randomized craniotomy comparison measured only cytokines and immunoglobulins during anaesthesia.","The report is exclusively laboratory/immune-response based with no eligible clinical outcome.","high","primary_results","yes","yes","yes","Needle EA","TENS and no-stimulation control","yes","not_applicable","yes","yes","During craniotomy.","no","yes","no","no","yes","2026-07-26T11:17:55.681Z","none",""
"136","681","Intraoperative and postoperative anaesthetic and analgesic effect of multipoint transcutaneous electrical acupuncture stimulation combined with sufentanil anaesthesia in patients undergoing supratentorial craniotomy.","Liu","2015","English","yes","Yes","INCLUDE_CLEAR","Blinded randomized craniotomy trial under general anaesthesia compared multipoint TEAS with sham TEAS and evaluated opioid anaesthetic requirements, postoperative pain, recovery and side effects.","Clear eligible perioperative TEAS RCT.","high","primary_results","yes","yes","yes","Multipoint TEAS from pre-induction through surgery","Sham TEAS","yes","not_applicable","yes","yes","Started 30 minutes before induction and maintained intraoperatively.","yes","no","no","no","yes","2026-07-26T11:17:56.363Z","none",""
"137","682","Single-blinded, randomised preliminary study evaluating the effects of 2 Hz electroacupuncture for postoperative pain in patients with total knee arthroplasty.","Tzeng","2015","English","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","Randomized TKA trial compared EA at ST36/GB34 with nonpoint EA and PCA-only control, but anaesthetic technique is not reported and treatment occurred on the first two postoperative days.","General anaesthesia and exact POD1 elapsed timing require full-text confirmation.","low","primary_results","yes","unclear","yes","EA at ST36 and GB34 plus PCA","PCA only and nonpoint EA","yes","not_applicable","yes","unclear","Thirty minutes on each of the first two postoperative days.","yes","no","no","no","yes","2026-07-26T11:17:57.244Z","none",""
"138","683","[Clinical research of electroacupuncture combined with transperineal injection of BTX-A for neurogenic bladder after spinal cord injury].","Meng","2015","English","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","Randomized post-spinal-cord-injury surgery trial added EA to identical BTX-A and bladder rehabilitation beginning one day after surgery, but anaesthesia and exact elapsed timing are unreported.","An eligible operative-GA scenario remains possible; timing and anaesthesia need full text.","low","primary_results","yes","unclear","yes","EA at CV3, CV4, BL23, BL35 and Baliao plus BTX-A","Identical BTX-A and rehabilitation without EA","yes","not_applicable","yes","unclear","Treatment described as beginning one day after surgery.","yes","no","no","no","yes","2026-07-26T11:18:00.360Z","none",""
"139","684","[Remodeling of cross electro-nape-acupuncture on cough reflex in patients with tracheotomy after cerebral hemorrhage: a randomized controlled trial].","Cai","2015","English","yes","No","EXCLUDE_TIMING","The report treats established cough-reflex difficulty after cerebral-haemorrhage tracheotomy with a prolonged electro-nape-acupuncture course; no acute perioperative initiation is indicated.","Later treatment of a post-tracheotomy complication is strongly outside the eligible perioperative window.","high","primary_results","yes","unclear","yes","Electro-nape-acupuncture added to manual acupuncture","Identical manual acupuncture and basic care","yes","not_applicable","yes","no","Course after tracheotomy for established cough-reflex dysfunction.","yes","no","no","no","yes","2026-07-26T11:18:01.245Z","none",""
"140","685","The efficacy and safety of acupuncture for cerebral vasospasm after subarachnoid hemorrhage: study protocol for a randomized controlled trial.","Cho","2015","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The record is explicitly a study protocol and reports no participant results.","Protocol without results.","high","protocol","no","unclear","yes","Acupuncture for vasospasm after SAH surgery","Planned control","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:18:04.378Z","none",""
"141","686","Analgesic mechanism of electroacupuncture in a rat L5 spinal nerve ligation model.","Xue","2015","English","yes","No","EXCLUDE_ANIMAL","The study used Sprague-Dawley rats in an L5 spinal-nerve-ligation model.","Animal study.","high","primary_results","yes","no","yes","EA in SNL rats","SNL and normal controls","unclear","not_applicable","yes","no","","no","yes","no","no","yes","2026-07-26T11:18:07.519Z","none",""
"142","687","Electroacupuncture as a complement to usual care for patients with non-acute pain after back surgery: a study protocol for a pilot randomised controlled trial.","Hwang","2015","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The publication is a pilot randomized-trial protocol without participant results.","Protocol without results.","high","protocol","no","no","yes","EA plus usual care","Usual care","yes","not_applicable","yes","no","Four-week treatment for recurrent or persistent pain after back surgery.","yes","no","no","no","yes","2026-07-26T11:18:08.391Z","none",""
"143","689","Electroacupuncture for bladder function recovery in patients undergoing spinal anesthesia.","Gao","2014","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","The trial explicitly recruited patients undergoing spinal anaesthesia.","Only neuraxial anaesthesia was used.","high","primary_results","yes","no","yes","Postoperative EA","No intervention","yes","not_applicable","yes","yes","Post-anaesthetic treatment.","yes","no","no","no","yes","2026-07-26T11:18:09.026Z","none",""
"144","690","[Regulation effects of electroacupuncture at ""Sanyinjiao"" (SP 6) on bladder function in rats with overactive bladder after cystostomy].","Yang","2014","English","yes","No","EXCLUDE_ANIMAL","The cystostomy and overactive-bladder experiment used Sprague-Dawley rats.","Animal study.","high","primary_results","yes","no","yes","EA at SP6","Nonpoint EA and untreated animal groups","unclear","not_applicable","yes","no","","no","yes","no","no","yes","2026-07-26T11:18:09.663Z","none",""
"145","691","Comparison of electroacupuncture and morphine-mediated analgesic patterns in a plantar incision-induced pain model.","Zeng","2014","English","yes","No","EXCLUDE_ANIMAL","The plantar-incision pain model used male Sprague-Dawley rats.","Animal study.","high","primary_results","yes","no","yes","EA at ST36","Sham needling and morphine groups","unclear","not_applicable","yes","yes","Before experimental incision and repeated later.","no","yes","no","no","yes","2026-07-26T11:18:10.323Z","none",""
"146","692","Impact of bilateral ST36 and PC6 electroacupuncture on the depth of sedation in general anaesthesia.","Chen","2014","English","yes","No","EXCLUDE_NO_ELIGIBLE_OUTCOME","The randomized abdominal-surgery study measured only sedation depth, heart rate and mean blood pressure during general anaesthesia.","Exclusively physiological/anaesthetic-depth outcomes with no eligible clinical outcome.","high","primary_results","yes","yes","yes","EA at ST36 and PC6","General anaesthesia without EA","yes","not_applicable","yes","yes","During general anaesthesia.","no","yes","no","no","yes","2026-07-26T11:18:10.968Z","none",""
"147","693","[Effect of electroacupuncture pretreatment on expression of glucose-regulated protein 78 in hippocampus of rats with cerebral ischemia/reperfusion].","Chen","2014","English","yes","No","EXCLUDE_ANIMAL","The cerebral ischaemia/reperfusion experiment used 144 rats.","Animal study.","high","primary_results","yes","no","yes","EA pretreatment at GV14/GV20","Animal sham and ischaemia groups","unclear","not_applicable","yes","no","","no","yes","no","no","yes","2026-07-26T11:18:14.097Z","none",""
"148","694","Effects of P6 acustimulation with the ReliefBand on postoperative nausea and vomiting in patients undergoing gynecological laparoscopy.","Ertas","2015","English","yes","Yes","INCLUDE_CLEAR","Randomized gynecologic laparoscopy trial compared active versus sham P6 surface electrical acustimulation beginning before induction and measured 24-hour PONV, antiemetics, pain and satisfaction.","Clear eligible perioperative TEAS/acustimulation RCT.","high","primary_results","yes","yes","yes","ReliefBand electrical P6 acustimulation","Sham ReliefBand","yes","not_applicable","yes","yes","Applied 15–30 minutes before operation and activated before anaesthesia induction.","yes","no","no","no","yes","2026-07-26T11:18:15.050Z","none",""
"149","695","The effects of acupuncture after thyroid surgery: A randomized, controlled trial.","Iacobone","2014","English","yes","Maybe","UNCERTAIN_INTERVENTION_SEPARABILITY","Randomized thyroid-surgery trial reports a combined acupuncture group containing both EA and manual-acupuncture recipients versus control, while subgroup results for EA are mentioned.","Full text is needed to establish whether the EA subgroup was independently randomized and extractable.","low","primary_results","yes","yes","yes","EA or traditional acupuncture plus standard analgesia","Standard postoperative analgesia","yes","not_applicable","unclear","unclear","Perioperative timing not fully stated.","yes","no","no","no","yes","2026-07-26T11:18:15.763Z","none",""
"150","696","Electroacupuncture for the prevention of postoperative gastrointestinal dysfunction in patients undergoing vascular surgery under general anesthesia: study protocol for a prospective practical randomized controlled trial.","Liu","2014","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The record explicitly reports a prospective randomized-trial study protocol without participant results.","Protocol without results.","high","protocol","no","yes","yes","Preoperative EA at PC6, ST36 and ST37","Sham acupuncture and standard care","yes","not_applicable","yes","yes","Twice daily preoperatively.","yes","no","no","no","yes","2026-07-26T11:18:16.492Z","none",""
"151","749","[Effect of electroacupuncture combined epidural anesthesia on plasma concentration of IL-1beta in patients undergoing gynecological surgery].","Feng","2013","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","Gynecological surgery was performed under epidural anaesthesia only.","No general anaesthesia.","high","primary_results","yes","no","yes","EA at ST36 and SP6 plus epidural","Epidural alone","yes","not_applicable","yes","yes","Perioperative.","yes","no","no","no","yes","2026-07-26T11:20:02.023Z","none",""
"152","750","Integrative acupoint stimulation to alleviate postoperative pain and morphine-related side effects: a sham-controlled study.","Chung","2013","English","yes","No","EXCLUDE_INSEPARABLE_INTERVENTION","The active arm combined auricular acupressure with TEAS while control arms did not provide an independently extractable TEAS-only contrast.","TEAS effect is inseparable from excluded auricular acupressure.","high","primary_results","yes","unclear","yes","Auricular acupressure plus TEAS","Combined sham intervention or no IAS","no","not_applicable","no","yes","Postoperative.","yes","no","no","no","yes","2026-07-26T11:20:05.173Z","none",""
"153","751","[Involvement of hippocampal NO/PKG signaling pathway in the accumulative analgesic effect of electroacupuncture stimulation of ""Zusanli"" (ST 36)-""Yanglingquan""(GB 34) in chronic neuropathic pain rats].","Kan","2013","English","yes","No","EXCLUDE_ANIMAL","The chronic neuropathic-pain experiment used Wistar rats.","Animal study.","high","primary_results","yes","no","yes","EA at ST36/GB34","Animal model and control groups","unclear","not_applicable","yes","no","","no","yes","no","no","yes","2026-07-26T11:20:08.307Z","none",""
"154","752","Effect of electroacupuncture on brain-derived neurotrophic factor mRNA expression in mouse hippocampus following cerebral ischemia-reperfusion injury.","Zhao","2013","English","yes","No","EXCLUDE_ANIMAL","The cerebral ischaemia-reperfusion study used mice.","Animal study.","high","primary_results","yes","no","yes","EA at BL23, BL17 and GV20","Mouse model, sham and drug groups","unclear","not_applicable","yes","no","","no","yes","no","no","yes","2026-07-26T11:20:11.457Z","none",""
