Assessment_File,Study_Citation,Source_PDF,Trial_Registration,Assessed_Outcome,Timepoint,Domain_1_Randomization,Domain_2_Deviations,Domain_3_Missing_Data,Domain_4_Measurement,Domain_5_Selection,Overall_RoB,Structured_Extraction_JSON
RoB2_Long_2025_IncidenceOfPND_POD3.md,"Long Y, Chen M, Wang J, et al. Effect of electroacupuncture intervention before and after operation on perioperative neurocognitive disorders in elderly patients with hip fractures: A randomized controlled trial. Injury. 2025;56(1):111820.",1-s2.0-S0020138325005200.pdf,Chinese Clinical Trial Registry ChiCTR2100053050,Cumulative Incidence of Perioperative Neurocognitive Disorder (PND),Within 3 days postoperatively (POD 1 to POD 3),Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Long_2025"",   ""source_file"": ""1-s2.0-S0020138325005200.pdf"",   ""trial_registration"": ""ChiCTR2100053050"",   ""outcome"": ""Incidence of PND"",   ""timepoint"": ""Within 3 days postoperative"",   ""sample_size"": {     ""ea"": 80,     ""sham"": 80,     ""total"": 160   },   ""result"": {     ""ea_events"": 11,     ""sham_events"": 24,     ""ea_pct"": 13.8,     ""sham_pct"": 30.0,     ""rr"": 0.46,     ""p_value"": 0.015   },   ""overall_rob"": ""Low"" }"
RoB2_Lu_2021_ModerateToSeverePain_24h.md,"Lu Z, Dong F, Cheng J, et al. Pre-treatment with transcutaneous electrical acupoint stimulation reduces acute and chronic pain after mastectomy: A randomized clinical trial. Journal of Clinical Anesthesia. 2021;74:110453.",covidence_414_full_article.pdf,ClinicalTrials.gov NCT02741726,Incidence of Moderate-to-Severe Acute Postoperative Pain (NRS >= 4),0 to 24 hours postoperatively,Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Lu_2021"",   ""source_file"": ""covidence_414_full_article.pdf"",   ""trial_registration"": ""NCT02741726"",   ""outcome"": ""Incidence of moderate-to-severe pain"",   ""timepoint"": ""0 to 24 hours postoperative"",   ""sample_size"": {     ""teas_dual"": 188,     ""teas_single"": 188,     ""sham"": 188,     ""total"": 564   },   ""result"": {     ""teas_dual_events"": 26,     ""sham_events"": 58,     ""teas_dual_pct"": 13.8,     ""sham_pct"": 30.9,     ""rr"": 0.45,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Low"" }"
RoB2_Lu_2022_TimeFlatus_POD1to3.md,"Lu Z, Wang X, Cheng J, et al. Acupoint Stimulation for Enhanced Recovery After Colon Surgery: A Prospective Multicenter Randomized Controlled Trial. Journal of Pain Research. 2022;15:1025–1036.",getfile.php-3.pdf,ClinicalTrials.gov NCT02921529,Time to First Postoperative Flatus,Postoperative Day 1 to Day 3,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Lu_2022"",   ""source_file"": ""getfile.php-3.pdf"",   ""trial_registration"": ""NCT02921529"",   ""outcome"": ""Time to first flatus"",   ""timepoint"": ""Postoperative Day 1 to Day 3"",   ""sample_size"": {     ""teas"": 120,     ""control"": 120,     ""total"": 240   },   ""result"": {     ""teas_mean"": 49.2,     ""teas_sd"": 13.8,     ""control_mean"": 59.6,     ""control_sd"": 15.2,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Luo_2026_IncidenceOfPONV_48h.md,"Luo L, Fu Y, Li S, Jia J. Perioperative transcutaneous electrical acupoint stimulation at pericardium 6 reduces postoperative nausea and vomiting after tympanoplasty patients: a randomized controlled study. *BMC Complementary Medicine and Therapies*. 2026;26:167.",covidence_35_verified.pdf,"""The study protocol was prospectively registered at [Anonymized].""",Cumulative Incidence of Postoperative Nausea and Vomiting (PONV),0 to 48 hours postoperatively,Low,Some Concerns,Low,Low,Some Concerns,SOME CONCERNS,"{   ""study_id"": ""Luo_2026"",   ""source_file"": ""covidence_35_verified.pdf"",   ""trial_registration"": ""[Anonymized]"",   ""outcome"": ""Incidence of PONV (Vomiting and Nausea)"",   ""timepoint"": ""0-48 hours postoperative"",   ""sample_size"": {""teas"": 138, ""sham"": 139, ""total"": 277},   ""result"": {     ""vomiting_teas"": ""9/138 (6.52%)"",     ""vomiting_sham"": ""27/139 (19.42%)"",     ""nausea_teas"": ""24/138 (17.39%)"",     ""nausea_sham"": ""53/139 (38.13%)"",     ""complete_response_teas"": ""112/138 (81.16%)"",     ""complete_response_sham"": ""83/139 (59.71%)"",     ""p_value"": ""<0.01""   },   ""rob2_domains"": {     ""domain_1"": ""Low"",     ""domain_2"": ""Some concerns"",     ""domain_3"": ""Low"",     ""domain_4"": ""Low"",     ""domain_5"": ""Some concerns""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Ma_2026_PainIntensity_24h.md,"Ma X, Wang L, Zhu Q, et al. Preoperative Transcutaneous Electrical Acupoint Stimulation Alleviates Postoperative Pain and Accelerates Recovery in Patients Undergoing Laparoscopic Cholecystectomy: A Randomized Controlled Trial. Journal of Pain Research. 2026;19:425–436.",117210.pdf,Chinese Clinical Trial Registry ChiCTR2200062959,Postoperative Pain Intensity at Rest (VAS 0–10),24 hours postoperatively,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Ma_2026"",   ""source_file"": ""117210.pdf"",   ""trial_registration"": ""ChiCTR2200062959"",   ""outcome"": ""Pain intensity at rest (VAS)"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""teas"": 36,     ""sham"": 36,     ""total"": 72   },   ""result"": {     ""teas_mean"": 1.7,     ""teas_sd"": 0.6,     ""sham_mean"": 2.8,     ""sham_sd"": 0.8,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Ng_2013_OpioidConsumption_POD1to4.md,"Ng SSM, Leung WW, Mak TWC, Hon SSF, Li JCM, Wong CYN, Tsoi KKF, Lee JFY. Electroacupuncture Reduces Duration of Postoperative Ileus After Laparoscopic Surgery for Colorectal Cancer. *Gastroenterology*. 2013;144(2):307–313.",covidence_1970_ng_2013.pdf,Not reported / omitted in text,Postoperative Analgesic Requirement (Cumulative number of on-demand injections of 50-mg pethidine),Cumulative through Postoperative Days 1 to 4,Some Concerns,Low,Low,Low,Some Concerns,SOME CONCERNS,"{   ""study_id"": ""Ng_2013"",   ""source_file"": ""covidence_1970_ng_2013.pdf"",   ""trial_registration"": ""Not reported"",   ""outcome"": ""Postoperative Analgesic Requirement (50-mg pethidine injections)"",   ""timepoint"": ""Postoperative Days 1-4 cumulative"",   ""sample_size"": {""ea"": 55, ""sa"": 55, ""na"": 55, ""total_analyzed"": 165},   ""result"": {     ""ea_mean"": 2.7, ""ea_sd"": 2.3,     ""sa_mean"": 5.2, ""sa_sd"": 4.7,     ""na_mean"": 5.0, ""na_sd"": 4.5,     ""p_value_ea_vs_sa"": 0.001,     ""p_value_ea_vs_na"": 0.001   },   ""rob2_domains"": {     ""domain_1"": ""Some concerns"",     ""domain_2"": ""Low"",     ""domain_3"": ""Low"",     ""domain_4"": ""Low"",     ""domain_5"": ""Some concerns""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Ng_2013_TimeDefecation_POD1to4.md,"Ng SSM, Leung WW, Mak TWC, et al. *Gastroenterology*. 2013;144(2):307–313.",covidence_1970_ng_2013.pdf,,Time to First Bowel Motion / Defecation (Hours from end of surgery),Through hospital stay / POD 1–4,Low,Low,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Ng_2013"",   ""source_file"": ""covidence_1970_ng_2013.pdf"",   ""outcome"": ""Time to First Bowel Motion (Defecation, hours)"",   ""timepoint"": ""Postoperative Day 1-4"",   ""sample_size"": {""ea"": 55, ""sa"": 55, ""na"": 55},   ""result"": {""ea_mean"": 85.9, ""ea_sd"": 36.1, ""sa_mean"": 107.5, ""sa_sd"": 46.2, ""na_mean"": 122.1, ""na_sd"": 53.5, ""p_ea_vs_sa"": 0.007},   ""overall_rob"": ""Some concerns"" }"
RoB2_Ntritsou_2014_TramadolConsumption_24h.md,"Ntritsou V, Vadalouca A, Zis P, Kostopanagiotou G, Siafaka I. Effect of perioperative electroacupuncture as an adjunctive therapy on postoperative analgesia with tramadol and ketamine in prostatectomy: a randomised sham-controlled single-blind trial. *Acupuncture in Medicine*. 2014;32(3):215–222.",covidence_729_full_article.pdf,ClinicalTrials.gov NCT01526525,Cumulative Postoperative Tramadol Consumption,24 hours postoperatively,Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Ntritsou_2014"",   ""source_file"": ""covidence_729_full_article.pdf"",   ""trial_registration"": ""NCT01526525"",   ""outcome"": ""Cumulative Postoperative Tramadol Consumption (mg)"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {""ea"": 37, ""sham"": 38, ""total"": 75},   ""result"": {""ea_mean"": 158.1, ""ea_sd"": 28.5, ""sham_mean"": 260.5, ""sham_sd"": 40.2, ""p_value"": ""<0.001""},   ""overall_rob"": ""Low"" }"
RoB2_Pan_2023_TimeFlatus_POD1to2.md,"Pan X, Zhang L, Liu Y, et al. Transcutaneous Electrical Acupoint Stimulation Accelerates the Recovery of Patients Undergoing Laparoscopic Myomectomy: A Randomized Controlled Trial. Journal of Pain Research. 2023;16:1155–1165.",getfile.php-4.pdf,Chinese Clinical Trial Registry ChiCTR2100045173,Time to First Postoperative Flatus,Postoperative Day 1 to Day 2,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Pan_2023"",   ""source_file"": ""getfile.php-4.pdf"",   ""trial_registration"": ""ChiCTR2100045173"",   ""outcome"": ""Time to first flatus"",   ""timepoint"": ""Postoperative Day 1 to Day 2"",   ""sample_size"": {     ""teas"": 53,     ""sham"": 52,     ""total"": 105   },   ""result"": {     ""teas_mean"": 23.4,     ""teas_sd"": 5.6,     ""sham_mean"": 31.8,     ""sham_sd"": 7.2,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Praveena_2016_MorphineConsumption_24h.md,"Praveena Seevaunnamtum, et al. Intraoperative Electroacupuncture Reduces Postoperative Pain, Analgesic Requirement and Prevents Postoperative Nausea and Vomiting in Gynaecological Surgery: A Randomised Controlled Trial. *Anesthesiology and Pain Medicine*. 2016;6(6):e40106.",covidence_596_verified.pdf,Not reported / omitted in text,Cumulative Postoperative PCA Morphine Requirement,24 hours postoperatively,Some Concerns,Low,Low,Low,Some Concerns,SOME CONCERNS,"{   ""study_id"": ""Praveena_2016"",   ""source_file"": ""covidence_596_verified.pdf"",   ""outcome"": ""Cumulative Postoperative PCA Morphine Requirement"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {""ea"": 32, ""control"": 32, ""total"": 64},   ""result"": {""ea_mean"": 21.38, ""ea_sd"": 14.39, ""control_mean"": 38.88, ""control_sd"": 17.51, ""p_value"": ""<0.001""},   ""overall_rob"": ""Some concerns"" }"
RoB2_Sim_2002_MorphineConsumption_24h.md,"Sim CK, Xu PC, Pua HL, Zhang G, Lee TL. Effects of Electroacupuncture on Intraoperative and Postoperative Analgesic Requirement. *Acupuncture in Medicine*. 2002;20(2-3):56–65.",covidence_952_full_article.pdf,Not reported / omitted in text,Cumulative Postoperative PCA Morphine Consumption,24 hours postoperatively,Some Concerns,Some Concerns,Low,Low,Some Concerns,SOME CONCERNS,"{   ""study_id"": ""Sim_2002"",   ""source_file"": ""covidence_952_full_article.pdf"",   ""outcome"": ""Cumulative Postoperative PCA Morphine Consumption"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {""placebo_ea"": 30, ""true_ea"": 30, ""control"": 30, ""total"": 90},   ""result"": {""placebo_mean"": 16.5, ""placebo_sd"": 12.0, ""ea_mean"": 11.2, ""ea_sd"": 8.8, ""control_mean"": 18.0, ""control_sd"": 11.2, ""p_value"": 0.04},   ""overall_rob"": ""Some concerns"" }"
RoB2_Sun_2017_OpioidConsumption_24h.md,"Sun K, Xing T, Zhang F, et al. Perioperative Transcutaneous Electrical Acupoint Stimulation for Postoperative Pain Relief Following Laparoscopic Surgery: A Randomized Controlled Trial. *The Clinical Journal of Pain*. 2017;33(4):340–347.",sun2017-2.pdf,Chinese Clinical Trial Registry ChiCTR-IOR-15006032,Supplemental Analgesic Requirement / Opioid Consumption,24 hours postoperatively,Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Sun_2017"",   ""source_file"": ""sun2017-2.pdf"",   ""trial_registration"": ""ChiCTR-IOR-15006032"",   ""outcome"": ""Supplemental Analgesic Requirement (%)"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {""sss"": 90, ""tss"": 91, ""tts"": 91, ""tst"": 89, ""total"": 361},   ""result"": {""sss_pct"": 23.3, ""tss_pct"": 11.0, ""tts_pct"": 15.4, ""tst_pct"": 7.9, ""p_value"": 0.020},   ""overall_rob"": ""Low"" }"
RoB2_Tu_2024_IncidenceOfVomiting_2to6h.md,"Tu LD, Li PC, Zhao Y, Feng RZ, Lv JQ. Transcutaneous electrical acupoint stimulation for postoperative nausea and vomiting in patients undergoing craniotomy: A randomized controlled trial. *Complementary Therapies in Clinical Practice*. 2024;54:101824. (Available online 23 December 2023).",study_244_Tu_2023.pdf,Chinese Clinical Trial Registry ChiCTR-TRC-13003026 (Registered in 2013); Study protocol published in *Trials* 2014;15:377.,Incidence of Vomiting,2 to 6 hours postoperatively (Key active efficacy interval),Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Tu_2024"",   ""source_file"": ""study_244_Tu_2023.pdf"",   ""trial_registration"": ""ChiCTR-TRC-13003026"",   ""outcome"": ""Incidence of Vomiting"",   ""timepoint"": ""2-6 hours postoperative"",   ""sample_size"": {""randomized"": 120, ""analyzed"": 115, ""teas_analyzed"": 57, ""sham_analyzed"": 58},   ""result"": {""teas_events"": 8, ""teas_total"": 57, ""sham_events"": 17, ""sham_total"": 58, ""p_value"": 0.047},   ""rob2_domains"": {     ""domain_1"": ""Low"",     ""domain_2"": ""Low"",     ""domain_3"": ""Low"",     ""domain_4"": ""Low"",     ""domain_5"": ""Low""   },   ""overall_rob"": ""Low"" }"
RoB2_Tu_2024_PainIntensity_6to24h.md,"Tu LD, Li PC, Zhao Y, Feng RZ, Lv JQ. Transcutaneous electrical acupoint stimulation for postoperative nausea and vomiting in patients undergoing craniotomy: A randomized controlled trial. *Complementary Therapies in Clinical Practice*. 2024;54:101824.",study_244_Tu_2023.pdf,Chinese Clinical Trial Registry ChiCTR-TRC-13003026 (Registered in 2013),"Postoperative Pain Intensity (Visual Analog Scale, 0–10 cm)",6 to 24 hours postoperatively,Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Tu_2024"",   ""source_file"": ""study_244_Tu_2023.pdf"",   ""outcome"": ""Postoperative Pain Intensity (VAS 0-10)"",   ""timepoint"": ""6-24 hours postoperative"",   ""sample_size"": {""teas"": 57, ""sham"": 58},   ""result"": {""teas_median"": 2, ""teas_iqr"": ""0.5-3"", ""sham_median"": 4, ""sham_iqr"": ""3-4"", ""p_value"": 0.001},   ""overall_rob"": ""Low"" }"
RoB2_Wang_2020_TimeFlatus_POD1to3.md,"Wang Y, Chen H, Zhang L, et al. Electroacupuncture promotes postoperative recovery after laparoscopic cholecystectomy: A randomized controlled trial. Medical Science Monitor. 2020;26:e921345.",covidence_464_verified.pdf,Chinese Clinical Trial Registry ChiCTR1800014461,Time to First Postoperative Flatus,Postoperative Day 1 to Day 3,Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Wang_2020"",   ""source_file"": ""covidence_464_verified.pdf"",   ""trial_registration"": ""ChiCTR1800014461"",   ""outcome"": ""Time to first flatus"",   ""timepoint"": ""Postoperative Day 1 to Day 3"",   ""sample_size"": {     ""ea"": 30,     ""sham"": 30,     ""total"": 60   },   ""result"": {     ""ea_mean"": 22.8,     ""ea_sd"": 4.6,     ""sham_mean"": 30.2,     ""sham_sd"": 5.8,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Low"" }"
RoB2_Wang_2022_TimeFlatus_POD1to3.md,"Wang X, Li M, Zhou J, et al. Effect of Transcutaneous Electrical Acupoint Stimulation Combined with Transversus Abdominis Plane Block on Gastrointestinal and Pain Recovery Following Laparoscopic Colorectal Surgery: A Randomized Controlled Trial. Pain and Therapy. 2022;11(4):1235–1248.",s40122-022-00429-2.pdf,Chinese Clinical Trial Registry ChiCTR2100042119,Time to First Postoperative Flatus,Postoperative Day 1 to Day 3,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Wang_2022"",   ""source_file"": ""s40122-022-00429-2.pdf"",   ""trial_registration"": ""ChiCTR2100042119"",   ""outcome"": ""Time to first flatus"",   ""timepoint"": ""Postoperative Day 1 to Day 3"",   ""sample_size"": {     ""teas_tap"": 40,     ""tap"": 40,     ""control"": 40,     ""total"": 120   },   ""result"": {     ""teas_tap_mean"": 51.2,     ""teas_tap_sd"": 10.4,     ""tap_mean"": 62.8,     ""tap_sd"": 12.1,     ""control_mean"": 74.5,     ""control_sd"": 13.8,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Wang_2023_SleepQualityScore_POD1.md,"Wang L, Zhou Y, Zhu Q, et al. Transcutaneous Electrical Acupoint Stimulation Improves Postoperative Sleep Quality in Patients Undergoing Gastrointestinal Cancer Surgery: A Prospective, Randomized Controlled Trial. Pain and Therapy. 2023;12(3):811–825.",s40122-023-00493-2.pdf,Chinese Clinical Trial Registry ChiCTR2100054971,"Subjective Sleep Quality Score (Athens Insomnia Scale, AIS)",Postoperative Day 1 (POD 1),Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Wang_2023_Sleep"",   ""source_file"": ""s40122-023-00493-2.pdf"",   ""trial_registration"": ""ChiCTR2100054971"",   ""outcome"": ""Athens Insomnia Scale score"",   ""timepoint"": ""Postoperative Day 1 (POD 1)"",   ""sample_size"": {     ""teas"": 60,     ""sham"": 60,     ""total"": 120   },   ""result"": {     ""teas_mean"": 6.4,     ""teas_sd"": 1.8,     ""sham_mean"": 9.8,     ""sham_sd"": 2.2,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Wang_2024_IncidenceOfPONV_24h.md,"Wang H, Sun M, Zhang Y, et al. Transcutaneous electrical acupoint stimulation reduces the incidence of postoperative nausea and vomiting in breast cancer patients with a history of severe pregnancy-induced nausea: A randomised controlled trial. Breast Cancer. 2024;31(5):926–934.",covidence_212_full_article.pdf,Chinese Clinical Trial Registry ChiCTR2100053752,Cumulative Incidence of Postoperative Nausea and Vomiting (PONV),0 to 24 hours postoperatively,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Wang_2024"",   ""source_file"": ""covidence_212_full_article.pdf"",   ""trial_registration"": ""ChiCTR2100053752"",   ""outcome"": ""Incidence of PONV"",   ""timepoint"": ""0 to 24 hours postoperative"",   ""sample_size"": {     ""teas"": 70,     ""sham"": 70,     ""total"": 140   },   ""result"": {     ""teas_events"": 19,     ""sham_events"": 38,     ""teas_pct"": 27.1,     ""sham_pct"": 54.3,     ""p_value"": 0.001   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Wong_2006_MorphineConsumption_24h.md,"Wong RHL, Lee TW, Sihoe ADL, Wan IYP, Ng CSH, Chan SKC, Liang YM, Yim APC. Analgesic Effect of Electroacupuncture in Postthoracotomy Pain: A Prospective Randomized Trial. *Annals of Thoracic Surgery*. 2006;81(6):2031–2036.",covidence_912_wong_2006.pdf,Not reported / omitted in text,Cumulative Postoperative PCA Morphine Usage,24 hours postoperatively (Postoperative Day 1),Low,Low,Low,Low,Some Concerns,SOME CONCERNS,"{   ""study_id"": ""Wong_2006"",   ""source_file"": ""covidence_912_wong_2006.pdf"",   ""outcome"": ""Cumulative Postoperative PCA Morphine Usage"",   ""timepoint"": ""24 hours postoperative (Day 1)"",   ""sample_size"": {""ea"": 13, ""sham"": 12, ""total"": 25},   ""result"": {""ea_mean"": 16.5, ""ea_sd"": 9.4, ""sham_mean"": 37.7, ""sham_sd"": 15.6, ""p_value"": 0.001},   ""overall_rob"": ""Some concerns"" }"
RoB2_Wu_2025_PainIntensity_24h.md,"Wu S, Chen Z, Liu X, et al. Transcutaneous Electrical Acupoint Stimulation (TEAS) Facilitates Postoperative Recovery in Day Surgery: A Randomized Controlled Trial. Pain and Therapy. 2025;14(1):145–158.",103940.pdf,Chinese Clinical Trial Registry ChiCTR2200066600,Postoperative Pain Intensity at Rest (VAS 0–10),24 hours postoperatively,Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Wu_2025"",   ""source_file"": ""103940.pdf"",   ""trial_registration"": ""ChiCTR2200066600"",   ""outcome"": ""Pain intensity at rest (VAS)"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""teas"": 50,     ""sham"": 50,     ""total"": 100   },   ""result"": {     ""teas_mean"": 1.8,     ""teas_sd"": 0.7,     ""sham_mean"": 2.9,     ""sham_sd"": 0.9,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Low"" }"
RoB2_Xiao_2022_QoR40_24h.md,"Xiao W, Wang L, Zhu Q, et al. Effects of transcutaneous electrical acupoint stimulation on postoperative recovery in patients undergoing gynecological laparoscopic surgery: A randomized controlled trial. BMC Anesthesiology. 2022;22:312.",s12871-022-01875-3.pdf,Chinese Clinical Trial Registry ChiCTR1800014634,Quality of Recovery-40 (QoR-40) Total Score,24 hours postoperatively,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Xiao_2022"",   ""source_file"": ""s12871-022-01875-3.pdf"",   ""trial_registration"": ""ChiCTR1800014634"",   ""outcome"": ""QoR-40 total score"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""teas"": 42,     ""sham"": 42,     ""total"": 84   },   ""result"": {     ""teas_mean"": 176.4,     ""teas_sd"": 9.8,     ""sham_mean"": 164.2,     ""sham_sd"": 11.5,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Xie_2014_BreakthroughPain_2h.md,"Xie Y, Wang C, Wang F, et al. Effect of Electro-acupuncture Stimulation of Ximen (PC4) and Neiguan (PC6) on Remifentanil-induced Breakthrough Pain Following Laparoscopic Cholecystectomy. Journal of Huazhong University of Science and Technology [Medical Sciences]. 2014;34(4):569–574.",covidence_701_full_article.pdf,None reported,Incidence of Remifentanil-Induced Breakthrough Pain in PACU,0 to 2 hours postoperatively (PACU stay),Some concerns,Low,Low,Low,Some concerns,SOME CONCERNS,"{   ""study_id"": ""Xie_2014"",   ""source_file"": ""covidence_701_full_article.pdf"",   ""trial_registration"": ""None reported"",   ""outcome"": ""Incidence of breakthrough pain"",   ""timepoint"": ""0 to 2 hours postoperative (PACU)"",   ""sample_size"": {     ""ea"": 30,     ""sham"": 30,     ""control"": 30,     ""total"": 90   },   ""result"": {     ""ea_events"": 4,     ""sham_events"": 14,     ""control_events"": 15,     ""p_value"": ""<0.05""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Xiong_2021_IncidenceOfPONV_48h.md,"Xiong Q, Min S, Wei K, Yang Y, Ma J, Liu D, Zeng M, Zou L. Transcutaneous Electrical Acupoint Stimulation Combined with Dexamethasone and Tropisetron Prevents Postoperative Nausea and Vomiting in Female Patients Undergoing Laparoscopic Sleeve Gastrectomy: a Prospective, Randomized Controlled Trial. *Obesity Surgery*. 2021;31(5):1912–1920.",covidence_431_full_article.pdf,Chinese Clinical Trial Registry ChiCTR2000037785 (Registered retrospectively in 2020; study enrollment ran May 2018 – February 2020),Incidence of Postoperative Nausea and Vomiting (PONV),0 to 48 hours postoperatively,Low,Some Concerns,Low,Low,Some Concerns,SOME CONCERNS,"{   ""study_id"": ""Xiong_2021"",   ""source_file"": ""covidence_431_full_article.pdf"",   ""trial_registration"": ""ChiCTR2000037785 (Retrospective)"",   ""outcome"": ""Incidence of PONV (Nausea, Vomiting or Both)"",   ""timepoint"": ""0-48 hours postoperative"",   ""sample_size"": {""teas"": 31, ""control"": 31, ""total"": 62},   ""result"": {     ""teas_events"": 13,     ""teas_total"": 31,     ""teas_pct"": 41.9,     ""control_events"": 24,     ""control_total"": 31,     ""control_pct"": 77.4,     ""p_value"": 0.004,     ""relative_risk"": 0.39,     ""rr_95ci"": ""0.19-0.77""   },   ""rob2_domains"": {     ""domain_1"": ""Low"",     ""domain_2"": ""Some concerns"",     ""domain_3"": ""Low"",     ""domain_4"": ""Low"",     ""domain_5"": ""Some concerns""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Yao_2015_QoR40_24h.md,"Yao Y, Bian W, Cheng W, et al. Transcutaneous Electrical Acupoint Stimulation Improves the Postoperative Quality of Recovery and Analgesia after Gynecological Laparoscopic Surgery: A Randomized Controlled Trial. Evidence-Based Complementary and Alternative Medicine. 2015;2015:438706.",039_yao_2015.pdf,None reported,Quality of Recovery-40 (QoR-40) Total Score,24 hours postoperatively,Low,Some concerns,Low,Low,Some concerns,SOME CONCERNS,"{   ""study_id"": ""Yao_2015"",   ""source_file"": ""039_yao_2015.pdf"",   ""trial_registration"": ""None reported"",   ""outcome"": ""QoR-40 total score"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""teas"": 35,     ""sham"": 35,     ""total"": 70   },   ""result"": {     ""teas_mean"": 178.4,     ""teas_sd"": 8.6,     ""sham_mean"": 165.2,     ""sham_sd"": 10.4,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Yeh_2004_MorphineConsumption_24h.md,"Yeh ML, Tsou TS, Lee BY, et al. Acupoint electrical stimulation reduces acute postoperative pain in surgical patients: A randomized, controlled clinical trial. Alternative Therapies in Health and Medicine. 2004;10(5):38–45.",015_PainATHM-2.pdf,None reported,Cumulative Postoperative Morphine Consumption,24 hours postoperatively,Low,Some concerns,Low,Low,Some concerns,SOME CONCERNS,"{   ""study_id"": ""Yeh_2004"",   ""source_file"": ""015_PainATHM-2.pdf"",   ""trial_registration"": ""None reported"",   ""outcome"": ""Cumulative morphine consumption"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""teas"": 50,     ""sham"": 49,     ""total"": 99   },   ""result"": {     ""teas_mean"": 22.4,     ""teas_sd"": 8.6,     ""sham_mean"": 34.2,     ""sham_sd"": 11.4,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Yeh_2010_MorphineConsumption_24h.md,"Yeh ML, Chung YC, Chen KM, Chen HH. Pain reduction of acupoint electrical stimulation for patients with spinal surgery: A placebo-controlled study. *Anaesthesia*. 2010;65(1):19–24.",covidence_828_full_article.pdf,Not reported / omitted in text,Postoperative PCA Morphine Consumption,24 hours postoperatively,Some Concerns,Low,Low,Low,Some Concerns,SOME CONCERNS,"{   ""study_id"": ""Yeh_2010"",   ""source_file"": ""covidence_828_full_article.pdf"",   ""outcome"": ""Postoperative PCA Morphine Consumption"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {""aes"": 30, ""sham"": 30, ""control"": 30, ""total"": 90},   ""result"": {""aes_mean"": 28.3, ""aes_sd"": 11.6, ""sham_mean"": 38.6, ""sham_sd"": 13.9, ""control_mean"": 45.1, ""control_sd"": 16.2, ""p_value"": 0.001},   ""overall_rob"": ""Some concerns"" }"
