"screening_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"50","68","Letter to the Editor: a commentary on ""Transcutaneous electrical acupoint stimulation accelerates gastrointestinal function recovery after abdominal surgery: a systemic review and meta-analysis of randomized controlled trials"".","Ziyuan","2025","English","no","NO","EXCLUDE_PUBLICATION_TYPE","The title explicitly identifies a Letter to the Editor and commentary on a systematic review; no original participant results are present.","Commentary letter without original participant results.","high","letter to the editor; commentary","no","0","0","","not applicable","no","commentary only","not applicable","not applicable","not applicable","not applicable","no original outcomes","no","no","yes","2026-07-27T07:26:55.846Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"51","69","Transcutaneous Electrical Acupoint Stimulation Reduces Postoperative Abdominal Pain after Endoscopic Submucosal Dissection: A Single-Center, Prospective, and Randomized Controlled Trial.","Liu","2025","English","yes","NO","EXCLUDE_NON_SURGICAL","The randomized study was conducted during gastric or esophageal endoscopic submucosal dissection. The abstract does not report operative surgery under general anaesthesia; gastrointestinal endoscopy without general anaesthesia is excluded.","Endoscopic procedure without evidence of eligible operative surgery under general anaesthesia.","high","journal article; primary participant-results report","yes","7","0","","not stated; endoscopic procedure commonly uses sedation","yes","TEAS at LI4, PC6, ST36, and ST37","non-acupoint sham without current","yes","yes","yes; 30 minutes before ESD through procedure","yes; pain, morphine, PONV","no","no","yes","2026-07-27T07:28:20.657Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"52","70","Opposing needling in the treatment of knee osteoarthritis: an improved study protocol for a randomized controlled trial.","Li","2025","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title and abstract explicitly describe a planned randomized trial protocol; no participant results are reported.","Protocol without participant results.","high","trial protocol","no","2","0","","no","planned randomized trial only","planned opposing needling plus EA","planned sham opposing needling plus EA and EA-alone arms","not applicable","not applicable","not perioperative","planned non-perioperative outcomes","no","no","yes","2026-07-27T07:28:24.038Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"53","71","Effects of Transcutaneous Electrical Acupoint Stimulation on Postoperative Acute Visceral, Incisional, and Low Back Pain and Recovery in Patients Undergoing Laparoscopic Hysterectomy: A Randomized Controlled Trial.","Zhang","2025","English","yes","YES","INCLUDE_ELIGIBLE","Elective laparoscopic hysterectomy patients were randomized to TEAS at defined acupoints from 30 minutes before anaesthesia induction through surgery or identical sham. General anaesthesia is highly evident. Pain, opioids, PONV, ambulation, hospital stay, and recovery outcomes were reported.","Clearly eligible perioperative TEAS randomized trial.","high","journal article; primary participant-results report","yes","9","0","","highly evident from laparoscopic hysterectomy and induction","yes","TEAS at LI4-PC6 and SP6-ST36","identical sham stimulation","yes","yes","yes; before induction through surgery","yes; pain, opioids, PONV, recovery","no","no","yes","2026-07-27T07:28:24.691Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"54","72","Effects of Transcutaneous Electrical Acupoint Stimulation on Recovery After Gynecological Laparoscopic Surgery: A Randomized, Single-Blind, Controlled Trial.","Zheng","2025","English","yes","YES","INCLUDE_ELIGIBLE","Gynecological laparoscopic surgical patients under explicitly stated general anaesthesia were randomized to TEAS at PC6, ST36, and LI4 from 30 minutes before induction through surgery or sham. PONV, recovery, sleep, pain, PCA use, and gastrointestinal recovery were reported.","Clearly eligible perioperative TEAS randomized trial.","high","journal article; primary participant-results report","yes","9","0","","yes; explicitly stated","yes","TEAS at PC6, ST36, and LI4","sham electrode placement without current","yes","yes","yes; 30 minutes before induction through surgery","yes; PONV, recovery, pain, PCA use","no","no","yes","2026-07-27T07:28:28.305Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"55","73","Efficacy of preoperative electroacupuncture for ureteral access sheath placement during first-stage flexible ureteroscopy in urolithiasis: a multicenter, randomized, single-blind, sham-controlled trial protocol.","Wang","2025","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title and abstract explicitly identify a randomized sham-controlled trial protocol and describe planned enrollment and outcomes without results.","Protocol without participant results.","high","trial protocol","no","8","0","","yes; explicitly planned","planned randomized trial only","planned preoperative needle EA","planned sham EA","planned balanced","planned separable comparison","planned preoperative","planned only","no","no","yes","2026-07-27T07:28:31.656Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"56","75","Effects of electroacupuncture on the incidence of postoperative supraventricular arrhythmia and sleep quality in patients undergoing thoracoscopic surgery: a randomized controlled trial.","Liu","2025","English","yes","MAYBE","UNCERTAIN_TIMING","Adult thoracoscopic lung cancer surgery patients were randomized to EA or control; general anaesthesia is highly evident. Supraventricular arrhythmia, sleep, remifentanil, hypotension, pain, and adverse effects were reported. The abstract calls treatment perioperative but does not state when the first EA session began.","EA initiation timing is the sole eligibility uncertainty.","high","journal article; primary participant-results report","yes","8","1","timing","highly evident from single-port thoracoscopic lung surgery","yes","needle electroacupuncture","control","yes","yes","uncertain; described only as perioperative","yes; arrhythmia, sleep, pain, intraoperative opioid use","no","no","yes","2026-07-27T07:28:32.314Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"57","77","A commentary on ""Transcutaneous electrical acupoint stimulation accelerates gastrointestinal function recovery after abdominal surgery: a systemic review and meta-analysis of randomized controlled trials"".","Liu","2025","English","no","NO","EXCLUDE_PUBLICATION_TYPE","The title explicitly identifies a commentary on a systematic review and meta-analysis; no original participant results are provided.","Commentary without original participant results.","high","commentary","no","0","0","","not applicable","no","commentary only","not applicable","not applicable","not applicable","not applicable","no original outcomes","no","no","yes","2026-07-27T07:28:35.785Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"58","78","Effectiveness of transcutaneous electrical acupoint stimulation combined with press needle therapy for pain control after caesarean section: A randomized controlled trial.","Qin","2025","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","Caesarean sections were explicitly performed under combined spinal-epidural anaesthesia, not general anaesthesia. The intervention also combined TEAS with postoperative press needles, an excluded and inseparable component.","Explicit neuraxial-only anaesthesia; combined press-needle intervention is also ineligible.","high","journal article; primary participant-results report","yes","6","0","","no; combined spinal-epidural anaesthesia","yes","TEAS plus press-needle therapy","sham acupuncture","yes","no; TEAS combined with press needles","yes; preoperative and intraoperative TEAS","yes; morphine, pain, PONV, satisfaction","no","no","yes","2026-07-27T07:28:39.134Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"59","79","The Effect of Transcutaneous Electrical Acupuncture Stimulation on Postoperative Pain Control and Mobility in Patients Undergoing Percutaneous Endoscopic Lumbar Discectomy: Study Protocol for a Prospective Randomized Trial.","Hu","2025","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title and abstract identify a prospective randomized trial protocol and use future tense throughout; no participant results are reported.","Protocol without participant results.","high","trial protocol","no","7","0","","uncertain for percutaneous endoscopic discectomy","planned randomized trial only","planned TEAS at PC6, BL57, SP6, and BL25","planned non-acupoint placebo TEAS","planned balanced","planned separable comparison","planned preoperative through early postoperative","planned only","no","no","yes","2026-07-27T07:28:39.777Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"60","80","Effect of electroacupuncture on postoperative gastrointestinal dysfunction in patients with perioperative oesophageal cancer: study protocol for a randomised controlled trial.","Pan","2025","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title and abstract explicitly identify a randomized trial protocol with planned recruitment and outcomes; no participant results are reported.","Protocol without participant results.","high","trial protocol","no","7","0","","highly evident from oesophageal cancer surgery","planned randomized trial only","planned needle EA plus standard treatment","planned sham EA plus standard treatment and standard treatment arms","planned balanced","planned separable multi-arm comparison","uncertain; four postoperative sessions without initiation hour","planned only","no","no","yes","2026-07-27T07:28:43.119Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"61","81","[Involvement of basolateral amygdala in electroacupuncture induced alleviation of myocardial mitochondrial injury in rats with acute myocardial ischemia].","Wang","2025","English","yes","NO","EXCLUDE_ANIMAL","The methods explicitly describe randomized experiments in male Sprague-Dawley rats with induced myocardial ischemia.","Animal study.","high","animal experimental study","yes","0","0","","not applicable","animal randomization only","electroacupuncture in rats","animal experimental groups","not applicable","not applicable","not applicable","no human outcome","no","no","yes","2026-07-27T07:29:40.609Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"62","82","Efficacy of transcutaneous electrical acupoint stimulation for the treatment of gastrointestinal dysfunction in patients after cardiac surgery with cardiopulmonary bypass: study protocol for a superiority, single-centre, single-blind, randomised controlle","Liao","2025","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title and abstract identify a preregistered study protocol and explicitly label it pre-result; no participant results are available.","Protocol without participant results.","high","trial protocol","no","6","0","","highly evident from cardiac surgery with cardiopulmonary bypass","planned randomized trial only","planned TEAS","planned acupressure","uncertain","planned comparison","uncertain; three postoperative days without initiation hour","planned only","no","no","yes","2026-07-27T07:29:44.056Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"63","83","Efficacy of preoperative transcutaneous electrical acupoint stimulation in reducing postoperative delirium in older adults undergoing orthopedic surgery: a randomized controlled trial.","Sun","2025","English","yes","MAYBE","UNCERTAIN_GENERAL_ANAESTHESIA","Older adults undergoing orthopedic surgery were randomized to three days of preoperative TEAS at defined acupoints or placebo. Delirium, sleep, pain, inflammation, and cognition were reported. The anaesthetic technique is not stated and orthopedic surgery may use regional or general anaesthesia.","Anaesthetic technique is the sole eligibility uncertainty.","high","journal article; primary participant-results report","yes","8","1","general_anaesthesia","uncertain","yes","TEAS at LI4-PC6 and ST36-LR3","placebo","yes","yes","yes; three consecutive days before surgery","yes; delirium, pain, sleep, cognition","no","no","yes","2026-07-27T07:29:44.692Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"64","84","Massage and electroacupuncture as a combined method versus epidural analgesia for chronic low back pain management.","Papanikolaou","2025","English","yes","NO","EXCLUDE_NON_SURGICAL","The trial treated chronic low back pain with weekly massage plus EA versus epidural injections; there was no operative surgery or acute perioperative context.","Non-operative chronic pain treatment.","high","journal article; primary participant-results report","yes","3","0","","no","yes","massage plus electroacupuncture","epidural analgesia","no","no; massage and EA combined","not perioperative","chronic pain outcomes","no","no","yes","2026-07-27T07:29:48.167Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"65","85","Study on the neuroimmune regulatory mechanism of electroacupuncture at Zusanli acupoint for postoperative intestinal paralysis after gastrointestinal surgery.","Xu","2025","English","yes","NO","EXCLUDE_TIMING","Patients were treated for established postoperative intestinal paralysis for seven days. The abstract gives no indication that EA began within 24 hours after surgery.","Treatment of an established postoperative complication without eligible initiation timing.","high","journal article; primary participant-results report","yes","6","0","","highly likely from gastrointestinal surgery but not stated","yes","needle electroacupuncture at ST36","conventional Western medical treatment","yes; conventional treatment in both groups","yes","no evidence of initiation within 24 hours","yes; gastrointestinal recovery and adverse events","no","no","yes","2026-07-27T07:29:48.811Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"66","86","Effects of transcutaneous electrical acupoint stimulation on recovery after internal spinal fixation: a randomised controlled trial.","Zhang","2025","English","yes","YES","INCLUDE_ELIGIBLE","Adults undergoing elective internal spinal fixation were randomized to TEAS-assisted general anaesthesia or general anaesthesia alone. TEAS at defined acupoints began 30 minutes before induction and continued through closure. Recovery, opioids, hospital stay, satisfaction, and adverse events were reported.","Clearly eligible perioperative TEAS randomized trial.","high","journal article; primary participant-results report","yes","9","0","","yes; explicitly stated","yes; random number table","TEAS at PC6, LI4, and ST36","sham electrodes without current","yes","yes","yes; 30 minutes before induction through closure","yes; recovery, opioids, hospital stay, adverse events","no","no","yes","2026-07-27T07:29:52.130Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"67","88","Electro-acupuncture for quality of life during adjuvant chemotherapy in gastric cancer: a randomized trial.","Zhu","2026","English","yes","NO","EXCLUDE_TIMING","EA was delivered during the first three cycles of adjuvant chemotherapy after gastrectomy, not during the acute perioperative period, and no session within 24 hours of surgery is supported.","Postoperative adjuvant-chemotherapy intervention outside eligible perioperative timing.","high","journal article; primary participant-results report","yes","5","0","","past gastrectomy only","yes","high- or low-frequency needle electroacupuncture during chemotherapy","no EA usual care","yes","yes","no; adjuvant chemotherapy cycles after surgery","quality of life and treatment toxicities","no","no","yes","2026-07-27T07:29:55.450Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"68","89","Impact of transcutaneous electrical acupoint stimulation on postoperative recovery in older adults following pterygium excision: a prospective randomized controlled trial.","Wu","2025","English","yes","MAYBE","UNCERTAIN_GENERAL_ANAESTHESIA","Randomized TEAS versus sham trial for unilateral pterygium excision; stimulation at LI4 and PC6 began 30 minutes before anaesthesia induction and continued through surgery, with recovery, pain, and anxiety outcomes. Pterygium surgery commonly uses local anaesthesia and the abstract does not specify general anaesthesia.","General anaesthesia is the sole eligibility uncertainty.","high","journal article; primary participant-results report","yes","8","1","general_anaesthesia","uncertain","yes","TEAS at LI4 and PC6","sham electrodes without stimulation","yes","yes","yes; 30 minutes before induction through surgery","yes; recovery, pain, anxiety","no","no","yes","2026-07-27T07:29:58.766Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"69","90","[Electroacupuncture of scalp acupoints alleviates neurological deficits by regulating PPAR γ/NF-κB signaling pathway and inducing polarization of microglia in rats with ischemic stroke].","Bao","2025","English","yes","NO","EXCLUDE_ANIMAL","The methods explicitly describe randomized experiments in male Sprague-Dawley rats with induced ischemic stroke.","Animal study.","high","animal experimental study","yes","0","0","","not applicable","animal randomization only","scalp electroacupuncture in rats","animal groups","not applicable","not applicable","not applicable","no human outcome","no","no","yes","2026-07-27T07:30:02.101Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"70","91","The Clinical Efficacy and Safety of Electroacupuncture (EA) in Perioperative Rehabilitation of Rotator Cuff Repair Surgery: A Protocol for a Single-Centre, Randomized Controlled Trial.","Liu","2025","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title and abstract explicitly identify a randomized trial protocol and describe planned enrollment and treatments without participant results.","Protocol without participant results.","high","trial protocol","no","7","0","","uncertain for arthroscopic rotator cuff repair","planned randomized trial only","planned needle EA","planned sham EA","planned balanced","planned separable comparison","planned 2 hours before and after surgery","planned only","no","no","yes","2026-07-27T07:30:02.705Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"71","92","Acupoint electrical stimulation at neiguan and zusanli points on serum cytokines.","Ye","2025","English","yes","NO","EXCLUDE_INELIGIBLE_ACTIVE_COMPARATOR","Patients under general anaesthesia received electrical stimulation at either PC6 or ST36. The study only compares two active acupoint-stimulation strategies, with no sham, usual-care, no-stimulation, or non-acupoint control; randomization is also not stated.","Only active TEAS-versus-TEAS comparator and randomization unsupported.","high","journal article; primary participant-results report","yes","6","2","randomization|comparator_structure","yes; explicitly stated","uncertain; not stated","electrical stimulation at PC6 versus ST36","another active acupoint stimulation","appears balanced","only relative acupoint effects","yes; intraoperative","yes; postoperative pain and psychological state","no","no","yes","2026-07-27T07:30:39.202Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"72","93","Effect of Transcutaneous Electrical Acupoint Stimulation on Postoperative Sleep Disorders in Older Patients After Urologic Laparoscopic Surgery by Regulating Intestinal Microbiota: Study Protocol for a Prospective Controlled Trial.","Liu","2025","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title and abstract explicitly identify a prospective randomized study protocol and use future tense; no participant results are reported.","Protocol without participant results.","high","trial protocol","no","7","0","","highly evident from urologic laparoscopic surgery","planned randomized trial only","planned TEAS","planned placebo stimulation","planned stratification by dexmedetomidine","planned separable comparison","uncertain; timing not specified","planned only","no","no","yes","2026-07-27T07:30:39.828Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"73","95","Effect of electroacupuncture on interleukin-6 and procalcitonin expression in the astrocytes and neurons of the spinal cord dorsal horn in a rat model of incisional pain.","Jin","2025","English","yes","NO","EXCLUDE_ANIMAL","The study used healthy male Sprague-Dawley rats with an incisional pain model.","Animal study.","high","animal experimental study","yes","0","0","","not applicable","animal randomization only","electroacupuncture in rats","animal sham and model groups","not applicable","not applicable","not applicable","no human outcome","no","no","yes","2026-07-27T07:30:43.231Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"74","96","Preoperative electroacupuncture for prevention of postoperative delirium in older adults undergoing total knee arthroplasty: protocol for a multicenter randomized controlled trial.","Zhuo","2025","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title and abstract explicitly identify a multicenter randomized trial protocol; enrollment and outcomes are planned and no participant results are reported.","Protocol without participant results.","high","trial protocol","no","7","0","","uncertain for total knee arthroplasty","planned randomized trial only","planned needle EA at GV24 and GB13","planned sham EA","planned balanced","planned separable comparison","planned 30 minutes before induction","planned only","no","no","yes","2026-07-27T07:30:43.840Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"75","97","Electroacupuncture in Patients With Early Urinary Incontinence After Radical Prostatectomy: A Randomized Clinical Trial.","Niu","2025","English","yes","NO","EXCLUDE_TIMING","EA treatment began 4 to 6 weeks after robot-assisted radical prostatectomy for established urinary incontinence, well beyond the first 24 postoperative hours.","Intervention started 4–6 weeks after surgery.","high","journal article; primary participant-results report","yes","7","0","","past radical prostatectomy highly likely under general anaesthesia","yes","needle EA at sacral acupoints","sham nonpuncturing stimulation","yes","yes","no; 4–6 weeks postoperative","yes; urinary continence","no","no","yes","2026-07-27T07:30:47.270Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"76","98","Application of Meridian flow injection acupoint application combined with transcutaneous electrical acupoint stimulation in patients undergoing gastroenteroscopy.","Hong","2025","English","yes","NO","EXCLUDE_INSEPARABLE_INTERVENTION","The intervention combined meridian-timed acupoint application with TEAS and was compared with routine care, so the independent TEAS effect cannot be isolated. The procedure was gastroscopy without stated general anaesthesia.","Inseparable combined acupoint-application plus TEAS intervention.","high","journal article; primary participant-results report","yes","5","0","","not stated for gastroscopy","yes; stratified block randomization","acupoint application plus TEAS","routine postoperative care","no; multiple therapeutic components differ","no","uncertain; three-day treatment after gastroscopy","yes; gastrointestinal recovery and complications","no","no","yes","2026-07-27T07:31:40.201Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"77","100","Comment on 'Transcutaneous electrical acupoint stimulation accelerates gastrointestinal function recovery after abdominal surgery: a systemic review and meta-analysis of randomized controlled trials'.","Huang","2025","English","no","NO","EXCLUDE_PUBLICATION_TYPE","The title explicitly identifies a comment on a systematic review and meta-analysis; no original participant results are present.","Commentary without original participant results.","high","commentary","no","0","0","","not applicable","no","commentary only","not applicable","not applicable","not applicable","not applicable","no original outcomes","no","no","yes","2026-07-27T07:31:43.750Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"78","101","Effect of electroacupuncture on hippocampal protein lactylation in a rat model of vascular dementia.","Chen","2025","English","yes","NO","EXCLUDE_ANIMAL","The experiment used randomized rats with a vascular dementia model.","Animal study.","high","animal experimental study","yes","0","0","","not applicable","animal randomization only","electroacupuncture in rats","animal groups","not applicable","not applicable","not applicable","no human outcome","no","no","yes","2026-07-27T07:31:44.432Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"79","102","[Effect of electroacupuncture on learning and memory abilities in vascular dementia rats via the NCOA4/FTH1 signaling pathway-mediated ferritinophagy].","Sun","2025","English","yes","NO","EXCLUDE_ANIMAL","The methods describe a vascular dementia model in male rats.","Animal study.","high","animal experimental study","yes","0","0","","not applicable","animal randomization only","electroacupuncture in rats","animal groups","not applicable","not applicable","not applicable","no human outcome","no","no","yes","2026-07-27T07:31:48.075Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"80","103","Study protocol: a randomized controlled clinical trial on the use of electroacupuncture for postoperative abdominal distension following laparoscopic cholecystectomy.","Kong","2025","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title identifies a study protocol; the abstract uses future tense and reports expected outcomes rather than participant results.","Protocol without participant results.","high","trial protocol","no","7","0","","highly evident from laparoscopic cholecystectomy","planned randomized trial only","planned EA at ST36 and PC6","planned EA at non-meridian non-acupoints","planned routine care in both groups","planned active-location comparison","uncertain; postoperative and next morning","planned only","no","no","yes","2026-07-27T07:31:48.751Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"81","104","Electroacupuncture combined with subanesthetic alfaxalone as a novel target for alleviating neuropathic pain.","Liu","2025","English","yes","NO","EXCLUDE_ANIMAL","The study randomized sixty C57BL/6 male mice in a spared-nerve-injury model.","Animal study.","high","animal experimental study","yes","0","0","","not applicable","animal randomization only","EA with or without alfaxalone in mice","animal groups","not applicable","not applicable","not applicable","no human outcome","no","no","yes","2026-07-27T07:31:52.179Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"82","105","[Electroacupuncture of ""Tianshu"" (ST25) alleviates ulcerative colitis by activating sacral parasympathetic postganglionic neurons of the pelvic ganglion in mice].","Luo","2025","English","yes","NO","EXCLUDE_ANIMAL","The experiment used male C57BL/6J mice with induced ulcerative colitis.","Animal study.","high","animal experimental study","yes","0","0","","not applicable","animal randomization only","electroacupuncture in mice","animal groups","not applicable","not applicable","not applicable","no human outcome","no","no","yes","2026-07-27T07:31:55.499Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"83","106","Effect of electroacupuncture intervention before and after operation on perioperative neurocognitive disorders in elderly patients with hip fractures: A randomized controlled trial.","Long","2025","English","yes","YES","INCLUDE_ELIGIBLE","Elderly hip-fracture surgical patients were randomized to pre- and postoperative EA or non-stimulated control. Extubation and recovery-room measures make general anaesthesia highly evident. Neurocognitive disorder, pain, PONV, adverse events, recovery, and hospital stay were reported.","Clearly eligible perioperative EA randomized trial.","high","journal article; primary participant-results report","yes","9","0","","highly evident from extubation and recovery-room measures","yes","perioperative electroacupuncture","non-stimulated control","yes","yes","yes; preoperative and postoperative","yes; neurocognitive disorder, pain, PONV, adverse events","no","no","yes","2026-07-27T07:31:58.818Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"84","107","Analgesic effects of electroacupuncture via the EphBs-p38 MAPK signaling pathway and microglial suppression in the chronic constriction injury rat model of neuropathic pain.","Ying","2025","English","yes","NO","EXCLUDE_ANIMAL","The methods describe chronic-constriction-injury experiments in male Sprague-Dawley rats.","Animal study.","high","animal experimental study","yes","0","0","","not applicable","animal allocation","electroacupuncture in rats","animal groups","not applicable","not applicable","not applicable","no human outcome","no","no","yes","2026-07-27T07:31:59.473Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"85","109","[Effect of perioperative transcutaneous electrical acupoint stimulation on postoperative fatigue syndrome in elderly patients].","Cheng","2025","English","yes","YES","INCLUDE_ELIGIBLE","Elderly laparoscopic radical gastrectomy patients were randomized to TEAS at LI4, PC6, ST36, and SP6 from 30 minutes before induction through surgery and early postoperative sessions or sham TEAS. General anaesthesia is highly evident. Fatigue, pain, opioids, PONV, and adverse effects were reported.","Clearly eligible perioperative TEAS randomized trial.","high","journal article; primary participant-results report","yes","9","0","","highly evident from laparoscopic radical gastrectomy and induction","yes","TEAS at LI4, PC6, ST36, and SP6","sham TEAS without current","yes","yes","yes; 30 minutes before induction","yes; fatigue, pain, opioids, PONV","no","no","yes","2026-07-27T07:32:02.914Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"86","112","Improvement of Urinary Incontinence after Radical Prostatectomy with Electroacupuncture Combined with Supervised Pelvic Floor Muscle Exercises: A Retrospective Study.","Wu","2025","English","yes","NO","EXCLUDE_NON_RANDOMIZED","Clinical data were retrospectively collected and patients were grouped according to postoperative treatment received.","Retrospective non-randomized study.","high","retrospective comparative study","yes","5","0","","past prostatectomy only","no","EA plus pelvic-floor training","pelvic-floor training alone","yes for pelvic-floor training","yes","not stated; treatment assessed over 6-12 weeks","urinary continence and quality of life","no","no","yes","2026-07-27T07:32:54.604Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"87","113","Effect of Transcutaneous Electrical Acupoint Stimulation at the Sanyinjiao Point on Preventing Bladder Spasm after Transurethral Laser Prostatectomy.","Sui","2025","English","yes","NO","EXCLUDE_NON_RANDOMIZED","Medical data were retrospectively collected and patients were classified according to whether they received TEAS.","Retrospective non-randomized study.","high","retrospective comparative study","yes","6","0","","uncertain for transurethral laser prostatectomy","no","TEAS at SP6","no TEAS","uncertain","yes","uncertain; five-day postoperative treatment","yes; bladder spasm and adverse events","no","no","yes","2026-07-27T07:32:58.033Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"88","114","Electroacupuncture versus sham electroacupuncture in treating low anterior resection syndrome after rectal cancer surgery: Study protocol for a randomized controlled trial.","Wang","2025","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title and abstract identify a randomized trial protocol and describe planned treatment and follow-up without participant results.","Protocol without participant results.","high","trial protocol","no","5","0","","past rectal surgery only","planned randomized trial only","planned EA","planned sham EA","planned balanced","planned separable comparison","no evidence of initiation within 24 hours; established LARS","planned only","no","no","yes","2026-07-27T07:33:01.368Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"89","115","Efficacy of Transcutaneous Electrical Acupoint Stimulation Applied During the Post-Anesthesia Recovery Period in Improving Postoperative Recovery Quality After Gynecological Laparoscopic Surgery: A Randomized Controlled Trial.","Zhou","2025","English","yes","YES","INCLUDE_ELIGIBLE","Elective gynecological laparoscopic surgical patients were randomized to 30 minutes of TEAS at LI4, PC6, ST36, and SP6 or sham during PACU recovery. Laparoscopy and post-anaesthesia recovery make general anaesthesia highly evident. Recovery, pain, PONV, ambulation, and adverse events were reported.","Clearly eligible immediate postoperative TEAS randomized trial.","high","journal article; primary participant-results report","yes","9","0","","highly evident from laparoscopic surgery and PACU recovery","yes","TEAS at LI4, PC6, ST36, and SP6","sham stimulation","yes","yes","yes; post-anaesthesia recovery in PACU","yes; recovery, pain, PONV, ambulation","no","no","yes","2026-07-27T07:33:04.688Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"90","117","[Effects of transcutaneous electrical acupoint stimulation at Neiguan (PC6) and Jianshi (PC5) on autonomic nervous function and inflammatory factors in frail elderly patients after surgery].","Zhang","2025","English","yes","YES","INCLUDE_ELIGIBLE","Frail elderly patients undergoing laparoscopic colorectal cancer surgery under explicitly stated general anaesthesia were randomized to TEAS at PC6 and PC5 from 30 minutes before induction through surgery or sham. Recovery quality and adverse reactions were reported.","Clearly eligible perioperative TEAS randomized trial.","high","journal article; primary participant-results report","yes","9","0","","yes; explicitly stated","yes","TEAS at PC6 and PC5","same electrodes without current","yes","yes","yes; 30 minutes before induction through surgery","yes; recovery and adverse reactions","no","no","yes","2026-07-27T07:33:05.342Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
