change_id,study,source_audit_batch,change_type,sheet,old_value_or_status,new_value_or_status,outcome_family,outcome_result,timepoint,intervention,comparator,source_pdf,drive_link,page,table_or_figure,reason,analysis_impact,primary_model_impact,rob2_action,resolved_or_hold
V34-00510,Lu 2022,1,ADDED,Outcome_Data,"{""excel_row"":510,""cells"":{""1"":null,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null,""7"":null,""8"":null,""9"":null,""10"":null,""11"":null,""12"":null,""18"":null,""24"":null,""25"":null,""26"":null,""27"":null,""28"":null,""31"":null,""32"":null,""33"":null,""34"":null,""35"":null,""36"":null,""37"":null,""38"":null,""39"":null,""40"":null,""41"":null,""42"":null,""43"":null,""44"":null,""45"":null,""52"":null,""53"":null,""54"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":510,""cells"":{""1"":""Lu 2022"",""2"":""V34_B1_127"",""3"":""TEAS"",""4"":""Control"",""5"":""PONV"",""6"":""PONV incidence"",""7"":""48 h after surgery"",""8"":""Events/total"",""9"":50.0,""10"":50.0,""11"":47.0,""12"":47.0,""18"":10.0,""24"":9.0,""25"":""participants"",""26"":""0.76"",""27"":""Yes"",""28"":""No"",""31"":""No"",""32"":""No"",""33"":""INCLUDE — Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""34"":""No (preserve trial strata where specified)"",""35"":""The paper reports these as PONV at each assessment time; it does not state that these are cumulative non-overlapping intervals."",""36"":""p. 2874; Table 3"",""37"":""https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk"",""38"":""SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread"",""39"":""AUDIT-0128"",""40"":128,""41"":""ADDED"",""42"":""NOT REPORTED"",""43"":""NOT REPORTED"",""44"":""NOT REPORTED"",""45"":""NOT REPORTED"",""52"":""Available-case"",""53"":""getfile.php-3.pdf"",""54"":""48 h after surgery: PONV, n (%) 10 ... 9 ... 0.76"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""PONV composite"",""59"":""TEAS"",""60"":""Sham"",""61"":""48h after surgery""}}",PONV,PONV incidence,48 h after surgery,TEAS,Control,getfile.php-3.pdf,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,p. 2874; Table 3,p. 2874; Table 3,Source-audit import with full raw statistics/provenance; no inferred quantities,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,INCLUDE
V34-00511,Lu 2022,1,ADDED,Outcome_Data,"{""excel_row"":511,""cells"":{""1"":null,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null,""7"":null,""8"":null,""9"":null,""10"":null,""11"":null,""12"":null,""18"":null,""24"":null,""25"":null,""26"":null,""27"":null,""28"":null,""31"":null,""32"":null,""33"":null,""34"":null,""35"":null,""36"":null,""37"":null,""38"":null,""39"":null,""40"":null,""41"":null,""42"":null,""43"":null,""44"":null,""45"":null,""52"":null,""53"":null,""54"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":511,""cells"":{""1"":""Lu 2022"",""2"":""V34_B1_128"",""3"":""TEAS"",""4"":""Control"",""5"":""PONV"",""6"":""PONV incidence"",""7"":""72 h after surgery"",""8"":""Events/total"",""9"":50.0,""10"":50.0,""11"":47.0,""12"":47.0,""18"":8.0,""24"":4.0,""25"":""participants"",""26"":""0.23"",""27"":""Yes"",""28"":""No"",""31"":""No"",""32"":""No"",""33"":""INCLUDE — Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""34"":""No (preserve trial strata where specified)"",""35"":""The paper reports these as PONV at each assessment time; it does not state that these are cumulative non-overlapping intervals."",""36"":""p. 2874; Table 3"",""37"":""https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk"",""38"":""SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread"",""39"":""AUDIT-0129"",""40"":129,""41"":""ADDED"",""42"":""NOT REPORTED"",""43"":""NOT REPORTED"",""44"":""NOT REPORTED"",""45"":""NOT REPORTED"",""52"":""Available-case"",""53"":""getfile.php-3.pdf"",""54"":""72 h after surgery: PONV, n (%) 8 ... 4 ... 0.23"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""PONV composite"",""59"":""TEAS"",""60"":""Sham"",""61"":""72h after surgery""}}",PONV,PONV incidence,72 h after surgery,TEAS,Control,getfile.php-3.pdf,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,p. 2874; Table 3,p. 2874; Table 3,Source-audit import with full raw statistics/provenance; no inferred quantities,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,INCLUDE
V34-00512,Lu 2022,1,AMBIGUOUS_HOLD,Outcome_Data,"{""excel_row"":512,""cells"":{""1"":null,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null,""7"":null,""8"":null,""9"":null,""10"":null,""11"":null,""12"":null,""15"":null,""21"":null,""25"":null,""26"":null,""27"":null,""28"":null,""31"":null,""32"":null,""33"":null,""34"":null,""35"":null,""36"":null,""37"":null,""38"":null,""39"":null,""40"":null,""41"":null,""42"":null,""43"":null,""44"":null,""45"":null,""46"":null,""47"":null,""48"":null,""49"":null,""52"":null,""53"":null,""54"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":512,""cells"":{""1"":""Lu 2022"",""2"":""V34_B1_129"",""3"":""TEAS"",""4"":""Control"",""5"":""Quality of recovery"",""6"":""QoR-15 score"",""7"":""24 h after surgery"",""8"":""Median/range"",""9"":50.0,""10"":50.0,""11"":47.0,""12"":47.0,""15"":54.5,""21"":59.0,""25"":""QoR-15 points"",""26"":""0.01"",""27"":""Yes"",""28"":""No"",""31"":""No"",""32"":""No"",""33"":""HOLD — Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC."",""34"":""No (preserve trial strata where specified)"",""35"":""Major internal conflict: Results prose reports 24-h QoR-15 as 50.5 (IQR 42.3–61.8) vs 44.5 (IQR 35.0–57.0), P=0.04, whereas Table 3 reports the values in this row and labels them median (min,max). Both locations should be preserved; this extraction uses the table per protocol."",""36"":""p. 2875; Table 3 (continued)"",""37"":""https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk"",""38"":""SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread"",""39"":""AUDIT-0130"",""40"":130,""41"":""AMBIGUOUS_HOLD"",""42"":""54.5"",""43"":""15.0, 92.0"",""44"":""59.0"",""45"":""27.0, 136.0"",""46"":15.0,""47"":92.0,""48"":27.0,""49"":136.0,""52"":""Available-case"",""53"":""getfile.php-3.pdf"",""54"":""24 h after surgery 54.5(15.0, 92.0) 59.0(27.0, 136.0) 0.01 /"",""55"":""HOLD"",""56"":""Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""QoR-15"",""59"":""TEAS"",""60"":""Sham"",""61"":""24 h point""}}",Quality of recovery,QoR-15 score,24 h after surgery,TEAS,Control,getfile.php-3.pdf,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,p. 2875; Table 3 (continued),p. 2875; Table 3 (continued),Source-audit import with full raw statistics/provenance; no inferred quantities,"Source definition, timepoint, denominator, scale, statistic, or post-randomization subset requires adjudication; see raw source/QC.",None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,HOLD
V34-00513,Lu 2022,1,NOT_ANALYSIS_ELIGIBLE,Outcome_Data,"{""excel_row"":513,""cells"":{""1"":null,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null,""7"":null,""8"":null,""9"":null,""10"":null,""11"":null,""12"":null,""15"":null,""21"":null,""25"":null,""26"":null,""27"":null,""28"":null,""31"":null,""32"":null,""33"":null,""34"":null,""35"":null,""36"":null,""37"":null,""38"":null,""39"":null,""40"":null,""41"":null,""42"":null,""43"":null,""44"":null,""45"":null,""46"":null,""47"":null,""48"":null,""49"":null,""52"":null,""53"":null,""54"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":513,""cells"":{""1"":""Lu 2022"",""2"":""V34_B1_130"",""3"":""TEAS"",""4"":""Control"",""5"":""Quality of recovery"",""6"":""QoR-15 score"",""7"":""48 h after surgery"",""8"":""Median/range"",""9"":50.0,""10"":50.0,""11"":47.0,""12"":47.0,""15"":59.0,""21"":62.0,""25"":""QoR-15 points"",""26"":""0.35"",""27"":""Yes"",""28"":""No"",""31"":""No"",""32"":""No"",""33"":""NARRATIVE ONLY — Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""34"":""No (preserve trial strata where specified)"",""35"":""Table header states median (min, max)."",""36"":""p. 2875; Table 3 (continued)"",""37"":""https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk"",""38"":""SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread"",""39"":""AUDIT-0131"",""40"":131,""41"":""NOT_ANALYSIS_ELIGIBLE"",""42"":""59.0"",""43"":""35.0, 104.0"",""44"":""62.0"",""45"":""0.0, 130.0"",""46"":35.0,""47"":104.0,""48"":0.0,""49"":130.0,""52"":""Available-case"",""53"":""getfile.php-3.pdf"",""54"":""48 h after surgery 59.0(35.0, 104.0) 62.0(0.0, 130.0) 0.35 /"",""55"":""NARRATIVE ONLY"",""56"":""Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""QoR-15"",""59"":""TEAS"",""60"":""Sham"",""61"":""48h after surgery""}}",Quality of recovery,QoR-15 score,48 h after surgery,TEAS,Control,getfile.php-3.pdf,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,p. 2875; Table 3 (continued),p. 2875; Table 3 (continued),Source-audit import with full raw statistics/provenance; no inferred quantities,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,NARRATIVE ONLY
V34-00514,Lu 2022,1,NOT_ANALYSIS_ELIGIBLE,Outcome_Data,"{""excel_row"":514,""cells"":{""1"":null,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null,""7"":null,""8"":null,""9"":null,""10"":null,""11"":null,""12"":null,""15"":null,""21"":null,""25"":null,""26"":null,""27"":null,""28"":null,""31"":null,""32"":null,""33"":null,""34"":null,""35"":null,""36"":null,""37"":null,""38"":null,""39"":null,""40"":null,""41"":null,""42"":null,""43"":null,""44"":null,""45"":null,""46"":null,""47"":null,""48"":null,""49"":null,""52"":null,""53"":null,""54"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":514,""cells"":{""1"":""Lu 2022"",""2"":""V34_B1_131"",""3"":""TEAS"",""4"":""Control"",""5"":""Quality of recovery"",""6"":""QoR-15 score"",""7"":""72 h after surgery"",""8"":""Median/range"",""9"":50.0,""10"":50.0,""11"":47.0,""12"":47.0,""15"":67.0,""21"":67.0,""25"":""QoR-15 points"",""26"":""0.75"",""27"":""Yes"",""28"":""No"",""31"":""No"",""32"":""No"",""33"":""NARRATIVE ONLY — Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""34"":""No (preserve trial strata where specified)"",""35"":""Table header states median (min, max)."",""36"":""p. 2875; Table 3 (continued)"",""37"":""https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk"",""38"":""SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread"",""39"":""AUDIT-0132"",""40"":132,""41"":""NOT_ANALYSIS_ELIGIBLE"",""42"":""67.0"",""43"":""31.0, 113.0"",""44"":""67.0"",""45"":""11.0, 136.0"",""46"":31.0,""47"":113.0,""48"":11.0,""49"":136.0,""52"":""Available-case"",""53"":""getfile.php-3.pdf"",""54"":""72 h after surgery 67.0(31.0, 113.0) 67.0(11.0, 136.0) 0.75 /"",""55"":""NARRATIVE ONLY"",""56"":""Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""QoR-15"",""59"":""TEAS"",""60"":""Sham"",""61"":""72h after surgery""}}",Quality of recovery,QoR-15 score,72 h after surgery,TEAS,Control,getfile.php-3.pdf,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,p. 2875; Table 3 (continued),p. 2875; Table 3 (continued),Source-audit import with full raw statistics/provenance; no inferred quantities,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,NARRATIVE ONLY
V34-00515,Lu 2022,1,NOT_ANALYSIS_ELIGIBLE,Outcome_Data,"{""excel_row"":515,""cells"":{""1"":null,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null,""7"":null,""8"":null,""9"":null,""10"":null,""11"":null,""12"":null,""15"":null,""21"":null,""25"":null,""26"":null,""27"":null,""28"":null,""31"":null,""32"":null,""33"":null,""34"":null,""35"":null,""36"":null,""37"":null,""38"":null,""39"":null,""40"":null,""41"":null,""42"":null,""43"":null,""44"":null,""45"":null,""46"":null,""47"":null,""48"":null,""49"":null,""52"":null,""53"":null,""54"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":515,""cells"":{""1"":""Lu 2022"",""2"":""V34_B1_132"",""3"":""TEAS"",""4"":""Control"",""5"":""Opioid demand"",""6"":""PCA attempts"",""7"":""48 h after surgery"",""8"":""Median/range"",""9"":50.0,""10"":50.0,""11"":47.0,""12"":47.0,""15"":13.0,""21"":26.0,""25"":""PCA attempts"",""26"":""0.002"",""27"":""Yes"",""28"":""No"",""31"":""No"",""32"":""No"",""33"":""NARRATIVE ONLY — Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""34"":""No (preserve trial strata where specified)"",""35"":""Counts of button attempts; not opioid dose."",""36"":""p. 2874; Table 3"",""37"":""https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk"",""38"":""SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread"",""39"":""AUDIT-0133"",""40"":133,""41"":""NOT_ANALYSIS_ELIGIBLE"",""42"":""13.0"",""43"":""5.0, 22.0"",""44"":""26.0"",""45"":""11.5, 45.5"",""46"":5.0,""47"":22.0,""48"":11.5,""49"":45.5,""52"":""Available-case"",""53"":""getfile.php-3.pdf"",""54"":""48 h after surgery: PCA attempts 13.0(5.0, 22.0) 26.0(11.5, 45.5) 0.002"",""55"":""NARRATIVE ONLY"",""56"":""Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""PCA/PCIA button presses"",""59"":""TEAS"",""60"":""Sham"",""61"":""48h after surgery""}}",Opioid demand,PCA attempts,48 h after surgery,TEAS,Control,getfile.php-3.pdf,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,p. 2874; Table 3,p. 2874; Table 3,Source-audit import with full raw statistics/provenance; no inferred quantities,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,NARRATIVE ONLY
V34-00516,Lu 2022,1,NOT_ANALYSIS_ELIGIBLE,Outcome_Data,"{""excel_row"":516,""cells"":{""1"":null,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null,""7"":null,""8"":null,""9"":null,""10"":null,""11"":null,""12"":null,""15"":null,""21"":null,""25"":null,""26"":null,""27"":null,""28"":null,""31"":null,""32"":null,""33"":null,""34"":null,""35"":null,""36"":null,""37"":null,""38"":null,""39"":null,""40"":null,""41"":null,""42"":null,""43"":null,""44"":null,""45"":null,""46"":null,""47"":null,""48"":null,""49"":null,""52"":null,""53"":null,""54"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":516,""cells"":{""1"":""Lu 2022"",""2"":""V34_B1_133"",""3"":""TEAS"",""4"":""Control"",""5"":""Opioid demand"",""6"":""Successful PCA deliveries"",""7"":""48 h after surgery"",""8"":""Median/range"",""9"":50.0,""10"":50.0,""11"":47.0,""12"":47.0,""15"":7.0,""21"":16.5,""25"":""PCA deliveries"",""26"":""0.001"",""27"":""Yes"",""28"":""No"",""31"":""No"",""32"":""No"",""33"":""NARRATIVE ONLY — Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""34"":""No (preserve trial strata where specified)"",""35"":""Number of PCA deliveries; not opioid dose."",""36"":""p. 2874; Table 3"",""37"":""https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk"",""38"":""SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread"",""39"":""AUDIT-0134"",""40"":134,""41"":""NOT_ANALYSIS_ELIGIBLE"",""42"":""7.0"",""43"":""3.0, 14.0"",""44"":""16.5"",""45"":""8.0, 35.0"",""46"":3.0,""47"":14.0,""48"":8.0,""49"":35.0,""52"":""Available-case"",""53"":""getfile.php-3.pdf"",""54"":""48 h after surgery: PCA deliveries 7.0(3.0, 14.0) 16.5(8.0, 35.0) 0.001"",""55"":""NARRATIVE ONLY"",""56"":""Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""PCA deliveries / bolus count"",""59"":""TEAS"",""60"":""Sham"",""61"":""48h after surgery""}}",Opioid demand,Successful PCA deliveries,48 h after surgery,TEAS,Control,getfile.php-3.pdf,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,p. 2874; Table 3,p. 2874; Table 3,Source-audit import with full raw statistics/provenance; no inferred quantities,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,NARRATIVE ONLY
V34-00517,Lu 2022,1,NOT_ANALYSIS_ELIGIBLE,Outcome_Data,"{""excel_row"":517,""cells"":{""1"":null,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null,""7"":null,""8"":null,""9"":null,""10"":null,""11"":null,""12"":null,""15"":null,""21"":null,""25"":null,""26"":null,""27"":null,""28"":null,""31"":null,""32"":null,""33"":null,""34"":null,""35"":null,""36"":null,""37"":null,""38"":null,""39"":null,""40"":null,""41"":null,""42"":null,""43"":null,""44"":null,""45"":null,""46"":null,""47"":null,""48"":null,""49"":null,""52"":null,""53"":null,""54"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":517,""cells"":{""1"":""Lu 2022"",""2"":""V34_B1_134"",""3"":""TEAS"",""4"":""Control"",""5"":""Opioid demand"",""6"":""PCA attempts"",""7"":""72 h after surgery"",""8"":""Median/range"",""9"":50.0,""10"":50.0,""11"":47.0,""12"":47.0,""15"":13.0,""21"":24.5,""25"":""PCA attempts"",""26"":""0.002"",""27"":""Yes"",""28"":""No"",""31"":""No"",""32"":""No"",""33"":""NARRATIVE ONLY — Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""34"":""No (preserve trial strata where specified)"",""35"":""Counts of button attempts; not opioid dose."",""36"":""p. 2874; Table 3"",""37"":""https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk"",""38"":""SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread"",""39"":""AUDIT-0135"",""40"":135,""41"":""NOT_ANALYSIS_ELIGIBLE"",""42"":""13.0"",""43"":""5.0, 24.0"",""44"":""24.5"",""45"":""13.0, 46.0"",""46"":5.0,""47"":24.0,""48"":13.0,""49"":46.0,""52"":""Available-case"",""53"":""getfile.php-3.pdf"",""54"":""72 h after surgery: PCA attempts 13.0(5.0, 24.0) 24.5(13.0, 46.0) 0.002"",""55"":""NARRATIVE ONLY"",""56"":""Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""PCA/PCIA button presses"",""59"":""TEAS"",""60"":""Sham"",""61"":""72h after surgery""}}",Opioid demand,PCA attempts,72 h after surgery,TEAS,Control,getfile.php-3.pdf,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,p. 2874; Table 3,p. 2874; Table 3,Source-audit import with full raw statistics/provenance; no inferred quantities,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,NARRATIVE ONLY
V34-00518,Lu 2022,1,NOT_ANALYSIS_ELIGIBLE,Outcome_Data,"{""excel_row"":518,""cells"":{""1"":null,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null,""7"":null,""8"":null,""9"":null,""10"":null,""11"":null,""12"":null,""15"":null,""21"":null,""25"":null,""26"":null,""27"":null,""28"":null,""31"":null,""32"":null,""33"":null,""34"":null,""35"":null,""36"":null,""37"":null,""38"":null,""39"":null,""40"":null,""41"":null,""42"":null,""43"":null,""44"":null,""45"":null,""46"":null,""47"":null,""48"":null,""49"":null,""52"":null,""53"":null,""54"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":518,""cells"":{""1"":""Lu 2022"",""2"":""V34_B1_135"",""3"":""TEAS"",""4"":""Control"",""5"":""Opioid demand"",""6"":""Successful PCA deliveries"",""7"":""72 h after surgery"",""8"":""Median/range"",""9"":50.0,""10"":50.0,""11"":47.0,""12"":47.0,""15"":7.0,""21"":16.5,""25"":""PCA deliveries"",""26"":""0.003"",""27"":""Yes"",""28"":""No"",""31"":""No"",""32"":""No"",""33"":""NARRATIVE ONLY — Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""34"":""No (preserve trial strata where specified)"",""35"":""Number of PCA deliveries; not opioid dose."",""36"":""p. 2874; Table 3"",""37"":""https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk"",""38"":""SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread"",""39"":""AUDIT-0136"",""40"":136,""41"":""NOT_ANALYSIS_ELIGIBLE"",""42"":""7.0"",""43"":""3.0, 20.0"",""44"":""16.5"",""45"":""10.0, 36.0"",""46"":3.0,""47"":20.0,""48"":10.0,""49"":36.0,""52"":""Available-case"",""53"":""getfile.php-3.pdf"",""54"":""72 h after surgery: PCA deliveries 7.0(3.0, 20.0) 16.5(10.0, 36.0) 0.003"",""55"":""NARRATIVE ONLY"",""56"":""Median and original dispersion preserved; no mean/SD conversion or MD pooling."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""PCA deliveries / bolus count"",""59"":""TEAS"",""60"":""Sham"",""61"":""72h after surgery""}}",Opioid demand,Successful PCA deliveries,72 h after surgery,TEAS,Control,getfile.php-3.pdf,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,p. 2874; Table 3,p. 2874; Table 3,Source-audit import with full raw statistics/provenance; no inferred quantities,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,NARRATIVE ONLY
V34-00519,Lu 2022,1,ADDED,Outcome_Data,"{""excel_row"":519,""cells"":{""1"":null,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null,""7"":null,""8"":null,""9"":null,""10"":null,""11"":null,""12"":null,""13"":null,""14"":null,""19"":null,""20"":null,""25"":null,""26"":null,""27"":null,""28"":null,""31"":null,""32"":null,""33"":null,""34"":null,""35"":null,""36"":null,""37"":null,""38"":null,""39"":null,""40"":null,""41"":null,""42"":null,""43"":null,""44"":null,""45"":null,""52"":null,""53"":null,""54"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":519,""cells"":{""1"":""Lu 2022"",""2"":""V34_B1_136"",""3"":""TEAS"",""4"":""Control"",""5"":""Functional recovery"",""6"":""Time to first oral intake of water"",""7"":""Postoperative"",""8"":""Mean/SD"",""9"":50.0,""10"":50.0,""11"":47.0,""12"":47.0,""13"":33.5,""14"":22.3,""19"":28.9,""20"":17.5,""25"":""hours"",""26"":""0.28"",""27"":""Yes"",""28"":""No"",""31"":""No"",""32"":""No"",""33"":""INCLUDE — Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""34"":""No (preserve trial strata where specified)"",""35"":""NOT REPORTED"",""36"":""p. 2874; Table 3"",""37"":""https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk"",""38"":""SOURCE-AUDIT RECONCILED; supplied audit, no independent PDF reread"",""39"":""AUDIT-0137"",""40"":137,""41"":""ADDED"",""42"":""33.5"",""43"":""22.3"",""44"":""28.9"",""45"":""17.5"",""52"":""Available-case"",""53"":""getfile.php-3.pdf"",""54"":""Time to first oral intake of water, h 33.5±22.3 28.9±17.5 0.28 /"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""GI — oral intake"",""59"":""TEAS"",""60"":""Sham"",""61"":""postoperative""}}",Functional recovery,Time to first oral intake of water,Postoperative,TEAS,Control,getfile.php-3.pdf,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,p. 2874; Table 3,p. 2874; Table 3,Source-audit import with full raw statistics/provenance; no inferred quantities,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,INCLUDE
