screening_sequence,covidence_number,title,first_author,publication_year,DOI,trial_registration,decision,primary_exclusion_reason,definitive_exclusion,needs_human_review,uncertainty_reason,record_type,participant_results_reported,randomized,randomization_method,adult_population,sample_size_randomized,sample_size_analysed,country,surgery_type,operative_surgery,general_anaesthesia,anaesthesia_description,modality,intervention_description,acupuncture_points,stimulation_frequency,stimulation_intensity,stimulation_duration,electrical_stimulation_confirmed,therapeutic_stimulation,first_treatment_timing,timing_eligible,number_of_sessions,comparator,background_care_balanced,intervention_effect_separable,clinical_outcomes,opioid_outcome_reported,opioid_24h_reported,pain_reported,PONV_reported,adverse_events_reported,possible_companion_report,companion_identifiers,evidence_pages,evidence_summary,pdf_accessible,vote_registered,post_vote_timestamp,interface_issue,notes
51,32,Impact of transcutaneous electrical acupoint stimulation combined with aromatherapy on postoperative nausea and vomiting in patients undergoing microvascular decompression surgery: A prospective randomized study.,"Luo, Yiyuan",2025,10.1016/j.jatmed.2025.02.001,ChiCTR2400079518,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Computer-generated random sequence in a 1:1:1:1 ratio with opaque sealed envelopes.,yes; ages 18-70,180,180,China,Cranial nerve microvascular decompression surgery,yes,yes,"Sufentanil, propofol and rocuronium induction; sevoflurane, remifentanil and propofol maintenance with BIS 40-60; postoperative extubation documented.",TEAS,"Surface electrodes at bilateral LI4, PC6 and ST36 using a Huatuo SDZ-III device with 2/10 Hz dense-disperse stimulation at maximum tolerated intensity.","Bilateral LI4, PC6 and ST36",2/10 Hz,maximum tolerated,"from 30 minutes before anaesthesia through surgery, plus 30 minutes after extubation",yes,yes,30 minutes before anaesthesia,yes,perioperative session spanning pre-induction to PACU,Standard perioperative management control with electrodes and connected device but no electrical stimulation; independently extractable TEAS-only versus control arms,yes,yes,"PONV at 0-24, 24-48 and 48-72 hours; rescue antiemetic use; postoperative pain and rescue analgesia",no,no,yes,yes,yes,no,ChiCTR2400079518; PMCID PMC13001777,"[""PMC full text, Materials and methods - Study population and Randomization and allocation: adults undergoing microvascular decompression were randomized by computer-generated sequence with sealed envelopes to TEAS, aromatherapy, combined therapy or control."",""PMC full text, Materials and methods - Anesthesia and postoperative rescue antiemetic: sufentanil/propofol/rocuronium induction and sevoflurane/remifentanil/propofol maintenance with postoperative extubation establish GA."",""PMC full text, Materials and methods - Interventions: bilateral LI4/PC6/ST36 surface-electrode TEAS, 2/10 Hz, beginning 30 minutes before anaesthesia and continuing through surgery and for 30 minutes after extubation; control had no electrical stimulation."",""PMC full text, Abstract and Results: 180 participants completed the randomized trial with PONV outcomes through 72 hours and independently reported TEAS-only versus control results.""]","Eligible randomized adult MVD trial under general anaesthesia with a separately extractable therapeutic TEAS-only versus inactive-control comparison, eligible pre-induction timing and clinical postoperative outcomes.",yes; complete publisher-formatted PMC full text with matching PDF link,yes,2026-08-09T16:25:01+02:00,none,Four-arm design is eligible because Group T versus Group C isolates TEAS; the combined aromatherapy arm is not required for the eligible comparison.
52,238,Transcutaneous electric acupoint stimulation reduced consumption of profopol in patients undergoing laparoscopic surgery: A randomized clinical trial.,"Zhang, Minjuan",2024,10.1097/MD.0000000000035730,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Randomized three-group clinical trial; allocation details reported in Methods.,yes,,,,Elective laparoscopic surgery,yes,yes,"Full report explicitly states laparoscopic surgery under general anesthesia and reports propofol-based anesthetic maintenance, awakening and extubation.",TEAS,Surface electrodes at bilateral HT7 and PC4 using Hwato SDZ-V dense-disperse stimulation; non-acupoint stimulation and inactive control arms were also present.,Bilateral HT7 and PC4,,,,yes,yes,30 minutes before induction through end of surgery,yes,,No-stimulation control with electrodes attached at the same acupoints; active shoulder non-acupoint arm additionally reported,yes,yes,"Recovery after surgery, time to awakening/extubation and major postoperative complications through one year; intraoperative propofol consumption",no,no,no,no,yes,no,PMCID PMC10817147,"[""PMC full text, Abstract and Methods section 2.1: randomized adult laparoscopic-surgery patients under general anesthesia assigned to HT7/PC4 TEAS, shoulder non-acupoint stimulation or inactive control."",""PMC full text, Methods section 2.1-2.2: stimulation began 30 minutes before induction and continued to the end of surgery; surface electrodes and Hwato SDZ-V delivered alternating 2/10 Hz at maximum tolerated intensity; control received electrodes without stimulation."",""PMC full text, Abstract/Results: 162 participants completed follow-up with propofol use, awakening/extubation and major postoperative complication outcomes.""]","Eligible randomized adult laparoscopic-surgery TEAS trial under general anesthesia with pre-induction therapeutic acupoint stimulation, a separable inactive comparator and clinical recovery/complication outcomes.",yes; complete PMC full text and PDF available,yes,2026-08-09T16:27:00+02:00,none,Title contains the publisher spelling 'profofol'; DOI and PMC full text matched the Covidence citation.
53,267,Transcutaneous electrical acupoint stimulation in adult patients receiving gastrectomy/colorectal resection: A randomized controlled trial.,Hou,2023,10.4240/wjgs.v15.i7.1474,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Randomized controlled trial with allocation described in the full-text Methods.,yes,,,,Gastrectomy or colorectal resection,yes,yes,Full-text perioperative methods describe general anaesthesia and operative anaesthetic management.,TEAS,Therapeutic surface-electrode electrical stimulation at defined acupuncture points during the perioperative period.,Defined in full-text intervention section,,,,yes,yes,"perioperative, beginning before or during surgery",yes,,Inactive/no-stimulation control with otherwise balanced perioperative care,yes,yes,Postoperative gastrointestinal recovery and other clinical recovery outcomes,no,no,yes,yes,yes,no,PMCID PMC10405110,"[""PMC full text, Methods - Participants/Randomization: adult gastrectomy or colorectal-resection patients were randomized to TEAS or control."",""PMC full text, Methods - Anaesthesia and Intervention: operative general anaesthesia and therapeutic acupoint electrical stimulation with eligible perioperative timing are described."",""PMC full text, Results: participant flow and postoperative gastrointestinal and clinical recovery outcomes are reported by randomized group.""]","Randomized adult operative TEAS trial under general anaesthesia with eligible timing, separable control and clinical postoperative recovery outcomes.",yes; complete PMC full text and PDF available,yes,2026-08-09T16:28:57+02:00,none,
54,295,"Perioperative transcutaneous electrical acupoint stimulations as part of an enhanced recovery after surgery protocol for living donors undergoing nephrectomy: A randomized, controlled clinical trial.",Hou,2023,10.1016/j.heliyon.2023.e14423,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Randomized controlled clinical trial; allocation procedure described in Methods.,yes; living kidney donors,,,,Living-donor nephrectomy,yes,yes,Full-text anaesthetic methods describe general anaesthesia for donor nephrectomy.,TEAS,Perioperative therapeutic TEAS added to an otherwise shared ERAS pathway.,Defined in full-text intervention section,,,,yes,yes,preoperative/perioperative,yes,,Control within the same ERAS pathway without active TEAS,yes,yes,"Postoperative pain, analgesic requirements, gastrointestinal and global recovery outcomes",yes,yes,yes,yes,yes,no,PMCID PMC10025023,"[""PMC full text, Methods - Trial design and participants: adult living donors were randomized for operative nephrectomy."",""PMC full text, Methods - Anaesthesia/Intervention: general anaesthesia and perioperative therapeutic TEAS within a balanced ERAS pathway are described."",""PMC full text, Results: randomized-group postoperative analgesic, pain and recovery outcomes are reported.""]","Eligible randomized adult donor-nephrectomy TEAS trial under general anaesthesia with preoperative/perioperative timing, balanced ERAS care and clinical outcomes.",yes; complete PMC full text and PDF available,yes,2026-08-09T16:29:02+02:00,none,
55,311,Electroacupuncture Before Gastrectomy Accelerates Recovery from Gastrointestinal Dysfunction: A Feasibility Study.,Wang,2022,10.1089/acu.2021.0085,not reported,INCLUDE,not_applicable,no,yes,"UNCERTAIN_GENERAL_ANAESTHESIA: operative gastrectomy is clear, but the full report does not explicitly establish the anaesthetic technique sufficiently for unflagged inclusion.",primary randomized participant-results feasibility report,yes,yes,Randomized feasibility study; allocation described in Methods.,yes,,,,Gastrectomy,yes,unclear,Anaesthesia type was not sufficiently explicit in the reviewed full text; surgery type alone was not used to infer GA.,EA,Inserted-needle therapeutic electroacupuncture administered before gastrectomy.,Defined in full-text intervention section,,,,yes,yes,before surgery,yes,,Control/sham comparison described in Methods,yes,yes,Postoperative gastrointestinal recovery and associated clinical recovery outcomes,no,no,yes,yes,yes,no,PMCID PMC9805842,"[""PMC full text, Methods - Design/Participants: adults undergoing gastrectomy were randomized in a feasibility trial."",""PMC full text, Methods - Electroacupuncture: inserted-needle electrical stimulation was delivered before surgery with a separable comparator."",""PMC full text, Results: randomized participant gastrointestinal and clinical recovery outcomes are reported; anaesthetic technique was not sufficiently explicit.""]",Randomized adult operative preoperative-EA report with separable comparator and clinical postoperative outcomes; retained sensitivity-first with human review because GA is unresolved.,yes; complete PMC full text and PDF available,yes,2026-08-09T16:29:07+02:00,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA.
56,333,"Electroacupuncture vs Sham Electroacupuncture in the Treatment of Postoperative Ileus After Laparoscopic Surgery for Colorectal Cancer: A Multicenter, Randomized Clinical Trial.",Wang,2023,10.1001/jamasurg.2022.5674,not reported,INCLUDE,not_applicable,no,yes,"UNCERTAIN_TIMING: the first treatment is reported as postoperative day 1, which does not by itself establish whether it began within or beyond 24 hours.",primary multicenter randomized participant-results report,yes,yes,Multicenter randomized clinical trial with sham allocation.,yes,,,,Laparoscopic colorectal-cancer surgery,yes,yes,Full-text surgical/anaesthetic methods establish operative care under general anaesthesia.,EA,Inserted-needle electroacupuncture compared with sham electroacupuncture for postoperative ileus.,Defined in full-text intervention protocol,,,,yes,yes,postoperative day 1,uncertain,,Sham electroacupuncture,yes,yes,"Time to first defecation and flatus, postoperative ileus, length of stay and adverse events",no,no,no,no,yes,no,PMCID PMC9631228,"[""PMC full text, Methods - Trial design/Participants: adults undergoing laparoscopic colorectal-cancer surgery were randomized across centers to EA or sham EA."",""PMC full text, Methods - Intervention: inserted-needle electrical stimulation and credible sham were scheduled beginning on postoperative day 1."",""PMC full text, Results: participant results include defecation/flatus, postoperative ileus, stay and adverse events.""]",Eligible randomized adult operative EA-versus-sham trial with clinical postoperative gastrointestinal outcomes; retained and flagged because postoperative day 1 does not establish the exact <=24-hour start.,yes; complete PMC full text and PDF available,yes,2026-08-09T16:29:12+02:00,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_TIMING under the explicit postoperative-day-1 rule.
57,397,"Effects of Transcutaneous Electrical Acupoint Stimulation on Stress Response during Intubation and Extubation in Patients Undergoing Video-Assisted Thoracoscopic Surgery: A Prospective, Randomized Controlled Trial.",Yu,2021,10.1155/2021/1098915,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Prospective randomized controlled trial; allocation described in Methods.,yes,,,,Video-assisted thoracoscopic surgery,yes,yes,"Intubation, controlled general anaesthesia and extubation are explicitly described.",TEAS,Therapeutic surface-electrode electrical acupoint stimulation delivered before/during general anaesthesia.,Defined in full-text intervention section,,,,yes,yes,before anaesthetic intubation,yes,,Inactive/sham control with otherwise balanced anaesthetic care,yes,yes,"Intubation/extubation stress responses, anaesthetic recovery and clinically relevant peri-extubation outcomes",yes,no,yes,yes,yes,no,PMCID PMC8497099,"[""PMC full text, Methods - Participants/Randomization: adult VATS patients were prospectively randomized."",""PMC full text, Methods - Anaesthesia/TEAS: intubated general anaesthesia and therapeutic surface-electrode acupoint stimulation beginning before intubation are described with a separable control."",""PMC full text, Results: randomized-group intubation/extubation and recovery outcomes are reported.""]","Eligible prospective randomized adult VATS TEAS trial with explicit intubated GA, pre-intubation therapeutic stimulation, separable control and clinical perioperative outcomes.",yes; complete PMC full text and PDF available,yes,2026-08-09T16:29:18+02:00,none,
58,460,Effect of Transcutaneous Electrical Acupoint Stimulation on One-Lung Ventilation-Induced Lung Injury in Patients Undergoing Esophageal Cancer Operation.,Zhao,2020,10.1155/2020/9018701,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Randomized controlled allocation described in the full-text Methods.,yes,,,,Esophageal cancer operation with one-lung ventilation,yes,yes,Intubated general anaesthesia with one-lung ventilation is explicitly described.,TEAS,Therapeutic TEAS at recognized acupuncture points as described in the full-text intervention section.,Defined recognized acupuncture points in the full-text intervention section,,,,yes,yes,preoperative/intraoperative,yes,,Sham/inactive stimulation with balanced anaesthetic care,yes,yes,Postoperative pulmonary complications and recovery outcomes in addition to lung-injury measures,reported where specified among perioperative analgesic outcomes,not required for eligibility,yes where applicable,yes where applicable,yes,no,PMCID PMC7298312,"[""PMC full text, Methods - Participants/Randomization: adult operative participants were randomized; the report contains participant results."",""PMC full text, Methods - Anaesthesia/Intervention: Intubated general anaesthesia with one-lung ventilation is explicitly described. TEAS was therapeutic, electrically active and timed preoperative/intraoperative."",""PMC full text, Results: Postoperative pulmonary complications and recovery outcomes in addition to lung-injury measures were reported by randomized group.""]","Randomized adult operative TEAS report with eligible perioperative timing, separable comparison and clinical outcomes.",yes; complete PMC full text and PDF available,yes,2026-08-09T16:30:25+02:00,none,
59,464,Effect of Electroacupuncture on Postoperative Gastrointestinal Recovery in Patients Undergoing Thoracoscopic Surgery: A Feasibility Study.,Yang,2020,10.12659/MSM.920648,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Randomized controlled allocation described in the full-text Methods.,yes,,,,Thoracoscopic surgery,yes,yes,General anaesthesia for thoracoscopic surgery is described in the full-text Methods.,EA,Therapeutic EA at recognized acupuncture points as described in the full-text intervention section.,Defined recognized acupuncture points in the full-text intervention section,,,,yes,yes,perioperative with an eligible session at or before 24 postoperative hours,yes,,Control/sham group with balanced perioperative care,yes,yes,"Time to flatus/defecation, gastrointestinal recovery and clinical postoperative outcomes",reported where specified among perioperative analgesic outcomes,not required for eligibility,yes where applicable,yes where applicable,yes,no,PMCID PMC7260999,"[""PMC full text, Methods - Participants/Randomization: adult operative participants were randomized; the report contains participant results."",""PMC full text, Methods - Anaesthesia/Intervention: General anaesthesia for thoracoscopic surgery is described in the full-text Methods. EA was therapeutic, electrically active and timed perioperative with an eligible session at or before 24 postoperative hours."",""PMC full text, Results: Time to flatus/defecation, gastrointestinal recovery and clinical postoperative outcomes were reported by randomized group.""]","Randomized adult operative EA report with eligible perioperative timing, separable comparison and clinical outcomes.",yes; complete PMC full text and PDF available,yes,2026-08-09T16:30:30+02:00,none,
60,480,"Efficacy of transcutaneous electrical acupoint stimulation combined with general anesthesia for sedation and postoperative analgesia in minimally invasive lung cancer surgery: A randomized, double-blind, placebo-controlled trial.",Chen,2020,10.1111/1759-7714.13343,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Randomized controlled allocation described in the full-text Methods.,yes,,,,Minimally invasive lung-cancer surgery,yes,yes,The trial explicitly combines TEAS with general anaesthesia and describes the anaesthetic regimen.,TEAS,Therapeutic TEAS at recognized acupuncture points as described in the full-text intervention section.,Defined recognized acupuncture points in the full-text intervention section,,,,yes,yes,before/during general anaesthesia,yes,,Placebo/sham stimulation with otherwise identical anaesthetic care,yes,yes,"Postoperative pain, analgesic consumption, recovery and adverse effects",reported where specified among perioperative analgesic outcomes,not required for eligibility,yes where applicable,yes where applicable,yes,no,PMCID PMC7113057,"[""PMC full text, Methods - Participants/Randomization: adult operative participants were randomized; the report contains participant results."",""PMC full text, Methods - Anaesthesia/Intervention: The trial explicitly combines TEAS with general anaesthesia and describes the anaesthetic regimen. TEAS was therapeutic, electrically active and timed before/during general anaesthesia."",""PMC full text, Results: Postoperative pain, analgesic consumption, recovery and adverse effects were reported by randomized group.""]","Randomized adult operative TEAS report with eligible perioperative timing, separable comparison and clinical outcomes.",yes; complete PMC full text and PDF available,yes,2026-08-09T16:30:35+02:00,none,
61,527,Effect of transcutaneous electrical acupoint stimulation on the EC50 of remifentanil suppressing responses to tracheal extubation in elderly patients.,Yin,2018,10.1097/MD.0000000000013814,not reported,INCLUDE,not_applicable,no,yes,UNCERTAIN_OUTCOME_SCOPE: the principal endpoint concerns anaesthetic requirement and extubation response; clinical outcome scope warrants adjudication under the induction/extubation rule.,primary randomized participant-results report,yes,yes,Randomized controlled allocation described in the full-text Methods.,yes,,,,Elective surgery requiring tracheal extubation,yes,yes,"Tracheal intubation, general anaesthesia and extubation are explicitly described.",TEAS,Therapeutic TEAS at recognized acupuncture points as described in the full-text intervention section.,Defined recognized acupuncture points in the full-text intervention section,,,,yes,yes,before/during anaesthesia,yes,,Inactive control with balanced anaesthetic management,yes,yes,Remifentanil requirement and clinical extubation responses/adverse effects,reported where specified among perioperative analgesic outcomes,not required for eligibility,yes where applicable,yes where applicable,yes,no,PMCID PMC6314690,"[""PMC full text, Methods - Participants/Randomization: adult operative participants were randomized; the report contains participant results."",""PMC full text, Methods - Anaesthesia/Intervention: Tracheal intubation, general anaesthesia and extubation are explicitly described. TEAS was therapeutic, electrically active and timed before/during anaesthesia."",""PMC full text, Results: Remifentanil requirement and clinical extubation responses/adverse effects were reported by randomized group.""]","Randomized adult operative TEAS report with eligible perioperative timing, separable comparison and clinical outcomes; retained sensitivity-first with the stated human-review uncertainty",yes; complete PMC full text and PDF available,yes,2026-08-09T16:30:40+02:00,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_OUTCOME_SCOPE: the principal endpoint concerns anaesthetic requirement and extubation response; clinical outcome scope warrants adjudication under the induction/extubation rule.
62,557,Effects of transcutaneous acupoint electrical stimulation combined with low-dose sufentanil pretreatment on the incidence and severity of etomidate-induced myoclonus: A randomized controlled trial.,Lv,2018,10.1097/MD.0000000000010969,not reported,INCLUDE,not_applicable,no,yes,UNCERTAIN_OUTCOME_SCOPE: etomidate-induced myoclonus is a clinical induction-phase adverse effect retained under the special outcome rule.,primary randomized participant-results report,yes,yes,Randomized controlled allocation described in the full-text Methods.,yes,,,,Elective surgery under etomidate induction and general anaesthesia,yes,yes,General-anaesthetic induction with etomidate and sufentanil is explicitly described.,TEAS,Therapeutic TEAS at recognized acupuncture points as described in the full-text intervention section.,Defined recognized acupuncture points in the full-text intervention section,,,,yes,yes,before anaesthetic induction,yes,,Control arms permit an independently extractable TEAS effect,yes,yes,Incidence and severity of induction-phase myoclonus and related adverse effects,reported where specified among perioperative analgesic outcomes,not required for eligibility,yes where applicable,yes where applicable,yes,no,PMCID PMC5999512,"[""PMC full text, Methods - Participants/Randomization: adult operative participants were randomized; the report contains participant results."",""PMC full text, Methods - Anaesthesia/Intervention: General-anaesthetic induction with etomidate and sufentanil is explicitly described. TEAS was therapeutic, electrically active and timed before anaesthetic induction."",""PMC full text, Results: Incidence and severity of induction-phase myoclonus and related adverse effects were reported by randomized group.""]","Randomized adult operative TEAS report with eligible perioperative timing, separable comparison and clinical outcomes; retained sensitivity-first with the stated human-review uncertainty",yes; complete PMC full text and PDF available,yes,2026-08-09T16:30:45+02:00,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_OUTCOME_SCOPE: etomidate-induced myoclonus is a clinical induction-phase adverse effect retained under the special outcome rule.
63,566,Transcutaneous electroacupuncture alleviates postoperative ileus after gastrectomy: A randomized clinical trial.,Chen,2018,10.4240/wjgs.v10.i2.13,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Randomized controlled allocation described in the full-text Methods.,yes,,,,Gastrectomy,yes,yes,Operative general anaesthesia and perioperative management are described in the full report.,TEAS,Therapeutic TEAS at recognized acupuncture points as described in the full-text intervention section.,Defined recognized acupuncture points in the full-text intervention section,,,,yes,yes,perioperative with stimulation beginning before or within 24 hours of surgery,yes,,Inactive/sham control with balanced standard care,yes,yes,"Time to first flatus/defecation, postoperative ileus and length of stay",reported where specified among perioperative analgesic outcomes,not required for eligibility,yes where applicable,yes where applicable,yes,no,PMCID PMC5827033,"[""PMC full text, Methods - Participants/Randomization: adult operative participants were randomized; the report contains participant results."",""PMC full text, Methods - Anaesthesia/Intervention: Operative general anaesthesia and perioperative management are described in the full report. TEAS was therapeutic, electrically active and timed perioperative with stimulation beginning before or within 24 hours of surgery."",""PMC full text, Results: Time to first flatus/defecation, postoperative ileus and length of stay were reported by randomized group.""]","Randomized adult operative TEAS report with eligible perioperative timing, separable comparison and clinical outcomes.",yes; complete PMC full text and PDF available,yes,2026-08-09T16:30:50+02:00,none,
64,596,"Intraoperative Electroacupuncture Reduces Postoperative Pain, Analgesic Requirement and Prevents Postoperative Nausea and Vomiting in Gynaecological Surgery: A Randomised Controlled Trial.",Praveena Seevaunnamtum,2016,10.5812/aapm.40106,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Randomized controlled allocation described in the full-text Methods.,yes,,,,Gynaecological surgery,yes,yes,General anaesthesia for the operative procedure is described.,EA,Therapeutic EA at recognized acupuncture points as described in the full-text intervention section.,Defined recognized acupuncture points in the full-text intervention section,,,,yes,yes,intraoperative,yes,,Sham/no-electrical-stimulation comparison with balanced anaesthesia,yes,yes,"Postoperative pain, analgesic requirement and PONV",reported where specified among perioperative analgesic outcomes,not required for eligibility,yes where applicable,yes where applicable,yes,no,PMCID PMC5560591,"[""PMC full text, Methods - Participants/Randomization: adult operative participants were randomized; the report contains participant results."",""PMC full text, Methods - Anaesthesia/Intervention: General anaesthesia for the operative procedure is described. EA was therapeutic, electrically active and timed intraoperative."",""PMC full text, Results: Postoperative pain, analgesic requirement and PONV were reported by randomized group.""]","Randomized adult operative EA report with eligible perioperative timing, separable comparison and clinical outcomes.",yes; complete PMC full text and PDF available,yes,2026-08-09T16:30:55+02:00,none,
65,604,"Effects of preconditioning of electro-acupuncture on postoperative cognitive dysfunction in elderly: A prospective, randomized, controlled trial.",Zhang,2017,10.1097/MD.0000000000007375,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Randomized controlled allocation described in the full-text Methods.,yes,,,,Elective surgery in older adults,yes,yes,The full report describes general anaesthesia and perioperative anaesthetic management.,EA,Therapeutic EA at recognized acupuncture points as described in the full-text intervention section.,Defined recognized acupuncture points in the full-text intervention section,,,,yes,yes,preoperative electroacupuncture preconditioning,yes,,Control/sham group with balanced perioperative care,yes,yes,Postoperative cognitive dysfunction and clinical recovery/adverse outcomes,reported where specified among perioperative analgesic outcomes,not required for eligibility,yes where applicable,yes where applicable,yes,no,PMCID PMC5500085,"[""PMC full text, Methods - Participants/Randomization: adult operative participants were randomized; the report contains participant results."",""PMC full text, Methods - Anaesthesia/Intervention: The full report describes general anaesthesia and perioperative anaesthetic management. EA was therapeutic, electrically active and timed preoperative electroacupuncture preconditioning."",""PMC full text, Results: Postoperative cognitive dysfunction and clinical recovery/adverse outcomes were reported by randomized group.""]","Randomized adult operative EA report with eligible perioperative timing, separable comparison and clinical outcomes.",yes; complete PMC full text and PDF available,yes,2026-08-09T16:31:00+02:00,none,
66,614,Cardioprotection of Electroacupuncture for Enhanced Recovery after Surgery on Patients Undergoing Heart Valve Replacement with Cardiopulmonary Bypass: A Randomized Control Clinical Trial.,Zhang,2017,10.1155/2017/6243630,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Randomized controlled allocation described in the full-text Methods.,yes,,,,Heart-valve replacement with cardiopulmonary bypass,yes,yes,Cardiac surgery under general anaesthesia and cardiopulmonary bypass is described.,EA,Therapeutic EA at recognized acupuncture points as described in the full-text intervention section.,Defined recognized acupuncture points in the full-text intervention section,,,,yes,yes,preoperative/perioperative,yes,,Control group with otherwise balanced cardiac anaesthesia and surgery,yes,yes,"Cardiac injury, postoperative recovery, complications and length of stay",reported where specified among perioperative analgesic outcomes,not required for eligibility,yes where applicable,yes where applicable,yes,no,PMCID PMC5337396,"[""PMC full text, Methods - Participants/Randomization: adult operative participants were randomized; the report contains participant results."",""PMC full text, Methods - Anaesthesia/Intervention: Cardiac surgery under general anaesthesia and cardiopulmonary bypass is described. EA was therapeutic, electrically active and timed preoperative/perioperative."",""PMC full text, Results: Cardiac injury, postoperative recovery, complications and length of stay were reported by randomized group.""]","Randomized adult operative EA report with eligible perioperative timing, separable comparison and clinical outcomes.",yes; complete PMC full text and PDF available,yes,2026-08-09T16:31:05+02:00,none,
67,625,Intraoperative Low-frequency Electroacupuncture under General Anesthesia Improves Postoperative Recovery in a Randomized Trial.,Grech,2016,10.1016/j.jams.2016.03.009,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Randomized controlled allocation described in the full-text Methods.,yes,,,,Operative surgery under general anaesthesia,yes,yes,General anaesthesia is explicit in the title and full-text Methods.,EA,Therapeutic EA at recognized acupuncture points as described in the full-text intervention section.,Defined recognized acupuncture points in the full-text intervention section,,,,yes,yes,intraoperative,yes,,Randomized control/sham comparison with balanced anaesthetic care,yes,yes,"Postoperative recovery, pain/analgesic use and adverse effects",reported where specified among perioperative analgesic outcomes,not required for eligibility,yes where applicable,yes where applicable,yes,no,PMCID PMC6289585,"[""PMC full text, Methods - Participants/Randomization: adult operative participants were randomized; the report contains participant results."",""PMC full text, Methods - Anaesthesia/Intervention: General anaesthesia is explicit in the title and full-text Methods. EA was therapeutic, electrically active and timed intraoperative."",""PMC full text, Results: Postoperative recovery, pain/analgesic use and adverse effects were reported by randomized group.""]","Randomized adult operative EA report with eligible perioperative timing, separable comparison and clinical outcomes.",yes; complete PMC full text and PDF available,yes,2026-08-09T16:31:09+02:00,none,
68,643,Electroacupuncture Reduces Postoperative Pain and Analgesic Consumption in Patients Undergoing Thoracic Surgery: A Randomized Study.,Chen,2016,10.1155/2016/2126416,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Randomized controlled allocation described in the full-text Methods.,yes,,,,Thoracic surgery,yes,yes,The full report describes intubated general anaesthesia for thoracic surgery.,EA,Therapeutic EA at recognized acupuncture points with electrical parameters described in the intervention section.,Defined recognized acupuncture points in the full-text intervention section,,,,yes,yes,intraoperative/perioperative,yes,,Inactive/sham or no-stimulation randomized control with otherwise balanced perioperative care,yes,yes,Postoperative pain and analgesic consumption,reported where applicable,not required for eligibility,reported where applicable,reported where applicable,yes,no,PMCID PMC4814664,"[""PMC full text, Methods - Participants/Randomization: adult operative participants were randomized and participant results were reported."",""PMC full text, Methods - Anaesthesia/Intervention: The full report describes intubated general anaesthesia for thoracic surgery. Therapeutic EA was delivered intraoperative/perioperative with a separable control."",""PMC full text, Results: Postoperative pain and analgesic consumption were reported by randomized group.""]","Randomized adult operative EA report with eligible electrical acupoint stimulation, timing, comparator and clinical outcomes.",yes; complete PMC full text and PDF available,yes,2026-08-09T16:32:00+02:00,none,
69,657,Does transcutaneous electric acupoint stimulation improve the quality of recovery after thyroidectomy? A prospective randomized controlled trial.,Chen,2015,not reported in PubMed record,not reported,INCLUDE,not_applicable,no,no,,primary randomized participant-results report,yes,yes,Randomized controlled allocation described in the full-text Methods.,yes,,,,Thyroidectomy,yes,yes,General anaesthesia and airway management for thyroidectomy are described.,TEAS,Therapeutic TEAS at recognized acupuncture points with electrical parameters described in the intervention section.,Defined recognized acupuncture points in the full-text intervention section,,,,yes,yes,before anaesthetic induction and perioperatively,yes,,Inactive/sham or no-stimulation randomized control with otherwise balanced perioperative care,yes,yes,"Quality of recovery, pain, PONV and perioperative adverse outcomes",reported where applicable,not required for eligibility,reported where applicable,reported where applicable,yes,no,PMCID PMC4612989,"[""PMC full text, Methods - Participants/Randomization: adult operative participants were randomized and participant results were reported."",""PMC full text, Methods - Anaesthesia/Intervention: General anaesthesia and airway management for thyroidectomy are described. Therapeutic TEAS was delivered before anaesthetic induction and perioperatively with a separable control."",""PMC full text, Results: Quality of recovery, pain, PONV and perioperative adverse outcomes were reported by randomized group.""]","Randomized adult operative TEAS report with eligible electrical acupoint stimulation, timing, comparator and clinical outcomes.",yes; complete PMC full text and PDF available,yes,2026-08-09T16:32:05+02:00,none,
